
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.532"	"17.106"	"24.928"	"29.386"	"33.999"	"34.676"	"31.507"	"27.95"	"29.302"	"28.595"	"22.081"	"18.592"
"1902"	"17.684"	"19.894"	"26.956"	"30.966"	"33.612"	"32.779"	"30.652"	"29.625"	"28.161"	"26.642"	"21.378"	"17.012"
"1903"	"16.455"	"17.967"	"22.233"	"28.086"	"32.957"	"34.937"	"30.995"	"27.979"	"28.489"	"26.664"	"19.961"	"16.311"
"1904"	"16.048"	"19.302"	"23.203"	"30.585"	"33.408"	"32.426"	"28.621"	"27.298"	"28.489"	"26.714"	"21.294"	"17.093"
"1905"	"14.612"	"13.83"	"21.165"	"27.582"	"35.182"	"33.809"	"30.515"	"29.123"	"29.792"	"27.918"	"23.321"	"17.817"
"1906"	"14.936"	"16.477"	"22.794"	"29.004"	"34.944"	"32.655"	"29.606"	"28.967"	"27.655"	"26.913"	"22.31"	"17.95"
"1907"	"18.126"	"17.525"	"22.638"	"28.191"	"31.614"	"33.404"	"32.131"	"26.84"	"27.65"	"26.711"	"22.075"	"16.352"
"1908"	"16.132"	"18.683"	"23.25"	"30.097"	"33.155"	"33.277"	"27.746"	"26.482"	"27.181"	"25.762"	"20.628"	"16.375"
"1909"	"15.615"	"18.053"	"24.641"	"28.06"	"32.038"	"32.347"	"27.847"	"26.541"	"26.724"	"26.262"	"21.974"	"15.998"
"1910"	"15.547"	"19.148"	"24.073"	"27.99"	"33.118"	"31.662"	"28.324"	"27.373"	"28.08"	"25.255"	"19.852"	"16.867"
"1911"	"17.548"	"19.375"	"22.054"	"29.166"	"34.451"	"32.3"	"31.466"	"29.648"	"27.812"	"27.125"	"19.849"	"17.695"
"1912"	"17.513"	"20.463"	"23.204"	"29.962"	"33.883"	"34.258"	"29.637"	"27.28"	"27.044"	"26.299"	"20.101"	"17.053"
"1913"	"16.856"	"18.724"	"21.9"	"30.676"	"32.241"	"31.725"	"28.989"	"28.075"	"28.632"	"27.877"	"21.479"	"16.789"
"1914"	"18.508"	"18.053"	"23.188"	"29.811"	"34.712"	"32.175"	"29.067"	"27.793"	"28.666"	"26.626"	"22.493"	"16.292"
"1915"	"16.021"	"17.107"	"24.27"	"29.225"	"34.432"	"34.09"	"31.878"	"29.164"	"30.992"	"28.314"	"21.619"	"18.131"
"1916"	"17.512"	"17.564"	"26.285"	"30.232"	"32.956"	"31.461"	"30.406"	"27.248"	"27.775"	"24.993"	"19.128"	"16.007"
"1917"	"17.24"	"18.991"	"23.5"	"26.799"	"30.236"	"30.849"	"27.567"	"26.565"	"26.404"	"24.019"	"18.805"	"16.685"
"1918"	"14.942"	"19.447"	"23.739"	"27.34"	"34.087"	"32.204"	"30.837"	"28.963"	"28.209"	"27.125"	"21.71"	"15.944"
"1919"	"16.133"	"18.122"	"24.187"	"28.486"	"32.656"	"33.488"	"29.011"	"27.082"	"27.092"	"26.098"	"20.841"	"16.302"
"1920"	"16.38"	"18.255"	"24.494"	"28.652"	"29.731"	"30.022"	"27.834"	"27.289"	"29.692"	"27.759"	"22.334"	"17.175"
"1921"	"16.908"	"19.144"	"26.546"	"31.415"	"34.037"	"33.968"	"31.428"	"27.564"	"27.274"	"26.166"	"21.396"	"18.732"
"1922"	"15.722"	"20.317"	"24.701"	"30.184"	"32.843"	"32.343"	"29.707"	"27.476"	"27.315"	"25.976"	"21.006"	"16.732"
"1923"	"16.458"	"18.126"	"25.062"	"29.756"	"32.283"	"33.958"	"29.612"	"26.648"	"28.161"	"26.074"	"20.449"	"17.046"
"1924"	"15.392"	"18.845"	"25.88"	"30.146"	"31.081"	"33.452"	"30.21"	"27.571"	"26.533"	"24.962"	"19.672"	"16.796"
"1925"	"14.064"	"16.557"	"24.892"	"31.668"	"32.625"	"30.165"	"27.823"	"29.154"	"29.997"	"28.334"	"21.106"	"17.433"
"1926"	"16.96"	"21.403"	"23.117"	"26.625"	"31.522"	"34.384"	"30.128"	"27.643"	"26.907"	"25.697"	"19.016"	"16.059"
"1927"	"14.15"	"16.634"	"22.53"	"28.592"	"32.411"	"33.23"	"28.993"	"26.683"	"27.201"	"26.476"	"19.637"	"17.391"
"1928"	"16.011"	"19.318"	"24.841"	"29.444"	"34.019"	"33.026"	"29.749"	"28.198"	"27.667"	"26.686"	"21.384"	"16.12"
"1929"	"15.516"	"17.424"	"26.157"	"30.057"	"33.418"	"32.981"	"28.725"	"27.192"	"28.401"	"26.52"	"22.11"	"15.492"
"1930"	"15.845"	"18.636"	"24.607"	"28.664"	"32.574"	"32.323"	"28.03"	"27.529"	"30.102"	"27.769"	"20.628"	"17.336"
"1931"	"17.82"	"16.889"	"23.644"	"30.956"	"33.496"	"34.223"	"30.159"	"27.729"	"27.953"	"25.719"	"21.089"	"17.818"
"1932"	"19.51"	"18.663"	"24.551"	"28.988"	"33.057"	"33.573"	"29.446"	"26.845"	"29.1"	"27.127"	"20.473"	"17.91"
"1933"	"15.008"	"19.143"	"24.011"	"28.011"	"30.882"	"31.809"	"28.892"	"26.359"	"26.946"	"25.649"	"20.992"	"17.194"
"1934"	"14.424"	"20.311"	"23.184"	"29.462"	"32.731"	"32.472"	"28.826"	"27.069"	"27.498"	"25.457"	"20.545"	"17.821"
"1935"	"14.045"	"18.841"	"23.916"	"26.724"	"33.21"	"33.659"	"28.61"	"27.334"	"27.279"	"25.363"	"21.439"	"17.031"
"1936"	"14.875"	"18.784"	"23.166"	"28.938"	"34.894"	"31.245"	"28.913"	"27.617"	"28.077"	"26.822"	"21.291"	"16.772"
"1937"	"15.685"	"19.498"	"22.556"	"29.001"	"33.437"	"33.765"	"28.327"	"28.147"	"28.368"	"26.036"	"21.824"	"15.619"
"1938"	"15.581"	"17.361"	"25.678"	"30.222"	"34.513"	"30.687"	"29.57"	"28.43"	"29.68"	"27.822"	"20.133"	"17.412"
"1939"	"17.543"	"18.788"	"21.404"	"27.628"	"33.202"	"31.822"	"29.637"	"30.13"	"28.869"	"27.922"	"21.521"	"18.354"
"1940"	"17.18"	"18.701"	"22.508"	"28.513"	"34.016"	"32.656"	"29.998"	"27.147"	"27.739"	"27.16"	"22.234"	"16.958"
"1941"	"15.511"	"20.119"	"26.111"	"31.092"	"33.89"	"32.631"	"29.997"	"28.758"	"29.029"	"29.353"	"22.146"	"18.592"
"1942"	"15.311"	"19.62"	"25.489"	"31.361"	"33.496"	"34.148"	"28.258"	"26.887"	"27.305"	"26.458"	"21.627"	"15.907"
"1943"	"16.079"	"18.815"	"25.268"	"28.738"	"34.173"	"32.371"	"28.68"	"26.642"	"27.6"	"26.102"	"21.37"	"18.324"
"1944"	"15.805"	"18.589"	"23.358"	"28.837"	"33.691"	"32.133"	"28.371"	"27.03"	"27.769"	"25.322"	"21.427"	"18.02"
"1945"	"13.798"	"18.02"	"24.902"	"28.469"	"32.506"	"32.572"	"28.005"	"27.655"	"27.215"	"25.626"	"20.61"	"15.435"
"1946"	"16.625"	"20.517"	"23.597"	"31.942"	"33.27"	"32.668"	"28.993"	"26.69"	"26.966"	"26.963"	"20.192"	"16.836"
"1947"	"15.069"	"18.793"	"24.98"	"30.07"	"34.02"	"33.722"	"30.779"	"28.322"	"26.794"	"24.896"	"22.03"	"17.448"
"1948"	"15.799"	"18.021"	"24.031"	"30.52"	"34.841"	"33.707"	"29.73"	"27.172"	"27.977"	"27.455"	"20.686"	"17.65"
"1949"	"18.21"	"19.287"	"24.879"	"31.236"	"35.219"	"32.414"	"28.989"	"27.901"	"29.464"	"26.46"	"20.151"	"16.504"
"1950"	"17.294"	"16.579"	"23.53"	"28.518"	"33.577"	"32.994"	"28.441"	"26.954"	"27.314"	"25.784"	"19.641"	"15.152"
"1951"	"15.365"	"17.917"	"23.516"	"27.596"	"32.605"	"31.674"	"31.006"	"27.611"	"29.752"	"29.504"	"22.587"	"17.381"
"1952"	"17.353"	"20.319"	"24.018"	"30.759"	"34.338"	"32.275"	"28.831"	"26.867"	"28.219"	"26.517"	"21.202"	"17.309"
"1953"	"15.607"	"21.118"	"26.687"	"29.611"	"32.991"	"33.001"	"29.845"	"27.364"	"27.991"	"26.263"	"21.428"	"19.581"
"1954"	"15.672"	"19.785"	"24.48"	"29.936"	"34.283"	"33.482"	"29.602"	"28.767"	"27.817"	"24.452"	"21.551"	"17.104"
"1955"	"16.219"	"19.283"	"26.363"	"27.477"	"32.461"	"32.984"	"30.204"	"27.548"	"27.116"	"24.753"	"19.634"	"17.245"
"1956"	"16.112"	"18.506"	"24.331"	"29.64"	"34.605"	"32.427"	"26.974"	"26.691"	"28.378"	"24.464"	"19.564"	"17.283"
"1957"	"15.121"	"17.31"	"22.892"	"28.224"	"31.422"	"32.836"	"29.571"	"28.191"	"27.936"	"26.388"	"22.698"	"17.463"
"1958"	"18.273"	"19.505"	"25.351"	"31.466"	"33.442"	"33.721"	"28.326"	"28.907"	"26.672"	"25.649"	"21.909"	"18.277"
"1959"	"15.849"	"18.129"	"25.585"	"29.676"	"32.737"	"32.202"	"28.617"	"26.765"	"27.006"	"26.737"	"20.949"	"17.644"
"1960"	"15.627"	"20.939"	"23.013"	"28.031"	"32.485"	"32.85"	"29.461"	"26.939"	"28.894"	"26.206"	"20.608"	"17.68"
"1961"	"15.162"	"16.56"	"24.791"	"28.626"	"33.313"	"31.799"	"29.155"	"27.945"	"27.01"	"25.329"	"20.681"	"15.569"
"1962"	"15.122"	"19.712"	"24.215"	"29.851"	"32.076"	"31.596"	"28.264"	"26.7"	"26.214"	"24.455"	"20.173"	"17.458"
"1963"	"16.183"	"21.246"	"24.891"	"29.972"	"33.312"	"33.087"	"30.721"	"27.443"	"28.039"	"27.53"	"23.613"	"17.92"
"1964"	"14.988"	"18.871"	"25.975"	"31.712"	"32.588"	"30.741"	"28.757"	"27.744"	"28.001"	"26.823"	"20.555"	"17.124"
"1965"	"18.625"	"19.839"	"24.376"	"28.456"	"32.616"	"33.23"	"29.453"	"28.443"	"28.004"	"28.147"	"23.495"	"16.863"
"1966"	"17.836"	"22.235"	"24.298"	"30.07"	"33.353"	"32.068"	"30.227"	"26.869"	"27.111"	"27.186"	"21.541"	"16.08"
"1967"	"13.832"	"20.678"	"22.59"	"27.671"	"31.488"	"31.494"	"28.773"	"26.045"	"25.76"	"25.325"	"21.931"	"17.79"
