
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.434"	"14.206"	"25.485"	"22.184"	"22.836"	"38.384"	"63.019"	"61.772"	"40.105"	"14.564"	"11.088"	"12.212"
"1902"	"16.434"	"14.57"	"25.808"	"22.184"	"22.699"	"38.177"	"62.625"	"61.885"	"39.628"	"14.721"	"11.088"	"12.212"
"1903"	"16.434"	"14.57"	"25.775"	"22.184"	"22.758"	"38.369"	"62.625"	"62.254"	"40.105"	"14.166"	"11.088"	"12.212"
"1904"	"16.434"	"14.57"	"25.775"	"22.129"	"22.702"	"38.384"	"62.522"	"61.858"	"40.105"	"14.721"	"11.062"	"12.212"
"1905"	"16.434"	"14.57"	"25.808"	"22.184"	"22.836"	"38.384"	"62.728"	"62.254"	"40.105"	"14.721"	"11.088"	"12.212"
"1906"	"16.434"	"14.57"	"25.49"	"22.184"	"22.836"	"38.547"	"62.625"	"62.012"	"40.105"	"14.067"	"11.088"	"12.212"
"1907"	"16.434"	"14.57"	"25.808"	"22.184"	"22.836"	"38.612"	"63.023"	"62.254"	"40.105"	"15.077"	"11.705"	"12.192"
"1908"	"16.434"	"14.57"	"25.808"	"22.159"	"22.758"	"38.191"	"62.625"	"62.078"	"40.105"	"14.721"	"11.088"	"12.212"
"1909"	"16.292"	"14.57"	"25.808"	"22.184"	"22.284"	"38.131"	"62.625"	"61.856"	"39.72"	"14.538"	"11.088"	"12.212"
"1910"	"16.434"	"14.57"	"25.808"	"22.184"	"22.803"	"38.384"	"63.11"	"61.858"	"40.105"	"14.721"	"11.088"	"12.212"
"1911"	"16.434"	"14.57"	"25.808"	"22.184"	"22.836"	"38.383"	"62.554"	"62.014"	"40.105"	"14.721"	"10.595"	"12.212"
"1912"	"16.434"	"14.57"	"25.466"	"21.689"	"22.836"	"38.384"	"61.571"	"61.802"	"39.594"	"14.621"	"10.521"	"12.212"
"1913"	"16.434"	"14.57"	"25.708"	"22.184"	"22.068"	"38.067"	"62.754"	"62.215"	"39.618"	"14.565"	"11.088"	"12.212"
"1914"	"16.434"	"14.57"	"25.367"	"21.784"	"22.273"	"37.862"	"62.255"	"62.254"	"39.175"	"14.132"	"11.154"	"12.158"
"1915"	"16.434"	"14.57"	"25.066"	"22.184"	"21.742"	"37.764"	"62.32"	"61.433"	"39.342"	"14.168"	"10.622"	"12.212"
"1916"	"16.644"	"14.57"	"25.808"	"22.184"	"22.836"	"38.384"	"62.22"	"62.254"	"40.105"	"14.029"	"11.088"	"12.212"
"1917"	"16.223"	"14.204"	"25.358"	"21.59"	"21.865"	"37.83"	"61.82"	"61.756"	"39.617"	"14.721"	"10.669"	"12.212"
