
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1902"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1903"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.198"	"9.649"	"14.952"	"16.08"	"16.065"
"1904"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1905"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1906"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1907"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.919"	"16.08"	"16.065"
"1908"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1909"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1910"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1911"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1912"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1913"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1914"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"15.32"	"16.065"
"1915"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1916"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.633"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1917"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1918"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1919"	"16.021"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.1"
"1920"	"15.638"	"15.678"	"15.884"	"14.811"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1921"	"15.638"	"15.678"	"15.805"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.987"	"16.08"	"16.065"
"1922"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"15.121"	"16.08"	"16.065"
"1923"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1924"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1925"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1926"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1927"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1928"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.062"
"1929"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1930"	"15.638"	"15.601"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1931"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1932"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.166"	"9.649"	"14.952"	"16.08"	"16.065"
"1933"	"16.009"	"15.579"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"15.991"	"16.065"
"1934"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1935"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.735"	"14.952"	"16.08"	"16.065"
"1936"	"15.638"	"16.185"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1937"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.2"	"9.649"	"14.952"	"16.08"	"16.105"
"1938"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1939"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1940"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1941"	"15.638"	"15.678"	"15.884"	"15.108"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1942"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.33"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1943"	"15.638"	"15.678"	"15.884"	"14.988"	"13.641"	"11.655"	"8.365"	"7.181"	"9.649"	"14.952"	"16.08"	"16.065"
"1944"	"15.638"	"15.678"	"15.884"	"14.988"	"13.707"	"11.655"	"8.539"	"7.181"	"9.649"	"14.952"	"16.08"	"15.964"
