
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.8055"	"0.5705"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.2549"
"1903"	"0.6378"	"0.2453"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.3469"
"1904"	"1.7942"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.3695"
"1905"	"4.4251"	"0.8532"	"0.0088"	"0.0012"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.7658"
"1906"	"3.9894"	"0.5624"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1907"	"0"	"0.3782"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.33"
"1908"	"1.0042"	"0.0642"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.0023"
"1909"	"2.9815"	"0.324"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.4109"
"1910"	"2.1997"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.1339"
"1911"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6918"
"1912"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.6957"
"1913"	"0.0051"	"0.0397"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.0809"
"1914"	"0"	"0.2265"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.3864"
"1915"	"1.166"	"0.4881"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1182"
"1916"	"0"	"0.4181"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0056"	"3.86"
"1917"	"0.0128"	"0.0145"	"0"	"0.01"	"0.0082"	"0"	"0"	"0"	"0"	"0.0081"	"0"	"1.9214"
"1918"	"3.2328"	"0"	"0"	"0.0012"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.4492"
"1919"	"1.594"	"0.2142"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.0211"
"1920"	"0.7479"	"0.162"	"0"	"0"	"0.01"	"0.0034"	"0"	"0"	"0"	"0"	"0"	"1.225"
"1921"	"0.0033"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
