
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.369"	"24.956"	"32.886"	"36.909"	"40.865"	"40.534"	"35.713"	"31.563"	"34.151"	"36.11"	"30.148"	"26.642"
"1902"	"25.519"	"27.741"	"34.914"	"38.494"	"40.492"	"38.623"	"34.853"	"33.237"	"33.008"	"34.129"	"29.442"	"25.066"
"1903"	"24.277"	"25.814"	"30.191"	"35.616"	"39.84"	"40.767"	"35.202"	"31.609"	"33.335"	"34.133"	"28.03"	"24.364"
"1904"	"23.885"	"27.152"	"31.158"	"38.108"	"40.274"	"38.272"	"32.811"	"30.88"	"33.337"	"34.228"	"29.36"	"25.146"
"1905"	"22.45"	"21.68"	"29.122"	"35.11"	"42.048"	"39.641"	"34.707"	"32.736"	"34.637"	"35.435"	"31.387"	"25.869"
"1906"	"22.759"	"24.322"	"30.754"	"36.536"	"41.811"	"38.488"	"33.797"	"32.581"	"32.503"	"34.431"	"30.376"	"26.002"
"1907"	"25.963"	"25.369"	"30.596"	"35.687"	"38.482"	"39.247"	"36.334"	"30.451"	"32.479"	"34.162"	"30.143"	"24.4"
"1908"	"23.969"	"26.532"	"31.206"	"37.627"	"40.037"	"39.107"	"31.933"	"30.095"	"32.028"	"33.263"	"28.696"	"24.426"
"1909"	"23.451"	"25.903"	"32.572"	"35.59"	"38.916"	"38.191"	"32.052"	"30.141"	"31.575"	"33.763"	"30.037"	"24.047"
"1910"	"23.371"	"26.994"	"32.015"	"35.517"	"39.986"	"37.507"	"32.528"	"30.988"	"32.925"	"32.772"	"27.919"	"24.918"
"1911"	"25.366"	"27.223"	"30.011"	"36.667"	"41.33"	"38.13"	"35.657"	"33.259"	"32.661"	"34.64"	"27.915"	"25.746"
"1912"	"25.351"	"28.311"	"31.163"	"37.491"	"40.761"	"40.115"	"33.843"	"30.864"	"31.894"	"33.814"	"28.169"	"25.107"
"1913"	"24.674"	"26.572"	"29.856"	"38.17"	"39.12"	"37.567"	"33.191"	"31.687"	"33.481"	"35.391"	"29.545"	"24.839"
"1914"	"26.344"	"25.903"	"31.143"	"37.341"	"41.592"	"38.005"	"33.27"	"31.376"	"33.499"	"34.097"	"30.166"	"24.339"
"1915"	"23.838"	"24.952"	"32.226"	"36.723"	"41.311"	"39.949"	"36.082"	"32.777"	"35.84"	"35.83"	"29.685"	"26.184"
"1916"	"25.345"	"25.411"	"34.231"	"37.73"	"39.822"	"37.319"	"34.732"	"30.83"	"32.606"	"32.488"	"27.195"	"24.059"
"1917"	"25.077"	"26.839"	"31.456"	"34.3"	"37.086"	"36.692"	"31.771"	"30.178"	"31.254"	"31.536"	"26.872"	"24.737"
"1918"	"22.778"	"27.294"	"31.695"	"34.87"	"40.966"	"38.046"	"35.044"	"32.577"	"33.026"	"34.637"	"29.775"	"23.991"
"1919"	"24.164"	"25.97"	"32.118"	"36.011"	"39.524"	"39.332"	"33.217"	"30.694"	"31.922"	"33.611"	"28.909"	"24.372"
"1920"	"24.213"	"26.097"	"32.451"	"36.095"	"36.611"	"35.867"	"32.039"	"30.874"	"34.54"	"35.275"	"30.4"	"25.226"
"1921"	"24.744"	"26.99"	"34.489"	"38.942"	"40.916"	"39.815"	"35.634"	"31.174"	"32.106"	"33.655"	"29.463"	"26.784"
"1922"	"23.56"	"28.165"	"32.658"	"37.679"	"39.724"	"38.201"	"33.912"	"31.087"	"32.164"	"33.573"	"29.072"	"24.781"
"1923"	"24.297"	"25.973"	"33.02"	"37.254"	"39.162"	"39.814"	"33.817"	"30.246"	"33.008"	"33.592"	"28.516"	"25.099"
"1924"	"23.227"	"26.693"	"33.827"	"37.641"	"37.939"	"39.297"	"34.416"	"31.167"	"31.381"	"32.478"	"27.74"	"24.847"
"1925"	"21.889"	"24.406"	"32.849"	"39.167"	"39.504"	"35.991"	"32.029"	"32.767"	"34.846"	"35.849"	"29.175"	"25.485"
"1926"	"24.793"	"29.251"	"31.074"	"34.156"	"38.401"	"40.216"	"34.329"	"31.255"	"31.752"	"33.184"	"27.082"	"24.111"
