
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.727"	"9.278"	"16.981"	"21.892"	"27.157"	"28.879"	"27.379"	"24.339"	"24.486"	"21.126"	"14.034"	"10.577"
"1902"	"9.848"	"12.062"	"19.013"	"23.505"	"26.783"	"26.937"	"26.521"	"26.058"	"23.339"	"19.176"	"13.362"	"8.995"
"1903"	"8.639"	"10.138"	"14.304"	"20.58"	"26.117"	"29.113"	"26.856"	"24.366"	"23.686"	"19.18"	"11.914"	"8.277"
"1904"	"8.243"	"11.473"	"15.272"	"23.088"	"26.565"	"26.616"	"24.479"	"23.687"	"23.671"	"19.245"	"13.28"	"9.06"
"1905"	"6.81"	"5.998"	"13.236"	"20.075"	"28.306"	"27.988"	"26.364"	"25.558"	"24.972"	"20.48"	"15.295"	"9.804"
"1906"	"7.12"	"8.641"	"14.864"	"21.547"	"28.087"	"26.832"	"25.462"	"25.398"	"22.835"	"19.477"	"14.261"	"9.934"
"1907"	"10.324"	"9.691"	"14.71"	"20.699"	"24.741"	"27.578"	"27.989"	"23.239"	"22.829"	"19.242"	"14.028"	"8.314"
"1908"	"8.327"	"10.85"	"15.321"	"22.608"	"26.315"	"27.453"	"23.601"	"22.885"	"22.36"	"18.277"	"12.595"	"8.343"
"1909"	"7.813"	"10.221"	"16.687"	"20.569"	"25.195"	"26.537"	"23.677"	"22.928"	"21.906"	"18.779"	"13.941"	"7.982"
"1910"	"7.732"	"11.313"	"16.13"	"20.53"	"26.261"	"25.851"	"24.195"	"23.776"	"23.26"	"17.788"	"11.841"	"8.836"
"1911"	"9.728"	"11.545"	"14.126"	"21.678"	"27.607"	"26.476"	"27.322"	"26.08"	"22.991"	"19.656"	"11.803"	"9.68"
"1912"	"9.711"	"12.634"	"15.264"	"22.505"	"27.04"	"28.443"	"25.506"	"23.67"	"22.212"	"18.831"	"12.053"	"9.023"
"1913"	"9.036"	"10.895"	"13.972"	"23.17"	"25.394"	"25.915"	"24.858"	"24.508"	"23.813"	"20.408"	"13.467"	"8.775"
"1914"	"10.677"	"10.224"	"15.249"	"22.321"	"27.856"	"26.354"	"24.939"	"24.181"	"23.848"	"19.143"	"14.848"	"8.274"
"1915"	"8.185"	"9.274"	"16.343"	"21.722"	"27.604"	"28.282"	"27.74"	"25.598"	"26.173"	"20.848"	"13.604"	"10.1"
"1916"	"9.709"	"9.733"	"18.332"	"22.743"	"26.113"	"25.667"	"26.098"	"23.649"	"22.955"	"17.537"	"11.115"	"7.973"
"1917"	"9.42"	"11.16"	"15.573"	"19.311"	"23.378"	"25.024"	"23.408"	"22.996"	"21.602"	"16.584"	"10.792"	"8.653"
"1918"	"7.139"	"11.613"	"15.784"	"19.851"	"27.257"	"26.378"	"26.697"	"25.398"	"23.374"	"19.654"	"13.695"	"7.91"
"1919"	"8.129"	"10.288"	"16.233"	"21.024"	"25.812"	"27.663"	"24.885"	"23.5"	"22.261"	"18.629"	"12.796"	"8.271"
"1920"	"8.574"	"10.42"	"16.552"	"21.239"	"22.854"	"24.196"	"23.674"	"23.68"	"24.871"	"20.29"	"14.32"	"9.159"
"1921"	"9.106"	"11.309"	"18.636"	"23.924"	"27.208"	"28.16"	"27.3"	"23.993"	"22.442"	"18.664"	"13.383"	"10.682"
"1922"	"7.899"	"12.481"	"16.749"	"22.692"	"25.986"	"26.519"	"25.577"	"23.876"	"22.498"	"18.422"	"12.988"	"8.718"
"1923"	"8.657"	"10.291"	"17.131"	"22.266"	"25.405"	"28.147"	"25.48"	"23.065"	"23.339"	"18.608"	"12.436"	"9.03"
"1924"	"7.588"	"11.016"	"17.924"	"22.653"	"24.204"	"27.642"	"26.081"	"23.989"	"21.72"	"17.515"	"11.628"	"8.757"
"1925"	"6.247"	"8.726"	"16.95"	"24.178"	"25.794"	"24.336"	"23.665"	"25.585"	"25.196"	"20.864"	"13.075"	"9.398"
"1926"	"9.154"	"13.572"	"15.187"	"19.119"	"24.66"	"28.562"	"25.998"	"24.076"	"22.094"	"18.229"	"11.002"	"8.043"
"1927"	"6.329"	"8.799"	"14.602"	"21.096"	"25.579"	"27.407"	"24.854"	"23.102"	"22.366"	"19.038"	"11.607"	"9.373"
"1928"	"8.207"	"11.488"	"16.888"	"21.982"	"27.176"	"27.2"	"25.616"	"24.598"	"22.846"	"19.216"	"13.37"	"8.089"
"1929"	"7.681"	"9.594"	"18.215"	"22.553"	"26.576"	"27.169"	"24.596"	"23.613"	"23.597"	"19.082"	"14.096"	"7.462"
"1930"	"8.041"	"10.841"	"16.665"	"21.159"	"25.73"	"26.501"	"23.857"	"23.96"	"25.283"	"20.278"	"12.612"	"9.307"
"1931"	"10.019"	"9.059"	"15.717"	"23.5"	"26.653"	"28.413"	"26.031"	"24.129"	"23.15"	"18.251"	"13.061"	"9.804"
"1932"	"11.707"	"10.832"	"16.598"	"21.526"	"26.213"	"27.763"	"25.32"	"23.248"	"24.282"	"19.658"	"12.444"	"9.899"
