
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.02"	"5.69"	"6.97"	"8.1"	"8.61"	"8.19"	"6.59"	"5.66"	"6.18"	"7.08"	"6.15"	"5.31"
"1902"	"5.21"	"5.9"	"7.1"	"8.22"	"8.67"	"8.13"	"6.46"	"5.7"	"6.25"	"6.97"	"6.1"	"5.24"
"1903"	"5.11"	"5.88"	"6.84"	"7.96"	"8.51"	"8.18"	"6.59"	"5.67"	"6.2"	"7.03"	"6.02"	"5.16"
"1904"	"5.05"	"5.92"	"6.88"	"8.12"	"8.67"	"8.17"	"6.42"	"5.56"	"6.19"	"6.99"	"6.09"	"5.28"
"1905"	"5.08"	"5.54"	"6.68"	"7.86"	"8.62"	"8.22"	"6.51"	"5.63"	"6.25"	"7"	"6.2"	"5.37"
"1906"	"5.08"	"5.7"	"6.83"	"7.96"	"8.67"	"8.18"	"6.42"	"5.69"	"6.19"	"6.96"	"6.13"	"5.29"
"1907"	"5.28"	"5.87"	"6.85"	"8"	"8.5"	"8.04"	"6.62"	"5.65"	"6.15"	"6.93"	"6.15"	"5.21"
"1908"	"5.07"	"5.88"	"6.88"	"8.12"	"8.64"	"8.23"	"6.42"	"5.55"	"6.14"	"6.92"	"6.03"	"5.19"
"1909"	"5.06"	"5.8"	"6.98"	"8.07"	"8.57"	"8.13"	"6.41"	"5.58"	"6.13"	"6.91"	"6.15"	"5.21"
"1910"	"5.02"	"5.88"	"6.99"	"7.99"	"8.61"	"8.12"	"6.36"	"5.57"	"6.23"	"6.96"	"5.96"	"5.16"
"1911"	"5.17"	"5.99"	"6.84"	"7.97"	"8.67"	"8.1"	"6.49"	"5.74"	"6.22"	"7.03"	"6.01"	"5.22"
"1912"	"5.16"	"6.03"	"6.92"	"8.06"	"8.64"	"8.23"	"6.55"	"5.62"	"6.17"	"6.97"	"6.02"	"5.21"
"1913"	"5.13"	"5.95"	"6.77"	"8.12"	"8.68"	"8.1"	"6.4"	"5.59"	"6.19"	"7.04"	"6.14"	"5.16"
"1914"	"5.27"	"5.89"	"6.87"	"8.05"	"8.71"	"8.19"	"6.42"	"5.59"	"6.22"	"6.96"	"6.07"	"5.23"
"1915"	"5.09"	"5.75"	"6.95"	"8.05"	"8.65"	"8.19"	"6.57"	"5.66"	"6.3"	"7.13"	"6.13"	"5.3"
"1916"	"5.24"	"5.76"	"7.02"	"8.19"	"8.67"	"8.04"	"6.6"	"5.62"	"6.2"	"6.94"	"5.94"	"5.08"
"1917"	"5.12"	"5.94"	"6.99"	"7.98"	"8.5"	"8.04"	"6.36"	"5.57"	"6.16"	"6.84"	"5.88"	"5.2"
"1918"	"5"	"5.9"	"7.01"	"7.93"	"8.64"	"8.11"	"6.48"	"5.69"	"6.22"	"6.99"	"6.16"	"5.19"
"1919"	"5.11"	"5.81"	"6.97"	"8.05"	"8.55"	"8.19"	"6.49"	"5.61"	"6.16"	"6.97"	"6.09"	"5.19"
"1920"	"5.07"	"5.84"	"6.98"	"8.13"	"8.54"	"7.98"	"6.33"	"5.51"	"6.19"	"7.06"	"6.18"	"5.27"
"1921"	"5.12"	"5.87"	"7.04"	"8.23"	"8.67"	"8.17"	"6.61"	"5.68"	"6.16"	"6.95"	"6.05"	"5.37"
"1922"	"5.06"	"5.96"	"7.01"	"8.15"	"8.65"	"8.11"	"6.47"	"5.63"	"6.17"	"6.97"	"6.07"	"5.22"
"1923"	"5.11"	"5.8"	"6.99"	"8.16"	"8.58"	"8.16"	"6.52"	"5.56"	"6.18"	"6.99"	"6.02"	"5.26"
"1924"	"5.04"	"5.81"	"7.04"	"8.22"	"8.54"	"8.09"	"6.52"	"5.66"	"6.16"	"6.92"	"5.97"	"5.25"
"1925"	"5"	"5.68"	"6.9"	"8.22"	"8.76"	"8.05"	"6.28"	"5.58"	"6.25"	"7.1"	"6.12"	"5.27"
"1926"	"5.1"	"6.07"	"7.03"	"7.93"	"8.44"	"8.14"	"6.56"	"5.65"	"6.16"	"6.97"	"5.95"	"5.18"
"1927"	"4.98"	"5.71"	"6.83"	"8.02"	"8.56"	"8.18"	"6.49"	"5.58"	"6.14"	"6.98"	"5.97"	"5.23"
"1928"	"5.07"	"5.9"	"7.01"	"8.09"	"8.66"	"8.17"	"6.46"	"5.63"	"6.19"	"6.97"	"6.12"	"5.21"
"1929"	"5.06"	"5.72"	"7.02"	"8.2"	"8.65"	"8.2"	"6.42"	"5.58"	"6.19"	"6.97"	"6.17"	"5.14"
