
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.082"	"0.769"	"0.182"	"0.291"	"3.47"	"18.436"	"185.767"	"108.43"	"6.478"	"8.023"	"0.039"	"6.618"
"1902"	"0.991"	"0"	"0.004"	"0.04"	"0.231"	"69.584"	"89.631"	"99.575"	"66.101"	"2.721"	"7.319"	"0.558"
"1903"	"0.337"	"0.089"	"1.305"	"0"	"11.937"	"3.44"	"287.291"	"185.468"	"147.905"	"2.383"	"0.039"	"0"
"1904"	"0.429"	"2.02"	"26.237"	"0"	"14.769"	"51.707"	"117.672"	"79.146"	"68.75"	"11.705"	"5.116"	"11.12"
"1905"	"4.074"	"6.229"	"2.075"	"8.199"	"2.768"	"20.722"	"99.946"	"9.432"	"62.886"	"0"	"0.039"	"0.19"
"1906"	"0"	"43.472"	"3.039"	"0"	"1.03"	"48.59"	"160.278"	"72.257"	"136.599"	"0.059"	"0.039"	"18.342"
"1907"	"4.374"	"20.537"	"0.667"	"14.725"	"4.882"	"10.65"	"86.726"	"261.89"	"1.833"	"0"	"0.45"	"0"
"1908"	"11.288"	"0"	"0"	"0.422"	"3.262"	"27.672"	"432.441"	"313.776"	"288.739"	"0.893"	"6.134"	"0.19"
"1909"	"13.532"	"0.223"	"0"	"26.655"	"5.956"	"40.131"	"323.511"	"61.572"	"256.662"	"0"	"0.039"	"5.524"
"1910"	"2.646"	"0.715"	"0"	"9.81"	"2.865"	"109.868"	"84.464"	"170.467"	"38.937"	"2.553"	"0.766"	"0"
"1911"	"3.577"	"0"	"21.05"	"0"	"0.004"	"38.845"	"20.769"	"33.769"	"136.674"	"0"	"31.972"	"1.232"
"1912"	"1.65"	"0.089"	"0.087"	"1.152"	"1.03"	"62.467"	"196.551"	"231.075"	"68.823"	"19.958"	"55.868"	"0.41"
"1913"	"0"	"3.473"	"1.401"	"0"	"12.739"	"50.94"	"96.399"	"58.362"	"72.984"	"0"	"0.047"	"1.797"
"1914"	"0"	"3.628"	"0.184"	"4.707"	"14.813"	"96.292"	"148.925"	"117.045"	"104.604"	"2.955"	"37.954"	"0.4"
"1915"	"5.017"	"5.559"	"28.074"	"2.252"	"3.097"	"30.884"	"75.883"	"45.145"	"33.34"	"53.144"	"0.182"	"0.339"
"1916"	"0"	"0.838"	"0.184"	"0.198"	"23.329"	"34.946"	"125.972"	"304.538"	"140.098"	"10.985"	"2.471"	"0"
"1917"	"1.065"	"9.959"	"0.281"	"17.575"	"59.422"	"198.547"	"243.632"	"386.326"	"242.147"	"28.464"	"0.039"	"17.203"
"1918"	"1.202"	"0"	"3.291"	"0"	"9.594"	"15.226"	"25.44"	"60.958"	"11.76"	"0"	"3.457"	"0"
"1919"	"10.558"	"0"	"0.286"	"31.999"	"6.123"	"20.565"	"208.245"	"149.909"	"50.918"	"3.875"	"21.571"	"1.025"
"1920"	"3.737"	"3.83"	"1.908"	"0"	"29.171"	"146.164"	"141.925"	"29.881"	"17.026"	"0"	"0.039"	"0"
"1921"	"2.264"	"0"	"0"	"0.04"	"0.004"	"20.897"	"124.478"	"74.848"	"103.106"	"0"	"0.039"	"0"
"1922"	"1.424"	"0.838"	"0.036"	"0.348"	"1.304"	"36.502"	"174.243"	"49.711"	"154.297"	"0.602"	"4.715"	"5.372"
"1923"	"1.949"	"6.439"	"2.133"	"0.526"	"4.448"	"3.636"	"318.651"	"178.468"	"56.236"	"1.823"	"0.039"	"1.108"
"1924"	"0.985"	"2.335"	"0.199"	"0"	"13.261"	"28.257"	"173.095"	"96.739"	"156.313"	"6.354"	"0.555"	"20.793"
"1925"	"0"	"0"	"0"	"0"	"12.179"	"94.669"	"189.425"	"64.993"	"10.21"	"0"	"30.13"	"0.042"
"1926"	"19.759"	"0.677"	"25.67"	"6.289"	"12.529"	"11.719"	"150.411"	"238.098"	"236.959"	"0"	"2.272"	"0"
"1927"	"0"	"6.497"	"0.161"	"0.348"	"5.645"	"16.276"	"226.624"	"332.879"	"73.396"	"10.979"	"16.942"	"12.568"
"1928"	"1.271"	"4.957"	"0.272"	"0"	"0.648"	"10.745"	"163.753"	"190.028"	"72.892"	"36.64"	"27.332"	"7.672"
"1929"	"0.405"	"1.264"	"0"	"7.588"	"2.168"	"45.372"	"176.454"	"187.611"	"11.934"	"1.656"	"0.039"	"9.77"
"1930"	"3.659"	"0.53"	"0"	"3.204"	"19.477"	"96.553"	"179.445"	"83.078"	"24.834"	"14.381"	"0.329"	"0"
"1931"	"0"	"0.844"	"0.818"	"0.04"	"3.779"	"26.754"	"83.302"	"383.267"	"63.727"	"42.525"	"0.329"	"0"
"1932"	"0"	"1.454"	"7.099"	"1.706"	"1.641"	"36.836"	"122.843"	"367.795"	"49.637"	"0.792"	"0.039"	"0"
"1933"	"0"	"8.403"	"5.999"	"21.643"	"23.207"	"161.212"	"78.325"	"399.741"	"121.493"	"7.05"	"1.175"	"1.577"
"1934"	"1.634"	"0"	"6.342"	"0"	"0.004"	"147.299"	"84.217"	"282.24"	"50.292"	"0.017"	"9.885"	"4.934"
"1935"	"11.194"	"1.103"	"1.924"	"19.969"	"2.509"	"11.555"	"237.447"	"50.198"	"114.58"	"14.818"	"0.039"	"0.804"
"1936"	"0"	"5.953"	"20.494"	"2.116"	"8.279"	"159.842"	"96.872"	"107.165"	"79.281"	"0"	"34.691"	"1.838"
"1937"	"0"	"12.51"	"0"	"0.689"	"1.955"	"20.23"	"191.096"	"16.443"	"160.091"	"4.398"	"2.288"	"4.033"
"1938"	"0.575"	"0"	"3.633"	"0.129"	"12.611"	"184.169"	"166.122"	"68.987"	"29.756"	"4.06"	"0.039"	"0"
"1939"	"0.93"	"4.022"	"9.492"	"1.011"	"0.004"	"36.426"	"95.995"	"131.53"	"44.68"	"0.404"	"1.007"	"0.697"
"1940"	"2.843"	"10.312"	"23.731"	"1.521"	"8.169"	"32.81"	"179.804"	"164.446"	"13.695"	"8.129"	"6.465"	"0.426"
"1941"	"3.258"	"2.604"	"0.328"	"0.291"	"7.618"	"5.985"	"129.066"	"112.257"	"68.328"	"4.26"	"0.039"	"0.419"
"1942"	"5.501"	"5.849"	"0"	"12.946"	"11.528"	"22.169"	"280.147"	"185.295"	"73.658"	"0"	"0.039"	"2.28"
"1943"	"2.363"	"0"	"0"	"13.695"	"7.014"	"36.438"	"422.013"	"124.634"	"219.452"	"1.643"	"0.039"	"0"
"1944"	"16.106"	"3.003"	"31.014"	"4.364"	"0.262"	"36.553"	"251.241"	"325.125"	"54.444"	"10.916"	"0.039"	"0"
"1945"	"8.044"	"0"	"0"	"2.301"	"15.109"	"24.127"	"382.578"	"178.958"	"66.155"	"0.181"	"0.039"	"0"
"1946"	"0"	"0.893"	"0"	"0.487"	"5.394"	"51.897"	"127.249"	"206.001"	"18.598"	"0.313"	"11.707"	"1.228"
"1947"	"0.776"	"0.958"	"0.053"	"0.655"	"0.746"	"8.839"	"110.917"	"218.901"	"253.37"	"29.935"	"0.039"	"1.714"
"1948"	"12.576"	"5.561"	"2.236"	"1.255"	"4.685"	"33.803"	"296.74"	"140.553"	"39.552"	"2.318"	"7.139"	"0"
"1949"	"5.811"	"1.478"	"0.004"	"0"	"4.131"	"29.181"	"252.869"	"97.903"	"74.913"	"11.523"	"0.039"	"0"
"1950"	"0.965"	"0"	"4.053"	"0"	"4.928"	"13.713"	"251.4"	"68.196"	"129.235"	"0.404"	"0.071"	"0.958"
"1951"	"0.54"	"0"	"5.108"	"4.161"	"13.217"	"77.364"	"95.699"	"188.917"	"41.008"	"6.908"	"68.25"	"0"
"1952"	"0"	"1.972"	"1.166"	"2.353"	"2.067"	"34.423"	"317.529"	"217.25"	"10.932"	"0.103"	"0.039"	"4.69"
"1953"	"4.531"	"0"	"0"	"2.362"	"3.038"	"45.111"	"151.471"	"216.061"	"96.931"	"1.558"	"0.039"	"0"
"1954"	"5.384"	"5.038"	"2.846"	"0"	"0.866"	"14.385"	"205.595"	"123.697"	"229.512"	"29.153"	"21.421"	"0"
"1955"	"2.05"	"0"	"0.832"	"0.07"	"6.652"	"50.621"	"69.147"	"287.089"	"175.707"	"16.698"	"0.039"	"5.585"
"1956"	"7.589"	"0.04"	"14.427"	"2.124"	"1.035"	"51.545"	"453.715"	"124.528"	"21.758"	"43.796"	"4.227"	"2.286"
"1957"	"8.074"	"0"	"15.993"	"2.307"	"9.312"	"38.781"	"139.824"	"199.463"	"36.7"	"1.59"	"17.9"	"0.601"
"1958"	"0.188"	"0.354"	"0.969"	"0.486"	"6.727"	"19.936"	"203.837"	"93.242"	"296.981"	"9.898"	"80.974"	"6.205"
"1959"	"1.238"	"0.485"	"0.562"	"1.977"	"14.824"	"70.249"	"178.568"	"133.771"	"169.354"	"6.555"	"24.177"	"0"
"1960"	"1.398"	"0"	"1.119"	"0"	"7.132"	"62.209"	"136.085"	"105.438"	"19.715"	"10.077"	"0.039"	"0.792"
"1961"	"5.059"	"11.674"	"0"	"10.683"	"8.026"	"48.701"	"135.594"	"152.056"	"225.808"	"12.465"	"2.288"	"0.821"
"1962"	"1.617"	"0"	"15.765"	"3.193"	"3.217"	"13.434"	"251.751"	"89.406"	"113.312"	"0"	"5.161"	"3.023"
"1963"	"0.91"	"2.502"	"3.128"	"0.348"	"2.812"	"19.654"	"68.026"	"167.707"	"103.93"	"10.422"	"27.105"	"1.629"
"1964"	"0"	"0"	"0.547"	"0"	"20.572"	"38.024"	"221.673"	"231.847"	"68.687"	"6.409"	"0.039"	"6.205"
"1965"	"5.913"	"1.438"	"6.031"	"1.544"	"0.492"	"12.905"	"306.552"	"103.157"	"24.031"	"4.03"	"0.039"	"0.4"
"1966"	"0"	"0.183"	"0"	"0"	"15.914"	"49.175"	"191.453"	"239.483"	"79.71"	"0"	"22.862"	"0.478"
"1967"	"0"	"0"	"50.2"	"0.277"	"5.947"	"102.316"	"233.313"	"224.185"	"188.78"	"27.233"	"0.039"	"9.852"
"1968"	"1.848"	"1.679"	"12.542"	"0.326"	"3.443"	"6.259"	"197.657"	"89.668"	"14.912"	"3.689"	"0.039"	"0"
"1969"	"6.052"	"0.872"	"0.312"	"0"	"4.085"	"17.161"	"144.558"	"109.526"	"86.345"	"0"	"5.077"	"0"
"1970"	"3.647"	"3.23"	"3.967"	"4.309"	"15.802"	"107.894"	"96.931"	"339.508"	"152.583"	"0.019"	"0.039"	"0"
"1971"	"1.008"	"6.439"	"0.09"	"3.446"	"16.606"	"115.404"	"127.777"	"114.585"	"70.72"	"10.706"	"1.143"	"0"
"1972"	"0.17"	"1.303"	"0"	"3.073"	"5.646"	"52.244"	"39.111"	"299.973"	"36.231"	"0"	"4.887"	"0.804"
"1973"	"1.781"	"3.295"	"0"	"0"	"21.649"	"78.826"	"153.204"	"447.305"	"115.962"	"9.203"	"0.039"	"0.004"
"1974"	"0"	"1.02"	"0.07"	"5.726"	"42.862"	"88.15"	"206.299"	"73.94"	"30.112"	"32.999"	"0.039"	"5.585"
"1975"	"0.189"	"0.485"	"1.06"	"0"	"5.968"	"171.267"	"423.157"	"232.229"	"150.116"	"13.705"	"0.039"	"0"
"1976"	"4.841"	"7.328"	"0.055"	"4.265"	"0.413"	"45.112"	"145.546"	"216.861"	"239.555"	"0"	"17.161"	"0.507"
"1977"	"11.039"	"0.082"	"2.533"	"11.08"	"2.957"	"142.619"	"224.017"	"109.366"	"75.005"	"5.461"	"10.363"	"0"
