
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.74"	"3.51"	"5.24"	"6.49"	"7.35"	"7.06"	"5.55"	"4.53"	"4.83"	"4.96"	"3.66"	"2.95"
"1902"	"2.99"	"3.79"	"5.49"	"6.69"	"7.29"	"6.81"	"5.45"	"4.69"	"4.71"	"4.75"	"3.58"	"2.83"
"1903"	"2.89"	"3.6"	"4.89"	"6.3"	"7.19"	"7.08"	"5.5"	"4.54"	"4.72"	"4.75"	"3.46"	"2.77"
"1904"	"2.86"	"3.74"	"5.03"	"6.66"	"7.26"	"6.76"	"5.23"	"4.45"	"4.76"	"4.76"	"3.57"	"2.82"
"1905"	"2.74"	"3.18"	"4.79"	"6.23"	"7.53"	"6.92"	"5.43"	"4.65"	"4.88"	"4.88"	"3.76"	"2.89"
"1906"	"2.76"	"3.47"	"4.99"	"6.42"	"7.5"	"6.79"	"5.33"	"4.64"	"4.66"	"4.78"	"3.68"	"2.89"
"1907"	"3.02"	"3.57"	"4.96"	"6.32"	"7.02"	"6.89"	"5.61"	"4.41"	"4.65"	"4.75"	"3.66"	"2.77"
"1908"	"2.86"	"3.69"	"5.04"	"6.57"	"7.23"	"6.86"	"5.12"	"4.37"	"4.62"	"4.66"	"3.51"	"2.78"
"1909"	"2.82"	"3.61"	"5.22"	"6.31"	"7.06"	"6.75"	"5.16"	"4.38"	"4.58"	"4.71"	"3.65"	"2.75"
"1910"	"2.82"	"3.72"	"5.14"	"6.29"	"7.23"	"6.65"	"5.19"	"4.45"	"4.7"	"4.61"	"3.45"	"2.8"
"1911"	"2.97"	"3.76"	"4.88"	"6.45"	"7.42"	"6.74"	"5.55"	"4.7"	"4.67"	"4.81"	"3.45"	"2.87"
"1912"	"2.99"	"3.86"	"5.05"	"6.56"	"7.34"	"7"	"5.33"	"4.44"	"4.61"	"4.72"	"3.48"	"2.82"
"1913"	"2.92"	"3.68"	"4.87"	"6.66"	"7.11"	"6.66"	"5.25"	"4.54"	"4.75"	"4.88"	"3.6"	"2.8"
"1914"	"3.07"	"3.62"	"5.04"	"6.55"	"7.48"	"6.71"	"5.28"	"4.52"	"4.75"	"4.75"	"3.6"	"2.76"
"1915"	"2.86"	"3.53"	"5.15"	"6.44"	"7.41"	"6.98"	"5.6"	"4.65"	"4.98"	"4.94"	"3.59"	"2.9"
"1916"	"2.99"	"3.56"	"5.42"	"6.61"	"7.19"	"6.63"	"5.53"	"4.45"	"4.66"	"4.58"	"3.38"	"2.75"
"1917"	"2.95"	"3.72"	"5.06"	"6.13"	"6.8"	"6.54"	"5.1"	"4.36"	"4.53"	"4.48"	"3.35"	"2.8"
"1918"	"2.76"	"3.76"	"5.1"	"6.2"	"7.37"	"6.72"	"5.46"	"4.63"	"4.7"	"4.82"	"3.61"	"2.74"
"1919"	"2.89"	"3.62"	"5.15"	"6.36"	"7.16"	"6.9"	"5.26"	"4.44"	"4.61"	"4.71"	"3.53"	"2.77"
"1920"	"2.87"	"3.63"	"5.18"	"6.35"	"6.74"	"6.43"	"5.14"	"4.44"	"4.86"	"4.87"	"3.67"	"2.84"
"1921"	"2.92"	"3.72"	"5.43"	"6.76"	"7.36"	"6.94"	"5.56"	"4.48"	"4.62"	"4.71"	"3.58"	"2.95"
"1922"	"2.84"	"3.85"	"5.21"	"6.59"	"7.19"	"6.76"	"5.33"	"4.48"	"4.63"	"4.72"	"3.54"	"2.8"
"1923"	"2.88"	"3.61"	"5.24"	"6.54"	"7.12"	"6.96"	"5.32"	"4.37"	"4.71"	"4.69"	"3.49"	"2.83"
"1924"	"2.81"	"3.69"	"5.37"	"6.59"	"6.93"	"6.89"	"5.38"	"4.49"	"4.54"	"4.57"	"3.43"	"2.82"
"1925"	"2.69"	"3.47"	"5.23"	"6.79"	"7.16"	"6.45"	"5.14"	"4.65"	"4.88"	"4.93"	"3.56"	"2.86"
"1926"	"2.92"	"3.94"	"5.03"	"6.1"	"7"	"7.02"	"5.38"	"4.5"	"4.58"	"4.65"	"3.37"	"2.74"
"1927"	"2.7"	"3.47"	"4.95"	"6.37"	"7.12"	"6.85"	"5.26"	"4.38"	"4.61"	"4.73"	"3.43"	"2.85"
"1928"	"2.86"	"3.74"	"5.23"	"6.49"	"7.36"	"6.83"	"5.34"	"4.56"	"4.66"	"4.76"	"3.57"	"2.76"
"1929"	"2.83"	"3.55"	"5.4"	"6.59"	"7.26"	"6.82"	"5.23"	"4.44"	"4.72"	"4.75"	"3.63"	"2.69"
"1930"	"2.83"	"3.66"	"5.21"	"6.38"	"7.15"	"6.74"	"5.17"	"4.47"	"4.9"	"4.86"	"3.51"	"2.85"
"1931"	"3"	"3.49"	"5.08"	"6.7"	"7.26"	"7"	"5.37"	"4.51"	"4.67"	"4.66"	"3.54"	"2.89"
"1932"	"3.14"	"3.67"	"5.2"	"6.42"	"7.22"	"6.91"	"5.31"	"4.39"	"4.81"	"4.8"	"3.5"	"2.9"
"1933"	"2.8"	"3.71"	"5.14"	"6.3"	"6.89"	"6.68"	"5.25"	"4.36"	"4.59"	"4.63"	"3.54"	"2.84"
"1934"	"2.73"	"3.86"	"5.03"	"6.48"	"7.17"	"6.77"	"5.23"	"4.43"	"4.64"	"4.61"	"3.5"	"2.89"
"1935"	"2.69"	"3.69"	"5.13"	"6.11"	"7.23"	"6.91"	"5.23"	"4.47"	"4.64"	"4.61"	"3.58"	"2.83"
"1936"	"2.75"	"3.74"	"5.03"	"6.41"	"7.49"	"6.58"	"5.24"	"4.5"	"4.69"	"4.77"	"3.57"	"2.81"
"1937"	"2.83"	"3.76"	"4.95"	"6.43"	"7.26"	"6.94"	"5.19"	"4.55"	"4.73"	"4.69"	"3.62"	"2.71"
"1938"	"2.82"	"3.55"	"5.34"	"6.6"	"7.43"	"6.52"	"5.32"	"4.6"	"4.86"	"4.87"	"3.48"	"2.87"
"1939"	"2.98"	"3.69"	"4.8"	"6.24"	"7.24"	"6.68"	"5.33"	"4.74"	"4.77"	"4.87"	"3.59"	"2.92"
"1940"	"2.96"	"3.67"	"4.96"	"6.37"	"7.35"	"6.8"	"5.37"	"4.43"	"4.66"	"4.81"	"3.67"	"2.81"
"1941"	"2.83"	"3.82"	"5.41"	"6.75"	"7.33"	"6.78"	"5.37"	"4.61"	"4.8"	"5.05"	"3.66"	"2.94"
"1942"	"2.8"	"3.76"	"5.34"	"6.76"	"7.26"	"6.99"	"5.18"	"4.4"	"4.62"	"4.74"	"3.6"	"2.74"
"1943"	"2.86"	"3.7"	"5.29"	"6.4"	"7.35"	"6.76"	"5.25"	"4.37"	"4.67"	"4.7"	"3.59"	"2.92"
"1944"	"2.85"	"3.65"	"5.05"	"6.41"	"7.29"	"6.71"	"5.27"	"4.41"	"4.67"	"4.61"	"3.59"	"2.89"
"1945"	"2.65"	"3.61"	"5.24"	"6.36"	"7.12"	"6.77"	"5.15"	"4.5"	"4.61"	"4.63"	"3.5"	"2.68"
"1946"	"2.89"	"3.87"	"5.08"	"6.84"	"7.24"	"6.8"	"5.27"	"4.37"	"4.59"	"4.78"	"3.48"	"2.8"
"1947"	"2.77"	"3.7"	"5.26"	"6.59"	"7.35"	"6.97"	"5.45"	"4.57"	"4.59"	"4.58"	"3.63"	"2.86"
"1948"	"2.84"	"3.61"	"5.12"	"6.63"	"7.47"	"6.93"	"5.34"	"4.44"	"4.68"	"4.83"	"3.51"	"2.88"
"1949"	"3.04"	"3.74"	"5.24"	"6.72"	"7.53"	"6.75"	"5.26"	"4.53"	"4.89"	"4.75"	"3.47"	"2.77"
"1950"	"2.95"	"3.46"	"5.07"	"6.37"	"7.27"	"6.85"	"5.2"	"4.41"	"4.62"	"4.66"	"3.43"	"2.66"
"1951"	"2.8"	"3.59"	"5.06"	"6.24"	"7.16"	"6.67"	"5.49"	"4.49"	"4.86"	"5.05"	"3.69"	"2.86"
"1952"	"2.94"	"3.85"	"5.12"	"6.66"	"7.46"	"6.76"	"5.25"	"4.4"	"4.7"	"4.89"	"3.55"	"2.86"
"1953"	"2.83"	"3.93"	"5.47"	"6.44"	"7.2"	"6.83"	"5.34"	"4.45"	"4.69"	"4.73"	"3.54"	"3.02"
"1954"	"2.83"	"3.81"	"5.16"	"6.55"	"7.37"	"6.89"	"5.32"	"4.44"	"4.68"	"4.56"	"3.59"	"2.83"
"1955"	"2.86"	"3.74"	"5.43"	"6.22"	"7.13"	"6.83"	"5.35"	"4.49"	"4.59"	"4.55"	"3.43"	"2.85"
"1956"	"2.85"	"3.65"	"5.15"	"6.41"	"7.44"	"6.75"	"5.08"	"4.38"	"4.73"	"4.49"	"3.41"	"2.85"
"1957"	"2.78"	"3.54"	"5"	"6.32"	"6.98"	"6.79"	"5.31"	"4.37"	"4.69"	"4.75"	"3.75"	"2.87"
"1958"	"3.05"	"3.76"	"5.31"	"6.77"	"7.26"	"6.92"	"5.22"	"4.64"	"4.57"	"4.65"	"3.62"	"2.92"
"1959"	"2.84"	"3.63"	"5.33"	"6.51"	"7.16"	"6.73"	"5.23"	"4.4"	"4.61"	"4.77"	"3.55"	"2.89"
"1960"	"2.83"	"3.9"	"5"	"6.26"	"7.17"	"6.81"	"5.32"	"4.42"	"4.78"	"4.71"	"3.5"	"2.87"
"1961"	"2.79"	"3.42"	"5.13"	"6.32"	"7.12"	"6.7"	"5.16"	"4.44"	"4.54"	"4.54"	"3.51"	"2.7"
"1962"	"2.77"	"3.73"	"5.25"	"6.45"	"7.04"	"6.65"	"5.15"	"4.36"	"4.38"	"4.5"	"3.43"	"2.82"
"1963"	"2.95"	"4"	"5.2"	"6.42"	"7.17"	"6.82"	"5.49"	"4.36"	"4.7"	"4.82"	"3.72"	"2.92"
"1964"	"2.76"	"3.69"	"5.38"	"6.78"	"7.16"	"6.51"	"5.1"	"4.53"	"4.68"	"4.78"	"3.51"	"2.77"
"1965"	"3.06"	"3.78"	"5.15"	"6.34"	"6.98"	"6.84"	"5.27"	"4.53"	"4.62"	"4.87"	"3.77"	"2.82"
"1966"	"3.05"	"4.06"	"5.18"	"6.46"	"7.3"	"6.77"	"5.53"	"4.44"	"4.6"	"4.85"	"3.61"	"2.8"
"1967"	"2.72"	"3.92"	"4.97"	"6.25"	"7.06"	"6.73"	"5.37"	"4.28"	"4.5"	"4.58"	"3.63"	"2.87"
"1968"	"2.83"	"3.49"	"5.2"	"6.43"	"7"	"6.86"	"5.31"	"4.45"	"5.02"	"4.72"	"3.58"	"2.84"
"1969"	"2.86"	"3.71"	"5.61"	"6.43"	"7.07"	"6.8"	"5.28"	"4.57"	"4.75"	"4.88"	"3.71"	"2.97"
"1970"	"2.95"	"3.65"	"5.09"	"6.74"	"7.45"	"6.75"	"5.51"	"4.52"	"4.58"	"4.88"	"3.55"	"2.87"
"1971"	"2.82"	"3.7"	"5.12"	"6.69"	"7"	"6.46"	"4.99"	"4.41"	"4.88"	"4.67"	"3.57"	"2.9"
"1972"	"2.89"	"3.4"	"5.35"	"6.41"	"7.24"	"6.79"	"5.62"	"4.6"	"4.55"	"4.65"	"3.56"	"2.83"
"1973"	"2.66"	"3.82"	"5.12"	"6.95"	"7.52"	"6.81"	"5.29"	"4.37"	"4.61"	"4.71"	"3.57"	"2.76"
"1974"	"2.73"	"3.52"	"5.42"	"6.7"	"7.53"	"6.7"	"5.32"	"4.73"	"4.99"	"4.75"	"3.57"	"2.74"
"1975"	"2.77"	"3.55"	"4.91"	"6.55"	"7.52"	"6.61"	"5.18"	"4.47"	"4.31"	"4.65"	"3.46"	"2.89"
"1976"	"2.94"	"3.66"	"5.14"	"6.46"	"7.23"	"6.58"	"5.3"	"4.35"	"4.52"	"4.83"	"3.69"	"2.84"
"1977"	"2.77"	"3.89"	"5.55"	"6.48"	"7.09"	"6.5"	"5"	"4.36"	"4.47"	"4.81"	"3.77"	"2.98"
"1978"	"2.83"	"3.55"	"4.91"	"6.51"	"7.61"	"6.83"	"4.97"	"4.33"	"4.53"	"4.75"	"3.54"	"2.82"
"1979"	"2.91"	"3.53"	"4.83"	"6.43"	"6.77"	"6.75"	"5.21"	"4.57"	"4.72"	"4.79"	"3.69"	"2.9"
"1980"	"2.84"	"3.82"	"5.08"	"6.73"	"7.29"	"6.45"	"5.23"	"4.52"	"4.67"	"4.84"	"3.67"	"2.83"
"1981"	"2.84"	"3.79"	"5.07"	"6.68"	"7.16"	"6.84"	"5.22"	"4.41"	"4.77"	"4.85"	"3.42"	"2.81"
"1982"	"2.84"	"3.49"	"4.82"	"6.26"	"6.74"	"6.8"	"5.37"	"4.43"	"4.86"	"4.83"	"3.45"	"2.87"
"1983"	"2.8"	"3.56"	"5.05"	"5.98"	"6.9"	"6.61"	"5.36"	"4.52"	"4.71"	"4.6"	"3.45"	"2.84"
"1984"	"2.79"	"3.4"	"5.37"	"6.63"	"7.5"	"6.76"	"5.29"	"4.41"	"4.53"	"4.68"	"3.49"	"2.72"
"1985"	"2.81"	"3.9"	"5.39"	"6.5"	"7.35"	"6.7"	"5.22"	"4.36"	"4.74"	"4.55"	"3.63"	"2.94"
"1986"	"2.86"	"3.57"	"5.14"	"6.64"	"7.13"	"6.83"	"5.27"	"4.39"	"4.76"	"4.82"	"3.68"	"2.72"
"1987"	"3.01"	"3.85"	"5.29"	"6.56"	"6.77"	"6.83"	"5.37"	"4.73"	"4.89"	"4.87"	"3.78"	"2.84"
"1988"	"2.95"	"3.88"	"5.14"	"6.72"	"7.54"	"6.74"	"5.15"	"4.41"	"4.68"	"4.78"	"3.61"	"2.93"
"1989"	"2.78"	"3.57"	"5.16"	"6.52"	"7.23"	"6.61"	"5.3"	"4.43"	"4.75"	"4.79"	"3.68"	"2.84"
"1990"	"3.05"	"3.61"	"5.02"	"6.57"	"7.2"	"6.7"	"5.21"	"4.48"	"4.64"	"4.63"	"3.61"	"2.8"
"1991"	"2.83"	"3.7"	"5.2"	"6.38"	"7.09"	"6.89"	"5.37"	"4.48"	"4.66"	"4.71"	"3.54"	"2.89"
"1992"	"2.89"	"3.58"	"5.11"	"6.39"	"7.16"	"7.04"	"5.31"	"4.43"	"4.57"	"4.67"	"3.55"	"2.93"
"1993"	"2.89"	"3.81"	"5.05"	"6.52"	"7.34"	"6.73"	"5.18"	"4.64"	"4.68"	"4.88"	"3.69"	"2.93"
"1994"	"2.99"	"3.68"	"5.4"	"6.38"	"7.42"	"6.8"	"5.1"	"4.37"	"4.57"	"4.65"	"3.62"	"2.89"
"1995"	"2.79"	"3.72"	"4.99"	"6.46"	"7.33"	"7.08"	"5.29"	"4.43"	"4.74"	"4.87"	"3.61"	"2.93"
"1996"	"2.86"	"3.77"	"5.43"	"6.54"	"7.14"	"6.61"	"5.29"	"4.37"	"4.66"	"4.73"	"3.51"	"2.85"
"1997"	"2.84"	"3.72"	"5.13"	"6.28"	"6.84"	"6.53"	"5.31"	"4.47"	"4.66"	"4.46"	"3.54"	"2.7"
"1998"	"2.87"	"3.76"	"5.02"	"6.63"	"7.41"	"6.84"	"5.31"	"4.68"	"4.76"	"4.78"	"3.71"	"2.96"
"1999"	"2.84"	"3.78"	"5.23"	"6.79"	"7.31"	"6.67"	"5.28"	"4.5"	"4.73"	"4.79"	"3.76"	"2.89"
"2000"	"2.99"	"3.62"	"5.15"	"6.79"	"7.29"	"6.76"	"5.2"	"4.59"	"4.74"	"4.83"	"3.74"	"2.96"
"2001"	"2.86"	"3.77"	"5.22"	"6.51"	"7.17"	"6.49"	"5.08"	"4.51"	"4.91"	"4.87"	"3.71"	"2.95"
"2002"	"2.89"	"3.68"	"5.31"	"6.79"	"7.46"	"6.88"	"5.45"	"4.59"	"4.82"	"4.85"	"3.73"	"3.03"
