
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.0001"	"0.6935"	"0.1819"	"0.292"	"1.0031"	"2.0719"	"9.1153"	"7.5046"	"1.0578"	"1.6131"	"0.0394"	"1.0001"
"1902"	"0.7733"	"0"	"0.0041"	"0.0397"	"0.1749"	"3.9806"	"5.8423"	"7.664"	"4.1062"	"0.9023"	"1.34"	"0.5147"
"1903"	"0.3373"	"0.0891"	"0.5969"	"0"	"1.5225"	"0.97"	"10.3253"	"10.006"	"5.8317"	"1.1164"	"0.0394"	"0"
"1904"	"0.429"	"1.0065"	"1.0001"	"0"	"1.1179"	"3.1602"	"6.3774"	"6.4378"	"4.4971"	"1.1766"	"1.2359"	"1.0001"
"1905"	"1.0001"	"1.0106"	"1.0001"	"1.0001"	"0.8607"	"1.6895"	"6.5249"	"1.7938"	"3.8383"	"0"	"0.0394"	"0.1898"
"1906"	"0"	"1.0239"	"0.9938"	"0"	"0.9496"	"3.2512"	"8.7415"	"6.316"	"6.0009"	"0.0591"	"0.0394"	"1.0001"
"1907"	"1.0001"	"1.0155"	"0.657"	"1.0001"	"1.0031"	"1.3035"	"6.5922"	"12.1747"	"0.9426"	"0"	"0.4353"	"0"
"1908"	"1.0001"	"0"	"0"	"0.4226"	"1.0031"	"1.9453"	"13.6329"	"13.4887"	"9.0175"	"0.8527"	"1.2619"	"0.1898"
"1909"	"1.0001"	"0.2231"	"0"	"1.0001"	"1.101"	"2.952"	"11.7004"	"5.5609"	"7.3421"	"0"	"0.0394"	"1.0001"
"1910"	"1.0001"	"0.6969"	"0"	"1.0001"	"0.821"	"4.4294"	"6.2701"	"11.1028"	"3.197"	"1.1992"	"0.5785"	"0"
"1911"	"1.0001"	"0"	"1.0001"	"0"	"0.0041"	"2.9152"	"1.9898"	"4.0287"	"5.712"	"0.0002"	"2.6155"	"0.8331"
"1912"	"0.9387"	"0.0892"	"0.0871"	"0.8591"	"0.9496"	"3.1563"	"9.1401"	"11.2203"	"3.9535"	"1.23"	"2.1304"	"0.4086"
"1913"	"0"	"0.9951"	"0.9395"	"0"	"1.5159"	"3.2839"	"5.8496"	"5.7042"	"4.4283"	"0"	"0.047"	"0.9074"
"1914"	"0"	"1.0065"	"0.1834"	"1.0001"	"1.2754"	"4.2358"	"7.381"	"7.9748"	"5.0272"	"1.159"	"1.2619"	"0.3987"
"1915"	"1.0001"	"1.0192"	"1.0001"	"1.0001"	"0.9852"	"2.1834"	"5.7741"	"4.2269"	"3.1296"	"2.1926"	"0.1821"	"0.3396"
"1916"	"0"	"0.7333"	"0.1834"	"0.1978"	"1.8674"	"2.8758"	"6.3802"	"12.5937"	"5.7514"	"1.3891"	"0.9857"	"0"
"1917"	"0.9556"	"1.0065"	"0.2825"	"1.0001"	"3.0446"	"5.1582"	"9.9525"	"15.5717"	"7.7406"	"2.0354"	"0.0394"	"1.0001"
"1918"	"0.8842"	"0"	"1.0001"	"0"	"1.1679"	"1.6816"	"2.1818"	"6.0982"	"1.3408"	"0"	"1.0707"	"0"
"1919"	"1.0001"	"0"	"0.2864"	"1.0001"	"1.0609"	"1.199"	"9.4283"	"9.6209"	"3.5643"	"0.9044"	"1.8277"	"0.8124"
"1920"	"1.0001"	"1.0065"	"0.9982"	"0"	"2.0315"	"5.6789"	"8.1139"	"4.2563"	"1.4036"	"0"	"0.0394"	"0"
