
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.639"	"18.646"	"29.268"	"24.609"	"26.554"	"43.019"	"61.621"	"60.829"	"40.002"	"17.17"	"11.3"	"16.633"
"1902"	"22.885"	"18.878"	"29.562"	"24.609"	"26.554"	"42.584"	"61.782"	"60.646"	"39.437"	"17.099"	"11.3"	"16.633"
"1903"	"22.885"	"18.878"	"29.62"	"24.609"	"26.614"	"43.182"	"61.812"	"61.27"	"40.017"	"16.37"	"11.3"	"16.633"
"1904"	"22.778"	"18.878"	"29.569"	"24.547"	"26.484"	"43.019"	"61.089"	"60.883"	"39.977"	"17.099"	"11.3"	"16.633"
"1905"	"22.885"	"18.878"	"29.562"	"24.609"	"26.554"	"43.019"	"61.808"	"61.27"	"39.715"	"17.099"	"11.3"	"16.633"
"1906"	"22.885"	"18.878"	"29.233"	"24.609"	"26.554"	"43.019"	"61.812"	"60.983"	"40.017"	"16.255"	"11.3"	"16.633"
"1907"	"22.885"	"18.878"	"29.336"	"24.609"	"26.554"	"43.508"	"61.757"	"61.043"	"40.017"	"17.769"	"12.22"	"16.765"
"1908"	"22.885"	"18.878"	"29.562"	"24.688"	"26.505"	"42.928"	"61.726"	"60.755"	"39.904"	"17.099"	"11.3"	"16.633"
"1909"	"22.448"	"18.878"	"29.562"	"24.585"	"25.994"	"42.954"	"61.812"	"60.709"	"39.36"	"16.955"	"11.289"	"16.633"
"1910"	"22.885"	"18.878"	"29.562"	"24.609"	"26.237"	"43.019"	"61.588"	"60.784"	"40.017"	"17.099"	"11.3"	"16.633"
"1911"	"22.885"	"18.878"	"29.562"	"24.609"	"26.554"	"43.143"	"61.584"	"60.913"	"40.017"	"17.099"	"10.904"	"16.633"
"1912"	"22.885"	"18.878"	"29.132"	"23.952"	"26.554"	"43.029"	"60.721"	"60.811"	"39.36"	"16.448"	"10.704"	"16.633"
"1913"	"22.916"	"18.878"	"29.325"	"24.527"	"25.878"	"42.743"	"61.304"	"60.983"	"39.364"	"16.975"	"11.3"	"16.633"
"1914"	"22.647"	"18.878"	"29.191"	"24.3"	"25.982"	"42.587"	"60.753"	"60.958"	"39.155"	"16.271"	"11.542"	"16.53"
"1915"	"22.846"	"19.095"	"28.818"	"24.608"	"25.347"	"42.291"	"61.182"	"60.446"	"38.865"	"16.271"	"10.694"	"16.633"
"1916"	"23.05"	"18.878"	"29.562"	"24.609"	"26.554"	"43.019"	"60.953"	"61.184"	"40.017"	"16.409"	"10.969"	"16.633"
"1917"	"22.359"	"18.277"	"29.164"	"23.579"	"25.677"	"42.15"	"60.807"	"60.553"	"39.348"	"16.802"	"10.893"	"16.633"
"1918"	"22.885"	"18.878"	"29.562"	"24.609"	"25.361"	"42.651"	"61.045"	"60.723"	"38.865"	"16.292"	"11.3"	"16.898"
"1919"	"22.881"	"18.825"	"29.562"	"23.836"	"26.374"	"43.019"	"61.453"	"60.741"	"39.155"	"15.771"	"10.294"	"16.511"
"1920"	"23.244"	"18.878"	"29.309"	"24.603"	"26.554"	"43.099"	"61.969"	"60.107"	"40.017"	"15.518"	"11.422"	"16.576"
"1921"	"22.885"	"18.878"	"29.552"	"24.609"	"26.554"	"42.742"	"60.712"	"60.496"	"39.977"	"15.968"	"10.694"	"16.523"
"1922"	"23.005"	"18.878"	"29.562"	"24.598"	"26.554"	"43.174"	"61.812"	"60.709"	"39.78"	"16.545"	"11.036"	"16.633"
"1923"	"22.885"	"18.878"	"29.562"	"24.605"	"26.237"	"43.801"	"61.819"	"61.379"	"40.017"	"16.17"	"10.233"	"15.122"
"1924"	"21.73"	"18.056"	"29.562"	"24.254"	"26.554"	"43.019"	"61.812"	"61.053"	"39.904"	"16.069"	"10.793"	"16.554"
"1925"	"22.885"	"17.949"	"28.501"	"23.852"	"25.203"	"42.477"	"61.107"	"60.123"	"38.706"	"16.892"	"10.294"	"15.304"
"1926"	"22.355"	"18.878"	"29.164"	"25.336"	"25.994"	"43.019"	"61.812"	"61.027"	"40.017"	"16.214"	"11.3"	"16.546"
"1927"	"23.221"	"18.878"	"28.935"	"24.609"	"26.543"	"42.954"	"61.808"	"60.953"	"39.869"	"17.099"	"11.3"	"16.633"
"1928"	"22.885"	"18.878"	"29.62"	"24.609"	"26.554"	"43.019"	"61.745"	"61.264"	"39.922"	"17.099"	"11.3"	"16.735"
"1929"	"22.292"	"18.754"	"28.824"	"23.476"	"26.083"	"43.019"	"62.281"	"60.484"	"39.698"	"16.271"	"11.3"	"17.434"
"1930"	"22.499"	"18.878"	"28.536"	"24.568"	"25.865"	"43.707"	"62.169"	"61.094"	"40.643"	"17.233"	"10.194"	"16.46"
"1931"	"18.809"	"20.928"	"23.105"	"14.435"	"19.528"	"27.561"	"56.419"	"58.894"	"37.626"	"20.195"	"0.676"	"9.723"
"1932"	"18.303"	"11.212"	"24.859"	"15.705"	"20.299"	"36.865"	"57.358"	"59.134"	"29.841"	"5.844"	"0"	"12.196"
"1933"	"19.908"	"15.742"	"24.861"	"24.365"	"29.423"	"39.711"	"60.824"	"65.094"	"44.142"	"13.076"	"2.264"	"12.255"
"1934"	"20.659"	"8.748"	"27.79"	"13.873"	"20.073"	"37.814"	"60.171"	"60.513"	"31.645"	"0.116"	"7.22"	"16.607"
"1935"	"22.989"	"24.21"	"22.857"	"25.98"	"18.18"	"19.195"	"55.861"	"58.603"	"33.038"	"7.457"	"5.051"	"14.152"
"1936"	"13.577"	"19.387"	"25.515"	"16.674"	"22.657"	"47.155"	"60.311"	"58.034"	"36.622"	"13.967"	"5.973"	"21.113"
