
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1902"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1903"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.66"	"10.281"	"14.739"	"15.812"	"15.481"
"1904"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1905"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1906"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1907"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.572"	"15.812"	"15.481"
"1908"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.284"	"14.739"	"15.812"	"15.481"
"1909"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1910"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1911"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1912"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1913"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1914"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.696"	"15.481"
"1915"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1916"	"14.87"	"14.879"	"15.589"	"15.347"	"14.496"	"11.94"	"8.852"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1917"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1918"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1919"	"15.111"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.628"
"1920"	"14.87"	"14.851"	"15.577"	"15.221"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1921"	"14.87"	"14.879"	"15.465"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.896"	"15.812"	"15.481"
"1922"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.945"	"15.812"	"15.481"
"1923"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1924"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.833"	"15.812"	"15.481"
"1925"	"14.848"	"14.879"	"15.567"	"15.353"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1926"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.816"	"15.481"
"1927"	"14.826"	"14.879"	"15.623"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1928"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.823"	"15.364"
"1929"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1930"	"14.87"	"14.779"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1931"	"14.87"	"14.875"	"15.567"	"15.353"	"14.496"	"11.94"	"8.562"	"7.638"	"10.284"	"14.739"	"15.812"	"15.481"
"1932"	"14.87"	"14.879"	"15.642"	"15.347"	"14.496"	"11.94"	"8.562"	"7.593"	"10.281"	"14.739"	"15.812"	"15.481"
"1933"	"15.338"	"14.835"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.741"	"15.481"
"1934"	"14.87"	"14.99"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1935"	"14.87"	"14.879"	"15.567"	"15.347"	"14.584"	"11.93"	"8.562"	"7.648"	"10.302"	"14.739"	"15.812"	"15.481"
"1936"	"14.87"	"15.381"	"15.571"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.833"	"15.812"	"15.481"
"1937"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.761"	"10.281"	"14.739"	"15.812"	"15.846"
"1938"	"14.87"	"14.89"	"15.567"	"15.347"	"14.496"	"11.94"	"8.518"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1939"	"14.87"	"14.879"	"15.567"	"15.347"	"14.505"	"11.944"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1940"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1941"	"14.87"	"14.879"	"15.66"	"15.212"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1942"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1943"	"14.87"	"14.879"	"15.567"	"15.347"	"14.399"	"11.94"	"8.594"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1944"	"14.87"	"14.879"	"15.567"	"15.353"	"14.496"	"11.94"	"8.843"	"7.638"	"10.281"	"14.739"	"15.812"	"15.477"
"1945"	"14.87"	"14.879"	"15.567"	"15.347"	"14.496"	"11.94"	"8.562"	"7.638"	"10.281"	"14.739"	"15.812"	"15.481"
"1946"	"14.874"	"14.879"	"15.567"	"15.347"	"14.496"	"11.944"	"8.562"	"7.638"	"10.291"	"14.739"	"15.812"	"15.481"
