
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.5014"	"1.832"	"0.0861"	"0.3682"	"0.1221"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0336"
"1902"	"0"	"0"	"0"	"0"	"0"	"0.0506"	"0"	"0"	"0"	"0"	"0.0246"	"2.3001"
"1903"	"0.6033"	"0.8988"	"0.5067"	"0.5202"	"0.1352"	"0"	"0"	"0"	"0"	"0.0685"	"0.2337"	"3.1169"
"1904"	"2.7533"	"0.0925"	"0.3145"	"0"	"0.0374"	"0"	"0.0686"	"0.0142"	"0.0047"	"0.04"	"0.1642"	"1.4661"
"1905"	"5.6719"	"2.945"	"0.8796"	"0.6619"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0802"
"1906"	"4.1348"	"1.8797"	"0.7371"	"0.2669"	"0"	"0.0007"	"0"	"0"	"0.0231"	"0"	"0"	"0"
"1907"	"0"	"1.9502"	"0.7513"	"0.6831"	"0.2621"	"0"	"0"	"0.0622"	"0"	"0"	"0"	"3.0563"
"1908"	"1.8277"	"0.3743"	"0.2001"	"0"	"0.0114"	"0"	"0.092"	"0.2026"	"0.0098"	"0.1128"	"0.1869"	"3.095"
"1909"	"3.8515"	"1.2869"	"0.0508"	"0.6424"	"0.1002"	"0.103"	"0.1625"	"0.169"	"0.0431"	"0.0288"	"0"	"3.5951"
"1910"	"3.0563"	"0.2397"	"0.1008"	"0.4899"	"0"	"0.0574"	"0.0064"	"0.0026"	"0"	"0.4308"	"0.2807"	"1.9017"
"1911"	"0"	"0.0429"	"0.6712"	"0.2451"	"0"	"0"	"0"	"0"	"0.0363"	"0"	"0.3933"	"2.5483"
"1912"	"0.0862"	"0"	"0.3398"	"0.0398"	"0"	"0"	"0"	"0.001"	"0.1212"	"0"	"0.2646"	"1.7056"
"1913"	"0.2793"	"0.5011"	"0.7545"	"0"	"0.221"	"0.2348"	"0.0111"	"0"	"0"	"0"	"0.0847"	"1.8704"
"1914"	"0"	"0.9463"	"0.305"	"0.0865"	"0"	"0.083"	"0.0365"	"0"	"0"	"0.3315"	"0"	"3.3742"
"1915"	"1.2643"	"1.8415"	"0.2113"	"0.1775"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.8483"
