
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.63"	"5.34"	"6.67"	"8"	"8.68"	"8.2"	"6.72"	"5.87"	"6.36"	"6.88"	"5.96"	"4.97"
"1902"	"4.79"	"5.54"	"6.82"	"8.14"	"8.78"	"8.17"	"6.56"	"5.89"	"6.41"	"6.81"	"5.93"	"4.9"
"1903"	"4.71"	"5.49"	"6.59"	"7.92"	"8.59"	"8.19"	"6.74"	"5.87"	"6.4"	"6.83"	"5.88"	"4.86"
"1904"	"4.66"	"5.52"	"6.59"	"8.05"	"8.75"	"8.21"	"6.61"	"5.77"	"6.34"	"6.81"	"5.88"	"4.97"
"1905"	"4.69"	"5.14"	"6.38"	"7.76"	"8.67"	"8.25"	"6.69"	"5.85"	"6.42"	"6.83"	"6"	"5.03"
"1906"	"4.7"	"5.35"	"6.53"	"7.89"	"8.8"	"8.21"	"6.61"	"5.88"	"6.33"	"6.8"	"5.96"	"4.96"
"1907"	"4.89"	"5.44"	"6.52"	"7.87"	"8.58"	"8.07"	"6.74"	"5.85"	"6.36"	"6.78"	"5.96"	"4.9"
"1908"	"4.67"	"5.48"	"6.62"	"8.03"	"8.72"	"8.28"	"6.61"	"5.74"	"6.34"	"6.79"	"5.89"	"4.9"
"1909"	"4.68"	"5.39"	"6.68"	"7.95"	"8.69"	"8.17"	"6.5"	"5.78"	"6.32"	"6.77"	"6"	"4.9"
"1910"	"4.64"	"5.48"	"6.69"	"7.93"	"8.73"	"8.18"	"6.59"	"5.81"	"6.4"	"6.78"	"5.83"	"4.86"
"1911"	"4.78"	"5.59"	"6.54"	"7.92"	"8.78"	"8.16"	"6.67"	"5.97"	"6.38"	"6.84"	"5.83"	"4.87"
"1912"	"4.71"	"5.61"	"6.63"	"8"	"8.71"	"8.27"	"6.71"	"5.86"	"6.33"	"6.81"	"5.88"	"4.9"
"1913"	"4.75"	"5.53"	"6.47"	"8.06"	"8.76"	"8.08"	"6.5"	"5.82"	"6.4"	"6.9"	"5.95"	"4.87"
"1914"	"4.86"	"5.52"	"6.59"	"8"	"8.8"	"8.21"	"6.59"	"5.81"	"6.41"	"6.77"	"5.95"	"4.9"
"1915"	"4.72"	"5.34"	"6.62"	"7.93"	"8.8"	"8.23"	"6.71"	"5.88"	"6.43"	"6.94"	"5.95"	"4.96"
"1916"	"4.81"	"5.37"	"6.73"	"8.15"	"8.8"	"8.14"	"6.72"	"5.79"	"6.34"	"6.8"	"5.79"	"4.78"
"1917"	"4.72"	"5.52"	"6.71"	"7.93"	"8.52"	"8.08"	"6.55"	"5.79"	"6.33"	"6.75"	"5.7"	"4.89"
"1918"	"4.62"	"5.49"	"6.7"	"7.83"	"8.76"	"8.16"	"6.68"	"5.94"	"6.44"	"6.85"	"5.96"	"4.86"
"1919"	"4.75"	"5.4"	"6.68"	"8.01"	"8.61"	"8.27"	"6.67"	"5.79"	"6.34"	"6.82"	"5.9"	"4.89"
"1920"	"4.69"	"5.42"	"6.66"	"8.06"	"8.59"	"8.04"	"6.49"	"5.77"	"6.4"	"6.91"	"6"	"4.95"
"1921"	"4.77"	"5.49"	"6.74"	"8.16"	"8.84"	"8.25"	"6.77"	"5.92"	"6.35"	"6.8"	"5.85"	"5.04"
"1922"	"4.69"	"5.55"	"6.73"	"8.08"	"8.78"	"8.16"	"6.62"	"5.84"	"6.35"	"6.8"	"5.89"	"4.9"
"1923"	"4.68"	"5.41"	"6.68"	"8.11"	"8.67"	"8.22"	"6.71"	"5.79"	"6.37"	"6.82"	"5.89"	"4.95"
"1924"	"4.65"	"5.42"	"6.71"	"8.16"	"8.59"	"8.16"	"6.69"	"5.86"	"6.34"	"6.78"	"5.83"	"4.93"
"1925"	"4.62"	"5.28"	"6.59"	"8.14"	"8.88"	"8.09"	"6.41"	"5.78"	"6.44"	"6.89"	"5.9"	"4.9"
"1926"	"4.69"	"5.62"	"6.69"	"7.86"	"8.52"	"8.16"	"6.71"	"5.86"	"6.34"	"6.81"	"5.78"	"4.86"
"1927"	"4.6"	"5.32"	"6.56"	"7.96"	"8.67"	"8.19"	"6.62"	"5.79"	"6.31"	"6.82"	"5.83"	"4.96"
"1928"	"4.69"	"5.49"	"6.7"	"7.96"	"8.76"	"8.24"	"6.6"	"5.87"	"6.4"	"6.82"	"5.98"	"4.9"
"1929"	"4.72"	"5.33"	"6.73"	"8.14"	"8.78"	"8.23"	"6.61"	"5.77"	"6.39"	"6.83"	"5.96"	"4.85"
