
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"13.549"	"6.843"	"3.385"	"0"	"7.943"	"21.414"	"170.132"	"164.859"	"3.194"	"1.996"	"0"	"7.253"
"1902"	"0.175"	"0"	"0.672"	"1.981"	"3.699"	"86.948"	"205.216"	"126.378"	"66.004"	"0.422"	"0"	"0"
"1903"	"1.455"	"0.733"	"1.024"	"0"	"9.296"	"1.986"	"214.295"	"169.319"	"87.048"	"6.782"	"0"	"0.094"
"1904"	"2.369"	"1.965"	"18.685"	"0.015"	"15.228"	"53.435"	"204.877"	"176.12"	"96.477"	"4.526"	"19.575"	"13.588"
"1905"	"14.201"	"15.778"	"2.639"	"6.048"	"0.828"	"21.219"	"103.223"	"4.309"	"53.835"	"0"	"0"	"0.536"
"1906"	"0.175"	"59.28"	"7.11"	"0"	"1.419"	"93.409"	"165.669"	"77.922"	"163.148"	"0"	"0"	"18.127"
"1907"	"6.861"	"48.133"	"3.012"	"28.44"	"7.664"	"6.914"	"62.907"	"265.756"	"0.862"	"0"	"0"	"0"
"1908"	"22.702"	"3.4"	"0"	"1.941"	"8.718"	"16.432"	"468.327"	"410.442"	"140.497"	"1.536"	"1.945"	"0.487"
"1909"	"18.525"	"5.624"	"0"	"31.637"	"22.922"	"90.487"	"352.037"	"77.704"	"164.749"	"0.273"	"0"	"15.079"
"1910"	"8.253"	"4.696"	"0.532"	"7.937"	"0.344"	"58.244"	"145.123"	"169.508"	"87.181"	"9.369"	"0"	"0"
"1911"	"17.428"	"0"	"13.86"	"0.063"	"0.193"	"44.474"	"24.805"	"32.322"	"187.009"	"5.911"	"58.523"	"3.035"
"1912"	"13.741"	"6.101"	"1.103"	"9.203"	"5.329"	"38.527"	"201.035"	"237.755"	"133.893"	"9.161"	"17.209"	"1.217"
"1913"	"0.375"	"24.724"	"3.377"	"0.92"	"23.371"	"78.821"	"85.403"	"55.709"	"31.07"	"0"	"0.198"	"5.145"
"1914"	"0.304"	"7.225"	"0.072"	"12.137"	"13.627"	"64.833"	"253.243"	"112.513"	"152.281"	"6.23"	"19.991"	"0"
"1915"	"12.201"	"20.421"	"30.21"	"11.052"	"1.769"	"28.984"	"92.348"	"77.085"	"47.928"	"18.328"	"0"	"0.02"
"1916"	"0.011"	"13.263"	"0.064"	"1.963"	"15.231"	"47.339"	"166.36"	"335.724"	"119.177"	"8.075"	"0"	"0"
"1917"	"3.334"	"17.699"	"2.707"	"22.042"	"51.102"	"127.642"	"330.433"	"315.218"	"202.216"	"26.439"	"0"	"15.043"
"1918"	"5.797"	"0"	"4.124"	"1.661"	"1.807"	"17.461"	"31.466"	"126.767"	"15.869"	"0"	"0"	"0.142"
"1919"	"24.424"	"0.514"	"1.545"	"24.535"	"7.348"	"6.509"	"200.735"	"228.988"	"37.304"	"0"	"8.339"	"5.174"
"1920"	"6.427"	"11.931"	"6.466"	"0.623"	"26.385"	"119.179"	"251.238"	"65.478"	"18.787"	"0.12"	"0"	"0"
"1921"	"12.611"	"0"	"0"	"1.354"	"0.193"	"18.158"	"98.542"	"163.296"	"143.653"	"2.92"	"0"	"0.049"
"1922"	"6.901"	"0.813"	"0.015"	"1.009"	"0.968"	"46.542"	"177.081"	"128.426"	"144.426"	"1.111"	"0"	"17.771"
"1923"	"3.448"	"27.295"	"1.001"	"0.015"	"6.535"	"2.208"	"266.805"	"248.765"	"61.858"	"2.961"	"0"	"4.901"
"1924"	"12.318"	"11.57"	"0.674"	"0.043"	"10.76"	"22.01"	"149.416"	"183.493"	"193.036"	"10.07"	"2.382"	"24.631"
"1925"	"1.299"	"0"	"0"	"0"	"17.162"	"107.807"	"327.372"	"81.666"	"5.924"	"0.36"	"42.971"	"0"
"1926"	"19.853"	"1.957"	"22.251"	"10.243"	"21.869"	"11.423"	"234.572"	"257.985"	"141.14"	"0"	"2.446"	"0.253"
"1927"	"0"	"19.506"	"6.193"	"2.113"	"12.728"	"14.56"	"221.23"	"310.196"	"42.809"	"12.621"	"12.586"	"14.566"
"1928"	"6.636"	"21.633"	"3.211"	"4.742"	"3.478"	"23.893"	"146.59"	"123.802"	"44.842"	"26.814"	"26.336"	"14.621"
"1929"	"1.005"	"0.218"	"0"	"9.398"	"1.806"	"31.053"	"154.442"	"147.089"	"5.873"	"1.102"	"0"	"13.901"
"1930"	"14.529"	"9.189"	"0"	"2.574"	"14.72"	"91.645"	"315.807"	"93.649"	"26.357"	"13.737"	"0.623"	"0.345"
"1931"	"0.749"	"7.917"	"2.292"	"2.162"	"5.185"	"12.113"	"155.899"	"270.033"	"96.851"	"34.9"	"0"	"0"
"1932"	"0"	"0.327"	"7.462"	"4.501"	"3.283"	"21.571"	"104.945"	"285.42"	"123.629"	"0"	"0"	"0"
"1933"	"0.246"	"16.97"	"4.063"	"16.722"	"36.541"	"195.845"	"111.819"	"436.924"	"162.261"	"12.359"	"0"	"0"
"1934"	"8.539"	"0"	"16.805"	"0"	"1.138"	"103.718"	"168.346"	"248.56"	"23.295"	"0"	"0"	"14.546"
"1935"	"21.18"	"11.92"	"2.374"	"19.391"	"1.883"	"28.462"	"258.182"	"86.334"	"120.102"	"6.386"	"3.681"	"3.752"
"1936"	"0.674"	"14.403"	"12.114"	"1.36"	"2.831"	"210.458"	"163.906"	"182.407"	"85.446"	"0.148"	"11.912"	"16.964"
"1937"	"0"	"49.222"	"0.083"	"7.179"	"5.627"	"29.977"	"180.277"	"34.329"	"122.505"	"1.283"	"2.514"	"3.648"
"1938"	"12.896"	"0.643"	"5.025"	"0.852"	"1.513"	"89.725"	"188.957"	"64.325"	"13.318"	"1.057"	"0"	"0.094"
"1939"	"3.242"	"17.052"	"6.39"	"0.715"	"0.203"	"67.759"	"135.309"	"98.094"	"59.954"	"0"	"0"	"0"
"1940"	"15.024"	"28.761"	"10.241"	"3.339"	"4.706"	"20.31"	"184.963"	"198.468"	"9.348"	"2.597"	"2.863"	"1.164"
"1941"	"15.671"	"1.602"	"1.055"	"0"	"16.052"	"31.051"	"89.875"	"118.237"	"45.759"	"1.919"	"0"	"3.716"
"1942"	"10.645"	"13.377"	"0.148"	"13.051"	"11.113"	"25.029"	"389.721"	"190.739"	"126.057"	"0"	"0"	"5.875"
"1943"	"7.345"	"0"	"0.016"	"19.749"	"11.132"	"43.809"	"311.473"	"169.406"	"152.368"	"0"	"0"	"0"
"1944"	"25.749"	"21.429"	"28.873"	"27.37"	"0.208"	"40.78"	"271.665"	"158.19"	"80.914"	"16.706"	"0"	"0"
"1945"	"13.126"	"0"	"0"	"5.472"	"21.37"	"26.389"	"288.284"	"250.259"	"105.025"	"1.675"	"0"	"0"
"1946"	"0"	"3.322"	"0"	"0.245"	"11.459"	"62.115"	"195.519"	"224.774"	"19.784"	"1.322"	"0"	"2.068"
"1947"	"3.51"	"4.085"	"2.839"	"0.509"	"2.638"	"10.871"	"155.692"	"181.409"	"245.183"	"27.261"	"0"	"3.098"
"1948"	"27.079"	"18.666"	"5.519"	"0.582"	"4.688"	"13.357"	"283.713"	"225.475"	"106.754"	"6.1"	"3.163"	"0.094"
"1949"	"6.733"	"10.236"	"1.162"	"0.056"	"4.651"	"10.594"	"387.477"	"150.675"	"98.383"	"4.392"	"0"	"0"
"1950"	"3.459"	"0.579"	"5.81"	"0"	"13.559"	"12.424"	"342.73"	"152.536"	"120.957"	"0"	"0"	"0.487"
"1951"	"5.908"	"0.204"	"14.39"	"8.193"	"10.916"	"48.936"	"116.924"	"180.555"	"81.28"	"1.709"	"47.068"	"0"
"1952"	"1.567"	"9.222"	"11.646"	"5.213"	"10.501"	"31.848"	"227.454"	"340.93"	"1.839"	"0"	"0"	"11.432"
"1953"	"23.785"	"0"	"0"	"2.536"	"3.004"	"30.558"	"201.447"	"231.841"	"63.83"	"0.335"	"0"	"0"
"1954"	"10.884"	"36.912"	"3.823"	"0"	"0.906"	"12.545"	"248.733"	"108.64"	"129.781"	"22.344"	"6.877"	"0"
"1955"	"12.751"	"0.222"	"2.607"	"6.171"	"7.044"	"66.363"	"142.688"	"303.971"	"158.12"	"36.958"	"0"	"4.372"
"1956"	"12.429"	"0.74"	"10.579"	"0.878"	"0.193"	"41.499"	"451.361"	"166.095"	"13.526"	"46.327"	"0.991"	"5.934"
"1957"	"20.281"	"0"	"16.247"	"3.679"	"10.921"	"32.474"	"262.344"	"163.206"	"101.463"	"9.402"	"17.22"	"4.86"
"1958"	"5.543"	"1.942"	"4.501"	"0.265"	"3.249"	"7.144"	"361.346"	"169.679"	"252.877"	"7.179"	"26.942"	"7.12"
"1959"	"10.308"	"0.972"	"0.952"	"0.736"	"31.669"	"43.117"	"184.555"	"172.065"	"99.857"	"0"	"11.132"	"0"
"1960"	"2.126"	"0"	"6.763"	"2.049"	"7.748"	"31.902"	"210.508"	"251.239"	"22.689"	"28.942"	"0"	"0.683"
"1961"	"11.089"	"32.905"	"0"	"8.912"	"11.896"	"54.619"	"164.585"	"373.061"	"124.794"	"20.69"	"3.854"	"1.688"
"1962"	"11.466"	"3.132"	"7.401"	"0.715"	"0.684"	"14.909"	"257.549"	"122.97"	"119.039"	"0"	"1.948"	"4.633"
"1963"	"3.242"	"5.541"	"1.675"	"2.283"	"9.031"	"45.815"	"78.959"	"222.556"	"177.504"	"3.861"	"11.258"	"9"
