
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.521"	"7.462"	"7.872"	"8.371"	"13.602"	"25.784"	"30.931"	"28.73"	"25.397"	"14.682"	"8.891"	"9.216"
"1902"	"8.706"	"8.424"	"9.268"	"8.965"	"13.13"	"22.747"	"27.941"	"30.099"	"23.796"	"13.205"	"8.526"	"7.978"
"1903"	"8.084"	"7.894"	"7.37"	"8.193"	"13"	"25.435"	"31.276"	"27.937"	"25.216"	"13.355"	"8.368"	"7.958"
"1904"	"7.939"	"8.095"	"7.458"	"8.746"	"13"	"23.516"	"26.997"	"28.257"	"24.483"	"13.205"	"8.594"	"8.602"
"1905"	"6.973"	"5.709"	"6.304"	"7.468"	"14.049"	"24.053"	"29.648"	"29.688"	"26.715"	"14.007"	"9.487"	"8.602"
"1906"	"7.766"	"6.879"	"7.272"	"8.377"	"15.099"	"22.611"	"28.778"	"29.396"	"23.338"	"13.356"	"8.852"	"8.7"
"1907"	"8.778"	"7.437"	"6.82"	"7.641"	"12.279"	"23.843"	"31.753"	"27.931"	"25.841"	"13.225"	"8.891"	"7.972"
"1908"	"8.166"	"8.106"	"7.683"	"8.854"	"13"	"24.175"	"26.823"	"26.879"	"23.8"	"13.106"	"8.187"	"8.519"
"1909"	"7.671"	"7.538"	"8.143"	"7.669"	"12.494"	"21.738"	"26.221"	"27.545"	"23.536"	"13.205"	"9.025"	"7.935"
"1910"	"8.055"	"8.1"	"7.872"	"8.191"	"13"	"22.535"	"27.991"	"27.931"	"23.796"	"12.663"	"8.157"	"8.403"
"1911"	"8.63"	"7.987"	"6.762"	"8.838"	"14.1"	"22.337"	"31.468"	"31.12"	"23.83"	"13.213"	"7.659"	"8.602"
"1912"	"8.741"	"8.482"	"7.637"	"8.872"	"13.55"	"25.674"	"29.546"	"27.944"	"23.835"	"13.205"	"8.187"	"8.598"
"1913"	"8.166"	"8.013"	"6.772"	"8.853"	"12.313"	"21.184"	"27.921"	"29.539"	"25.526"	"14.147"	"8.881"	"8.345"
"1914"	"8.98"	"7.927"	"7.491"	"8.453"	"14.192"	"22.794"	"27.921"	"27.967"	"23.8"	"12.857"	"8.885"	"7.99"
"1915"	"7.915"	"6.969"	"7.743"	"8.872"	"15.099"	"23.584"	"31.962"	"30.618"	"26.507"	"14.208"	"8.808"	"8.602"
"1916"	"8.387"	"7.669"	"9.167"	"9.36"	"13.221"	"21.995"	"27.988"	"27.971"	"23.796"	"12.496"	"7.529"	"7.958"
"1917"	"8.162"	"8.106"	"7.755"	"6.968"	"10.583"	"22.07"	"27.123"	"27.917"	"22.49"	"11.848"	"7.264"	"8.574"
"1918"	"7.628"	"8.106"	"7.872"	"7.589"	"14.235"	"22.617"	"33.023"	"31.476"	"25.093"	"13.205"	"8.891"	"7.956"
"1919"	"7.748"	"7.47"	"7.972"	"8.196"	"12.893"	"25.647"	"27.912"	"27.971"	"23.835"	"13.205"	"8.361"	"8"
"1920"	"8.148"	"7.85"	"7.872"	"8.397"	"10.672"	"21.337"	"27.458"	"29.483"	"27.12"	"14.208"	"8.908"	"8.66"
"1921"	"8.246"	"8.106"	"9.54"	"10.289"	"15.45"	"24.138"	"31.654"	"27.947"	"23.901"	"13.205"	"8.601"	"9.257"
"1922"	"7.898"	"8.566"	"8.161"	"8.838"	"13.359"	"22.683"	"28.035"	"27.931"	"23.893"	"13.134"	"8.731"	"8.382"
"1923"	"7.933"	"7.712"	"7.872"	"8.872"	"13"	"25.825"	"28.787"	"27.878"	"23.852"	"13.078"	"8.267"	"8.506"
"1924"	"7.484"	"8.078"	"8.497"	"8.888"	"11.376"	"24.816"	"28.615"	"27.947"	"23.429"	"12.636"	"8.516"	"8.602"
"1925"	"7.211"	"6.921"	"7.888"	"9.65"	"13"	"19.153"	"26.416"	"29.469"	"25.397"	"14.116"	"8.207"	"8.24"
"1926"	"8.088"	"8.654"	"7.378"	"7.243"	"12.151"	"25.037"	"29.396"	"27.947"	"23.869"	"12.535"	"7.587"	"7.997"
"1927"	"7.01"	"7"	"7.361"	"8.193"	"12.993"	"23.526"	"27.921"	"27.937"	"23.796"	"13.205"	"8.397"	"8.658"
"1928"	"7.972"	"8.106"	"7.872"	"8.838"	"14.096"	"22.655"	"29.095"	"29.784"	"25.168"	"13.36"	"8.885"	"8.57"
"1929"	"7.949"	"7.499"	"8.964"	"8.875"	"13.511"	"22.683"	"27.968"	"27.97"	"25.093"	"13.205"	"8.907"	"7.863"
"1930"	"7.704"	"8.095"	"7.944"	"8.236"	"13"	"22.696"	"26.224"	"27.943"	"24.966"	"13.205"	"8.195"	"8.333"
"1931"	"8.686"	"7.069"	"7.505"	"9.393"	"13"	"24.165"	"29.129"	"28.597"	"23.897"	"12.437"	"8.229"	"8.636"
"1932"	"9.843"	"7.682"	"7.872"	"8.729"	"12.705"	"24.495"	"28.912"	"28.036"	"24.954"	"13.205"	"8.207"	"8.564"
"1933"	"7.344"	"8.106"	"7.872"	"7.566"	"11.416"	"22.588"	"27.726"	"26.695"	"23.464"	"12.814"	"8.187"	"8.658"
"1934"	"7.431"	"8.195"	"7.371"	"8.838"	"12.889"	"22.637"	"27.921"	"27.921"	"24.357"	"12.012"	"8.317"	"8.535"
"1935"	"7.482"	"8.106"	"7.755"	"6.925"	"13.5"	"24.095"	"27.925"	"27.914"	"23.887"	"12.593"	"8.849"	"8.33"
"1936"	"7.557"	"7.812"	"7.333"	"8.191"	"15.099"	"20.471"	"27.8"	"27.878"	"23.813"	"13.104"	"8.891"	"8.552"
