
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"18.033"	"19.606"	"26.863"	"30.814"	"33.85"	"33.524"	"29.852"	"27.286"	"28.268"	"28.668"	"23.818"	"21.308"
"1902"	"20.706"	"22.526"	"28.382"	"31.899"	"33.598"	"32.488"	"30.039"	"28.816"	"27.685"	"27.423"	"22.74"	"19.576"
"1903"	"19.416"	"20.075"	"24.427"	"29.445"	"33.018"	"33.193"	"29.731"	"27.764"	"27.675"	"26.984"	"21.151"	"19.046"
"1904"	"19.581"	"21.18"	"25.042"	"31.466"	"33.497"	"31.398"	"28.168"	"27.616"	"28.116"	"27.653"	"22.981"	"20.413"
"1905"	"18.202"	"17.619"	"24.058"	"28.815"	"34.932"	"32.488"	"28.467"	"28.306"	"28.117"	"27.664"	"24.27"	"20.097"
"1906"	"17.792"	"19.423"	"25.188"	"30.456"	"34.181"	"31.22"	"28.5"	"27.764"	"26.922"	"26.874"	"23.78"	"20.345"
"1907"	"20.176"	"20.824"	"25.259"	"29.484"	"32.015"	"32.26"	"30.582"	"26.301"	"27.229"	"27.791"	"24.15"	"18.998"
"1908"	"18.876"	"20.638"	"24.731"	"31.255"	"32.966"	"32.03"	"27.386"	"26.712"	"27.26"	"26.967"	"22.898"	"19.056"
"1909"	"19.169"	"21.055"	"26.826"	"29.662"	"32.803"	"31.361"	"27.785"	"26.75"	"26.729"	"26.402"	"22.997"	"19.571"
"1910"	"19.202"	"21.338"	"26.058"	"29.911"	"32.796"	"30.73"	"27.595"	"27.322"	"27.495"	"25.823"	"21.297"	"19.834"
"1911"	"20.565"	"21.16"	"24.328"	"29.944"	"33.96"	"30.719"	"29.551"	"27.835"	"27.286"	"27.814"	"22.976"	"21.454"
"1912"	"20.408"	"22.921"	"25.747"	"31.094"	"33.95"	"33.329"	"28.899"	"27.044"	"27.129"	"27.149"	"22.186"	"19.666"
"1913"	"19.175"	"21.506"	"24.289"	"31.576"	"32.599"	"31.052"	"28.3"	"26.833"	"27.674"	"28.063"	"23.68"	"20.253"
"1914"	"21.138"	"21.155"	"25.289"	"30.697"	"34.332"	"31.283"	"28.395"	"27.611"	"28.215"	"27.6"	"24.65"	"19.655"
"1915"	"19.51"	"20.305"	"26.563"	"30.346"	"34.028"	"33.839"	"30.3"	"28.168"	"29.351"	"28.406"	"23.998"	"20.566"
"1916"	"20.138"	"20.355"	"27.893"	"31.623"	"33.776"	"30.321"	"29.531"	"27.463"	"28.111"	"26.565"	"21.697"	"19.423"
"1917"	"20.354"	"21.359"	"25.958"	"29.11"	"31.367"	"30.447"	"27.553"	"27.281"	"27.059"	"25.866"	"21.587"	"19.754"
"1918"	"18.054"	"21.937"	"25.948"	"29.193"	"33.666"	"31.01"	"29.699"	"27.937"	"27.664"	"27.763"	"24.717"	"19.544"
"1919"	"19.933"	"21.227"	"26.727"	"30.303"	"33.397"	"31.472"	"28.168"	"27.185"	"27.511"	"26.771"	"23.998"	"19.824"
"1920"	"19.954"	"20.906"	"26.759"	"30.362"	"30.862"	"31.075"	"27.717"	"27.044"	"28.717"	"28.252"	"24.201"	"20.475"
"1921"	"20.117"	"21.359"	"28.142"	"32.308"	"33.898"	"32.152"	"30.099"	"27.501"	"26.932"	"26.952"	"22.74"	"21.375"
"1922"	"18.786"	"22.989"	"26.941"	"31.497"	"33.476"	"31.699"	"28.499"	"27.365"	"27.244"	"26.821"	"22.782"	"19.145"
"1923"	"19.854"	"20.487"	"26.962"	"30.745"	"32.697"	"33.387"	"28.668"	"26.644"	"27.954"	"26.553"	"22.628"	"21.064"
"1924"	"19.634"	"22.138"	"28.231"	"31.714"	"32.562"	"32.729"	"29.019"	"27.763"	"27.312"	"25.87"	"21.38"	"20.054"
"1925"	"17.261"	"19.754"	"26.894"	"32.518"	"32.699"	"30.432"	"27.906"	"28.215"	"28.637"	"29.135"	"24.117"	"20.465"
"1926"	"20.285"	"23.621"	"26.358"	"28.594"	"32.876"	"34.202"	"29.268"	"27.563"	"27.494"	"27.143"	"21.818"	"19.476"
"1927"	"18.164"	"20.155"	"25.158"	"30.115"	"32.598"	"31.82"	"27.858"	"26.512"	"27.413"	"26.9"	"20.939"	"20.376"
"1928"	"19.254"	"21.421"	"26.193"	"30.367"	"33.297"	"31.53"	"28.073"	"27.016"	"27.213"	"26.983"	"23.48"	"19.176"
"1929"	"18.407"	"20.397"	"27.525"	"30.968"	"33.629"	"31.462"	"28.147"	"26.712"	"27.763"	"26.802"	"24.167"	"19.071"
"1930"	"19.432"	"20.449"	"26.758"	"30.194"	"33.328"	"32.03"	"27.27"	"26.863"	"28.572"	"28.252"	"22.308"	"20.576"
"1931"	"20.984"	"20.733"	"25.663"	"31.707"	"33.645"	"33.461"	"29.189"	"27.434"	"27.453"	"26.405"	"22.788"	"20.345"
"1932"	"21.379"	"20.65"	"25.884"	"30.067"	"33.345"	"31.695"	"28.174"	"27.243"	"28"	"28.122"	"22.466"	"20.691"
"1933"	"19.164"	"22.006"	"26.479"	"30.125"	"31.636"	"31"	"28.268"	"26.56"	"27.044"	"26.602"	"23.218"	"19.844"
"1934"	"17.712"	"22.379"	"25.559"	"30.846"	"32.997"	"32.092"	"27.968"	"26.932"	"26.734"	"26.123"	"22.418"	"20.676"
"1935"	"17.592"	"21.407"	"25.633"	"28.432"	"33.192"	"32.282"	"27.868"	"26.926"	"26.894"	"26.691"	"23.27"	"20.376"
"1936"	"18.601"	"21.459"	"25.611"	"29.729"	"34.133"	"30.3"	"28.32"	"27.494"	"27.716"	"27.189"	"23.55"	"19.444"
"1937"	"18.176"	"22.107"	"24.98"	"29.997"	"33.059"	"32.181"	"27.558"	"27.216"	"27.606"	"26.654"	"24.018"	"19.241"
"1938"	"20.112"	"19.807"	"27.841"	"31.298"	"33.329"	"29.243"	"27.79"	"27.685"	"28.446"	"27.488"	"21.95"	"20.376"
"1939"	"20.316"	"22.138"	"24.427"	"29.394"	"32.796"	"31.606"	"28.52"	"28.398"	"27.338"	"27.505"	"22.861"	"20.27"
"1940"	"20.075"	"21.876"	"24.281"	"29.814"	"33.65"	"31.73"	"28.242"	"26.952"	"27.515"	"27.344"	"23.239"	"19.614"
"1941"	"18.786"	"22.297"	"27.198"	"31.516"	"33.48"	"32.408"	"27.886"	"27.399"	"28.151"	"28.702"	"23.621"	"21.475"
"1942"	"18.372"	"21.906"	"27.147"	"32.117"	"33.348"	"32.845"	"27.297"	"26.653"	"26.815"	"26.774"	"22.685"	"19.071"
"1943"	"19.49"	"21.298"	"26.736"	"30.146"	"34.045"	"30.455"	"27.251"	"26.454"	"27.095"	"26.454"	"23.738"	"19.97"
"1944"	"18.924"	"20.807"	"25.49"	"29.645"	"33.297"	"31.178"	"27.328"	"26.665"	"27.733"	"26.06"	"23.018"	"21.002"
"1945"	"17.549"	"20.418"	"26.484"	"29.715"	"32.566"	"32.04"	"27.137"	"27.295"	"27.012"	"26.28"	"21.853"	"18.445"
"1946"	"19.317"	"22.907"	"25.721"	"31.96"	"32.779"	"30.734"	"27.768"	"26.273"	"27.164"	"27.285"	"20.665"	"20.459"
"1947"	"18.471"	"21.609"	"26.683"	"30.251"	"33.533"	"32.435"	"28.446"	"28.163"	"26.812"	"25.684"	"23.131"	"20.316"
"1948"	"19.112"	"21.034"	"26.665"	"31.845"	"34.443"	"31.993"	"28.928"	"27.334"	"27.403"	"28.2"	"23.414"	"20.066"
"1949"	"21.343"	"21.66"	"27.079"	"31.819"	"34.354"	"31.573"	"28.737"	"27.927"	"27.816"	"27.443"	"22.495"	"19.486"
"1950"	"20.236"	"19.385"	"25.649"	"30.332"	"33.182"	"32.13"	"27.43"	"27.343"	"27.164"	"27.13"	"21.629"	"19.279"
"1951"	"18.265"	"20.875"	"26.427"	"29.045"	"33.097"	"31.696"	"29.71"	"27.269"	"29.39"	"29.926"	"24.939"	"19.875"
"1952"	"20.497"	"23.216"	"26.282"	"31.866"	"34.133"	"31.447"	"28.017"	"26.464"	"27.948"	"27.939"	"23.063"	"21.16"
"1953"	"19.092"	"23.987"	"28.821"	"31.314"	"33.132"	"32.051"	"28.603"	"26.829"	"27.668"	"26.815"	"22.884"	"21.564"
"1954"	"18.657"	"22.929"	"26.77"	"31.197"	"34.201"	"32.265"	"28.466"	"28"	"26.167"	"25.252"	"23.032"	"19.854"
"1955"	"19.95"	"22.092"	"28.362"	"28.877"	"32.898"	"31.335"	"29.221"	"27.016"	"26.915"	"26.071"	"21.501"	"19.827"
"1956"	"19.801"	"21.364"	"27.39"	"31.094"	"33.622"	"30.783"	"26.468"	"26.395"	"27.248"	"25.511"	"21.898"	"20.117"
"1957"	"18.87"	"19.727"	"25.01"	"30.193"	"32.245"	"32.132"	"28.638"	"27.768"	"27.654"	"27.69"	"25.129"	"21.418"
"1958"	"20.984"	"21.938"	"27.362"	"32.218"	"33.887"	"32.76"	"27.897"	"28.226"	"26.532"	"26.569"	"23.584"	"20.927"
"1959"	"19.463"	"21.424"	"27.662"	"31.125"	"33.615"	"31.82"	"27.061"	"26.495"	"26.696"	"26.894"	"23.195"	"20.554"
"1960"	"18.307"	"23.36"	"25.273"	"30.062"	"32.598"	"31.465"	"28.889"	"26.263"	"28.226"	"27.086"	"22.845"	"21.325"
"1961"	"19.315"	"19.871"	"27.605"	"30.531"	"33.428"	"30.983"	"27.913"	"27.536"	"26.185"	"25.901"	"23.298"	"18.856"
"1962"	"17.944"	"22.045"	"26.262"	"30.615"	"33.227"	"31.637"	"28.012"	"27.076"	"26.724"	"25.268"	"23.21"	"20.765"
"1963"	"19.397"	"23.659"	"26.767"	"30.391"	"32.933"	"31.972"	"28.903"	"26.812"	"26.977"	"27.206"	"25.014"	"20.944"
"1964"	"18.036"	"21.808"	"28.01"	"32.243"	"32.898"	"30.99"	"27.979"	"27.248"	"27.616"	"27.545"	"22.501"	"20.243"
"1965"	"21.276"	"22.08"	"26.246"	"30.346"	"33.485"	"32.66"	"28.93"	"28.179"	"27.764"	"28.493"	"24.864"	"20.724"
"1966"	"20.607"	"24.343"	"26.182"	"30.91"	"33.055"	"31.957"	"29.678"	"27.319"	"27.382"	"28.497"	"24.745"	"20.151"
"1967"	"17.95"	"23.586"	"25.875"	"29.8"	"32.8"	"30.767"	"28.047"	"26.429"	"26.545"	"27.215"	"24.297"	"21.672"
"1968"	"18.643"	"20.376"	"26.064"	"30.415"	"32.045"	"32.903"	"28.654"	"26.301"	"28.864"	"27.425"	"23.688"	"20.323"
"1969"	"19.772"	"22.444"	"28.811"	"31.5"	"33.21"	"32.33"	"28.928"	"26.894"	"27.637"	"28.085"	"25.529"	"21.135"
"1970"	"20.096"	"21.746"	"26.417"	"31.862"	"34.208"	"30.304"	"28.497"	"27.412"	"26.911"	"27.818"	"22.538"	"19.906"
"1971"	"18.771"	"21.524"	"26.365"	"32.21"	"32.462"	"29.747"	"26.912"	"26.863"	"27.597"	"26.428"	"22.85"	"19.497"
"1972"	"19.753"	"19.453"	"27.678"	"30.062"	"33.246"	"32.43"	"28.899"	"27.82"	"27.702"	"28.066"	"23.748"	"20.806"
"1973"	"19.015"	"22.855"	"26.838"	"32.672"	"34.287"	"31.715"	"27.222"	"26.774"	"26.156"	"26.784"	"22.942"	"20.302"
"1974"	"18.818"	"20.517"	"28.372"	"31.623"	"32.711"	"31.826"	"29.22"	"28"	"29.195"	"27.788"	"22.421"	"19.593"
"1975"	"18.41"	"21.104"	"25.034"	"30.157"	"33.732"	"31.278"	"27.85"	"27.175"	"27.022"	"27.007"	"22.028"	"20.29"
"1976"	"20.075"	"22.017"	"26.941"	"30.627"	"32.976"	"30.422"	"28.435"	"26.774"	"26.777"	"27.997"	"26.182"	"21.34"
"1977"	"19.185"	"22.962"	"28.842"	"31.501"	"32.956"	"31.299"	"27.751"	"27.098"	"26.999"	"28.718"	"25.504"	"22.167"
"1978"	"18.965"	"21.289"	"25.171"	"31.194"	"34.045"	"30.949"	"27.351"	"26.699"	"27.438"	"27.719"	"25.228"	"19.992"
"1979"	"20.502"	"20.334"	"25.476"	"31.175"	"32.245"	"32.764"	"28.985"	"27.117"	"29.233"	"28.732"	"25.461"	"21.33"
"1980"	"20.132"	"22.946"	"26.824"	"31.381"	"34.429"	"30.484"	"28.427"	"27.668"	"28.616"	"29.053"	"25.076"	"20.206"
"1981"	"19.565"	"22.658"	"26.665"	"32.005"	"33.787"	"33.078"	"28.147"	"26.796"	"28.563"	"27.763"	"22.248"	"19.889"
"1982"	"20.101"	"20.751"	"24.823"	"30.06"	"31.261"	"32.322"	"29.62"	"27.233"	"28.379"	"28.664"	"23.734"	"21.685"
"1983"	"19.084"	"20.268"	"25.762"	"28.859"	"33.121"	"32.187"	"29.009"	"27.694"	"28.111"	"26.23"	"21.862"	"19.81"
"1984"	"18.514"	"19.003"	"27.776"	"32.029"	"34.294"	"31.73"	"28.273"	"26.085"	"26.665"	"26.952"	"23.211"	"20.936"
"1985"	"19.163"	"21.697"	"28.624"	"31.177"	"33.929"	"32.149"	"28.895"	"26.812"	"28.163"	"26.007"	"24.082"	"22.243"
"1986"	"20.039"	"21.682"	"26.868"	"31.645"	"33.172"	"31.846"	"27.918"	"26.686"	"28.747"	"28.101"	"24.981"	"19.975"
"1987"	"20.272"	"22.907"	"27.441"	"31.598"	"32.579"	"32.678"	"30.369"	"29.278"	"29.737"	"29.272"	"25.105"	"21.346"
"1988"	"21.298"	"23.823"	"26.92"	"32.325"	"34.602"	"32.286"	"28.012"	"27.674"	"28.942"	"27.495"	"23.849"	"21.366"
"1989"	"18.965"	"21.885"	"26.11"	"30.693"	"33.919"	"30.867"	"28.331"	"26.781"	"28.595"	"28.022"	"25.487"	"20.855"
"1990"	"21.953"	"21.983"	"25.542"	"31.245"	"33.12"	"31.335"	"27.617"	"27.325"	"27.233"	"27.464"	"24.501"	"21.023"
