
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.546"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1902"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"45.47"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1903"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1904"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.688"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1905"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1906"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1907"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.287"	"73.122"	"50.746"	"18.675"	"10.566"	"9.995"
"1908"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1909"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1910"	"11.669"	"9.549"	"21.55"	"19.549"	"22.484"	"44.754"	"73.824"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1911"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1912"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.058"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1913"	"11.669"	"9.549"	"21.55"	"19.549"	"22.25"	"44.702"	"74.042"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1914"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.502"	"73.682"	"73.122"	"50.642"	"18.511"	"10.405"	"9.995"
"1915"	"11.669"	"9.549"	"21.398"	"19.549"	"22.149"	"44.754"	"73.245"	"72.692"	"50.746"	"18.511"	"10.405"	"9.995"
"1916"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1917"	"11.669"	"9.549"	"21.55"	"20.015"	"21.901"	"44.502"	"73.003"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1918"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"45.538"	"73.725"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1919"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.683"	"18.407"	"10.052"	"9.995"
"1920"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"72.869"	"50.746"	"18.511"	"10.405"	"9.995"
"1921"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.203"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1922"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
"1923"	"11.669"	"9.549"	"21.55"	"19.549"	"22.254"	"44.754"	"73.824"	"73.122"	"50.746"	"18.511"	"9.953"	"9.995"
"1924"	"11.669"	"9.528"	"21.55"	"19.549"	"22.254"	"44.754"	"73.245"	"73.122"	"50.746"	"18.511"	"10.405"	"9.995"
