
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1902"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1903"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1904"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1905"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1906"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1907"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1908"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1909"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1910"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1911"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1912"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1913"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1914"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.765"	"16.175"
"1915"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1916"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1917"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1918"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1919"	"16.665"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1920"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1921"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1922"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1923"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1924"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1925"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1926"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1927"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1928"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1929"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1930"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1931"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1932"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1933"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1934"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1935"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.416"	"14.469"	"15.828"	"16.175"
"1936"	"16.433"	"17.19"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1937"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1938"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1939"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
"1940"	"16.433"	"16.97"	"16.955"	"15.937"	"14.611"	"11.225"	"7.7"	"6.717"	"9.348"	"14.469"	"15.828"	"16.175"
