
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.2214"	"0.001"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1903"	"0.0041"	"0"	"0.0037"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0037"
"1904"	"0.001"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1905"	"0.1572"	"0.0099"	"0.0068"	"0.0099"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1906"	"0.209"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1907"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0037"
"1908"	"0.09"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0037"
"1909"	"0.0631"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1910"	"0.0611"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.001"	"0"	"0"
"1911"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1912"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1913"	"0.0237"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1914"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1915"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1916"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1917"	"0"	"0"	"0"	"0"	"0.0099"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1918"	"0.1976"	"0"	"0"	"0.0047"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1919"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1920"	"0"	"0"	"0"	"0"	"0.0099"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1921"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1922"	"0.0848"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1923"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1924"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.001"	"0"	"0"
"1925"	"0.2819"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1926"	"0"	"0"	"0"	"0.0068"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1927"	"0.1759"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1928"	"0.062"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1929"	"0.1335"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1930"	"0.0134"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1931"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1932"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1933"	"0.0951"	"0"	"0"	"0"	"0.0099"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1934"	"0.2213"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1935"	"0.2276"	"0"	"0"	"0.0099"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1936"	"0.1707"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
