
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.27"	"28.111"	"35.358"	"38.794"	"41.15"	"39.186"	"33.751"	"30.664"	"32.967"	"35.935"	"31.765"	"29.434"
"1902"	"28.943"	"31.033"	"36.877"	"39.877"	"40.908"	"38.151"	"33.94"	"32.164"	"32.386"	"34.692"	"30.688"	"27.703"
"1903"	"27.654"	"28.582"	"32.923"	"37.425"	"40.33"	"38.854"	"33.578"	"31.143"	"32.376"	"34.253"	"29.099"	"27.171"
"1904"	"27.818"	"29.686"	"33.538"	"39.423"	"40.798"	"37.062"	"32.068"	"30.996"	"32.816"	"34.921"	"30.928"	"28.54"
"1905"	"26.441"	"26.125"	"32.553"	"36.793"	"42.243"	"38.151"	"32.368"	"31.685"	"32.817"	"34.932"	"32.217"	"28.223"
"1906"	"26.029"	"27.929"	"33.684"	"38.434"	"41.49"	"36.882"	"32.401"	"31.143"	"31.623"	"34.074"	"31.728"	"28.472"
"1907"	"28.413"	"29.329"	"33.755"	"37.463"	"39.314"	"37.886"	"34.482"	"29.682"	"31.929"	"35.021"	"32.097"	"27.124"
"1908"	"27.112"	"29.144"	"33.227"	"39.235"	"40.277"	"37.692"	"31.285"	"30.092"	"31.96"	"34.236"	"30.845"	"27.181"
"1909"	"27.407"	"29.56"	"35.321"	"37.62"	"40.103"	"37.025"	"31.685"	"30.129"	"31.429"	"33.671"	"30.944"	"27.699"
"1910"	"27.439"	"29.844"	"34.553"	"37.888"	"40.097"	"36.394"	"31.496"	"30.702"	"32.196"	"33.054"	"29.246"	"27.961"
"1911"	"28.801"	"29.665"	"32.823"	"37.924"	"41.26"	"36.383"	"33.451"	"31.216"	"31.984"	"35.084"	"30.923"	"29.582"
"1912"	"28.645"	"31.426"	"34.243"	"39.051"	"41.26"	"38.991"	"32.762"	"30.422"	"31.828"	"34.418"	"30.135"	"27.792"
"1913"	"27.412"	"30.012"	"32.784"	"39.556"	"39.908"	"36.713"	"32.2"	"30.213"	"32.375"	"35.332"	"31.627"	"28.382"
"1914"	"29.374"	"29.661"	"33.785"	"38.675"	"41.633"	"36.946"	"32.296"	"30.991"	"32.915"	"34.869"	"32.565"	"27.781"
"1915"	"27.749"	"28.812"	"35.059"	"38.324"	"41.339"	"39.501"	"34.168"	"31.548"	"34.052"	"35.605"	"31.907"	"28.692"
"1916"	"28.375"	"28.86"	"36.388"	"39.603"	"41.087"	"35.983"	"33.431"	"30.843"	"32.811"	"33.803"	"29.644"	"27.551"
