
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.69"	"6.42"	"7.53"	"8.52"	"8.89"	"7.87"	"6.06"	"5.22"	"5.94"	"7.04"	"6.41"	"5.76"
"1902"	"5.83"	"6.63"	"7.66"	"8.63"	"8.95"	"7.8"	"5.99"	"5.31"	"5.99"	"7.01"	"6.36"	"5.68"
"1903"	"5.78"	"6.54"	"7.44"	"8.42"	"8.83"	"7.83"	"6.02"	"5.27"	"5.98"	"7.02"	"6.27"	"5.6"
"1904"	"5.74"	"6.59"	"7.44"	"8.52"	"8.95"	"7.82"	"5.92"	"5.19"	"5.97"	"7.01"	"6.36"	"5.75"
"1905"	"5.77"	"6.34"	"7.37"	"8.33"	"8.89"	"7.89"	"5.95"	"5.22"	"5.99"	"6.97"	"6.43"	"5.79"
"1906"	"5.69"	"6.44"	"7.45"	"8.47"	"8.95"	"7.81"	"5.92"	"5.26"	"5.96"	"6.93"	"6.38"	"5.72"
"1907"	"5.82"	"6.58"	"7.51"	"8.47"	"8.8"	"7.74"	"6.08"	"5.24"	"5.9"	"6.96"	"6.45"	"5.7"
"1908"	"5.72"	"6.55"	"7.43"	"8.52"	"8.91"	"7.85"	"5.91"	"5.17"	"5.93"	"6.97"	"6.37"	"5.64"
"1909"	"5.72"	"6.53"	"7.6"	"8.51"	"8.86"	"7.8"	"5.92"	"5.19"	"5.93"	"6.92"	"6.35"	"5.7"
"1910"	"5.73"	"6.57"	"7.55"	"8.49"	"8.89"	"7.77"	"5.86"	"5.2"	"5.98"	"6.97"	"6.24"	"5.62"
"1911"	"5.82"	"6.64"	"7.44"	"8.42"	"8.95"	"7.76"	"5.96"	"5.26"	"5.94"	"7.01"	"6.33"	"5.77"
"1912"	"5.81"	"6.71"	"7.55"	"8.51"	"8.89"	"7.89"	"6.01"	"5.22"	"5.94"	"6.99"	"6.32"	"5.66"
"1913"	"5.72"	"6.63"	"7.42"	"8.52"	"8.93"	"7.77"	"5.92"	"5.18"	"5.93"	"7.01"	"6.41"	"5.7"
"1914"	"5.86"	"6.63"	"7.49"	"8.48"	"8.96"	"7.83"	"5.91"	"5.2"	"5.97"	"6.97"	"6.45"	"5.72"
"1915"	"5.77"	"6.49"	"7.55"	"8.5"	"8.86"	"7.86"	"6.05"	"5.26"	"6.02"	"7.06"	"6.43"	"5.74"
"1916"	"5.83"	"6.47"	"7.58"	"8.6"	"9"	"7.73"	"5.95"	"5.23"	"6"	"6.99"	"6.27"	"5.6"
"1917"	"5.79"	"6.6"	"7.57"	"8.49"	"8.83"	"7.72"	"5.86"	"5.19"	"5.97"	"6.94"	"6.24"	"5.7"
"1918"	"5.63"	"6.58"	"7.58"	"8.43"	"8.91"	"7.74"	"5.95"	"5.26"	"5.97"	"6.97"	"6.48"	"5.7"
"1919"	"5.8"	"6.56"	"7.58"	"8.52"	"8.92"	"7.81"	"5.93"	"5.19"	"5.97"	"6.94"	"6.41"	"5.72"
"1920"	"5.79"	"6.55"	"7.58"	"8.59"	"8.81"	"7.73"	"5.91"	"5.15"	"5.97"	"7.02"	"6.43"	"5.74"
"1921"	"5.8"	"6.55"	"7.61"	"8.63"	"8.97"	"7.8"	"6.03"	"5.28"	"5.94"	"6.97"	"6.31"	"5.79"
"1922"	"5.71"	"6.65"	"7.61"	"8.58"	"8.95"	"7.81"	"5.95"	"5.22"	"5.95"	"6.97"	"6.36"	"5.63"
"1923"	"5.77"	"6.51"	"7.57"	"8.56"	"8.84"	"7.86"	"6.02"	"5.17"	"5.97"	"6.97"	"6.31"	"5.74"
"1924"	"5.77"	"6.58"	"7.65"	"8.64"	"8.89"	"7.81"	"5.98"	"5.26"	"5.98"	"6.96"	"6.24"	"5.71"
"1925"	"5.65"	"6.4"	"7.5"	"8.64"	"8.98"	"7.75"	"5.85"	"5.23"	"5.97"	"7.06"	"6.46"	"5.75"
"1926"	"5.77"	"6.72"	"7.67"	"8.43"	"8.76"	"7.88"	"6.06"	"5.25"	"5.97"	"7.01"	"6.31"	"5.68"
"1927"	"5.69"	"6.49"	"7.48"	"8.49"	"8.86"	"7.81"	"5.93"	"5.17"	"5.94"	"7.02"	"6.23"	"5.7"
"1928"	"5.75"	"6.58"	"7.55"	"8.5"	"8.91"	"7.81"	"5.94"	"5.19"	"5.94"	"6.95"	"6.41"	"5.7"
"1929"	"5.69"	"6.45"	"7.58"	"8.57"	"8.95"	"7.83"	"5.93"	"5.17"	"5.95"	"6.94"	"6.43"	"5.68"
"1930"	"5.76"	"6.51"	"7.57"	"8.52"	"8.9"	"7.86"	"5.91"	"5.13"	"5.94"	"7.06"	"6.33"	"5.69"
"1931"	"5.89"	"6.49"	"7.52"	"8.63"	"8.96"	"8.06"	"6.11"	"5.28"	"6.04"	"6.92"	"6.45"	"5.72"
"1932"	"5.93"	"6.62"	"7.52"	"8.5"	"8.95"	"7.86"	"6.01"	"5.16"	"6.03"	"7.16"	"6.52"	"5.77"
"1933"	"5.77"	"6.57"	"7.62"	"8.52"	"8.76"	"7.74"	"5.95"	"5.14"	"5.88"	"6.97"	"6.43"	"5.79"
"1934"	"5.62"	"6.71"	"7.53"	"8.63"	"8.96"	"7.88"	"5.93"	"5.19"	"5.97"	"7.13"	"6.35"	"5.77"
"1935"	"5.62"	"6.5"	"7.61"	"8.31"	"8.89"	"8.22"	"6"	"5.23"	"6.01"	"7.02"	"6.42"	"5.76"
"1936"	"5.77"	"6.56"	"7.55"	"8.48"	"8.96"	"7.7"	"5.9"	"5.24"	"6.01"	"6.98"	"6.41"	"5.68"
"1937"	"5.69"	"6.53"	"7.5"	"8.51"	"8.89"	"7.99"	"5.91"	"5.2"	"6.02"	"7"	"6.46"	"5.7"
"1938"	"5.77"	"6.44"	"7.6"	"8.71"	"8.98"	"7.66"	"5.96"	"5.22"	"6.05"	"7.14"	"6.37"	"5.75"
"1939"	"5.84"	"6.57"	"7.42"	"8.48"	"8.95"	"7.71"	"5.96"	"5.35"	"6.04"	"7.06"	"6.47"	"5.75"
"1940"	"5.76"	"6.61"	"7.39"	"8.47"	"8.93"	"7.83"	"5.99"	"5.22"	"6.01"	"7.12"	"6.47"	"5.75"
"1941"	"5.67"	"6.6"	"7.61"	"8.63"	"8.88"	"7.82"	"5.97"	"5.22"	"5.97"	"7.09"	"6.57"	"5.92"
"1942"	"5.67"	"6.52"	"7.66"	"8.61"	"8.92"	"8.06"	"5.92"	"5.19"	"5.96"	"7"	"6.47"	"5.67"
"1943"	"5.62"	"6.72"	"7.71"	"8.55"	"9.04"	"7.86"	"5.89"	"5.18"	"5.98"	"7.1"	"6.56"	"5.81"
