
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.801"	"0"	"0.68"	"0.589"	"34.93"	"88.474"	"350.278"	"204.384"	"24.479"	"35.779"	"0.201"	"0.521"
"1902"	"0.978"	"0"	"0"	"0.181"	"10.11"	"40.274"	"205.938"	"233.218"	"211.45"	"9.384"	"30.241"	"3.066"
"1903"	"0.063"	"0"	"0"	"0"	"18.093"	"20.938"	"516.012"	"231.207"	"209.734"	"1.213"	"0.201"	"0"
"1904"	"0"	"2.25"	"6.925"	"0"	"10.361"	"70.573"	"194.763"	"82.312"	"108.327"	"13.805"	"0.201"	"1.161"
"1905"	"0.105"	"0.562"	"3.209"	"0.292"	"3.531"	"35.046"	"513.971"	"44.333"	"180.67"	"0.021"	"0.304"	"0"
"1906"	"0"	"3.912"	"0"	"0"	"0"	"175.3"	"510.338"	"286.131"	"234.578"	"0.485"	"0.201"	"3.072"
"1907"	"2.072"	"2.583"	"0"	"3.209"	"0.063"	"56.953"	"322.059"	"422.022"	"12.224"	"0.021"	"2.679"	"0"
"1908"	"3.901"	"0.002"	"2.18"	"0.389"	"0"	"138.319"	"523.302"	"504.26"	"71.227"	"0.021"	"0.888"	"0"
"1909"	"0.979"	"0.005"	"0.132"	"8.399"	"2.052"	"103.151"	"348.393"	"290.648"	"254.481"	"0.063"	"0.201"	"5.927"
"1910"	"6.777"	"0"	"0"	"12.102"	"5.478"	"252.914"	"205.531"	"416.402"	"98.246"	"27.025"	"5.703"	"0"
"1911"	"6.278"	"0"	"11.903"	"0"	"0"	"177.637"	"104.429"	"104.346"	"78.457"	"0.212"	"37.01"	"0"
"1912"	"0"	"0.053"	"0"	"0.004"	"0.237"	"70.118"	"422.584"	"281.668"	"48.2"	"25.208"	"51.808"	"0"
"1913"	"0"	"0.021"	"0.132"	"0"	"7.614"	"157.318"	"492.53"	"198.879"	"152.759"	"0.021"	"2.637"	"1.6"
"1914"	"0"	"0.931"	"0"	"0.105"	"23.416"	"182.692"	"391.951"	"147.771"	"243.267"	"8.653"	"11.557"	"1.18"
"1915"	"1.27"	"3.064"	"14.164"	"2.377"	"2.641"	"91.931"	"171.219"	"97.335"	"107.191"	"66.315"	"1.007"	"1.775"
"1916"	"0"	"0.105"	"0"	"0"	"11.054"	"183.532"	"224.779"	"404.987"	"216.854"	"17.376"	"11.442"	"0"
"1917"	"0.041"	"3.873"	"0"	"2.071"	"34.788"	"126.305"	"230.368"	"280.986"	"409.44"	"46.6"	"0.201"	"1.584"
"1918"	"0"	"0"	"0.856"	"0"	"23.378"	"101.104"	"90.052"	"271.16"	"26.314"	"0.093"	"13.682"	"0"
"1919"	"10.272"	"0"	"0"	"1.07"	"18.348"	"146.973"	"352.57"	"517.878"	"72.341"	"13.608"	"36.896"	"0.814"
"1920"	"0.27"	"1.384"	"0.339"	"0.095"	"24.892"	"205.331"	"466.521"	"70.985"	"44.155"	"0.021"	"0.201"	"0"
"1921"	"0.427"	"0"	"0"	"0"	"0"	"117.349"	"405.648"	"210.163"	"330.14"	"0.844"	"0.201"	"0"
"1922"	"0.79"	"0.291"	"0"	"0"	"0.314"	"88.109"	"363.377"	"129.505"	"296.987"	"1.627"	"39.589"	"0.844"
"1923"	"0"	"0.129"	"2.571"	"0.668"	"9.087"	"7.532"	"372.582"	"182.973"	"130.609"	"0.146"	"0.333"	"0.063"
"1924"	"1.239"	"0"	"0.132"	"0"	"16.108"	"66.613"	"375.194"	"224.896"	"286.666"	"19.606"	"0.201"	"3.069"
"1925"	"0"	"0"	"0"	"0"	"11.711"	"266.676"	"228.311"	"98.972"	"35.817"	"0.021"	"48.883"	"0.371"
"1926"	"10.023"	"0.167"	"1.189"	"8.931"	"2.963"	"24.099"	"374.411"	"421.352"	"320.173"	"0.021"	"8.152"	"0.001"
"1927"	"0"	"1.339"	"0.705"	"0"	"3.688"	"79.222"	"617.327"	"359.695"	"105.251"	"16.089"	"35.779"	"12.816"
"1928"	"0"	"1.751"	"0.852"	"0"	"0.361"	"65.075"	"305.595"	"197.454"	"158.774"	"48.513"	"83.409"	"11.333"
"1929"	"0.794"	"1.053"	"0"	"6.052"	"0"	"184.913"	"427.072"	"178.147"	"36.564"	"3.529"	"0.201"	"3.756"
"1930"	"8.943"	"0"	"0"	"0.105"	"5.737"	"117.517"	"379.976"	"202.119"	"235.272"	"16.991"	"1.117"	"0"
"1931"	"0"	"0"	"0"	"0"	"0.105"	"59.262"	"233.832"	"492.906"	"187.77"	"68.357"	"4.377"	"2.361"
"1932"	"0"	"1.009"	"4.435"	"0.303"	"0"	"59.489"	"447.987"	"198.338"	"173.142"	"16.576"	"0.201"	"0"
"1933"	"0"	"0.199"	"0.24"	"2.12"	"18.703"	"212.509"	"315.387"	"514.054"	"306.753"	"1.901"	"15.119"	"4.872"
"1934"	"0.853"	"0"	"1.41"	"0"	"0"	"320.087"	"376.222"	"539.074"	"204.474"	"4.218"	"39.805"	"0"
"1935"	"1.733"	"0.004"	"0"	"3.726"	"1.073"	"47.208"	"456.46"	"109.364"	"286.7"	"16.975"	"0.466"	"0"
"1936"	"0"	"0.315"	"19.864"	"0.49"	"10.198"	"186.947"	"150.734"	"67.321"	"211.045"	"0.021"	"73.619"	"0"
"1937"	"0"	"0.726"	"0.276"	"0"	"0"	"220.779"	"455.45"	"31.359"	"345.539"	"5.294"	"0.201"	"1.881"
"1938"	"0.021"	"0"	"1.847"	"0.042"	"18.305"	"321.707"	"415.734"	"179.207"	"112.303"	"17.188"	"0.304"	"0"
"1939"	"0"	"2.28"	"12.87"	"0"	"0"	"19.179"	"225.445"	"314.514"	"192.042"	"1.215"	"4.405"	"1.978"
"1940"	"1.226"	"2.373"	"2.33"	"6.983"	"7.972"	"187.531"	"252.99"	"236.277"	"60.372"	"11.34"	"34.773"	"0.125"
"1941"	"1.478"	"7.075"	"1.542"	"0.333"	"0.136"	"9.887"	"498.337"	"453.005"	"124.146"	"0.427"	"0.201"	"0.594"
"1942"	"0.916"	"1.473"	"0"	"0.626"	"19.051"	"72.527"	"532.859"	"378.741"	"109.566"	"0.021"	"0.201"	"5.164"
"1943"	"0.259"	"0"	"0"	"2.106"	"2.834"	"110.813"	"363.347"	"114.68"	"241.78"	"10.445"	"0.201"	"0"
"1944"	"1.054"	"0"	"6.714"	"0"	"0.26"	"196.563"	"561.796"	"630.771"	"118.16"	"8.799"	"0.201"	"0"
"1945"	"2.55"	"0"	"0"	"0.375"	"16.856"	"261.515"	"347.072"	"289.999"	"233.29"	"0.687"	"0.201"	"0"
