
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.3"	"4.12"	"5.82"	"6.93"	"7.51"	"6.71"	"5.11"	"4.32"	"4.71"	"5.08"	"4"	"3.41"
"1902"	"3.55"	"4.44"	"6.02"	"7.08"	"7.49"	"6.57"	"5.12"	"4.45"	"4.66"	"4.93"	"3.89"	"3.24"
"1903"	"3.44"	"4.17"	"5.49"	"6.74"	"7.41"	"6.65"	"5.09"	"4.37"	"4.66"	"4.88"	"3.74"	"3.21"
"1904"	"3.46"	"4.27"	"5.55"	"7.02"	"7.46"	"6.43"	"4.94"	"4.35"	"4.7"	"4.96"	"3.91"	"3.32"
"1905"	"3.31"	"3.89"	"5.44"	"6.65"	"7.67"	"6.57"	"4.96"	"4.43"	"4.7"	"4.96"	"4.04"	"3.29"
"1906"	"3.27"	"4.08"	"5.59"	"6.88"	"7.58"	"6.39"	"4.95"	"4.37"	"4.59"	"4.87"	"4"	"3.31"
"1907"	"3.51"	"4.24"	"5.6"	"6.74"	"7.25"	"6.53"	"5.18"	"4.23"	"4.61"	"4.98"	"4.03"	"3.21"
"1908"	"3.39"	"4.22"	"5.54"	"6.99"	"7.39"	"6.5"	"4.83"	"4.25"	"4.61"	"4.89"	"3.9"	"3.21"
"1909"	"3.42"	"4.27"	"5.81"	"6.77"	"7.37"	"6.42"	"4.89"	"4.25"	"4.57"	"4.82"	"3.92"	"3.25"
"1910"	"3.42"	"4.31"	"5.71"	"6.81"	"7.36"	"6.33"	"4.85"	"4.32"	"4.63"	"4.76"	"3.75"	"3.28"
"1911"	"3.54"	"4.27"	"5.47"	"6.81"	"7.54"	"6.33"	"5.08"	"4.37"	"4.62"	"4.98"	"3.91"	"3.43"
"1912"	"3.53"	"4.47"	"5.66"	"6.97"	"7.54"	"6.66"	"5.01"	"4.3"	"4.61"	"4.91"	"3.83"	"3.25"
"1913"	"3.41"	"4.31"	"5.47"	"7.05"	"7.33"	"6.37"	"4.95"	"4.26"	"4.67"	"5.01"	"3.98"	"3.3"
"1914"	"3.59"	"4.28"	"5.6"	"6.92"	"7.6"	"6.4"	"4.94"	"4.34"	"4.7"	"4.95"	"4.07"	"3.26"
"1915"	"3.45"	"4.18"	"5.78"	"6.87"	"7.54"	"6.74"	"5.16"	"4.41"	"4.83"	"5.04"	"4.02"	"3.34"
