
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.414"	"7.941"	"9.976"	"13.156"	"19.51"	"28.862"	"30.425"	"27.371"	"26.115"	"13.629"	"11.592"	"9.995"
"1902"	"9.384"	"8.881"	"10.796"	"13.903"	"19.521"	"27.506"	"30.463"	"29.143"	"25.903"	"12.811"	"10.83"	"9.444"
"1903"	"8.905"	"8.583"	"8.769"	"12.117"	"18.978"	"28.772"	"30.719"	"27.42"	"25.866"	"12.301"	"10.249"	"9.241"
"1904"	"8.905"	"8.802"	"9.375"	"13.285"	"19.15"	"26.912"	"28.87"	"27.392"	"26.063"	"12.843"	"10.71"	"9.943"
"1905"	"8.274"	"7.119"	"8.876"	"11.748"	"20.46"	"27.562"	"28.97"	"28.832"	"26.05"	"13.193"	"11.761"	"9.943"
"1906"	"8.274"	"8.12"	"9.126"	"12.943"	"20.366"	"26.843"	"28.918"	"28.015"	"25.47"	"12.632"	"11.677"	"9.943"
"1907"	"9.125"	"8.573"	"9.376"	"12.345"	"18.181"	"27.59"	"31.841"	"27.471"	"25.903"	"13.54"	"11.677"	"9.295"
"1908"	"8.874"	"8.682"	"9.328"	"13.134"	"19.191"	"27.225"	"28.036"	"27.371"	"25.715"	"12.358"	"10.762"	"9.194"
"1909"	"8.874"	"8.982"	"10.396"	"12.264"	"18.776"	"26.843"	"28.897"	"27.371"	"24.872"	"11.909"	"10.812"	"9.521"
"1910"	"8.895"	"8.671"	"9.976"	"12.55"	"19.16"	"26.28"	"28.331"	"27.372"	"25.846"	"12.02"	"10.081"	"9.722"
"1911"	"9.522"	"8.671"	"8.749"	"12.379"	"19.405"	"26.739"	"30.151"	"27.371"	"25.903"	"12.948"	"10.955"	"10.19"
"1912"	"9.304"	"9.782"	"9.606"	"13.234"	"19.384"	"28.888"	"28.85"	"27.371"	"25.956"	"13.01"	"10.809"	"9.763"
"1913"	"8.763"	"9.082"	"8.796"	"13.286"	"19.191"	"26.822"	"28.928"	"27.695"	"25.924"	"13.441"	"11.677"	"9.943"
"1914"	"9.475"	"8.94"	"9.406"	"13.145"	"20.28"	"26.912"	"28.918"	"27.371"	"25.935"	"13.01"	"11.593"	"9.701"
