
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.593"	"0"	"0.6325"	"0.5881"	"1"	"3.2436"	"12.9681"	"8.6966"	"1.9766"	"1.4332"	"0.2"	"0.5213"
"1902"	"0.6243"	"0"	"0"	"0.1803"	"1"	"3.617"	"8.48"	"10.729"	"6.9028"	"1.0696"	"1.4717"	"1"
"1903"	"0.0622"	"0"	"0"	"0"	"1"	"2.753"	"15.7467"	"10.2615"	"7.2585"	"0.9427"	"0.2"	"0"
"1904"	"0"	"1"	"1"	"0"	"1"	"3.3138"	"9.2004"	"5.3669"	"5.4581"	"1.1679"	"0.2"	"0.6192"
"1905"	"0.1042"	"0.5205"	"0.8543"	"0.2919"	"0.9996"	"2.4474"	"13.9924"	"4.0563"	"6.1846"	"0.0206"	"0.3041"	"0"
"1906"	"0"	"0.74"	"0"	"0"	"0"	"5.8703"	"14.0209"	"10.2174"	"6.2124"	"0.4856"	"0.2"	"0.81"
"1907"	"0.6243"	"0.7771"	"0"	"0.9979"	"0.0626"	"3.4955"	"11.9956"	"13.2313"	"1.0375"	"0.0206"	"1.1043"	"0"
"1908"	"0.9628"	"0.0022"	"0.9957"	"0.3886"	"0"	"4.3718"	"17.5043"	"12.6308"	"4.1525"	"0.0206"	"0.6671"	"0"
"1909"	"0.5934"	"0.0043"	"0.132"	"1"	"0.9996"	"5.1743"	"13.7947"	"9.0878"	"8.1532"	"0.0622"	"0.2"	"1"
"1910"	"1.0074"	"0"	"0"	"1"	"1"	"7.5754"	"9.7804"	"12.0334"	"4.526"	"1.2367"	"1.1045"	"0"
"1911"	"1.1246"	"0"	"1"	"0"	"0"	"5.4206"	"5.6665"	"6.977"	"4.5385"	"0.2112"	"1.8804"	"0"
"1912"	"0"	"0.0524"	"0"	"0.0039"	"0.2312"	"4.724"	"13.6365"	"11.3767"	"3.3554"	"1.5099"	"2.5366"	"0"
"1913"	"0"	"0.0206"	"0.132"	"0"	"1"	"6.3431"	"13.4367"	"8.1472"	"6.236"	"0.0206"	"1.1045"	"0.997"
"1914"	"0"	"0.6821"	"0"	"0.1042"	"1"	"6.3589"	"12.8687"	"7.9458"	"7.4046"	"1.0243"	"1.6729"	"0.7625"
"1915"	"0.6243"	"0.74"	"1"	"1"	"1"	"4.4137"	"9.0857"	"4.6605"	"4.5848"	"2.635"	"0.9628"	"0.9992"
"1916"	"0"	"0.1052"	"0"	"0"	"1"	"5.0696"	"10.4899"	"13.5286"	"7.6421"	"1.5196"	"1.1045"	"0"
"1917"	"0.0412"	"0.74"	"0"	"0.8854"	"1"	"6.3547"	"10.3571"	"11.7258"	"9.1036"	"2.0516"	"0.2"	"0.5213"
"1918"	"0"	"0"	"0.6116"	"0"	"1"	"4.3303"	"6.7421"	"8.6191"	"2.1168"	"0.0934"	"1.1045"	"0"
"1919"	"1.1259"	"0"	"0"	"0.5256"	"1"	"5.1286"	"12.4153"	"12.2012"	"4.8166"	"1.4414"	"1.655"	"0.8132"
"1920"	"0.2603"	"0.74"	"0.3378"	"0.0949"	"1"	"6.1034"	"12.9674"	"6.338"	"2.7157"	"0.0206"	"0.2"	"0"
"1921"	"0.4052"	"0"	"0"	"0"	"0"	"3.9872"	"12.7855"	"8.6654"	"7.5721"	"0.4774"	"0.2"	"0"
"1922"	"0.6243"	"0.2913"	"0"	"0"	"0.3132"	"4.4169"	"12.1596"	"5.9047"	"7.9265"	"0.871"	"1.5844"	"0.781"
"1923"	"0"	"0.1278"	"0.9979"	"0.6055"	"1"	"1.0083"	"13.6862"	"9.7297"	"5.4309"	"0.1457"	"0.332"	"0.0622"
"1924"	"0.6986"	"0"	"0.132"	"0"	"1"	"3.5917"	"11.7571"	"9.369"	"7.665"	"1.4901"	"0.2"	"1"
"1925"	"0"	"0"	"0"	"0"	"1"	"6.5909"	"8.7878"	"6.0888"	"2.9239"	"0.0206"	"2.3133"	"0.3714"
"1926"	"1.1151"	"0.1665"	"0.844"	"1"	"1"	"1.8548"	"12.5207"	"12.7423"	"8.8794"	"0.0206"	"1.1004"	"0.0009"
"1927"	"0"	"0.6286"	"0.6953"	"0"	"1"	"3.956"	"15.4163"	"11.6863"	"4.6124"	"1.2779"	"2.1383"	"1"
"1928"	"0"	"0.7016"	"0.4766"	"0"	"0.3606"	"3.4497"	"11.8357"	"9.0563"	"5.809"	"2.0019"	"1.9354"	"1"
"1929"	"0.5554"	"0.7008"	"0"	"0.9996"	"0"	"5.6056"	"13.5856"	"8.3029"	"2.9939"	"1.0196"	"0.2"	"1"
"1930"	"1"	"0"	"0"	"0.1042"	"0.9979"	"5.7332"	"12.1284"	"8.1237"	"5.9083"	"1.4025"	"0.833"	"0"
"1931"	"0"	"0"	"0"	"0"	"0.1042"	"3.0664"	"10.8099"	"13.9528"	"5.4136"	"2.9166"	"1.1045"	"0.9793"
"1932"	"0"	"0.6243"	"0.9987"	"0.302"	"0"	"3.5284"	"13.4447"	"10.7812"	"6.3959"	"1.0817"	"0.2"	"0"
"1933"	"0"	"0.1993"	"0.2398"	"0.802"	"1"	"6.6341"	"11.1394"	"13.8963"	"7.7439"	"1.0521"	"1.1045"	"0.9983"
"1934"	"0.6243"	"0"	"0.9893"	"0"	"0"	"7.2622"	"12.1109"	"13.4435"	"5.8189"	"1.0243"	"1.9477"	"0"
"1935"	"0.7003"	"0.0039"	"0"	"1"	"0.6872"	"3.3096"	"13.0869"	"7.1124"	"6.9583"	"1.2494"	"0.4648"	"0"
"1936"	"0"	"0.3154"	"1"	"0.4902"	"1"	"6.5685"	"6.6488"	"5.4543"	"6.3571"	"0.0206"	"2.66"	"0"
"1937"	"0"	"0.5975"	"0.2752"	"0"	"0"	"5.6955"	"15.8158"	"3.4886"	"7.7588"	"1.025"	"0.2"	"0.9983"
"1938"	"0.0206"	"0"	"0.9974"	"0.0416"	"1"	"7.9902"	"13.3263"	"9.2853"	"3.4369"	"2.0214"	"0.3041"	"0"
"1939"	"0"	"0.9049"	"1"	"0"	"0"	"2.5098"	"11.0875"	"12.0991"	"5.5704"	"0.8339"	"1.1025"	"0.8843"
"1940"	"0.7379"	"0.8143"	"0.9983"	"1"	"1"	"5.4936"	"11.702"	"10.353"	"3.6711"	"2.0674"	"1.4961"	"0.1251"
"1941"	"0.6986"	"0.9628"	"0.9957"	"0.3271"	"0.1355"	"2.4194"	"14.155"	"11.1371"	"4.525"	"0.4272"	"0.2"	"0.5213"
"1942"	"0.6986"	"0.6286"	"0"	"0.5213"	"1"	"4.049"	"15.1634"	"12.6774"	"5.0284"	"0.0206"	"0.2"	"0.997"
"1943"	"0.2594"	"0"	"0"	"0.9598"	"1"	"4.6433"	"14.4519"	"6.6053"	"7.4976"	"1.785"	"0.2"	"0"
"1944"	"0.7003"	"0"	"1"	"0"	"0.2602"	"4.2371"	"15.0709"	"14.5513"	"5.0865"	"1.1495"	"0.2"	"0"
"1945"	"0.7374"	"0"	"0"	"0.3748"	"1"	"6.3264"	"14.4914"	"11.2384"	"7.2899"	"0.6557"	"0.2"	"0"
"1946"	"0"	"0.7029"	"0"	"0.4907"	"1"	"7.2496"	"11.123"	"11.8044"	"4.1651"	"0.0206"	"2.5759"	"1"
