
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.399"	"18.128"	"25.426"	"30.337"	"35.001"	"35.667"	"31.134"	"27.05"	"28.508"	"28.574"	"22.231"	"18.573"
"1902"	"18.347"	"20.61"	"28.011"	"31.734"	"35.024"	"34.514"	"29.547"	"29.071"	"27.345"	"26.486"	"20.961"	"16.969"
"1903"	"17.236"	"18.806"	"24.219"	"29.263"	"33.209"	"35.983"	"30.859"	"27.5"	"27.376"	"25.917"	"20.328"	"16.679"
"1904"	"17.137"	"19.501"	"24.37"	"31.699"	"34.282"	"33.222"	"27.601"	"26.603"	"27.597"	"26.785"	"21.355"	"17.678"
"1905"	"15.943"	"15.082"	"22.725"	"28.395"	"35.877"	"35.702"	"29.934"	"28.62"	"29.129"	"27.885"	"23.435"	"18.174"
"1906"	"16.138"	"17.976"	"24.106"	"30.899"	"36.37"	"33.336"	"28.628"	"28.423"	"26.683"	"26.284"	"22.312"	"18.224"
"1907"	"18.417"	"18.483"	"23.698"	"28.771"	"32.777"	"34.44"	"31.935"	"26.891"	"28.249"	"27.893"	"22.495"	"16.574"
"1908"	"16.652"	"19.848"	"24.413"	"31.69"	"34.52"	"34.577"	"27.618"	"26.701"	"27.415"	"26.414"	"21.385"	"16.853"
"1909"	"17.21"	"19.341"	"26.679"	"28.775"	"33.808"	"32.18"	"27.72"	"26.919"	"26.977"	"26.732"	"22.755"	"16.883"
"1910"	"16.575"	"20.06"	"25.492"	"29.857"	"34.567"	"31.433"	"28.452"	"27.596"	"27.4"	"25.207"	"20.352"	"17.8"
"1911"	"18.922"	"19.97"	"23.371"	"30.391"	"35.67"	"32.559"	"30.847"	"28.775"	"26.863"	"27.322"	"20.574"	"17.849"
"1912"	"18.147"	"21.136"	"24.772"	"30.823"	"34.979"	"35.389"	"29.486"	"27.312"	"26.88"	"26.607"	"20.507"	"17.204"
"1913"	"17.411"	"19.561"	"23.473"	"31.984"	"33.105"	"31.549"	"29.06"	"27.94"	"28.845"	"28.581"	"21.916"	"17.578"
"1914"	"19.089"	"19.851"	"24.62"	"30.688"	"34.809"	"32.537"	"28.534"	"27.644"	"28.178"	"26.939"	"23.107"	"17.404"
"1915"	"17.219"	"17.687"	"24.955"	"30.366"	"35.576"	"35.175"	"31.499"	"28.279"	"29.961"	"28.088"	"22.169"	"18.527"
"1916"	"17.998"	"19.15"	"27.62"	"31.843"	"34.449"	"31.116"	"29.995"	"27.104"	"27.734"	"25.669"	"19.817"	"16.655"
"1917"	"17.804"	"19.578"	"24.603"	"28.371"	"31.358"	"31.46"	"27.646"	"26.826"	"26.578"	"24.904"	"19.048"	"17.478"
"1918"	"15.678"	"20.202"	"25.22"	"28.91"	"35.621"	"32.765"	"30.885"	"28.444"	"28.43"	"27.888"	"22.336"	"16.505"
"1919"	"17.151"	"18.76"	"25.804"	"29.896"	"33.633"	"33.831"	"27.914"	"26.753"	"27.129"	"26.237"	"21.389"	"16.885"
"1920"	"17.192"	"19.455"	"25.871"	"30.256"	"31.374"	"32.061"	"27.638"	"27.36"	"29.224"	"28.461"	"23.03"	"18.618"
"1921"	"17.916"	"20.161"	"27.869"	"32.656"	"35.787"	"34.041"	"31.434"	"27.168"	"26.368"	"26.408"	"21.607"	"19.468"
"1922"	"16.542"	"21.161"	"26.421"	"31.343"	"34.594"	"32.797"	"28.667"	"26.982"	"26.756"	"26.263"	"21.276"	"17.101"
"1923"	"17.073"	"19.155"	"25.794"	"31.141"	"33.532"	"35.883"	"29.208"	"26.271"	"27.447"	"25.907"	"21.479"	"17.787"
"1924"	"16.327"	"19.788"	"26.921"	"31.642"	"32.638"	"34.554"	"28.994"	"27.102"	"26.733"	"25.226"	"20.245"	"17.227"
"1925"	"15.263"	"17.973"	"25.763"	"32.366"	"33.062"	"30.522"	"27.026"	"28.569"	"29.071"	"27.906"	"21.203"	"17.391"
"1926"	"17.658"	"21.658"	"23.936"	"27.147"	"32.435"	"35.517"	"29.534"	"27.393"	"26.578"	"25.285"	"19.04"	"15.869"
"1927"	"14.897"	"17.412"	"23.36"	"29.499"	"33.623"	"33.759"	"28.611"	"26.801"	"27.352"	"26.191"	"19.256"	"17.603"
"1928"	"16.496"	"19.65"	"25.322"	"30.183"	"34.843"	"33.456"	"28.612"	"28.027"	"28.067"	"26.68"	"22.055"	"16.582"
"1929"	"16.243"	"17.817"	"26.719"	"30.69"	"34.722"	"33.487"	"28.368"	"27.022"	"28.344"	"26.791"	"22.614"	"16.679"
"1930"	"17.171"	"19.423"	"26.22"	"29.842"	"33.552"	"33.364"	"27.795"	"27.467"	"28.93"	"28.115"	"21.156"	"18.2"
"1931"	"18.975"	"18.485"	"24.916"	"32.232"	"34.919"	"35.368"	"29.905"	"27.71"	"27.383"	"25.297"	"21.284"	"17.999"
"1932"	"20.065"	"18.925"	"25.168"	"29.912"	"33.964"	"34.332"	"29.302"	"27.399"	"28.153"	"27.169"	"20.684"	"18.048"
"1933"	"15.843"	"20.206"	"25.391"	"28.87"	"31.577"	"32.318"	"28.807"	"27.041"	"26.352"	"25.515"	"21.185"	"17.65"
"1934"	"15.768"	"20.812"	"24.257"	"30.586"	"33.856"	"32.882"	"28.266"	"27.099"	"26.615"	"25.321"	"20.935"	"17.858"
