
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.714"	"70.178"	"49.426"	"20.847"	"12.103"	"13.756"
"1902"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"49.114"	"70.741"	"70.244"	"49.426"	"20.847"	"12.103"	"13.756"
"1903"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.284"	"49.426"	"20.847"	"12.103"	"13.756"
"1904"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.616"	"70.284"	"49.426"	"20.847"	"12.103"	"13.756"
"1905"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.284"	"49.426"	"20.847"	"12.103"	"13.756"
"1906"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.284"	"49.426"	"20.714"	"12.103"	"13.756"
"1907"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.71"	"70.284"	"49.426"	"21.361"	"12.651"	"13.657"
"1908"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.284"	"49.426"	"20.847"	"12.103"	"13.756"
"1909"	"17.72"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.178"	"49.426"	"20.847"	"12.103"	"13.756"
"1910"	"17.722"	"13.966"	"25.675"	"22.789"	"26.372"	"48.698"	"70.889"	"70.284"	"49.426"	"20.847"	"12.103"	"13.756"
"1911"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.284"	"49.426"	"20.847"	"12.101"	"13.756"
"1912"	"17.722"	"13.966"	"25.675"	"22.63"	"26.525"	"48.698"	"70.282"	"70.28"	"49.422"	"20.847"	"11.909"	"13.756"
"1913"	"17.722"	"13.966"	"25.675"	"22.789"	"26.092"	"48.696"	"70.942"	"70.284"	"49.426"	"20.847"	"12.103"	"13.756"
"1914"	"17.722"	"13.966"	"25.675"	"22.789"	"26.399"	"48.47"	"70.553"	"70.284"	"49.184"	"20.847"	"12.103"	"13.756"
"1915"	"17.722"	"13.966"	"25.374"	"22.789"	"26.056"	"48.627"	"70.735"	"69.796"	"49.204"	"20.847"	"11.957"	"13.756"
"1916"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.414"	"70.284"	"49.426"	"20.754"	"12.103"	"13.756"
"1917"	"17.72"	"13.745"	"25.675"	"22.192"	"25.93"	"48.45"	"70.215"	"69.943"	"49.426"	"20.847"	"12.103"	"13.756"
"1918"	"17.722"	"13.966"	"25.675"	"22.789"	"26.319"	"49.003"	"70.785"	"70.284"	"49.363"	"20.807"	"12.103"	"13.601"
"1919"	"17.722"	"13.966"	"25.675"	"22.451"	"26.525"	"48.698"	"70.741"	"70.181"	"49.184"	"20.272"	"11.608"	"13.756"
"1920"	"17.817"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"69.643"	"49.426"	"20.523"	"12.103"	"13.756"
"1921"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"69.976"	"70.161"	"49.426"	"20.575"	"12.103"	"13.756"
"1922"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.181"	"49.426"	"20.847"	"12.103"	"13.756"
"1923"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.801"	"70.889"	"70.284"	"49.426"	"20.575"	"11.557"	"13.299"
"1924"	"17.575"	"13.64"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.284"	"49.426"	"20.47"	"12.103"	"13.756"
"1925"	"17.722"	"13.346"	"25.119"	"22.451"	"25.871"	"49.003"	"70.606"	"69.836"	"49.386"	"20.847"	"11.559"	"12.887"
"1926"	"17.72"	"13.966"	"25.673"	"23.037"	"26.517"	"48.698"	"70.741"	"70.284"	"49.426"	"20.714"	"12.103"	"13.756"
"1927"	"17.722"	"13.966"	"25.547"	"22.789"	"26.525"	"48.698"	"70.741"	"70.284"	"49.426"	"20.847"	"12.103"	"13.756"
"1928"	"17.722"	"13.966"	"25.675"	"22.789"	"26.525"	"48.698"	"70.741"	"70.284"	"49.426"	"20.847"	"12.103"	"13.756"
"1929"	"17.672"	"13.966"	"25.517"	"22.046"	"26.525"	"48.698"	"70.857"	"70.284"	"49.426"	"20.714"	"12.103"	"14.077"
"1930"	"17.722"	"13.966"	"25.222"	"22.787"	"26.158"	"48.763"	"70.805"	"70.284"	"49.879"	"20.847"	"11.509"	"13.756"
"1931"	"15.306"	"16.163"	"21.42"	"16.53"	"22.115"	"36.075"	"66.631"	"67.69"	"46.668"	"22.914"	"3.756"	"10.07"
"1932"	"15.113"	"9.77"	"23.201"	"19.733"	"21.687"	"43.827"	"66.834"	"69.407"	"43.241"	"12.399"	"0.377"	"10.901"
"1933"	"15.839"	"12.921"	"21.7"	"21.819"	"29.258"	"46.588"	"69.311"	"72.878"	"52.459"	"18.511"	"6.395"	"10.826"
"1934"	"16.237"	"6.618"	"24.62"	"14.998"	"21.695"	"44.564"	"70.377"	"69.546"	"44.481"	"7.716"	"9.381"	"14.481"
"1935"	"17.904"	"17.332"	"21.313"	"24.366"	"19.956"	"29.129"	"66.273"	"68.89"	"44.841"	"13.609"	"7.234"	"11.939"
"1936"	"10.981"	"14.589"	"23.018"	"19.087"	"24.114"	"51.839"	"69.407"	"68.751"	"47.489"	"18.953"	"10.104"	"16.317"
"1937"	"14.442"	"18.856"	"23.823"	"19.684"	"23.769"	"40.965"	"69.363"	"68.699"	"44.961"	"16.478"	"8.142"	"11.676"
"1938"	"19.023"	"14.649"	"22.631"	"16.058"	"25.012"	"51.408"	"62.729"	"67.864"	"42.79"	"12.977"	"7.794"	"8.209"
"1939"	"12.854"	"17.541"	"27.949"	"17.974"	"20.047"	"51.17"	"66.851"	"64.798"	"44.186"	"15.39"	"2.378"	"9.114"
"1940"	"18.105"	"16.423"	"27.508"	"20.002"	"23.109"	"47.57"	"66.81"	"68.89"	"44.901"	"12.424"	"5.69"	"10.003"
"1941"	"17.355"	"10.261"	"22.611"	"17.945"	"26.793"	"51.602"	"66.823"	"67.421"	"46.982"	"17.959"	"0.564"	"8.581"
"1942"	"18.597"	"14.853"	"19.481"	"18.843"	"25.685"	"38.244"	"71.909"	"68.89"	"48.128"	"16.755"	"5.317"	"12.24"
"1943"	"23.409"	"4.348"	"18.496"	"17.915"	"22.406"	"44.072"	"69.312"	"68.739"	"46.429"	"10.191"	"0.929"	"9.438"
"1944"	"17.362"	"16.759"	"25.779"	"20.122"	"18.375"	"38.785"	"68.425"	"71.009"	"46.622"	"9.784"	"3.107"	"8.675"
"1945"	"17.264"	"4.96"	"18.396"	"21.319"	"19.92"	"38.594"	"67.362"	"68.89"	"49.476"	"20.575"	"1.121"	"8.627"
"1946"	"12.097"	"6.849"	"18.827"	"16.23"	"27.591"	"48.189"	"68.131"	"69.931"	"44.777"	"19.596"	"2.646"	"10.765"
