
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.3822"	"0.7048"	"0.266"	"0.4794"	"0"	"0"	"0"	"0.1066"	"0"	"0"	"0.1197"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.05"	"0.1965"	"0.3873"	"0.5939"
"1903"	"0"	"0.4224"	"1.0227"	"0.9611"	"0.1958"	"0"	"0"	"0"	"0.0027"	"0.2874"	"0.8987"	"0.7266"
"1904"	"0.0068"	"0.0894"	"0.8199"	"0"	"0.0288"	"0.0004"	"0.2559"	"0.1179"	"0.0479"	"0.0047"	"0.5196"	"0.2068"
"1905"	"1.6205"	"1.0837"	"1.6419"	"1.2342"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0063"
"1906"	"1.2503"	"0.6294"	"1.167"	"0.085"	"0"	"0"	"0.0307"	"0"	"0.2306"	"0.0801"	"0.0071"	"0"
"1907"	"0"	"0.5407"	"1.3285"	"1.2482"	"0.4203"	"0"	"0"	"0.0927"	"0"	"0"	"0"	"0.8894"
"1908"	"0.6718"	"0.0607"	"0.8337"	"0"	"0"	"0"	"0.2342"	"0.1353"	"0.0302"	"0.2735"	"0.5736"	"0.7204"
"1909"	"0.5493"	"0.252"	"0"	"1.122"	"0.0711"	"0.1475"	"0.2776"	"0.0762"	"0.1919"	"0.2188"	"0.0508"	"0.5237"
"1910"	"0.8512"	"0.0606"	"0.041"	"0.6242"	"0"	"0.2555"	"0.0788"	"0"	"0.0169"	"0.968"	"0.6746"	"0.3326"
"1911"	"0"	"0.0812"	"1.3182"	"0.337"	"0"	"0.056"	"0"	"0"	"0.1892"	"0"	"0.7224"	"0.2593"
"1912"	"0"	"0"	"0.6456"	"0.0618"	"0"	"0"	"0"	"0"	"0.1389"	"0.1292"	"0.8783"	"0.5993"
"1913"	"0"	"0.1252"	"1.3325"	"0"	"0.4132"	"0.3935"	"0"	"0"	"0"	"0"	"0.2144"	"0.1779"
"1914"	"0"	"0.1357"	"0.7378"	"0.2"	"0"	"0.006"	"0.0633"	"0"	"0"	"0.148"	"0"	"0.3709"
"1915"	"0.0247"	"0.6125"	"0.4839"	"0.338"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2239"	"0.0009"
"1916"	"0"	"0.3553"	"0"	"0"	"0"	"0.4048"	"0"	"0"	"0"	"0.7014"	"0.9207"	"0.932"
"1917"	"0"	"0.2025"	"0.7091"	"1.2537"	"0.8183"	"0.3142"	"0.2373"	"0.1214"	"0.2809"	"0.9651"	"1.0616"	"0.2163"
"1918"	"1.9643"	"0"	"0.4365"	"1.0419"	"0"	"0.1453"	"0"	"0"	"0"	"0"	"0.0652"	"0.7996"
"1919"	"0.0847"	"0.3352"	"0.0109"	"0.5746"	"0.1745"	"0"	"0.1907"	"0.0577"	"0.0893"	"0.3188"	"0.3829"	"0.6564"
"1920"	"0.0635"	"0.2425"	"0.0232"	"0.3856"	"0.8558"	"0.2395"	"0.2687"	"0"	"0"	"0"	"0"	"0"
"1921"	"0"	"0.0689"	"0"	"0"	"0"	"0"	"0"	"0"	"0.277"	"0.4009"	"0.5425"	"0"
"1922"	"0.8843"	"0"	"0"	"0"	"0"	"0.0292"	"0.0184"	"0.002"	"0.2103"	"0.3995"	"0.553"	"0.6"
"1923"	"0.05"	"0.2886"	"0"	"0"	"0.1833"	"0"	"0"	"0.2868"	"0.0086"	"0.5633"	"0.4287"	"0.1726"
"1924"	"0.9325"	"0.1093"	"0"	"0"	"0.4573"	"0"	"0"	"0"	"0.2262"	"0.8967"	"0.8888"	"0.4499"
"1925"	"2.3897"	"0.6851"	"0.1203"	"0"	"0.3857"	"0.4692"	"0.4874"	"0"	"0"	"0"	"0.5148"	"0.3707"
"1926"	"0"	"0"	"0.9354"	"1.557"	"0.4936"	"0"	"0"	"0"	"0.2301"	"0.7653"	"1.0711"	"0.8528"
"1927"	"2.1917"	"0.7497"	"1.3309"	"0.7805"	"0.2079"	"0"	"0.0826"	"0.0784"	"0.1107"	"0.2674"	"0.9535"	"0.2362"
"1928"	"0.9012"	"0.1384"	"0.0775"	"0.4693"	"0"	"0"	"0.008"	"0"	"0"	"0.1091"	"0.1544"	"0.6343"
"1929"	"0.885"	"0.6286"	"0"	"0.1263"	"0"	"0"	"0.1554"	"0.1832"	"0"	"0.1832"	"0.0187"	"0.8199"
"1930"	"0.2572"	"0.289"	"0"	"0.601"	"0.0857"	"0"	"0.2733"	"0"	"0"	"0"	"0.5915"	"0.015"
"1931"	"0"	"0.4811"	"0.5543"	"0"	"0"	"0"	"0"	"0"	"0.0747"	"0.7688"	"0.5765"	"0.1424"
"1932"	"0"	"0.2912"	"0.4252"	"0.5077"	"0.0387"	"0"	"0"	"0.0281"	"0"	"0.0128"	"0.7464"	"0.1392"
"1933"	"1.8275"	"0"	"0.1412"	"0.9603"	"0.8094"	"0.1625"	"0.0072"	"0.0567"	"0.3224"	"0.7626"	"0.4771"	"0.1391"
"1934"	"1.8554"	"0"	"0.9268"	"0.2816"	"0.0083"	"0.0299"	"0.1212"	"0.0146"	"0.3043"	"0.9361"	"0.7251"	"0.1483"
"1935"	"2.2562"	"0.0361"	"0.4352"	"1.4352"	"0"	"0"	"0.1201"	"0.087"	"0.1798"	"0.7717"	"0.1734"	"0.4344"
"1936"	"2.2894"	"0.1487"	"0.7019"	"0.6945"	"0"	"0.396"	"0.0753"	"0"	"0.0344"	"0.4206"	"0.4062"	"0.4614"
"1937"	"1.3177"	"0.0406"	"1.3164"	"0.9215"	"0"	"0"	"0.2456"	"0"	"0.0116"	"0.5455"	"0.0216"	"0.816"
"1938"	"0.3165"	"0.6135"	"0"	"0"	"0"	"0.5627"	"0.003"	"0"	"0"	"0"	"0.7486"	"0.2738"
"1939"	"0"	"0.113"	"1.5383"	"1.0171"	"0.0003"	"0.1241"	"0.0273"	"0"	"0.0189"	"0"	"0.325"	"0.1686"
"1940"	"0.0009"	"0.1819"	"1.363"	"0.891"	"0"	"0"	"0"	"0.0901"	"0.0212"	"0.1271"	"0.0118"	"0.3061"
"1941"	"0.7978"	"0.0012"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0094"	"0"
"1942"	"2.0272"	"0"	"0"	"0"	"0"	"0"	"0.2654"	"0.1181"	"0.2418"	"0.2012"	"0.2099"	"0.6657"
"1943"	"0.1302"	"0.2053"	"0"	"0.7725"	"0"	"0.0922"	"0.1221"	"0.2252"	"0.0111"	"0.4996"	"0"	"0.0563"
"1944"	"0.9299"	"0.2975"	"1.2635"	"0.7199"	"0"	"0.043"	"0.2242"	"0.0603"	"0.0009"	"0.9719"	"0.3793"	"0"
"1945"	"2.3372"	"0.354"	"0"	"0.9572"	"0.0119"	"0"	"0.1232"	"0"	"0.1952"	"0.7206"	"0.6149"	"1.069"
"1946"	"0"	"0"	"0.5404"	"0"	"0"	"0.1801"	"0.1188"	"0.1637"	"0.1366"	"0.0017"	"0.7873"	"0.0624"
"1947"	"2.1816"	"0.1721"	"0"	"0.0264"	"0"	"0"	"0.0013"	"0"	"0.3082"	"1.0335"	"0.2045"	"0.0012"
"1948"	"0.6628"	"0.3672"	"0.583"	"0"	"0"	"0"	"0.0009"	"0"	"0.1153"	"0.0001"	"0.5322"	"0.2158"
"1949"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1563"	"0.7151"	"0.5351"
"1950"	"0"	"0.6327"	"0.9168"	"0.8582"	"0"	"0"	"0.1112"	"0"	"0.1216"	"0.5557"	"0.8471"	"0.8793"
"1951"	"1.5385"	"0.3339"	"0.2885"	"1.1337"	"0.0153"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2353"
"1952"	"0"	"0"	"0.2562"	"0"	"0"	"0.0956"	"0.1582"	"0.2267"	"0"	"0"	"0.285"	"0"
"1953"	"1.245"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1673"	"0.2607"	"0"
"1954"	"0.9626"	"0"	"0.0061"	"0"	"0"	"0"	"0"	"0"	"0.2422"	"1.0336"	"0.1108"	"0.1349"
"1955"	"0.1478"	"0"	"0"	"1.0863"	"0.0023"	"0"	"0"	"0"	"0.0559"	"0.9365"	"0.7559"	"0.1325"
"1956"	"0.031"	"0.1455"	"0"	"0"	"0"	"0.2411"	"0.4718"	"0.1878"	"0.0966"	"0.9402"	"0.8797"	"0.0085"
"1957"	"0.842"	"0.598"	"1.3199"	"0.6863"	"0.355"	"0"	"0"	"0"	"0.2081"	"0.0385"	"0"	"0.001"
"1958"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1534"	"0"	"0.255"	"0.757"	"0.0626"	"0"
"1959"	"0.0046"	"0.2778"	"0"	"0"	"0.0002"	"0"	"0.1253"	"0.0895"	"0.1807"	"0.0756"	"0.3668"	"0"
"1960"	"1.7001"	"0"	"0.6895"	"0.6383"	"0.012"	"0"	"0"	"0.3134"	"0"	"0.5278"	"0.5924"	"0"
"1961"	"1.1016"	"0.7279"	"0"	"0.3866"	"0"	"0.0781"	"0.025"	"0"	"0.1243"	"0.8141"	"0.3485"	"0.8751"
"1962"	"2.087"	"0.0184"	"0.4628"	"0.1018"	"0.1572"	"0"	"0.1027"	"0.2914"	"0.4335"	"1.1576"	"0.3861"	"0"
"1963"	"1.7711"	"0"	"0"	"0.1427"	"0.2639"	"0"	"0"	"0.2084"	"0.0821"	"0.0058"	"0"	"0"
"1964"	"1.459"	"0.0018"	"0"	"0"	"0.1926"	"0.1619"	"0"	"0"	"0.0342"	"0"	"0.5772"	"0"
"1965"	"0"	"0"	"0.2482"	"0.557"	"0.0073"	"0"	"0"	"0"	"0.0008"	"0"	"0"	"0.1652"
"1966"	"0.0927"	"0"	"0.001"	"0.0351"	"0.0193"	"0.057"	"0"	"0.0744"	"0"	"0"	"0"	"0.3635"
"1967"	"1.7496"	"0"	"1.1972"	"0.9321"	"0.0309"	"0.1452"	"0.0506"	"0.3792"	"0.505"	"0.1663"	"0"	"0"
