
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.908"	"26.053"	"33.63"	"38.112"	"42.14"	"41.657"	"35.218"	"30.455"	"33.198"	"35.57"	"29.933"	"26.176"
"1902"	"25.902"	"28.536"	"36.214"	"39.508"	"42.163"	"40.504"	"33.628"	"32.474"	"32.035"	"33.486"	"28.661"	"24.571"
"1903"	"24.789"	"26.731"	"32.423"	"37.037"	"40.377"	"41.977"	"34.941"	"30.903"	"32.066"	"32.915"	"28.029"	"24.277"
"1904"	"24.691"	"27.426"	"32.573"	"39.449"	"41.45"	"39.21"	"31.681"	"30.006"	"32.287"	"33.782"	"29.055"	"25.276"
"1905"	"23.459"	"23.006"	"30.929"	"36.169"	"43.046"	"41.695"	"34.015"	"32.022"	"33.82"	"34.887"	"31.136"	"25.774"
"1906"	"23.691"	"25.902"	"32.312"	"38.674"	"43.538"	"39.323"	"32.709"	"31.795"	"31.374"	"33.283"	"30.012"	"25.827"
"1907"	"25.973"	"26.406"	"31.902"	"36.547"	"39.943"	"40.433"	"36.018"	"30.294"	"32.94"	"34.89"	"30.194"	"24.176"
"1908"	"24.207"	"27.774"	"32.617"	"39.465"	"41.657"	"40.569"	"31.699"	"30.104"	"32.108"	"33.413"	"29.086"	"24.455"
"1909"	"24.764"	"27.267"	"34.884"	"36.552"	"40.978"	"38.169"	"31.8"	"30.322"	"31.666"	"33.73"	"30.455"	"24.482"
"1910"	"24.13"	"27.986"	"33.692"	"37.632"	"41.734"	"37.385"	"32.532"	"31"	"32.092"	"32.206"	"28.053"	"25.402"
"1911"	"26.477"	"27.893"	"31.577"	"38.167"	"42.838"	"38.553"	"34.929"	"32.148"	"31.555"	"34.32"	"28.276"	"25.452"
"1912"	"25.701"	"29.061"	"32.977"	"38.595"	"42.117"	"41.379"	"33.566"	"30.715"	"31.569"	"33.564"	"28.209"	"24.803"
"1913"	"24.966"	"27.486"	"31.677"	"39.762"	"40.272"	"37.542"	"33.142"	"31.344"	"33.535"	"35.541"	"29.617"	"25.18"
"1914"	"26.646"	"27.776"	"32.82"	"38.465"	"41.978"	"38.527"	"32.615"	"31.047"	"32.869"	"33.936"	"30.805"	"25.003"
"1915"	"24.773"	"25.612"	"33.155"	"38.14"	"42.744"	"41.165"	"35.578"	"31.651"	"34.655"	"35.085"	"29.869"	"26.131"
"1916"	"25.512"	"27.074"	"35.819"	"39.615"	"41.618"	"37.109"	"34.074"	"30.509"	"32.426"	"32.628"	"27.518"	"24.257"
"1917"	"25.358"	"27.504"	"32.808"	"36.142"	"38.526"	"37.452"	"31.725"	"30.229"	"31.27"	"31.903"	"26.748"	"25.078"
"1918"	"23.187"	"28.127"	"33.425"	"36.681"	"42.789"	"38.757"	"34.966"	"31.847"	"33.12"	"34.885"	"30.036"	"24.106"
"1919"	"24.705"	"26.685"	"34.008"	"37.672"	"40.802"	"39.821"	"31.996"	"30.158"	"31.821"	"33.235"	"29.091"	"24.484"
"1920"	"24.745"	"27.378"	"34.076"	"38.033"	"38.541"	"38.052"	"31.718"	"30.764"	"33.916"	"35.458"	"30.732"	"26.22"
"1921"	"25.471"	"28.088"	"36.075"	"40.433"	"42.956"	"40.032"	"35.518"	"30.573"	"31.06"	"33.407"	"29.307"	"27.072"
"1922"	"24.054"	"29.086"	"34.625"	"39.117"	"41.761"	"38.786"	"32.748"	"30.385"	"31.447"	"33.262"	"28.976"	"24.703"
