
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.895"	"10.275"	"17.241"	"22.589"	"27.893"	"29.702"	"27.088"	"23.702"	"23.859"	"21.572"	"14.574"	"10.978"
"1902"	"10.889"	"12.751"	"19.827"	"23.98"	"27.918"	"28.551"	"25.5"	"25.722"	"22.693"	"19.526"	"13.305"	"9.366"
"1903"	"9.777"	"10.948"	"16.019"	"21.514"	"26.131"	"30.065"	"26.814"	"24.152"	"22.685"	"18.962"	"12.67"	"9.079"
"1904"	"9.638"	"11.647"	"16.19"	"23.925"	"27.204"	"27.23"	"23.552"	"23.256"	"22.948"	"19.786"	"13.698"	"10.079"
"1905"	"8.419"	"7.185"	"14.569"	"20.639"	"28.802"	"29.779"	"25.886"	"25.272"	"24.479"	"20.928"	"15.779"	"10.577"
"1906"	"8.678"	"10.118"	"15.955"	"23.147"	"29.293"	"27.414"	"24.581"	"25.045"	"22.034"	"19.285"	"14.652"	"10.63"
"1907"	"10.959"	"10.627"	"15.528"	"21.015"	"25.699"	"28.523"	"27.889"	"23.544"	"23.597"	"20.935"	"14.797"	"8.977"
"1908"	"9.153"	"11.988"	"16.232"	"23.936"	"27.412"	"28.657"	"23.571"	"23.351"	"22.726"	"19.454"	"13.731"	"9.253"
"1909"	"9.751"	"11.484"	"18.529"	"21.023"	"26.731"	"26.188"	"23.671"	"23.57"	"22.285"	"19.732"	"15.097"	"9.284"
"1910"	"9.117"	"12.202"	"17.29"	"22.108"	"27.489"	"25.471"	"24.404"	"24.248"	"22.75"	"18.21"	"12.694"	"10.199"
"1911"	"11.465"	"12.115"	"15.218"	"22.639"	"28.563"	"26.612"	"26.798"	"25.397"	"22.212"	"20.321"	"12.88"	"10.255"
"1912"	"10.644"	"13.279"	"16.573"	"23.068"	"27.872"	"29.468"	"25.439"	"23.962"	"22.186"	"19.607"	"12.814"	"9.606"
