
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.08"	"5.91"	"7.16"	"8.26"	"8.71"	"8.15"	"6.41"	"5.32"	"5.93"	"6.86"	"6.16"	"5.3"
"1902"	"5.23"	"6.07"	"7.34"	"8.4"	"8.78"	"8.14"	"6.25"	"5.37"	"5.98"	"6.76"	"6.06"	"5.19"
"1903"	"5.18"	"6.02"	"7.14"	"8.21"	"8.59"	"8.1"	"6.4"	"5.34"	"5.97"	"6.75"	"6.01"	"5.17"
"1904"	"5.14"	"6.07"	"7.11"	"8.3"	"8.79"	"8.14"	"6.18"	"5.23"	"5.93"	"6.77"	"6.08"	"5.29"
"1905"	"5.2"	"5.75"	"6.96"	"8.06"	"8.66"	"8.19"	"6.3"	"5.32"	"6"	"6.79"	"6.21"	"5.35"
"1906"	"5.15"	"5.94"	"7.06"	"8.19"	"8.82"	"8.16"	"6.18"	"5.34"	"5.94"	"6.7"	"6.11"	"5.29"
"1907"	"5.29"	"6.04"	"7.1"	"8.19"	"8.61"	"8.01"	"6.41"	"5.33"	"5.93"	"6.79"	"6.19"	"5.21"
"1908"	"5.11"	"6.08"	"7.11"	"8.29"	"8.75"	"8.18"	"6.22"	"5.23"	"5.94"	"6.75"	"6.09"	"5.19"
"1909"	"5.16"	"6.02"	"7.29"	"8.25"	"8.72"	"8.08"	"6.14"	"5.27"	"5.92"	"6.73"	"6.17"	"5.24"
"1910"	"5.1"	"6.06"	"7.24"	"8.24"	"8.8"	"8.02"	"6.15"	"5.29"	"5.97"	"6.73"	"5.98"	"5.19"
"1911"	"5.26"	"6.16"	"7.09"	"8.18"	"8.81"	"8.06"	"6.25"	"5.42"	"5.93"	"6.8"	"6.04"	"5.21"
"1912"	"5.2"	"6.17"	"7.19"	"8.26"	"8.73"	"8.17"	"6.31"	"5.32"	"5.93"	"6.76"	"6.05"	"5.19"
"1913"	"5.17"	"6.11"	"7.05"	"8.32"	"8.8"	"8"	"6.16"	"5.28"	"5.96"	"6.86"	"6.16"	"5.2"
"1914"	"5.28"	"6.12"	"7.15"	"8.26"	"8.79"	"8.08"	"6.18"	"5.27"	"5.97"	"6.76"	"6.18"	"5.29"
"1915"	"5.21"	"5.93"	"7.14"	"8.22"	"8.75"	"8.13"	"6.37"	"5.33"	"6.03"	"6.87"	"6.14"	"5.3"
"1916"	"5.24"	"5.98"	"7.25"	"8.4"	"8.86"	"7.99"	"6.25"	"5.3"	"5.97"	"6.76"	"5.98"	"5.12"
"1917"	"5.19"	"6.09"	"7.2"	"8.25"	"8.63"	"7.98"	"6.14"	"5.27"	"5.93"	"6.71"	"5.91"	"5.22"
"1918"	"5.04"	"6.06"	"7.24"	"8.16"	"8.76"	"8.05"	"6.27"	"5.36"	"5.97"	"6.81"	"6.19"	"5.19"
"1919"	"5.16"	"5.98"	"7.22"	"8.28"	"8.71"	"8.13"	"6.22"	"5.25"	"5.93"	"6.76"	"6.1"	"5.19"
"1920"	"5.16"	"6.03"	"7.22"	"8.37"	"8.66"	"7.99"	"6.13"	"5.23"	"5.96"	"6.85"	"6.2"	"5.33"
"1921"	"5.22"	"6.05"	"7.28"	"8.41"	"8.84"	"8.09"	"6.39"	"5.37"	"5.89"	"6.71"	"6.05"	"5.38"
"1922"	"5.12"	"6.11"	"7.26"	"8.33"	"8.8"	"8.08"	"6.22"	"5.29"	"5.92"	"6.73"	"6.08"	"5.21"
"1923"	"5.16"	"6.02"	"7.19"	"8.33"	"8.67"	"8.16"	"6.33"	"5.26"	"5.94"	"6.72"	"6.07"	"5.29"
"1924"	"5.11"	"6.02"	"7.25"	"8.43"	"8.69"	"8.09"	"6.28"	"5.3"	"5.93"	"6.71"	"5.99"	"5.24"
