
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.418"	"1.532"	"3.028"	"0.689"	"4.425"	"39.109"	"266.366"	"291.084"	"40.428"	"33.074"	"0.097"	"2.506"
"1902"	"9.028"	"0.095"	"0"	"0.441"	"0.15"	"45.779"	"296.227"	"142.651"	"144.562"	"18.182"	"48.977"	"2.755"
"1903"	"1.832"	"0.274"	"0.427"	"0"	"3.914"	"16.309"	"310.475"	"288.2"	"122.02"	"17.049"	"0.097"	"0"
"1904"	"2.119"	"2.859"	"17.279"	"0"	"15.609"	"62.306"	"273.562"	"229.476"	"81.89"	"11.774"	"14.212"	"4.049"
"1905"	"5.572"	"5.433"	"1.905"	"0.02"	"4.273"	"15.261"	"316.772"	"61.265"	"177.631"	"0.2"	"0.371"	"0.532"
"1906"	"0.241"	"3.189"	"1.58"	"0"	"0.363"	"141.609"	"286.933"	"176.406"	"230.451"	"0.978"	"0.097"	"5.325"
"1907"	"20.182"	"11.485"	"0.569"	"8.392"	"2.243"	"41.458"	"182.63"	"385.523"	"10.452"	"0.2"	"3.292"	"0"
"1908"	"8.28"	"0"	"2.165"	"0.831"	"1.626"	"71.388"	"472.093"	"360.584"	"63.998"	"3.218"	"0.759"	"0.498"
"1909"	"11.753"	"0.839"	"0"	"2.257"	"6.037"	"77.929"	"379.622"	"242.082"	"219.355"	"0.2"	"0.097"	"7.473"
"1910"	"3.165"	"0.394"	"0"	"0.72"	"4.596"	"97.994"	"159.273"	"304.905"	"173.883"	"5.216"	"6.542"	"0"
"1911"	"8.387"	"0"	"7.119"	"0"	"0"	"68.073"	"100.595"	"164.797"	"169.195"	"0.9"	"84.093"	"2.9"
"1912"	"7.717"	"0.672"	"0.544"	"0.278"	"0.109"	"35.629"	"314.843"	"243.986"	"103.85"	"0.682"	"52.924"	"1"
"1913"	"0"	"5.825"	"1.166"	"0"	"5.946"	"80.38"	"261.475"	"95.746"	"141.48"	"0.2"	"0.097"	"3.645"
"1914"	"0"	"0.564"	"4.072"	"1.825"	"22.573"	"112.933"	"422.337"	"158.858"	"298.032"	"5.645"	"6.263"	"2.054"
"1915"	"7.673"	"6.339"	"20.818"	"3.727"	"5.107"	"77.344"	"220.326"	"155.159"	"140.082"	"70.602"	"1.15"	"1.818"
"1916"	"0"	"2.164"	"0"	"0.37"	"5.824"	"69.772"	"346.033"	"280.684"	"181.972"	"28.265"	"12.64"	"0"
"1917"	"1.367"	"3.274"	"1.497"	"3.579"	"23.211"	"52.335"	"279.458"	"244.899"	"330.16"	"49.099"	"0.097"	"1.221"
