
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.82"	"3.7"	"5.46"	"6.75"	"7.62"	"7.23"	"5.4"	"4.29"	"4.68"	"4.88"	"3.66"	"2.96"
"1902"	"3.08"	"3.96"	"5.78"	"6.96"	"7.62"	"7.09"	"5.25"	"4.49"	"4.57"	"4.64"	"3.55"	"2.83"
"1903"	"2.97"	"3.78"	"5.32"	"6.61"	"7.36"	"7.26"	"5.37"	"4.35"	"4.57"	"4.59"	"3.5"	"2.8"
"1904"	"2.98"	"3.85"	"5.32"	"6.95"	"7.52"	"6.93"	"5.01"	"4.26"	"4.59"	"4.68"	"3.59"	"2.88"
"1905"	"2.87"	"3.41"	"5.1"	"6.49"	"7.73"	"7.23"	"5.29"	"4.45"	"4.76"	"4.8"	"3.77"	"2.93"
"1906"	"2.89"	"3.69"	"5.28"	"6.82"	"7.81"	"6.92"	"5.13"	"4.43"	"4.51"	"4.64"	"3.66"	"2.94"
"1907"	"3.08"	"3.74"	"5.24"	"6.54"	"7.3"	"7.07"	"5.5"	"4.29"	"4.66"	"4.81"	"3.69"	"2.79"
"1908"	"2.95"	"3.89"	"5.32"	"6.95"	"7.56"	"7.09"	"5.02"	"4.27"	"4.58"	"4.64"	"3.6"	"2.82"
"1909"	"2.98"	"3.83"	"5.63"	"6.54"	"7.45"	"6.78"	"5.03"	"4.3"	"4.54"	"4.68"	"3.71"	"2.83"
"1910"	"2.93"	"3.91"	"5.47"	"6.69"	"7.55"	"6.67"	"5.11"	"4.36"	"4.57"	"4.51"	"3.5"	"2.89"
"1911"	"3.12"	"3.9"	"5.19"	"6.75"	"7.72"	"6.82"	"5.36"	"4.46"	"4.53"	"4.74"	"3.51"	"2.89"
"1912"	"3.06"	"4.02"	"5.38"	"6.81"	"7.62"	"7.19"	"5.23"	"4.33"	"4.54"	"4.65"	"3.51"	"2.85"
"1913"	"2.99"	"3.85"	"5.21"	"6.99"	"7.34"	"6.68"	"5.17"	"4.38"	"4.72"	"4.87"	"3.63"	"2.88"
"1914"	"3.13"	"3.89"	"5.35"	"6.8"	"7.59"	"6.79"	"5.11"	"4.36"	"4.66"	"4.69"	"3.73"	"2.86"
"1915"	"2.98"	"3.65"	"5.41"	"6.75"	"7.7"	"7.16"	"5.45"	"4.42"	"4.84"	"4.84"	"3.66"	"2.96"
"1916"	"3.05"	"3.8"	"5.74"	"6.96"	"7.55"	"6.65"	"5.3"	"4.3"	"4.62"	"4.57"	"3.46"	"2.8"
"1917"	"3.03"	"3.86"	"5.35"	"6.48"	"7.1"	"6.68"	"5.02"	"4.27"	"4.5"	"4.48"	"3.39"	"2.87"
"1918"	"2.84"	"3.93"	"5.43"	"6.56"	"7.71"	"6.86"	"5.37"	"4.43"	"4.68"	"4.81"	"3.67"	"2.77"
"1919"	"2.98"	"3.76"	"5.5"	"6.69"	"7.44"	"7"	"5.05"	"4.27"	"4.55"	"4.63"	"3.6"	"2.83"
"1920"	"2.97"	"3.85"	"5.5"	"6.73"	"7.12"	"6.73"	"5.02"	"4.33"	"4.76"	"4.86"	"3.73"	"2.96"
"1921"	"3.04"	"3.93"	"5.75"	"7.09"	"7.73"	"7.01"	"5.43"	"4.31"	"4.48"	"4.64"	"3.61"	"3.02"
"1922"	"2.93"	"4.02"	"5.59"	"6.89"	"7.56"	"6.84"	"5.13"	"4.3"	"4.52"	"4.63"	"3.58"	"2.84"
"1923"	"2.96"	"3.8"	"5.5"	"6.86"	"7.41"	"7.25"	"5.18"	"4.22"	"4.58"	"4.59"	"3.61"	"2.89"
"1924"	"2.91"	"3.87"	"5.66"	"6.94"	"7.28"	"7.08"	"5.16"	"4.3"	"4.51"	"4.52"	"3.49"	"2.85"
"1925"	"2.82"	"3.69"	"5.49"	"7.04"	"7.35"	"6.54"	"4.97"	"4.44"	"4.75"	"4.82"	"3.57"	"2.86"
"1926"	"3.02"	"4.07"	"5.26"	"6.3"	"7.25"	"7.21"	"5.24"	"4.34"	"4.5"	"4.51"	"3.39"	"2.73"
"1927"	"2.78"	"3.63"	"5.2"	"6.64"	"7.43"	"6.99"	"5.13"	"4.27"	"4.57"	"4.62"	"3.41"	"2.88"
"1928"	"2.93"	"3.86"	"5.44"	"6.73"	"7.59"	"6.93"	"5.12"	"4.4"	"4.65"	"4.67"	"3.65"	"2.79"
"1929"	"2.9"	"3.68"	"5.64"	"6.8"	"7.59"	"6.93"	"5.1"	"4.29"	"4.67"	"4.68"	"3.7"	"2.8"
"1930"	"2.99"	"3.85"	"5.56"	"6.68"	"7.41"	"6.92"	"5.04"	"4.35"	"4.74"	"4.84"	"3.56"	"2.93"
"1931"	"3.13"	"3.73"	"5.4"	"7.03"	"7.58"	"7.19"	"5.29"	"4.37"	"4.57"	"4.52"	"3.59"	"2.91"
"1932"	"3.2"	"3.79"	"5.43"	"6.69"	"7.48"	"7.05"	"5.2"	"4.3"	"4.66"	"4.71"	"3.52"	"2.92"
"1933"	"2.86"	"3.92"	"5.45"	"6.56"	"7.14"	"6.77"	"5.15"	"4.3"	"4.48"	"4.56"	"3.57"	"2.88"
"1934"	"2.86"	"3.99"	"5.31"	"6.79"	"7.46"	"6.86"	"5.08"	"4.3"	"4.5"	"4.53"	"3.54"	"2.9"
"1935"	"2.79"	"3.86"	"5.39"	"6.36"	"7.56"	"7.04"	"5.08"	"4.27"	"4.53"	"4.54"	"3.64"	"2.85"
"1936"	"2.81"	"3.84"	"5.34"	"6.65"	"7.69"	"6.67"	"5.09"	"4.3"	"4.56"	"4.64"	"3.58"	"2.84"
"1937"	"2.9"	"3.91"	"5.21"	"6.62"	"7.51"	"7"	"5.06"	"4.37"	"4.6"	"4.6"	"3.66"	"2.77"
"1938"	"2.95"	"3.7"	"5.66"	"6.88"	"7.7"	"6.44"	"5.12"	"4.39"	"4.76"	"4.73"	"3.51"	"2.89"
"1939"	"3.09"	"3.81"	"5.13"	"6.6"	"7.54"	"6.77"	"5.1"	"4.5"	"4.59"	"4.79"	"3.63"	"2.88"
"1940"	"2.97"	"3.85"	"5.26"	"6.63"	"7.59"	"6.94"	"5.21"	"4.27"	"4.58"	"4.68"	"3.69"	"2.86"
"1941"	"2.92"	"3.94"	"5.69"	"7.02"	"7.63"	"6.96"	"5.27"	"4.41"	"4.73"	"4.95"	"3.7"	"3.02"
"1942"	"2.84"	"3.92"	"5.62"	"7.03"	"7.62"	"7.15"	"5.01"	"4.27"	"4.54"	"4.65"	"3.64"	"2.77"
"1943"	"2.98"	"3.84"	"5.54"	"6.68"	"7.61"	"6.85"	"5.08"	"4.25"	"4.59"	"4.61"	"3.74"	"2.94"
"1944"	"2.92"	"3.8"	"5.26"	"6.66"	"7.59"	"6.78"	"5.02"	"4.29"	"4.59"	"4.51"	"3.62"	"2.98"
"1945"	"2.78"	"3.79"	"5.52"	"6.62"	"7.45"	"6.98"	"5.07"	"4.37"	"4.53"	"4.55"	"3.55"	"2.74"
"1946"	"3.03"	"4.03"	"5.38"	"7.06"	"7.55"	"6.8"	"5.11"	"4.27"	"4.57"	"4.68"	"3.5"	"2.89"
"1947"	"2.84"	"3.82"	"5.53"	"6.83"	"7.66"	"7.06"	"5.16"	"4.39"	"4.5"	"4.52"	"3.66"	"2.94"
"1948"	"2.93"	"3.75"	"5.38"	"7"	"7.76"	"7"	"5.19"	"4.33"	"4.54"	"4.72"	"3.52"	"2.88"
"1949"	"3.13"	"3.91"	"5.52"	"7.01"	"7.72"	"6.94"	"5.17"	"4.4"	"4.64"	"4.65"	"3.52"	"2.85"
"1950"	"3.06"	"3.69"	"5.3"	"6.64"	"7.59"	"7"	"5.11"	"4.3"	"4.57"	"4.59"	"3.5"	"2.77"
"1951"	"2.85"	"3.8"	"5.39"	"6.57"	"7.52"	"6.87"	"5.35"	"4.36"	"4.75"	"4.98"	"3.75"	"2.88"
"1952"	"3.1"	"4.06"	"5.44"	"6.99"	"7.76"	"6.81"	"5.09"	"4.26"	"4.68"	"4.77"	"3.66"	"2.94"
"1953"	"2.89"	"4.08"	"5.8"	"6.87"	"7.64"	"7.07"	"5.24"	"4.34"	"4.65"	"4.68"	"3.64"	"3.08"
"1954"	"2.94"	"4.02"	"5.48"	"6.93"	"7.73"	"7.07"	"5.22"	"4.31"	"4.5"	"4.47"	"3.66"	"2.89"
"1955"	"2.99"	"3.94"	"5.72"	"6.58"	"7.49"	"6.94"	"5.17"	"4.34"	"4.55"	"4.47"	"3.5"	"2.91"
"1956"	"2.98"	"3.85"	"5.5"	"6.79"	"7.68"	"6.77"	"5.06"	"4.27"	"4.58"	"4.44"	"3.47"	"2.94"
"1957"	"2.92"	"3.72"	"5.19"	"6.66"	"7.34"	"6.99"	"5.13"	"4.27"	"4.53"	"4.68"	"3.89"	"2.95"
"1958"	"3.1"	"3.94"	"5.58"	"7.06"	"7.6"	"7.11"	"5.06"	"4.4"	"4.5"	"4.56"	"3.69"	"3"
"1959"	"2.99"	"3.83"	"5.67"	"6.84"	"7.46"	"6.98"	"5.08"	"4.3"	"4.55"	"4.67"	"3.63"	"3.01"
"1960"	"2.89"	"4.11"	"5.38"	"6.72"	"7.61"	"7.06"	"5.2"	"4.22"	"4.66"	"4.57"	"3.54"	"2.93"
"1961"	"2.88"	"3.58"	"5.39"	"6.76"	"7.43"	"6.9"	"5.04"	"4.27"	"4.49"	"4.41"	"3.56"	"2.76"
"1962"	"2.85"	"3.91"	"5.47"	"6.77"	"7.31"	"6.84"	"5.04"	"4.18"	"4.32"	"4.39"	"3.51"	"2.9"
"1963"	"3.05"	"4.14"	"5.41"	"6.58"	"7.41"	"6.81"	"5.25"	"4.12"	"4.54"	"4.63"	"3.77"	"3"
"1964"	"2.9"	"3.92"	"5.7"	"7.09"	"7.42"	"6.72"	"5"	"4.32"	"4.55"	"4.73"	"3.59"	"2.85"
"1965"	"3.14"	"3.94"	"5.44"	"6.67"	"7.21"	"7.05"	"5.2"	"4.45"	"4.65"	"4.77"	"3.76"	"2.92"
"1966"	"3.09"	"4.26"	"5.5"	"6.75"	"7.61"	"6.87"	"5.52"	"4.27"	"4.63"	"4.83"	"3.73"	"2.88"
"1967"	"2.93"	"4.21"	"5.23"	"6.59"	"7.46"	"6.9"	"5.21"	"4.08"	"4.44"	"4.66"	"3.71"	"2.95"
"1968"	"2.93"	"3.78"	"5.61"	"6.69"	"7.3"	"6.98"	"5.14"	"4.25"	"4.96"	"4.63"	"3.7"	"2.94"
"1969"	"2.97"	"3.93"	"5.91"	"6.71"	"7.37"	"6.92"	"5.22"	"4.27"	"4.52"	"4.92"	"3.82"	"3.06"
"1970"	"3.05"	"3.84"	"5.44"	"7.2"	"7.69"	"6.82"	"5.41"	"4.39"	"4.5"	"4.79"	"3.58"	"2.98"
"1971"	"3"	"3.92"	"5.39"	"6.89"	"7.23"	"6.47"	"4.74"	"4.34"	"4.74"	"4.62"	"3.62"	"2.95"
"1972"	"3"	"3.69"	"5.66"	"6.71"	"7.6"	"7.01"	"5.61"	"4.39"	"4.47"	"4.55"	"3.63"	"2.93"
"1973"	"2.82"	"4"	"5.34"	"7.26"	"7.71"	"7.03"	"5.16"	"4.28"	"4.54"	"4.59"	"3.65"	"2.9"
"1974"	"2.9"	"3.81"	"5.67"	"6.94"	"7.94"	"6.92"	"5.09"	"4.47"	"4.98"	"4.68"	"3.6"	"2.82"
"1975"	"2.88"	"3.78"	"5.22"	"6.89"	"7.73"	"6.81"	"5.06"	"4.46"	"4.3"	"4.65"	"3.47"	"2.98"
"1976"	"3.04"	"3.9"	"5.47"	"6.72"	"7.66"	"6.65"	"5.16"	"4.23"	"4.54"	"4.82"	"3.83"	"2.97"
"1977"	"2.93"	"3.92"	"5.81"	"6.69"	"7.3"	"6.6"	"4.85"	"4.26"	"4.45"	"4.79"	"3.77"	"3.01"
"1978"	"2.94"	"3.74"	"5.24"	"6.86"	"8.02"	"6.86"	"4.86"	"4.13"	"4.44"	"4.67"	"3.64"	"2.89"
"1979"	"3.07"	"3.72"	"5.09"	"6.72"	"7.11"	"6.86"	"4.94"	"4.54"	"4.77"	"4.67"	"3.8"	"2.94"
"1980"	"3.02"	"4.09"	"5.39"	"7.06"	"7.37"	"6.6"	"4.99"	"4.21"	"4.69"	"4.78"	"3.78"	"2.93"
"1981"	"2.94"	"4.07"	"5.39"	"6.87"	"7.36"	"7.07"	"4.95"	"4.35"	"4.64"	"4.82"	"3.54"	"2.86"
"1982"	"3.02"	"3.64"	"5.22"	"6.65"	"7.07"	"7.06"	"5.35"	"4.28"	"4.84"	"4.84"	"3.64"	"3.02"
"1983"	"2.9"	"3.8"	"5.37"	"6.42"	"7.32"	"6.81"	"5.26"	"4.4"	"4.56"	"4.59"	"3.47"	"2.9"
"1984"	"2.95"	"3.64"	"5.7"	"6.95"	"7.82"	"6.93"	"5.21"	"4.27"	"4.47"	"4.73"	"3.63"	"2.87"
"1985"	"2.98"	"4.11"	"5.7"	"6.95"	"7.68"	"7.02"	"5.12"	"4.25"	"4.58"	"4.46"	"3.7"	"3.1"
"1986"	"2.98"	"3.84"	"5.44"	"6.93"	"7.52"	"6.84"	"5.05"	"4.29"	"4.77"	"4.76"	"3.71"	"2.85"
"1987"	"3.12"	"4.04"	"5.6"	"6.91"	"7.2"	"7.07"	"5.29"	"4.55"	"4.86"	"4.69"	"3.81"	"2.93"
"1988"	"3.04"	"4.09"	"5.52"	"7.04"	"7.86"	"6.95"	"4.98"	"4.36"	"4.62"	"4.67"	"3.68"	"2.99"
"1989"	"2.87"	"3.82"	"5.39"	"6.76"	"7.57"	"6.67"	"5.27"	"4.34"	"4.72"	"4.8"	"3.82"	"2.98"
"1990"	"3.16"	"3.89"	"5.28"	"6.9"	"7.41"	"6.76"	"5.02"	"4.25"	"4.51"	"4.63"	"3.73"	"2.94"
"1991"	"2.95"	"4"	"5.54"	"6.75"	"7.55"	"7.07"	"5.32"	"4.3"	"4.63"	"4.71"	"3.65"	"2.97"
"1992"	"3.03"	"3.83"	"5.5"	"6.8"	"7.42"	"7.25"	"5.36"	"4.34"	"4.54"	"4.68"	"3.66"	"3.01"
"1993"	"3"	"3.96"	"5.29"	"6.78"	"7.7"	"6.93"	"5.14"	"4.42"	"4.55"	"4.75"	"3.71"	"2.96"
"1994"	"3.11"	"3.88"	"5.71"	"6.74"	"7.69"	"6.83"	"5.03"	"4.28"	"4.52"	"4.7"	"3.67"	"2.94"
"1995"	"2.86"	"3.9"	"5.25"	"6.74"	"7.62"	"7.28"	"5.25"	"4.31"	"4.68"	"4.87"	"3.68"	"2.99"
"1996"	"2.99"	"4"	"5.65"	"6.88"	"7.59"	"7.05"	"5.26"	"4.24"	"4.66"	"4.64"	"3.65"	"2.87"
"1997"	"2.95"	"3.9"	"5.5"	"6.57"	"7.19"	"6.69"	"5.15"	"4.36"	"4.63"	"4.49"	"3.65"	"2.75"
"1998"	"2.96"	"3.96"	"5.26"	"6.87"	"7.72"	"7.03"	"5.2"	"4.48"	"4.69"	"4.79"	"3.72"	"3.04"
"1999"	"2.98"	"3.95"	"5.58"	"7.13"	"7.6"	"6.83"	"5.17"	"4.37"	"4.57"	"4.68"	"3.8"	"2.96"
"2000"	"3.1"	"3.78"	"5.42"	"7.12"	"7.46"	"6.82"	"5.09"	"4.45"	"4.68"	"4.85"	"3.88"	"3.06"
"2001"	"2.99"	"4.02"	"5.54"	"6.77"	"7.49"	"6.59"	"5.01"	"4.42"	"4.77"	"4.85"	"3.79"	"3.07"
"2002"	"3.02"	"3.94"	"5.61"	"7.1"	"7.75"	"6.99"	"5.42"	"4.38"	"4.7"	"4.81"	"3.8"	"3.15"
