
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.243"	"7.365"	"7.799"	"8.591"	"14.157"	"26.776"	"32.275"	"27.753"	"25.925"	"16.102"	"10.525"	"9.675"
"1902"	"9.379"	"8.443"	"9.02"	"8.871"	"14.649"	"24.933"	"28.984"	"29.596"	"25.206"	"14.688"	"9.656"	"9.294"
"1903"	"8.848"	"7.896"	"7.45"	"8.04"	"13.425"	"26.989"	"31.64"	"27.68"	"25.807"	"14.039"	"9.642"	"9.002"
"1904"	"8.751"	"8.371"	"7.418"	"8.639"	"13.878"	"23.989"	"27.245"	"27.771"	"25.206"	"14.687"	"9.858"	"9.624"
"1905"	"8.242"	"6.201"	"6.745"	"7.445"	"14.871"	"26.91"	"29.585"	"29.489"	"27.235"	"15.387"	"10.799"	"9.554"
"1906"	"8.445"	"7.342"	"7.391"	"8.496"	"15.872"	"23.987"	"28.981"	"29.519"	"23.922"	"14.323"	"10.652"	"9.624"
"1907"	"9.296"	"7.767"	"7.375"	"7.473"	"13.078"	"25.391"	"33.642"	"27.545"	"25.347"	"15.248"	"10.668"	"9.024"
"1908"	"8.576"	"8.37"	"7.4"	"8.689"	"13.878"	"25.371"	"27.694"	"27.773"	"25.206"	"14.606"	"9.871"	"9.148"
"1909"	"8.826"	"8.172"	"8.42"	"7.4"	"13.502"	"23.647"	"27.231"	"27.679"	"25.042"	"14.639"	"10.419"	"9.028"
"1910"	"8.848"	"8.37"	"7.799"	"8.016"	"13.878"	"22.998"	"28.885"	"27.773"	"25.206"	"13.788"	"9.444"	"9.53"
"1911"	"9.448"	"8.368"	"6.808"	"8.596"	"14.928"	"23.002"	"31.336"	"29.339"	"25.258"	"14.687"	"9.86"	"9.624"
"1912"	"9.204"	"8.998"	"7.652"	"8.69"	"14.157"	"27.086"	"29.11"	"27.753"	"25.226"	"14.789"	"9.423"	"9.152"
"1913"	"8.64"	"8.369"	"6.803"	"9.023"	"13.432"	"22.496"	"29.005"	"29.085"	"26.905"	"15.786"	"10.654"	"9.508"
"1914"	"9.671"	"8.304"	"7.494"	"8.559"	"14.19"	"23.989"	"28.906"	"27.753"	"25.206"	"14.759"	"10.654"	"9.371"
"1915"	"8.751"	"7.434"	"7.576"	"8.689"	"15.166"	"26.844"	"32.782"	"29.117"	"27.265"	"15.787"	"10.654"	"9.624"
"1916"	"9.24"	"7.727"	"8.596"	"8.804"	"13.874"	"22.285"	"29.978"	"27.723"	"25.206"	"13.975"	"9.255"	"8.997"
"1917"	"8.826"	"8.398"	"7.545"	"7.341"	"12.002"	"22.659"	"27.621"	"27.681"	"24.631"	"13.587"	"8.788"	"9.624"
"1918"	"8.24"	"8.421"	"7.799"	"7.821"	"14.868"	"23.94"	"31.698"	"30.194"	"25.721"	"15.246"	"10.669"	"9.028"
"1919"	"8.85"	"7.811"	"7.898"	"8.472"	"13.878"	"24.925"	"28.847"	"27.751"	"25.206"	"14.215"	"10.302"	"9.002"
"1920"	"8.826"	"8.421"	"7.899"	"8.662"	"12.176"	"24.027"	"27.61"	"28.859"	"27.231"	"15.812"	"10.654"	"9.457"
"1921"	"8.966"	"8.416"	"9.135"	"9.521"	"15.251"	"24.117"	"32.533"	"27.773"	"24.676"	"14.633"	"10.098"	"10.323"
"1922"	"8.848"	"9.013"	"7.898"	"8.67"	"14.002"	"23.989"	"29.04"	"27.773"	"25.226"	"14.687"	"10.004"	"9.001"
"1923"	"8.826"	"8.421"	"7.799"	"8.712"	"13.878"	"27.292"	"29.716"	"27.768"	"25.206"	"13.82"	"9.994"	"9.624"
"1924"	"8.433"	"8.421"	"8.497"	"8.596"	"12.706"	"25.395"	"28.987"	"27.773"	"24.96"	"13.793"	"9.576"	"9.176"
"1925"	"7.647"	"7.695"	"8.048"	"9.271"	"13.358"	"21.05"	"27.251"	"29.446"	"26.542"	"15.756"	"9.882"	"9.089"
"1926"	"8.848"	"8.905"	"7.377"	"7.014"	"13.135"	"27.095"	"29.505"	"27.753"	"25.228"	"13.547"	"8.575"	"8.725"
"1927"	"7.625"	"7.369"	"7.133"	"8.069"	"13.878"	"24.317"	"28.866"	"27.773"	"25.226"	"14.737"	"9.195"	"9.624"
"1928"	"8.848"	"8.401"	"7.799"	"8.665"	"14.46"	"23.987"	"28.914"	"29.907"	"26.036"	"14.687"	"10.618"	"9.171"
"1929"	"8.686"	"7.417"	"8.402"	"8.623"	"14.391"	"23.989"	"28.906"	"27.721"	"25.406"	"14.45"	"10.674"	"9.024"
"1930"	"8.848"	"8.421"	"7.898"	"8.116"	"13.878"	"23.939"	"27.253"	"27.678"	"26.805"	"15.183"	"9.774"	"9.572"
"1931"	"9.379"	"7.875"	"7.645"	"9.219"	"14.218"	"26.735"	"30.796"	"28.753"	"25.226"	"13.899"	"9.876"	"9.498"
"1932"	"10.228"	"7.946"	"7.547"	"8.135"	"13.878"	"25.247"	"29.195"	"27.773"	"25.626"	"14.715"	"9.853"	"9.504"
"1933"	"8.037"	"8.421"	"7.898"	"7.674"	"12.233"	"23.974"	"29.039"	"27.773"	"24.547"	"13.794"	"9.853"	"9.624"
"1934"	"8.117"	"8.418"	"7.396"	"8.625"	"13.878"	"23.987"	"28.989"	"27.678"	"24.084"	"13.489"	"9.871"	"9.624"
"1935"	"7.75"	"8.421"	"7.713"	"6.914"	"13.878"	"24.897"	"28.989"	"27.773"	"25.295"	"13.791"	"10.649"	"9.136"
"1936"	"8.146"	"8.249"	"7.4"	"8.014"	"14.843"	"22.493"	"28.981"	"27.769"	"25.266"	"14.685"	"9.981"	"9.238"
