
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.5292"	"0.9959"	"1"	"0.6892"	"1.0276"	"3.0352"	"11.9008"	"12.1812"	"3.2448"	"1.3728"	"0.0962"	"1.0098"
"1902"	"1.0711"	"0.0939"	"0"	"0.4343"	"0.1506"	"4.0636"	"11.0186"	"8.4909"	"6.2753"	"1.378"	"2.6421"	"1.0098"
"1903"	"1.0677"	"0.2739"	"0.3679"	"0"	"1.4862"	"1.9456"	"12.1599"	"12.0958"	"6.818"	"1.3734"	"0.0962"	"0"
"1904"	"1.0626"	"1"	"1"	"0"	"1.695"	"4.249"	"12.1643"	"9.9526"	"4.9176"	"1.3052"	"1.144"	"1.0564"
"1905"	"1.1294"	"1"	"1"	"0.0201"	"1.0254"	"1.8732"	"12.1924"	"5.774"	"6.8829"	"0.1998"	"0.371"	"0.5324"
"1906"	"0.2405"	"1"	"0.8906"	"0"	"0.3556"	"5.8927"	"11.4948"	"9.0213"	"7.911"	"0.9403"	"0.0962"	"1.0098"
"1907"	"1.0711"	"1"	"0.5091"	"1"	"1.0254"	"3.25"	"9.0937"	"14.0142"	"1.4425"	"0.1998"	"1.144"	"0"
"1908"	"1.2417"	"0"	"1"	"0.8252"	"1.005"	"4.1552"	"15.8527"	"13.5769"	"3.8984"	"1.0343"	"0.69"	"0.499"
"1909"	"1.0711"	"0.7079"	"0"	"0.9945"	"1.5587"	"5.3528"	"13.3421"	"9.4513"	"7.0515"	"0.1998"	"0.0962"	"1.0893"
"1910"	"1.0712"	"0.393"	"0"	"0.7081"	"1.0332"	"5.3409"	"8.4983"	"11.7901"	"6.5237"	"1.2552"	"1.3283"	"0"
"1911"	"1.485"	"0"	"1"	"0"	"0"	"4.7628"	"7.0649"	"8.0775"	"7.2042"	"0.8272"	"2.8414"	"1.0098"
"1912"	"1.2532"	"0.6015"	"0.4039"	"0.278"	"0.11"	"2.9381"	"12.3634"	"11.6545"	"5.1307"	"0.4777"	"2.696"	"0.9994"
"1913"	"0"	"1"	"0.938"	"0"	"1.3647"	"4.8037"	"9.9121"	"6.9565"	"5.9845"	"0.1998"	"0.0962"	"1.0332"
"1914"	"0"	"0.5654"	"1"	"0.9889"	"2.1823"	"5.4319"	"13.359"	"8.8354"	"7.7329"	"1.0343"	"1.144"	"1.0098"
"1915"	"1.0711"	"1"	"1"	"1"	"1.0328"	"4.3509"	"9.8115"	"8.563"	"6.2724"	"2.802"	"0.9209"	"1.0098"
"1916"	"0"	"0.9959"	"0"	"0.3701"	"1.1434"	"4.5437"	"12.4025"	"11.8588"	"7.1709"	"1.9949"	"1.249"	"0"
"1917"	"0.9157"	"1"	"0.9396"	"1"	"2.3759"	"4.0788"	"10.9328"	"12.3059"	"8.9458"	"2.4792"	"0.0962"	"0.9577"
"1918"	"1.0711"	"0.0585"	"1"	"0"	"1.6258"	"4.0256"	"7.7624"	"8.939"	"3.8786"	"0.3723"	"1.3366"	"0.1963"
