
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.907"	"17.148"	"25.519"	"29.778"	"33.431"	"34.318"	"31.868"	"29.517"	"29.528"	"28.588"	"22.875"	"18.682"
"1902"	"17.813"	"19.834"	"26.85"	"31.272"	"32.911"	"32.05"	"32.362"	"30.596"	"29.247"	"27.997"	"22.875"	"17.587"
"1903"	"16.009"	"18.339"	"22.142"	"28.072"	"33.102"	"34.048"	"31.855"	"29.879"	"29.987"	"28.221"	"20.788"	"16.362"
"1904"	"15.975"	"20.001"	"23.427"	"30.449"	"32.98"	"32.712"	"30.391"	"29.603"	"29.912"	"27.886"	"22.997"	"17.661"
"1905"	"14.523"	"14.875"	"21.757"	"27.919"	"34.261"	"32.81"	"31.266"	"30.314"	"29.969"	"28.297"	"23.981"	"18.067"
"1906"	"15.087"	"16.756"	"22.738"	"28.71"	"33.674"	"32.747"	"31.133"	"29.599"	"28.867"	"27.921"	"23.565"	"18.422"
"1907"	"18.346"	"18.056"	"23.555"	"28.835"	"31.486"	"32.742"	"32.643"	"28.457"	"28.063"	"26.616"	"23.099"	"16.828"
"1908"	"16.503"	"18.942"	"23.317"	"29.576"	"32.45"	"33.259"	"29.267"	"28.2"	"27.841"	"26.502"	"21.325"	"16.383"
"1909"	"15.278"	"18.241"	"24.282"	"28.275"	"31.491"	"32.973"	"29.548"	"27.76"	"27.512"	"26.691"	"22.39"	"16.165"
"1910"	"15.776"	"19.386"	"24.096"	"27.995"	"32.036"	"32.804"	"29.036"	"28.431"	"28.865"	"26.641"	"20.928"	"16.524"
"1911"	"16.281"	"19.554"	"22.172"	"28.643"	"33.209"	"32.42"	"31.173"	"29.532"	"29.13"	"27.49"	"20.456"	"17.654"
"1912"	"17.666"	"20.55"	"23.599"	"29.923"	"33.363"	"33.948"	"30.973"	"28.726"	"28.079"	"27.134"	"20.982"	"17.155"
"1913"	"17.146"	"18.636"	"22.038"	"30.289"	"32.336"	"33.279"	"30.413"	"28.463"	"28.185"	"27.684"	"22.02"	"16.726"
"1914"	"18.009"	"17.797"	"23.114"	"29.504"	"34.036"	"32.86"	"30.369"	"28.947"	"29.707"	"27.648"	"23.458"	"16.18"
"1915"	"15.959"	"17.975"	"24.98"	"28.647"	"33.022"	"33.861"	"31.89"	"30.365"	"30.969"	"28.85"	"22.657"	"17.664"
"1916"	"17.815"	"17.694"	"26.056"	"29.649"	"32.356"	"32.738"	"31.495"	"28.97"	"28.746"	"26.303"	"20.232"	"16.329"
"1917"	"17.396"	"19.836"	"23.773"	"27.581"	"30.947"	"32.039"	"29.691"	"28.244"	"27.692"	"25.541"	"21.171"	"16.349"
"1918"	"15.426"	"19.397"	"23.696"	"27.57"	"32.496"	"31.925"	"30.995"	"29.951"	"28.528"	"27.298"	"22.457"	"16.321"
"1919"	"15.867"	"19.082"	"24.067"	"28.648"	"32.754"	"33.22"	"30.547"	"28.894"	"27.976"	"26.889"	"21.785"	"16.554"
"1920"	"16.796"	"18.633"	"24.953"	"28.833"	"30.785"	"31.507"	"29.997"	"28.589"	"29.994"	"28.43"	"23.087"	"16.433"
"1921"	"16.963"	"19.249"	"26.197"	"31.02"	"33.041"	"33.695"	"31.603"	"28.677"	"28.791"	"27.2"	"22.506"	"18.127"
"1922"	"15.961"	"19.94"	"24.768"	"30.417"	"32.291"	"32.918"	"31.437"	"29.035"	"28.605"	"26.87"	"22.007"	"17.216"
"1923"	"16.563"	"18.22"	"25.291"	"29.418"	"31.928"	"33.173"	"31.158"	"28.394"	"29.222"	"26.862"	"20.942"	"16.662"
"1924"	"15.722"	"19.306"	"26.406"	"30.007"	"31.636"	"33.606"	"31.697"	"29.391"	"28.117"	"26.436"	"20.741"	"17.275"
"1925"	"14.466"	"17.019"	"25.66"	"31.74"	"32.819"	"32.487"	"30.018"	"29.986"	"29.894"	"29.201"	"22.096"	"17.692"
"1926"	"16.902"	"21.532"	"23.863"	"27.27"	"31.616"	"34.03"	"31.511"	"29.456"	"28.284"	"26.604"	"20.257"	"17.209"
"1927"	"14.559"	"17.575"	"23.029"	"28.586"	"32.163"	"33.298"	"30.219"	"27.843"	"28.485"	"27.357"	"21.52"	"17.776"
"1928"	"16.435"	"19.577"	"25.177"	"30.041"	"32.97"	"32.832"	"31.267"	"29.298"	"28.24"	"27.55"	"22.219"	"16.366"
"1929"	"15.644"	"18.29"	"26.245"	"30.294"	"33.164"	"33.075"	"30.254"	"28.501"	"28.5"	"26.975"	"22.752"	"15.161"
"1930"	"15.623"	"18.976"	"24.48"	"28.699"	"32.734"	"33.265"	"29.537"	"28.629"	"30.522"	"28.134"	"21.776"	"17.628"
"1931"	"17.345"	"16.857"	"24.092"	"30.842"	"32.93"	"34.14"	"31.877"	"30.032"	"29.441"	"27.065"	"22.321"	"17.944"
"1932"	"19.116"	"19.67"	"25.359"	"29.594"	"33.24"	"32.473"	"30.913"	"28.191"	"29.678"	"27.709"	"21.925"	"18.365"
"1933"	"15.856"	"20.042"	"24.083"	"29.297"	"32.002"	"32.639"	"30.763"	"28.441"	"28.836"	"27.66"	"22.836"	"18.323"
"1934"	"14.063"	"21.238"	"23.908"	"30.072"	"32.609"	"33.313"	"30.214"	"29.235"	"28.869"	"26.695"	"22.477"	"19.124"
"1935"	"14.222"	"19.243"	"24.749"	"27.779"	"32.614"	"34.154"	"30.273"	"28.65"	"28.707"	"26.969"	"23.186"	"18.246"
"1936"	"15.581"	"20.396"	"23.681"	"29.635"	"33.977"	"32.179"	"30.202"	"29.339"	"29.532"	"28.461"	"23.31"	"18.152"
"1937"	"16.555"	"20.224"	"23.475"	"29.161"	"32.738"	"33.736"	"30.335"	"29.299"	"29.363"	"27.422"	"22.581"	"16.325"
"1938"	"15.925"	"18.469"	"26.145"	"30.394"	"33.287"	"32.641"	"30.588"	"29.572"	"29.607"	"28.858"	"21.491"	"18.049"
"1939"	"17.582"	"20.047"	"22.656"	"27.779"	"32.211"	"32.312"	"31.042"	"30.516"	"29.572"	"28.415"	"23.644"	"19.909"
"1940"	"18.348"	"20.25"	"23.179"	"28.774"	"33.421"	"32.716"	"31.304"	"29.306"	"28.914"	"28.701"	"24.059"	"17.572"
"1941"	"15.914"	"21.399"	"26.564"	"30.718"	"33.154"	"33.312"	"30.348"	"30.129"	"29.721"	"30.023"	"23.185"	"18.755"
"1942"	"15.949"	"19.682"	"25.659"	"31.124"	"32.635"	"34.49"	"30.576"	"29.204"	"29.013"	"28.183"	"23.556"	"16.858"
"1943"	"15.853"	"19.856"	"25.608"	"29.5"	"34.244"	"33.11"	"30.522"	"28.581"	"28.677"	"27.566"	"22.394"	"19.234"
"1944"	"16.499"	"18.711"	"23.799"	"29.087"	"32.907"	"33.264"	"30.34"	"28.324"	"28.71"	"26.825"	"23.012"	"17.989"
"1945"	"14.503"	"18.847"	"25.147"	"28.707"	"32.352"	"33.056"	"29.688"	"29.331"	"28.843"	"27.189"	"22.096"	"16.253"
"1946"	"16.51"	"20.293"	"23.9"	"31.75"	"32.337"	"33.526"	"30.535"	"28.271"	"28.456"	"28.202"	"21.231"	"15.95"
"1947"	"15.932"	"19.404"	"24.964"	"30.232"	"33.487"	"33.192"	"31.678"	"30.233"	"28.297"	"26.149"	"23.471"	"17.698"
"1948"	"15.868"	"18.509"	"24.75"	"30.33"	"33.869"	"33.223"	"31.472"	"28.717"	"29.138"	"28.319"	"21.324"	"18.02"
"1949"	"17.501"	"19.193"	"25.038"	"31.013"	"34.031"	"32.722"	"30.377"	"28.659"	"30.381"	"26.573"	"20.814"	"17.118"
"1950"	"16.792"	"16.833"	"23.922"	"28.64"	"32.523"	"32.634"	"29.974"	"28.422"	"28.643"	"27.351"	"21.173"	"15.541"
"1951"	"15.774"	"18.651"	"24.075"	"28.153"	"32.77"	"33.185"	"31.842"	"29.334"	"30.17"	"30.057"	"23.69"	"18.186"
"1952"	"17.265"	"20.604"	"24.664"	"30.816"	"33.735"	"33.382"	"30.181"	"28.577"	"28.43"	"27.509"	"21.918"	"17.425"
"1953"	"16.249"	"21.642"	"27.123"	"29.665"	"32.065"	"33.352"	"30.905"	"28.628"	"28.642"	"26.974"	"22.295"	"19.787"
"1954"	"15.721"	"20.055"	"24.723"	"30.179"	"33.215"	"33.367"	"31.015"	"29.701"	"29.26"	"25.687"	"22.637"	"17.297"
"1955"	"16.432"	"20.516"	"26.351"	"27.575"	"32.216"	"33.095"	"30.846"	"29.098"	"28.593"	"26.305"	"20.567"	"17.667"
"1956"	"16.032"	"18.887"	"25.095"	"29.856"	"33.505"	"32.71"	"28.443"	"27.916"	"29.137"	"25.702"	"21.055"	"17.598"
"1957"	"15.587"	"17.777"	"23.562"	"27.387"	"31.282"	"33.197"	"31.356"	"29.928"	"28.561"	"27.28"	"23.788"	"17.888"
"1958"	"18.961"	"20.016"	"25.838"	"31.432"	"33.169"	"34.214"	"30.387"	"30.978"	"28.354"	"27.409"	"22.517"	"18.806"
"1959"	"16.383"	"19.41"	"26.435"	"30.457"	"33.183"	"33.346"	"30.041"	"28.254"	"28.072"	"28.304"	"22.084"	"17.772"
"1960"	"16.521"	"21.525"	"23.181"	"28.178"	"32.045"	"32.865"	"30.79"	"29.392"	"30.283"	"28.17"	"22.118"	"18.224"
"1961"	"16.402"	"17.923"	"25.986"	"28.216"	"32.74"	"31.951"	"30.088"	"29.536"	"27.945"	"26.477"	"21.276"	"16.551"
"1962"	"15.728"	"20.208"	"24.653"	"29.775"	"33.167"	"32.699"	"30.74"	"29.361"	"28.745"	"26.153"	"22.122"	"17.542"
"1963"	"16.987"	"21.487"	"24.742"	"29.348"	"32.114"	"33.17"	"31.746"	"29.503"	"28.619"	"27.836"	"23.314"	"18.73"
"1964"	"14.212"	"19.415"	"26.317"	"31.237"	"32.852"	"31.93"	"30.458"	"29.162"	"29.018"	"26.463"	"21.172"	"17.016"
"1965"	"18.964"	"19.901"	"24.098"	"26.807"	"31.527"	"32.953"	"30.227"	"28.838"	"28.494"	"28.357"	"23.47"	"16.748"
"1966"	"17.813"	"21.648"	"23.67"	"28.342"	"32.228"	"32.936"	"31.11"	"28.874"	"28.922"	"28.414"	"22.191"	"16.806"
"1967"	"14.614"	"21.073"	"23.601"	"28.111"	"32.056"	"32.602"	"30.616"	"28.601"	"28.241"	"27.228"	"23.658"	"17.71"
"1968"	"15.366"	"17.394"	"24.576"	"29.396"	"31.534"	"33.5"	"31.454"	"29.324"	"29.037"	"28.073"	"23.336"	"18.075"
"1969"	"16.7"	"19.5"	"26.927"	"30.304"	"32.676"	"33.284"	"31.66"	"29.191"	"29.889"	"28.685"	"24.407"	"19.483"
"1970"	"17.372"	"19.863"	"24.337"	"30.594"	"34.071"	"33.122"	"30.273"	"28.484"	"28.246"	"27.495"	"21.52"	"17.733"
"1971"	"15.892"	"19.658"	"24.316"	"31.417"	"32.531"	"31.75"	"29.306"	"28.577"	"28.972"	"26.558"	"22.435"	"17.828"
"1972"	"17.177"	"15.828"	"25.63"	"29.01"	"32.724"	"33.402"	"30.625"	"29.566"	"29.01"	"27.351"	"23.296"	"18.423"
"1973"	"15.666"	"21.171"	"24.708"	"31.247"	"33.555"	"32.655"	"30.114"	"28.764"	"28.534"	"26.779"	"21.71"	"16.427"
"1974"	"16.082"	"17.174"	"26.364"	"30.297"	"32.271"	"32.222"	"31.373"	"30.506"	"30.502"	"27.717"	"21.6"	"17.079"
"1975"	"15.308"	"18.614"	"23.502"	"29.132"	"33.334"	"31.576"	"30.299"	"29.052"	"28.192"	"26.765"	"20.816"	"18.225"
"1976"	"17.187"	"18.792"	"23.962"	"28.998"	"32.278"	"32.785"	"30.032"	"28.047"	"26.903"	"27.312"	"23.248"	"17.67"
"1977"	"15.85"	"20.362"	"26.686"	"29.891"	"32.951"	"32.351"	"29.8"	"28.466"	"28.847"	"28.205"	"24.754"	"19.043"
"1978"	"15.889"	"19.01"	"23.33"	"30.368"	"33.721"	"32.534"	"29.184"	"28.97"	"28.17"	"27.522"	"23.303"	"18.763"
"1979"	"16.531"	"18.375"	"22.97"	"29.694"	"30.909"	"33.324"	"29.707"	"28.178"	"28.952"	"27.168"	"22.999"	"18.42"
"1980"	"16.519"	"20.516"	"24.298"	"30.427"	"32.606"	"32.315"	"30.111"	"29.451"	"29.532"	"29.006"	"23.068"	"17.602"
"1981"	"17.193"	"20.16"	"24.226"	"30.762"	"32.304"	"33.535"	"28.968"	"28.741"	"29.733"	"27.893"	"21.142"	"18.549"
"1982"	"16.62"	"18.078"	"22.704"	"29.022"	"31.292"	"33.058"	"31.345"	"29.319"	"29.642"	"28.827"	"22.934"	"18.293"
"1983"	"15.902"	"18.228"	"23.416"	"27.229"	"32.945"	"33.978"	"31.08"	"29.367"	"29.623"	"26.935"	"21.31"	"17.256"
"1984"	"15.193"	"16.85"	"26.535"	"30.789"	"33.89"	"32.839"	"30.386"	"28.451"	"27.94"	"26.148"	"22.373"	"18.265"
"1985"	"16.44"	"19.693"	"27.136"	"29.321"	"33.556"	"32.233"	"30.522"	"29.197"	"29.832"	"27.4"	"23.831"	"18.702"
"1986"	"16.407"	"18.756"	"24.735"	"30.821"	"33.394"	"33.571"	"31.011"	"28.53"	"29.892"	"28.644"	"23.19"	"16.717"
"1987"	"17.652"	"20.546"	"25.733"	"30.709"	"31.826"	"34.138"	"32.42"	"31.41"	"30.751"	"29.714"	"24.026"	"18.389"
"1988"	"18.53"	"21.213"	"25.077"	"31.321"	"34.504"	"34.015"	"30.442"	"29.565"	"30.725"	"28.164"	"22.571"	"18.928"
"1989"	"15.754"	"18.827"	"24.468"	"29.283"	"33.236"	"32.75"	"30.466"	"28.39"	"29.263"	"27.946"	"23.71"	"17.976"
"1990"	"18.951"	"19.272"	"23.46"	"30.378"	"33.452"	"32.722"	"30.454"	"29.144"	"28.683"	"27.397"	"22.658"	"17.935"
"1991"	"16.579"	"18.58"	"25.092"	"29.796"	"32.989"	"34.882"	"31.765"	"29.685"	"28.638"	"27.12"	"22.908"	"19.332"
"1992"	"17.351"	"18.54"	"23.546"	"28.359"	"33.25"	"34.683"	"30.866"	"28.998"	"27.896"	"27.632"	"22.483"	"19.802"
"1993"	"17.606"	"21.016"	"23.698"	"30.144"	"33.788"	"33.657"	"30.733"	"30.069"	"30.086"	"28.886"	"24.257"	"19.844"
"1994"	"18.179"	"19.215"	"27.103"	"29.393"	"34.011"	"33.49"	"29.084"	"28.7"	"28.369"	"27.147"	"23.78"	"18.497"
"1995"	"16.519"	"20.431"	"23.668"	"29.117"	"34.354"	"34.496"	"30.689"	"29.276"	"29.889"	"28.438"	"22.947"	"19.088"
"1996"	"17.273"	"20.385"	"26.795"	"30.175"	"31.57"	"31.643"	"30.695"	"28.677"	"29.369"	"28.033"	"22.126"	"18.638"
"1997"	"16.169"	"19.766"	"24.473"	"28.289"	"31.131"	"31.897"	"31.252"	"29.211"	"28.874"	"25.993"	"22.627"	"16.593"
"1998"	"16.757"	"19.487"	"24.406"	"31.201"	"33.952"	"33.423"	"30.791"	"30.676"	"30.325"	"28.015"	"22.517"	"18.635"
"1999"	"16.495"	"20.807"	"25.043"	"30.722"	"32.123"	"31.492"	"30.556"	"28.692"	"30.13"	"28.353"	"24.058"	"18.442"
"2000"	"17.382"	"18.811"	"24.453"	"31.549"	"33.41"	"33.326"	"30.261"	"29.816"	"29.65"	"28.784"	"23.228"	"18.913"
"2001"	"16.295"	"20.206"	"25.463"	"30.236"	"33.196"	"31.725"	"28.756"	"28.948"	"29.943"	"29.331"	"23.676"	"19.26"
"2002"	"17.954"	"18.952"	"25.999"	"31.212"	"33.961"	"33.772"	"30.338"	"29.921"	"30.722"	"28.608"	"23.205"	"18.985"
