
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"12.364"	"14.414"	"20.198"	"18.129"	"15.743"	"30.137"	"56.841"	"54.323"	"30.402"	"10.302"	"9.681"	"12.166"
"1902"	"12.701"	"14.935"	"20.685"	"18.129"	"15.31"	"30.067"	"55.979"	"54.516"	"29.756"	"10.258"	"9.681"	"12.166"
"1903"	"12.715"	"14.935"	"20.8"	"18.129"	"15.838"	"30.107"	"56.223"	"54.7"	"30.402"	"9.806"	"9.681"	"12.166"
"1904"	"12.715"	"14.935"	"20.795"	"18.628"	"15.825"	"30.137"	"56.5"	"54.513"	"30.402"	"10.258"	"9.888"	"12.166"
"1905"	"12.715"	"14.935"	"20.685"	"18.129"	"15.743"	"30.137"	"56.595"	"54.705"	"30.402"	"10.258"	"9.676"	"12.166"
"1906"	"12.715"	"14.935"	"20.428"	"18.129"	"15.743"	"30.88"	"56.223"	"54.467"	"30.402"	"9.842"	"9.681"	"12.171"
"1907"	"12.715"	"15.124"	"20.685"	"18.129"	"15.743"	"30.699"	"56.787"	"54.7"	"30.402"	"10.584"	"10.1"	"12.166"
"1908"	"12.715"	"14.935"	"20.96"	"18.612"	"16.058"	"30.147"	"56.187"	"54.7"	"30.402"	"10.258"	"9.681"	"12.166"
"1909"	"12.476"	"14.935"	"20.685"	"18.129"	"15.495"	"29.857"	"56.089"	"54.513"	"29.983"	"9.849"	"9.681"	"12.166"
"1910"	"12.715"	"14.935"	"20.685"	"18.021"	"16.111"	"30.228"	"56.835"	"54.492"	"30.402"	"10.258"	"9.681"	"12.166"
"1911"	"12.715"	"14.935"	"20.685"	"18.129"	"15.743"	"30.231"	"55.844"	"54.453"	"30.402"	"10.258"	"9.298"	"12.166"
"1912"	"12.712"	"14.935"	"20.359"	"17.818"	"15.727"	"30.12"	"56.044"	"54.421"	"29.882"	"9.867"	"9.179"	"12.199"
"1913"	"12.742"	"14.929"	"20.357"	"18.129"	"15.609"	"29.567"	"56.159"	"54.7"	"29.834"	"10.492"	"9.638"	"12.174"
"1914"	"12.715"	"14.935"	"20.262"	"17.944"	"15.351"	"29.728"	"55.976"	"54.7"	"29.676"	"9.847"	"9.957"	"12.272"
"1915"	"12.392"	"14.935"	"19.861"	"18.196"	"15.141"	"30.128"	"56.002"	"54.129"	"29.991"	"9.792"	"9.172"	"12.166"
"1916"	"12.824"	"14.935"	"20.685"	"18.131"	"15.743"	"30.741"	"56.054"	"54.677"	"30.402"	"9.718"	"9.681"	"12.166"
"1917"	"12.334"	"14.586"	"20.271"	"18.296"	"14.845"	"29.828"	"55.537"	"54.563"	"30"	"10.258"	"9.392"	"12.166"
"1918"	"12.715"	"14.935"	"20.685"	"18.129"	"14.953"	"30.497"	"56.475"	"54.362"	"29.731"	"9.884"	"9.681"	"12.178"
"1919"	"12.715"	"14.935"	"20.685"	"17.942"	"15.743"	"30.243"	"56.045"	"54.53"	"29.937"	"9.318"	"8.881"	"12.171"
"1920"	"12.841"	"14.935"	"20.685"	"18.129"	"15.743"	"30.22"	"56.323"	"54.265"	"30.402"	"9.739"	"9.792"	"12.281"
"1921"	"12.715"	"14.898"	"20.664"	"18.129"	"15.743"	"29.933"	"55.937"	"54.283"	"30.402"	"9.455"	"9.421"	"12.24"
"1922"	"12.697"	"14.935"	"20.685"	"18.114"	"15.743"	"30.192"	"56.223"	"54.651"	"30.402"	"10.258"	"9.291"	"12.166"
"1923"	"12.715"	"14.935"	"20.685"	"18.278"	"15.304"	"30.904"	"56.883"	"54.7"	"30.402"	"10.143"	"8.782"	"12.166"
"1924"	"12.197"	"14.901"	"20.685"	"18.332"	"15.743"	"30.137"	"56.223"	"54.7"	"30.15"	"9.693"	"9.185"	"12.299"
"1925"	"12.715"	"14.374"	"19.773"	"17.813"	"15.376"	"30.307"	"56.219"	"54.033"	"29.577"	"10.224"	"9.204"	"11.412"
"1926"	"12.626"	"14.932"	"20.334"	"18.797"	"15.439"	"30.165"	"56.223"	"54.315"	"30.402"	"9.764"	"9.681"	"12.186"
"1927"	"12.735"	"14.935"	"20.256"	"17.997"	"15.536"	"30.099"	"56.376"	"54.352"	"30.513"	"10.258"	"9.681"	"12.168"
"1928"	"12.775"	"14.935"	"20.846"	"18.129"	"15.743"	"30.368"	"56.621"	"54.936"	"30.394"	"10.258"	"9.681"	"12.239"
"1929"	"12.715"	"14.921"	"20.68"	"17.372"	"15.743"	"30.165"	"56.794"	"54.734"	"30.363"	"9.707"	"9.681"	"12.766"
"1930"	"12.715"	"14.935"	"20.477"	"18.815"	"15.741"	"30.996"	"56.621"	"55.059"	"30.805"	"10.696"	"9.075"	"12.166"
"1931"	"13.261"	"24.865"	"20.802"	"15.38"	"13.865"	"22.675"	"53.031"	"53.818"	"26.97"	"13.834"	"4.084"	"11.097"
"1932"	"12.175"	"13.658"	"26.3"	"18.015"	"12.877"	"32.079"	"54.251"	"59.305"	"27.675"	"2.27"	"0"	"10.989"
"1933"	"13.499"	"18.362"	"22.683"	"24.168"	"25.178"	"32.394"	"57.883"	"61.183"	"35.67"	"9.945"	"6.575"	"10.762"
"1934"	"11.78"	"8.036"	"22.624"	"11.49"	"14.367"	"28.793"	"60.4"	"55.948"	"27.891"	"0.703"	"6.496"	"14.188"
"1935"	"15.109"	"19.53"	"20.04"	"26.875"	"12.636"	"10.086"	"52.963"	"52.773"	"26.116"	"5.137"	"7.883"	"12.038"
"1936"	"11.003"	"18.595"	"21.49"	"16.385"	"15.538"	"35.169"	"56.499"	"51.54"	"28.876"	"9.895"	"9.475"	"17.156"
"1937"	"11.16"	"21.243"	"22.748"	"15.324"	"15.599"	"21.119"	"57.907"	"53.888"	"26.184"	"6.685"	"8.426"	"10.922"
"1938"	"17.359"	"16.508"	"20.53"	"12.133"	"17.199"	"34.651"	"48.827"	"51.658"	"26.869"	"2.808"	"4.359"	"7.431"
"1939"	"11.837"	"24.478"	"29.793"	"17.585"	"11.539"	"36.582"	"55.605"	"49.112"	"27.162"	"6.536"	"2.047"	"9.701"
"1940"	"15.013"	"20.398"	"27.518"	"16.293"	"15.885"	"31.557"	"53.773"	"53.41"	"24.758"	"4.284"	"5.65"	"10.411"
"1941"	"13.58"	"13.626"	"21.438"	"17.136"	"19.913"	"34.915"	"54.494"	"52.031"	"27.25"	"8.873"	"0.22"	"7.417"
"1942"	"17.755"	"19.513"	"15.468"	"18.949"	"19.519"	"18.77"	"58.129"	"54.751"	"30.894"	"8.424"	"3.785"	"10.781"
"1943"	"21.711"	"7.703"	"14.787"	"15.6"	"11.531"	"27.431"	"54.428"	"55.091"	"29.141"	"1.803"	"0.024"	"8.898"
