
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.2225"	"3.4353"	"0"	"0.1333"	"0"	"0"	"0"	"0"	"0.0886"	"0.0005"	"0.0998"	"1.2268"
"1902"	"1.0727"	"0.3099"	"0"	"0"	"0"	"0.1313"	"0"	"0"	"0.0015"	"0"	"0"	"3.2365"
"1903"	"5.8722"	"1.8411"	"0.9497"	"0.5846"	"0.0112"	"0"	"0"	"0"	"0"	"0.0014"	"0.7688"	"6.0566"
"1904"	"5.3682"	"0.006"	"0.6052"	"0"	"0"	"0.0221"	"0.0051"	"0"	"0"	"0"	"0.0066"	"2.2974"
"1905"	"8.7279"	"3.8863"	"1.1203"	"0.6036"	"0"	"0.0313"	"0"	"0"	"0"	"0"	"0"	"2.363"
"1906"	"7.5404"	"3.0769"	"0.8545"	"0.4153"	"0"	"0.0383"	"0"	"0"	"0.0043"	"0"	"0"	"0.6363"
"1907"	"0.1268"	"2.1204"	"0.7194"	"0.4148"	"0.404"	"0.0812"	"0"	"0.1081"	"0.1909"	"0.3496"	"0"	"5.07"
"1908"	"3.6438"	"1.0959"	"0.676"	"0.0665"	"0.1153"	"0"	"0.1959"	"0.2209"	"0.3003"	"0.3363"	"0.4845"	"5.2616"
"1909"	"6.6464"	"1.6626"	"0.3926"	"0.4241"	"0.3341"	"0"	"0.2043"	"0.1976"	"0.3892"	"0.2829"	"0.1714"	"5.9009"
"1910"	"5.4421"	"0.5862"	"0.3467"	"0.611"	"0.1713"	"0"	"0.3294"	"0.0996"	"0.0369"	"0.3451"	"0.7219"	"5.2383"
"1911"	"4.391"	"0.5158"	"0.9608"	"0.4468"	"0"	"0.0614"	"0"	"0"	"0"	"0.1654"	"0.8646"	"3.286"
"1912"	"1.2818"	"0.1733"	"0.5183"	"0.0564"	"0"	"0"	"0"	"0.0494"	"0.1408"	"0.1143"	"0.7255"	"4.143"
"1913"	"2.1985"	"1.7123"	"1.0218"	"0"	"0.1322"	"0"	"0.0579"	"0.0475"	"0.212"	"0.0404"	"0.3626"	"5.0394"
"1914"	"0.9792"	"2.3857"	"0.821"	"0.1796"	"0"	"0.016"	"0.0772"	"0"	"0"	"0.1144"	"0"	"5.873"
"1915"	"5.2528"	"2.3276"	"0.003"	"0.4106"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1102"	"3.1006"
"1916"	"1.1791"	"2.568"	"0"	"0.0786"	"0.2387"	"0.0196"	"0"	"0.0289"	"0.084"	"0.3673"	"0.8815"	"5.429"
"1917"	"1.8008"	"0"	"0.4684"	"0.5961"	"0.5709"	"0.0637"	"0.1361"	"0.1541"	"0.3374"	"0.5707"	"0.6758"	"5.406"
"1918"	"6.4834"	"0.7271"	"0.4447"	"0.694"	"0.0262"	"0.1572"	"0"	"0"	"0.1304"	"0.127"	"0.2486"	"6.0188"
"1919"	"5.4184"	"0.9998"	"0.3495"	"0.4114"	"0.0497"	"0.0009"	"0.0008"	"0.0085"	"0.2283"	"0.287"	"0.5003"	"5.8394"
"1920"	"3.3976"	"1.4481"	"0.0239"	"0.3327"	"0.6157"	"0.171"	"0.0636"	"0.0999"	"0"	"0"	"0"	"5.3116"
"1921"	"3.0296"	"0.7675"	"0"	"0"	"0"	"0"	"0"	"0.1056"	"0.0677"	"0.2491"	"0.1691"	"1.4582"
"1922"	"5.0542"	"0.2818"	"0.0774"	"0"	"0.1329"	"0.0102"	"0"	"0"	"0.073"	"0.2693"	"0.2857"	"4.6215"
"1923"	"3.7556"	"1.868"	"0"	"0.1427"	"0.3616"	"0"	"0"	"0.1255"	"0.0151"	"0.3253"	"0.7265"	"5.2747"
"1924"	"5.9176"	"0.5342"	"0"	"0.0005"	"0.4003"	"0"	"0"	"0.009"	"0.1996"	"0.3102"	"0.7751"	"3.7517"
"1925"	"8.1215"	"3.0631"	"0"	"0"	"0.0008"	"0.1009"	"0.0834"	"0"	"0"	"0"	"0.3943"	"3.0567"
"1926"	"3.0401"	"0"	"0.4265"	"0.7322"	"0.4315"	"0"	"0"	"0"	"0.1423"	"0.3329"	"0.8752"	"4.1249"
"1927"	"8.1013"	"2.8101"	"0.7888"	"0.4232"	"0.2902"	"0"	"0.0603"	"0.2293"	"0.1181"	"0.0587"	"0.574"	"2.4897"
"1928"	"3.9569"	"0.7468"	"0"	"0"	"0.0004"	"0.031"	"0"	"0"	"0.1408"	"0.0062"	"0.2437"	"6.539"
"1929"	"5.7333"	"1.8407"	"0"	"0"	"0"	"0"	"0.061"	"0.1457"	"0.0989"	"0.2112"	"0.0984"	"7.3097"
"1930"	"6.0954"	"1.1121"	"0.1874"	"0.3313"	"0.0821"	"0.0008"	"0.2084"	"0.1385"	"0"	"0.0003"	"0.5241"	"3.889"
"1931"	"2.0503"	"3.1336"	"0.3438"	"0"	"0.0093"	"0"	"0"	"0"	"0"	"0.2542"	"0.2251"	"2.4961"
"1932"	"0.0232"	"0.2601"	"0"	"0.0806"	"0.1412"	"0.0522"	"0"	"0.2021"	"0"	"0"	"0.3977"	"2.2159"
"1933"	"5.8602"	"0.0076"	"0.2778"	"0.2011"	"0.2823"	"0.0407"	"0"	"0.1677"	"0.0625"	"0.0164"	"0.1114"	"1.252"
"1934"	"9.0431"	"0"	"0.3839"	"0.0007"	"0.0974"	"0"	"0.0393"	"0"	"0.0085"	"0.4318"	"0.2684"	"0.2171"
"1935"	"9.1774"	"1.1089"	"0.0628"	"0.5496"	"0.1154"	"0"	"0.0346"	"0.0922"	"0.0552"	"0.2989"	"0.0738"	"2.3491"
"1936"	"6.307"	"0"	"0.5218"	"0.1661"	"0"	"0.1286"	"0.0867"	"0.0003"	"0"	"0.0211"	"0"	"2.0282"
"1937"	"5.5172"	"0.2479"	"0.5996"	"0.2139"	"0.0587"	"0"	"0.0753"	"0.0078"	"0"	"0.2316"	"0.1389"	"5.9218"
"1938"	"5.4158"	"2.1063"	"0"	"0"	"0"	"0.0596"	"0.0003"	"0"	"0"	"0"	"0.6229"	"2.4626"
"1939"	"2.1224"	"0.0477"	"0.9346"	"0.6613"	"0.1862"	"0.1053"	"0"	"0"	"0"	"0.0024"	"0"	"0"
"1940"	"0.4051"	"0"	"0.8231"	"0.3668"	"0"	"0.04"	"0"	"0"	"0.0286"	"0"	"0"	"3.2536"
"1941"	"5.0059"	"0"	"0"	"0"	"0"	"0"	"0.0472"	"0"	"0"	"0"	"0"	"0.6109"
"1942"	"4.5992"	"0.1225"	"0"	"0"	"0.0774"	"0"	"0.0261"	"0.0529"	"0.106"	"0.0034"	"0.0106"	"4.837"
"1943"	"5.823"	"0.3076"	"0"	"0.1084"	"0"	"0.0348"	"0.0171"	"0.1435"	"0.0815"	"0.1143"	"0.1881"	"0"
"1944"	"3.9678"	"1.4595"	"0.4199"	"0.1663"	"0.0047"	"0"	"0.0447"	"0.1504"	"0.0971"	"0.3395"	"0.0658"	"2.2958"
"1945"	"8.2605"	"1.2492"	"0.0254"	"0.3934"	"0.1575"	"0.0008"	"0.2087"	"0"	"0.0653"	"0.3177"	"0.1326"	"6.1755"
"1946"	"3.5787"	"0"	"0.3954"	"0"	"0.0569"	"0"	"0.0032"	"0.1761"	"0.1027"	"0"	"0.674"	"7.1455"
"1947"	"5.4443"	"0.3885"	"0.0007"	"0.0487"	"0.004"	"0"	"0"	"0"	"0.1247"	"0.4616"	"0.0004"	"3.1075"
"1948"	"5.1279"	"1.6351"	"0.0211"	"0"	"0"	"0"	"0"	"0.0008"	"0"	"0"	"0.5393"	"2.5193"
"1949"	"1.4361"	"0.8515"	"0.0026"	"0"	"0"	"0.0163"	"0"	"0.0227"	"0"	"0.3449"	"0.9244"	"4.423"
"1950"	"3.369"	"3.3312"	"0.4575"	"0.5371"	"0.0723"	"0.0118"	"0.108"	"0.1401"	"0.1019"	"0.1289"	"0.6761"	"7.2008"
"1951"	"5.9769"	"1.7747"	"0.3533"	"0.6846"	"0.0266"	"0"	"0"	"0"	"0"	"0"	"0"	"1.7979"
"1952"	"1.9771"	"0"	"0.028"	"0"	"0"	"0"	"0.154"	"0.1499"	"0.1745"	"0.0928"	"0.3254"	"3.8545"
"1953"	"4.7147"	"0"	"0"	"0.0234"	"0.2082"	"0"	"0"	"0.17"	"0.1398"	"0.1827"	"0.2373"	"0"
"1954"	"5.7279"	"0.5252"	"0.0235"	"0.0403"	"0"	"0"	"0"	"0"	"0.0515"	"0.6833"	"0.059"	"3.7467"
"1955"	"5.2018"	"0"	"0"	"0.6364"	"0.1897"	"0"	"0"	"0.0202"	"0.0566"	"0.3906"	"0.6734"	"2.528"
"1956"	"4.6693"	"0.891"	"0.003"	"0.0053"	"0"	"0.0012"	"0.3607"	"0.2485"	"0.0407"	"0.6154"	"0.716"	"2.7"
"1957"	"5.4036"	"2.3811"	"0.6357"	"0.5564"	"0.4527"	"0"	"0"	"0"	"0.0638"	"0.1573"	"0"	"1.5939"
"1958"	"0.0834"	"0.1283"	"0"	"0"	"0"	"0"	"0.0046"	"0"	"0.1604"	"0.0014"	"0.1468"	"0.3827"
"1959"	"4.1593"	"0.6616"	"0"	"0"	"0"	"0"	"0.1585"	"0.1131"	"0.3247"	"0.029"	"0.1215"	"2.6368"
"1960"	"4.5689"	"0"	"0.6758"	"0.414"	"0.2828"	"0.0554"	"0.004"	"0.0011"	"0"	"0.04"	"0.3637"	"1.9824"
"1961"	"3.6683"	"1.9747"	"0"	"0.5505"	"0.0263"	"0.1863"	"0.1202"	"0"	"0.2409"	"0.2843"	"0.5445"	"5.5446"
"1962"	"6.9413"	"0"	"0.1352"	"0.0426"	"0"	"0.033"	"0.0048"	"0"	"0.1155"	"0.4249"	"0.3233"	"4.5677"
"1963"	"4.1548"	"0"	"0.0234"	"0.1796"	"0.1331"	"0"	"0"	"0"	"0.1101"	"0.0404"	"0"	"0.9679"
"1964"	"8.2164"	"0.5783"	"0"	"0"	"0.011"	"0.1676"	"0.0302"	"0"	"0.0364"	"0.4221"	"0.6308"	"4.2712"
"1965"	"0"	"0"	"0.2891"	"0.6235"	"0.4684"	"0"	"0.0267"	"0.0283"	"0.0855"	"0"	"0"	"4.3531"
"1966"	"1.9172"	"0"	"0.425"	"0.4352"	"0.1202"	"0.0174"	"0"	"0"	"0.0084"	"0"	"0.4822"	"6.68"
"1967"	"8.4579"	"0"	"0.5574"	"0.4857"	"0.2692"	"0.0227"	"0.0121"	"0.119"	"0.0801"	"0.0886"	"0"	"2.2137"
"1968"	"6.4235"	"2.4202"	"0.104"	"0.1439"	"0.5028"	"0"	"0"	"0.0011"	"0.04"	"0.0127"	"0"	"1.5686"
"1969"	"2.8754"	"0.2155"	"0"	"0"	"0.0964"	"0"	"0"	"0.0006"	"0"	"0"	"0"	"0.4978"
"1970"	"1.8499"	"0.171"	"0.3303"	"0"	"0"	"0.0245"	"0.007"	"0.0732"	"0.077"	"0"	"0.4627"	"3.7085"
"1971"	"6.1908"	"0.6735"	"0.2633"	"0"	"0.0468"	"0.1391"	"0.1947"	"0.1445"	"0.054"	"0.3733"	"0.2131"	"1.9535"
