
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.142"	"26.311"	"34.723"	"38.612"	"41.504"	"40.519"	"36.491"	"33.779"	"35.235"	"37.075"	"32.107"	"28.027"
"1902"	"27.055"	"28.999"	"36.043"	"40.102"	"40.982"	"38.257"	"36.978"	"34.864"	"34.945"	"36.486"	"32.103"	"26.929"
"1903"	"25.245"	"27.504"	"31.344"	"36.905"	"41.177"	"40.238"	"36.483"	"34.16"	"35.685"	"36.726"	"30.022"	"25.7"
"1904"	"25.219"	"29.174"	"32.62"	"39.284"	"41.055"	"38.912"	"35.019"	"33.871"	"35.614"	"36.382"	"32.229"	"27.004"
"1905"	"23.768"	"24.033"	"30.962"	"36.747"	"42.332"	"39.004"	"35.89"	"34.578"	"35.672"	"36.804"	"33.207"	"27.414"
"1906"	"24.334"	"25.919"	"31.939"	"37.541"	"41.746"	"38.954"	"35.759"	"33.857"	"34.574"	"36.428"	"32.794"	"27.766"
"1907"	"27.585"	"27.222"	"32.747"	"37.667"	"39.564"	"38.95"	"37.266"	"32.723"	"33.759"	"35.08"	"32.319"	"26.17"
"1908"	"25.741"	"28.116"	"32.518"	"38.408"	"40.524"	"39.463"	"33.893"	"32.457"	"33.602"	"35.017"	"30.561"	"25.718"
"1909"	"24.522"	"27.413"	"33.487"	"37.11"	"39.562"	"39.175"	"34.182"	"32.022"	"33.209"	"35.196"	"31.621"	"25.508"
"1910"	"25.026"	"28.561"	"33.297"	"36.821"	"40.104"	"38.996"	"33.668"	"32.695"	"34.561"	"35.147"	"30.162"	"25.863"
"1911"	"25.528"	"28.726"	"31.372"	"37.468"	"41.283"	"38.619"	"35.8"	"33.796"	"34.836"	"35.996"	"29.688"	"26.996"
"1912"	"26.899"	"29.723"	"32.8"	"38.759"	"41.439"	"40.145"	"35.599"	"32.989"	"33.784"	"35.651"	"30.215"	"26.49"
"1913"	"26.378"	"27.806"	"31.241"	"39.128"	"40.414"	"39.477"	"35.035"	"32.726"	"33.889"	"36.204"	"31.254"	"26.07"
"1914"	"27.248"	"26.967"	"32.314"	"38.333"	"42.108"	"39.058"	"34.998"	"33.202"	"35.412"	"36.152"	"32.136"	"25.522"
"1915"	"25.197"	"27.147"	"34.185"	"37.424"	"41.091"	"40.063"	"36.518"	"34.632"	"36.678"	"37.357"	"31.886"	"27.006"
"1916"	"27.057"	"26.854"	"35.282"	"38.473"	"40.423"	"38.941"	"36.249"	"33.235"	"34.456"	"34.797"	"29.466"	"25.659"
"1917"	"26.636"	"29.002"	"32.977"	"36.404"	"39.029"	"38.242"	"34.317"	"32.512"	"33.394"	"34.06"	"30.406"	"25.672"
"1918"	"24.656"	"28.57"	"32.89"	"36.383"	"40.57"	"38.121"	"35.612"	"34.217"	"34.23"	"35.795"	"31.69"	"25.655"
"1919"	"25.338"	"28.255"	"33.26"	"37.476"	"40.824"	"39.42"	"35.164"	"33.162"	"33.683"	"35.396"	"31.017"	"25.927"
"1920"	"26.063"	"27.805"	"34.155"	"37.6"	"38.854"	"37.708"	"34.616"	"32.857"	"35.7"	"36.934"	"32.32"	"25.77"
"1921"	"26.199"	"28.424"	"35.39"	"39.855"	"41.116"	"39.894"	"36.231"	"32.935"	"34.489"	"35.777"	"31.736"	"27.473"
"1922"	"25.2"	"29.11"	"33.961"	"39.234"	"40.366"	"39.108"	"36.061"	"33.303"	"34.31"	"35.425"	"31.241"	"26.559"
"1923"	"25.801"	"27.394"	"34.496"	"38.247"	"39.997"	"39.372"	"35.783"	"32.657"	"34.92"	"35.372"	"30.176"	"25.999"
"1924"	"24.971"	"28.481"	"35.61"	"38.827"	"39.709"	"39.801"	"36.318"	"33.656"	"33.821"	"34.933"	"29.976"	"26.618"
"1925"	"23.711"	"26.191"	"34.853"	"40.576"	"40.894"	"38.692"	"34.639"	"34.253"	"35.589"	"37.706"	"31.325"	"27.034"
"1926"	"26.139"	"30.701"	"33.056"	"36.102"	"39.681"	"40.227"	"36.127"	"33.721"	"33.982"	"35.108"	"29.506"	"26.553"
"1927"	"23.803"	"26.745"	"32.231"	"37.403"	"40.232"	"39.496"	"34.851"	"32.108"	"34.188"	"35.875"	"30.751"	"27.116"
"1928"	"25.681"	"28.748"	"34.38"	"38.868"	"41.045"	"39.03"	"35.893"	"33.555"	"33.916"	"36.039"	"31.452"	"25.704"
"1929"	"24.886"	"27.464"	"35.448"	"39.125"	"41.244"	"39.272"	"34.886"	"32.768"	"34.199"	"35.481"	"31.972"	"24.503"
"1930"	"24.871"	"28.148"	"33.674"	"37.535"	"40.809"	"39.469"	"34.167"	"32.897"	"36.226"	"36.65"	"31.009"	"26.972"
"1931"	"26.588"	"25.81"	"33.294"	"39.677"	"41.006"	"40.344"	"36.504"	"34.29"	"35.225"	"35.555"	"31.555"	"27.288"
"1932"	"28.355"	"28.843"	"34.574"	"38.414"	"41.314"	"38.671"	"35.54"	"32.456"	"35.382"	"36.208"	"31.159"	"27.706"
"1933"	"25.093"	"29.171"	"33.283"	"38.118"	"40.078"	"38.828"	"35.392"	"32.71"	"34.543"	"36.165"	"32.013"	"27.649"
"1934"	"23.301"	"30.413"	"33.11"	"38.91"	"40.685"	"39.517"	"34.844"	"33.501"	"34.567"	"35.211"	"31.708"	"28.464"
"1935"	"23.46"	"28.418"	"33.942"	"36.609"	"40.691"	"40.355"	"34.904"	"32.925"	"34.516"	"35.476"	"32.418"	"27.591"
"1936"	"24.825"	"29.9"	"32.928"	"38.477"	"42.049"	"38.38"	"34.834"	"33.602"	"35.235"	"36.955"	"32.538"	"27.495"
"1937"	"25.776"	"29.395"	"32.676"	"37.984"	"40.811"	"39.928"	"34.968"	"33.605"	"35.053"	"35.927"	"31.813"	"25.699"
"1938"	"25.18"	"27.64"	"35.349"	"39.231"	"41.363"	"38.831"	"35.2"	"33.836"	"35.309"	"37.358"	"30.721"	"27.394"
"1939"	"26.816"	"29.219"	"31.857"	"36.614"	"40.289"	"38.511"	"35.671"	"34.776"	"35.278"	"36.929"	"32.876"	"29.249"
"1940"	"27.592"	"29.421"	"32.38"	"37.605"	"41.492"	"38.92"	"35.931"	"33.55"	"34.621"	"37.207"	"33.293"	"27.03"
"1941"	"25.149"	"30.565"	"35.757"	"39.602"	"41.236"	"39.502"	"34.976"	"34.394"	"35.425"	"38.52"	"32.409"	"28.101"
