
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.687"	"8.014"	"16.351"	"20.975"	"25.368"	"28.154"	"27.285"	"25.284"	"23.852"	"20.096"	"13.667"	"9.368"
"1902"	"8.587"	"10.713"	"17.671"	"22.487"	"24.847"	"25.888"	"27.771"	"26.372"	"23.574"	"19.503"	"13.676"	"8.273"
"1903"	"6.786"	"9.191"	"12.962"	"19.27"	"25.038"	"27.885"	"27.271"	"25.593"	"24.31"	"19.742"	"11.573"	"7.03"
"1904"	"6.752"	"10.859"	"14.245"	"21.661"	"24.922"	"26.554"	"25.803"	"25.382"	"24.232"	"19.404"	"13.793"	"8.342"
"1905"	"5.303"	"5.74"	"12.577"	"19.12"	"26.194"	"26.636"	"26.663"	"26.09"	"24.293"	"19.817"	"14.775"	"8.745"
"1906"	"5.848"	"7.631"	"13.568"	"19.911"	"25.613"	"26.589"	"26.547"	"25.364"	"23.192"	"19.45"	"14.353"	"9.087"
"1907"	"9.109"	"8.927"	"14.372"	"20.036"	"23.427"	"26.581"	"28.048"	"24.236"	"22.382"	"18.173"	"13.874"	"7.505"
"1908"	"7.286"	"9.815"	"14.143"	"20.789"	"24.395"	"27.091"	"24.661"	"23.96"	"22.109"	"18.042"	"12.124"	"7.064"
"1909"	"6.065"	"9.105"	"15.122"	"19.486"	"23.427"	"26.816"	"24.96"	"23.528"	"21.836"	"18.218"	"13.189"	"6.844"
"1910"	"6.563"	"10.263"	"14.915"	"19.191"	"23.971"	"26.632"	"24.45"	"24.207"	"23.178"	"18.168"	"11.728"	"7.207"
"1911"	"7.075"	"10.42"	"12.99"	"19.841"	"25.143"	"26.257"	"26.596"	"25.3"	"23.466"	"19.013"	"11.239"	"8.328"
"1912"	"8.431"	"11.401"	"14.427"	"21.133"	"25.298"	"27.78"	"26.377"	"24.503"	"22.4"	"18.667"	"11.769"	"7.844"
"1913"	"7.907"	"9.499"	"12.858"	"21.497"	"24.276"	"27.118"	"25.83"	"24.238"	"22.506"	"19.226"	"12.827"	"7.407"
"1914"	"8.784"	"8.665"	"13.927"	"20.706"	"25.977"	"26.701"	"25.785"	"24.704"	"24.033"	"19.167"	"14.839"	"6.855"
"1915"	"6.737"	"8.843"	"15.815"	"19.908"	"24.957"	"27.694"	"27.308"	"26.137"	"25.295"	"20.378"	"13.443"	"8.35"
"1916"	"8.596"	"8.556"	"16.873"	"20.848"	"24.292"	"26.572"	"26.817"	"24.741"	"23.075"	"17.821"	"11.03"	"7.008"
"1917"	"8.166"	"10.705"	"14.603"	"18.774"	"22.894"	"25.864"	"25.105"	"24.017"	"22.01"	"17.083"	"11.973"	"7.011"
"1918"	"6.201"	"10.266"	"14.522"	"18.759"	"24.439"	"25.762"	"26.406"	"25.72"	"22.847"	"18.817"	"13.264"	"6.991"
"1919"	"6.416"	"9.972"	"14.888"	"19.843"	"24.684"	"27.039"	"25.956"	"24.674"	"22.296"	"18.417"	"12.582"	"7.183"
"1920"	"7.571"	"9.487"	"15.782"	"20.11"	"22.722"	"25.326"	"25.403"	"24.353"	"24.317"	"19.954"	"13.896"	"7.109"
"1921"	"7.739"	"10.133"	"17.043"	"22.226"	"24.977"	"27.53"	"27.007"	"24.448"	"23.11"	"18.642"	"13.3"	"8.802"
"1922"	"6.741"	"10.826"	"15.585"	"21.606"	"24.228"	"26.749"	"26.834"	"24.787"	"22.928"	"18.321"	"12.815"	"7.889"
"1923"	"7.344"	"9.092"	"16.105"	"20.616"	"23.868"	"26.995"	"26.574"	"24.17"	"23.545"	"18.386"	"11.725"	"7.338"
"1924"	"6.504"	"10.187"	"17.227"	"21.206"	"23.577"	"27.43"	"27.102"	"25.169"	"22.44"	"17.956"	"11.522"	"7.945"
"1925"	"5.243"	"7.885"	"16.491"	"22.943"	"24.748"	"26.319"	"25.424"	"25.755"	"24.201"	"20.73"	"12.871"	"8.369"
"1926"	"7.67"	"12.415"	"14.684"	"18.463"	"23.545"	"27.861"	"26.919"	"25.232"	"22.607"	"18.131"	"11.035"	"7.882"
"1927"	"5.336"	"8.441"	"13.848"	"19.774"	"24.1"	"27.128"	"25.622"	"23.613"	"22.803"	"18.893"	"12.314"	"8.458"
"1928"	"7.224"	"10.446"	"16.006"	"21.236"	"24.907"	"26.671"	"26.686"	"25.067"	"22.561"	"19.062"	"13.017"	"7.043"
"1929"	"6.413"	"9.168"	"17.08"	"21.496"	"25.104"	"26.889"	"25.669"	"24.264"	"22.825"	"18.505"	"13.543"	"5.846"
"1930"	"6.402"	"9.835"	"15.307"	"19.914"	"24.666"	"27.1"	"24.946"	"24.393"	"24.851"	"19.665"	"12.566"	"8.307"
"1931"	"8.128"	"7.912"	"14.911"	"22.042"	"24.873"	"27.966"	"27.299"	"25.8"	"23.674"	"18.579"	"13.123"	"8.604"
"1932"	"9.892"	"10.526"	"16.182"	"20.789"	"25.173"	"26.292"	"26.321"	"23.961"	"24.005"	"19.229"	"12.711"	"9.046"
"1933"	"6.636"	"10.945"	"14.905"	"20.483"	"23.943"	"26.467"	"26.166"	"24.211"	"23.161"	"19.188"	"13.721"	"9.008"
"1934"	"4.831"	"12.111"	"14.731"	"21.292"	"24.544"	"27.163"	"25.611"	"25.005"	"23.191"	"18.233"	"13.287"	"9.809"
