
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.47"	"6.1"	"7.56"	"8.81"	"9.35"	"8.48"	"6.93"	"6.29"	"6.88"	"7.51"	"6.56"	"5.68"
"1902"	"5.64"	"6.33"	"7.67"	"8.94"	"9.46"	"8.36"	"6.87"	"6.33"	"6.89"	"7.48"	"6.57"	"5.63"
"1903"	"5.54"	"6.28"	"7.4"	"8.64"	"9.32"	"8.47"	"6.93"	"6.29"	"6.89"	"7.58"	"6.5"	"5.53"
"1904"	"5.46"	"6.36"	"7.47"	"8.79"	"9.39"	"8.45"	"6.84"	"6.22"	"6.89"	"7.49"	"6.57"	"5.67"
"1905"	"5.52"	"5.96"	"7.32"	"8.59"	"9.36"	"8.48"	"6.87"	"6.28"	"6.89"	"7.49"	"6.61"	"5.72"
"1906"	"5.53"	"6.13"	"7.38"	"8.65"	"9.36"	"8.42"	"6.88"	"6.28"	"6.87"	"7.46"	"6.61"	"5.66"
"1907"	"5.73"	"6.27"	"7.48"	"8.76"	"9.28"	"8.34"	"6.98"	"6.3"	"6.82"	"7.36"	"6.56"	"5.58"
"1908"	"5.55"	"6.31"	"7.47"	"8.76"	"9.35"	"8.5"	"6.85"	"6.18"	"6.85"	"7.41"	"6.49"	"5.56"
"1909"	"5.45"	"6.21"	"7.53"	"8.74"	"9.26"	"8.43"	"6.88"	"6.18"	"6.8"	"7.4"	"6.54"	"5.55"
"1910"	"5.44"	"6.31"	"7.58"	"8.71"	"9.27"	"8.47"	"6.82"	"6.18"	"6.88"	"7.46"	"6.47"	"5.52"
"1911"	"5.53"	"6.36"	"7.42"	"8.65"	"9.35"	"8.4"	"6.87"	"6.28"	"6.88"	"7.52"	"6.42"	"5.55"
"1912"	"5.62"	"6.43"	"7.52"	"8.77"	"9.35"	"8.5"	"6.92"	"6.26"	"6.84"	"7.48"	"6.47"	"5.55"
"1913"	"5.61"	"6.33"	"7.35"	"8.77"	"9.35"	"8.46"	"6.89"	"6.22"	"6.82"	"7.46"	"6.53"	"5.53"
"1914"	"5.66"	"6.24"	"7.43"	"8.71"	"9.44"	"8.5"	"6.87"	"6.18"	"6.89"	"7.48"	"6.48"	"5.56"
"1915"	"5.52"	"6.18"	"7.59"	"8.7"	"9.35"	"8.47"	"6.91"	"6.29"	"6.93"	"7.57"	"6.61"	"5.59"
"1916"	"5.66"	"6.18"	"7.63"	"8.83"	"9.35"	"8.37"	"7"	"6.28"	"6.88"	"7.47"	"6.41"	"5.44"
"1917"	"5.59"	"6.39"	"7.6"	"8.71"	"9.26"	"8.37"	"6.85"	"6.19"	"6.86"	"7.37"	"6.46"	"5.54"
"1918"	"5.42"	"6.31"	"7.55"	"8.65"	"9.35"	"8.37"	"6.83"	"6.31"	"6.88"	"7.46"	"6.57"	"5.56"
"1919"	"5.54"	"6.28"	"7.54"	"8.73"	"9.35"	"8.48"	"6.88"	"6.26"	"6.84"	"7.45"	"6.52"	"5.54"
"1920"	"5.58"	"6.24"	"7.58"	"8.77"	"9.28"	"8.36"	"6.82"	"6.19"	"6.87"	"7.52"	"6.61"	"5.55"
"1921"	"5.57"	"6.27"	"7.61"	"8.91"	"9.37"	"8.47"	"6.96"	"6.27"	"6.86"	"7.49"	"6.5"	"5.67"
"1922"	"5.5"	"6.33"	"7.57"	"8.83"	"9.35"	"8.38"	"6.91"	"6.28"	"6.87"	"7.48"	"6.5"	"5.6"
"1923"	"5.57"	"6.22"	"7.6"	"8.82"	"9.35"	"8.38"	"6.91"	"6.19"	"6.88"	"7.49"	"6.49"	"5.55"
"1924"	"5.47"	"6.24"	"7.68"	"8.91"	"9.32"	"8.39"	"6.94"	"6.31"	"6.88"	"7.46"	"6.43"	"5.61"
"1925"	"5.42"	"6.08"	"7.53"	"8.95"	"9.46"	"8.44"	"6.82"	"6.25"	"6.89"	"7.58"	"6.57"	"5.62"
"1926"	"5.55"	"6.46"	"7.61"	"8.65"	"9.24"	"8.41"	"6.93"	"6.3"	"6.88"	"7.48"	"6.4"	"5.6"
"1927"	"5.42"	"6.17"	"7.46"	"8.71"	"9.31"	"8.47"	"6.9"	"6.19"	"6.8"	"7.47"	"6.49"	"5.61"
"1928"	"5.55"	"6.3"	"7.59"	"8.81"	"9.38"	"8.41"	"6.88"	"6.28"	"6.83"	"7.46"	"6.55"	"5.56"
"1929"	"5.47"	"6.15"	"7.61"	"8.88"	"9.38"	"8.48"	"6.87"	"6.19"	"6.85"	"7.44"	"6.61"	"5.44"
"1930"	"5.42"	"6.25"	"7.56"	"8.72"	"9.35"	"8.48"	"6.84"	"6.16"	"6.88"	"7.54"	"6.51"	"5.59"
"1931"	"5.65"	"5.92"	"7.44"	"8.9"	"9.4"	"8.58"	"7.01"	"6.31"	"7.04"	"7.38"	"6.62"	"5.61"
"1932"	"5.72"	"6.4"	"7.52"	"8.8"	"9.44"	"8.39"	"6.95"	"6.11"	"6.89"	"7.67"	"6.67"	"5.68"
"1933"	"5.46"	"6.28"	"7.51"	"8.66"	"9.16"	"8.36"	"6.88"	"6.1"	"6.75"	"7.47"	"6.6"	"5.75"
