
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.614"	"0"	"0.271"	"0"	"5.371"	"2.973"	"58.736"	"32.053"	"0.488"	"2.213"	"0"	"3.169"
"1902"	"0"	"0"	"0"	"0"	"12.139"	"28.334"	"19.33"	"110.85"	"57.47"	"0.074"	"0"	"0"
"1903"	"0.118"	"0.171"	"8.711"	"0"	"5.198"	"0.387"	"177.786"	"54.755"	"61.476"	"0"	"0"	"0.056"
"1904"	"4.82"	"1.699"	"9.914"	"0.014"	"1.509"	"12.494"	"26.117"	"9.726"	"21.379"	"3.916"	"0.412"	"3.805"
"1905"	"2.654"	"5.606"	"0.661"	"7.704"	"0"	"5.196"	"67.403"	"1.415"	"22.229"	"0"	"0"	"1.679"
"1906"	"0"	"37.5"	"8.58"	"0"	"0.246"	"23.588"	"81.314"	"54.743"	"65.832"	"0.688"	"0"	"5.801"
"1907"	"0.527"	"11.817"	"5.185"	"10.437"	"0.85"	"71.631"	"33.82"	"156.236"	"3.714"	"0"	"0"	"0"
"1908"	"3.7"	"0.097"	"0"	"0.394"	"1.335"	"3.491"	"192.078"	"163.022"	"97.855"	"0"	"2.898"	"0"
"1909"	"3.578"	"0.084"	"0"	"18.548"	"0.18"	"11.352"	"183.073"	"54.833"	"103.05"	"0.114"	"0"	"2.404"
"1910"	"1.038"	"0.171"	"0"	"5.736"	"0"	"128.105"	"118.98"	"90.439"	"2.008"	"0.074"	"0"	"0"
"1911"	"1.531"	"0"	"51.049"	"0.092"	"0"	"18.642"	"1.097"	"2.828"	"37.898"	"0.155"	"2.405"	"0"
"1912"	"0.132"	"0"	"0"	"0.738"	"0.252"	"24.93"	"90.048"	"129.197"	"21.484"	"15.506"	"23.188"	"0"
"1913"	"0"	"0.429"	"0.883"	"0.092"	"4.371"	"39.894"	"178.314"	"84.121"	"139.516"	"0"	"0.334"	"3.9"
"1914"	"0.087"	"5.63"	"2.919"	"1.963"	"0.576"	"62.308"	"82.489"	"42.534"	"32.884"	"12.658"	"17.775"	"0"
"1915"	"1.667"	"2.987"	"5.716"	"0.898"	"0"	"8.235"	"21.611"	"6.134"	"18.674"	"26.33"	"0"	"0"
"1916"	"0"	"0"	"0.011"	"0.42"	"7.097"	"27.681"	"42.798"	"263.757"	"105.755"	"37.575"	"0"	"0"
"1917"	"0.235"	"10.464"	"0.361"	"13.156"	"22.223"	"71"	"76.273"	"236.92"	"222.968"	"12.391"	"0"	"8.11"
"1918"	"0"	"0"	"1.274"	"0.014"	"0.747"	"8.484"	"3.551"	"54.79"	"16.589"	"0"	"0"	"5.99"
"1919"	"4.115"	"0.029"	"0.479"	"21.792"	"1.813"	"6.165"	"186.377"	"113.937"	"19.392"	"0"	"7.574"	"0.896"
"1920"	"1.457"	"2.542"	"0"	"0.693"	"15.451"	"64.307"	"38.881"	"16.843"	"1.134"	"0"	"0"	"0"
"1921"	"0"	"0"	"0"	"0.014"	"0"	"0.425"	"173.62"	"111.491"	"83.697"	"0.026"	"0"	"0.581"
"1922"	"0"	"0.801"	"0"	"1.306"	"0.424"	"8.748"	"60.037"	"65.047"	"66.484"	"0.173"	"0"	"0.1"
"1923"	"0.652"	"4.908"	"0.485"	"13.005"	"1.432"	"1.243"	"88.105"	"119.416"	"0.544"	"0.674"	"0"	"0.295"
"1924"	"0.774"	"0.577"	"0.011"	"0.063"	"2.601"	"13.953"	"96.059"	"47.378"	"98.6"	"0"	"0"	"5.801"
