
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.05"	"3.83"	"5.75"	"7.09"	"7.84"	"7.19"	"5.88"	"5.09"	"5.29"	"5.31"	"4.01"	"3.22"
"1902"	"3.29"	"4.09"	"5.92"	"7.32"	"7.78"	"6.88"	"5.93"	"5.19"	"5.23"	"5.25"	"4.02"	"3.11"
"1903"	"3.13"	"3.98"	"5.3"	"6.83"	"7.82"	"7.16"	"5.87"	"5.14"	"5.33"	"5.29"	"3.83"	"3.03"
"1904"	"3.13"	"4.12"	"5.46"	"7.2"	"7.81"	"6.98"	"5.69"	"5.09"	"5.35"	"5.23"	"4.03"	"3.14"
"1905"	"2.97"	"3.6"	"5.27"	"6.81"	"8.01"	"6.98"	"5.79"	"5.15"	"5.35"	"5.32"	"4.13"	"3.17"
"1906"	"3.07"	"3.79"	"5.39"	"6.92"	"7.91"	"6.98"	"5.77"	"5.1"	"5.18"	"5.24"	"4.07"	"3.19"
"1907"	"3.34"	"3.94"	"5.47"	"6.93"	"7.58"	"6.98"	"5.94"	"4.98"	"5.11"	"5.07"	"4.03"	"3.07"
"1908"	"3.17"	"4.01"	"5.44"	"7.06"	"7.73"	"7.05"	"5.56"	"4.96"	"5.09"	"5.08"	"3.85"	"3.01"
"1909"	"3.07"	"3.97"	"5.59"	"6.86"	"7.58"	"7"	"5.6"	"4.89"	"5.03"	"5.09"	"3.97"	"2.99"
"1910"	"3.11"	"4.07"	"5.57"	"6.83"	"7.64"	"6.98"	"5.52"	"4.99"	"5.19"	"5.09"	"3.84"	"3.04"
"1911"	"3.16"	"4.08"	"5.31"	"6.93"	"7.83"	"6.95"	"5.76"	"5.1"	"5.21"	"5.2"	"3.79"	"3.13"
"1912"	"3.28"	"4.18"	"5.51"	"7.1"	"7.84"	"7.18"	"5.75"	"5"	"5.1"	"5.14"	"3.84"	"3.08"
"1913"	"3.24"	"3.99"	"5.28"	"7.15"	"7.71"	"7.06"	"5.68"	"4.97"	"5.11"	"5.21"	"3.95"	"3.06"
"1914"	"3.31"	"3.9"	"5.41"	"7.04"	"7.97"	"6.98"	"5.68"	"5.02"	"5.3"	"5.21"	"3.94"	"3"
"1915"	"3.11"	"3.92"	"5.67"	"6.91"	"7.8"	"7.16"	"5.88"	"5.15"	"5.44"	"5.34"	"3.99"	"3.13"
"1916"	"3.3"	"3.9"	"5.83"	"7.06"	"7.72"	"6.98"	"5.89"	"5.01"	"5.18"	"5.05"	"3.75"	"3.02"
"1917"	"3.26"	"4.1"	"5.53"	"6.75"	"7.47"	"6.87"	"5.61"	"4.95"	"5.06"	"4.94"	"3.84"	"3.02"
"1918"	"3.08"	"4.08"	"5.53"	"6.75"	"7.74"	"6.87"	"5.75"	"5.12"	"5.17"	"5.15"	"3.99"	"3.02"
"1919"	"3.16"	"4.04"	"5.57"	"6.92"	"7.74"	"7.04"	"5.7"	"5.01"	"5.07"	"5.13"	"3.9"	"3.06"
"1920"	"3.22"	"3.99"	"5.68"	"6.92"	"7.46"	"6.81"	"5.62"	"5"	"5.36"	"5.31"	"4.03"	"3.04"
"1921"	"3.22"	"4.07"	"5.83"	"7.27"	"7.82"	"7.14"	"5.85"	"4.99"	"5.17"	"5.17"	"3.99"	"3.17"
"1922"	"3.11"	"4.12"	"5.63"	"7.2"	"7.72"	"7"	"5.81"	"5.03"	"5.16"	"5.12"	"3.93"	"3.09"
"1923"	"3.18"	"3.97"	"5.7"	"7.03"	"7.63"	"7.05"	"5.77"	"4.99"	"5.22"	"5.11"	"3.84"	"3.06"
"1924"	"3.11"	"4.07"	"5.88"	"7.11"	"7.61"	"7.11"	"5.85"	"5.07"	"5.1"	"5.07"	"3.83"	"3.1"
"1925"	"2.98"	"3.83"	"5.76"	"7.37"	"7.76"	"6.95"	"5.64"	"5.12"	"5.36"	"5.43"	"3.95"	"3.13"
"1926"	"3.22"	"4.32"	"5.55"	"6.7"	"7.59"	"7.16"	"5.82"	"5.08"	"5.1"	"5.09"	"3.78"	"3.09"
"1927"	"2.98"	"3.89"	"5.42"	"6.9"	"7.7"	"7.05"	"5.68"	"4.89"	"5.15"	"5.16"	"3.87"	"3.15"
"1928"	"3.18"	"4.08"	"5.68"	"7.11"	"7.8"	"6.98"	"5.78"	"5.05"	"5.1"	"5.2"	"3.96"	"3.02"
"1929"	"3.1"	"3.98"	"5.87"	"7.15"	"7.83"	"7.03"	"5.68"	"4.98"	"5.15"	"5.13"	"3.99"	"2.9"
"1930"	"3.09"	"4.01"	"5.61"	"6.93"	"7.74"	"7.06"	"5.6"	"5"	"5.38"	"5.28"	"3.91"	"3.12"
"1931"	"3.26"	"3.78"	"5.56"	"7.25"	"7.79"	"7.17"	"5.88"	"5.14"	"5.32"	"5.13"	"3.96"	"3.17"
"1932"	"3.42"	"4.09"	"5.75"	"7.06"	"7.83"	"6.96"	"5.74"	"4.95"	"5.29"	"5.22"	"3.91"	"3.19"
"1933"	"3.11"	"4.14"	"5.56"	"7.01"	"7.65"	"6.97"	"5.74"	"4.98"	"5.2"	"5.21"	"4.02"	"3.19"
"1934"	"2.96"	"4.28"	"5.54"	"7.11"	"7.73"	"7.07"	"5.68"	"5.06"	"5.21"	"5.1"	"3.98"	"3.27"
"1935"	"2.96"	"4.06"	"5.64"	"6.8"	"7.74"	"7.18"	"5.68"	"5"	"5.24"	"5.13"	"4.04"	"3.17"
"1936"	"3.08"	"4.27"	"5.52"	"7.08"	"7.96"	"6.89"	"5.67"	"5.07"	"5.28"	"5.31"	"4.06"	"3.17"
"1937"	"3.18"	"4.18"	"5.47"	"7.01"	"7.76"	"7.15"	"5.69"	"5.09"	"5.23"	"5.17"	"3.99"	"3.03"
"1938"	"3.11"	"3.99"	"5.83"	"7.17"	"7.85"	"6.97"	"5.72"	"5.09"	"5.31"	"5.34"	"3.87"	"3.17"
"1939"	"3.29"	"4.14"	"5.38"	"6.8"	"7.7"	"6.93"	"5.75"	"5.18"	"5.28"	"5.3"	"4.08"	"3.31"
