
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.918"	"7.564"	"11.13"	"15.327"	"21.095"	"29.061"	"30.648"	"28.575"	"26.325"	"17.342"	"11.07"	"8.885"
"1902"	"7.989"	"8.524"	"12.324"	"16.368"	"21.034"	"26.518"	"31.097"	"30.616"	"25.783"	"16.801"	"10.914"	"8.352"
"1903"	"7.139"	"8.305"	"9.711"	"14.036"	"21.054"	"28.938"	"30.819"	"28.636"	"27.328"	"16.665"	"9.874"	"7.826"
"1904"	"7.289"	"8.349"	"10.398"	"15.35"	"21"	"27.3"	"29.32"	"28.611"	"27.163"	"16.786"	"11.216"	"8.531"
"1905"	"6.667"	"6.827"	"9.378"	"14.304"	"22.937"	"27.298"	"30.123"	"30.213"	"27.142"	"16.823"	"11.697"	"8.531"
"1906"	"6.923"	"7.602"	"10.178"	"14.321"	"21.754"	"27.288"	"29.543"	"28.694"	"25.456"	"16.791"	"11.64"	"8.825"
"1907"	"8.331"	"7.913"	"10.647"	"14.493"	"20.303"	"27.325"	"32.516"	"28.611"	"25.359"	"16.635"	"11.065"	"8.061"
"1908"	"7.326"	"8.445"	"10.454"	"15.268"	"21.046"	"27.305"	"28.499"	"27.861"	"24.674"	"16.019"	"10.245"	"7.831"
"1909"	"6.936"	"8.398"	"11.2"	"14.405"	"20.455"	"27.311"	"28.524"	"27.33"	"24.624"	"15.991"	"11.313"	"7.782"
"1910"	"7.342"	"8.311"	"11.128"	"13.952"	"21.005"	"27.315"	"28.337"	"28.611"	"25.853"	"16.605"	"9.744"	"7.803"
"1911"	"7.345"	"8.246"	"9.608"	"14.281"	"21.072"	"27.294"	"29.746"	"28.772"	"25.604"	"16.637"	"9.747"	"8.531"
"1912"	"7.919"	"9.148"	"10.604"	"15.414"	"21.324"	"29.048"	"29.278"	"28.611"	"25.785"	"16.787"	"10.244"	"8.481"
"1913"	"7.694"	"8.523"	"9.621"	"15.307"	"21.059"	"27.141"	"29.159"	"28.296"	"24.939"	"16.839"	"10.515"	"7.984"
"1914"	"8.014"	"8.117"	"10.37"	"14.963"	"21.931"	"27.345"	"29.238"	"28.618"	"25.953"	"16.79"	"11.094"	"7.831"
"1915"	"7.366"	"8.292"	"11.149"	"14.476"	"21.145"	"28.865"	"30.688"	"30.048"	"27.786"	"17.674"	"10.883"	"8.531"
"1916"	"8.003"	"8.274"	"11.715"	"15.268"	"20.946"	"27.292"	"29.35"	"28.614"	"25.501"	"16.405"	"9.468"	"7.826"
"1917"	"7.627"	"9.312"	"11.111"	"13.842"	"19.495"	"27.233"	"29.128"	"27.337"	"24.367"	"15.478"	"10.191"	"7.945"
"1918"	"6.898"	"8.511"	"10.594"	"13.944"	"21.128"	"27.3"	"29.419"	"28.638"	"25.195"	"16.819"	"10.707"	"7.827"
"1919"	"7.191"	"8.203"	"11.128"	"14.622"	"21.06"	"27.321"	"29.316"	"28.611"	"24.73"	"16.504"	"10.508"	"7.806"
"1920"	"7.326"	"8.378"	"11.128"	"14.646"	"19.688"	"25.96"	"29.276"	"28.611"	"27.4"	"17.531"	"11.022"	"7.703"
"1921"	"7.383"	"8.199"	"12.429"	"16.281"	"21.126"	"28.054"	"30.772"	"28.373"	"25.486"	"16.479"	"11.028"	"8.747"
"1922"	"7.326"	"8.973"	"11.128"	"15.392"	"21.081"	"27.274"	"30.151"	"28.611"	"25.362"	"16.544"	"11.035"	"8.357"
"1923"	"7.326"	"8.257"	"11.119"	"15.324"	"21.081"	"27.513"	"29.322"	"28.611"	"25.977"	"16.248"	"10.205"	"7.847"
"1924"	"7.258"	"8.312"	"11.976"	"15.194"	"19.977"	"27.317"	"30.439"	"28.611"	"25.479"	"16.295"	"9.963"	"8.531"
