
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.9999"	"0"	"0.2699"	"0"	"1.0703"	"1.0348"	"4.1505"	"3.0576"	"0.4864"	"0.9516"	"0"	"0.9999"
"1902"	"0"	"0"	"0"	"0"	"1.2985"	"1.745"	"2.5722"	"5.359"	"2.4477"	"0.0738"	"0"	"0"
"1903"	"0.1181"	"0.1723"	"0.9999"	"0"	"1.0721"	"0.3894"	"7.4667"	"3.1755"	"2.2188"	"0"	"0"	"0.056"
"1904"	"0.9999"	"0.9335"	"0.9999"	"0.0136"	"0.8206"	"1.348"	"2.227"	"1.4837"	"1.4502"	"0.9605"	"0.2081"	"0.9605"
"1905"	"0.9999"	"0.9999"	"0.5461"	"1.0392"	"0"	"1.0051"	"3.9951"	"0.9049"	"1.4838"	"0"	"0"	"0.9351"
"1906"	"0"	"0.9999"	"0.9999"	"0"	"0.2458"	"2.3097"	"4.763"	"4.0512"	"2.7028"	"0.527"	"0"	"0.9684"
"1907"	"0.5278"	"0.9999"	"0.9999"	"1.0423"	"0.6692"	"2.7762"	"4.2066"	"5.5723"	"0.8269"	"0"	"0"	"0"
"1908"	"0.9999"	"0.0952"	"0"	"0.2159"	"1.0168"	"1.0273"	"7.9057"	"6.3848"	"2.4091"	"0.0001"	"0.948"	"0"
"1909"	"0.9925"	"0.0841"	"0"	"1.0392"	"0.1803"	"1.4137"	"7.0964"	"4.2986"	"3.3502"	"0.115"	"0"	"0.9998"
"1910"	"0.9136"	"0.17"	"0"	"1.0004"	"0"	"3.9049"	"6.4458"	"5.6128"	"0.997"	"0.0738"	"0"	"0"
"1911"	"0.9885"	"0"	"0.9999"	"0.092"	"0"	"1.82"	"0.9376"	"1.3458"	"1.6305"	"0.155"	"0.9998"	"0"
"1912"	"0.1323"	"0"	"0"	"0.6718"	"0.2519"	"1.6251"	"6.181"	"5.078"	"1.0315"	"0.9999"	"0.9999"	"0"
"1913"	"0"	"0.4293"	"0.7856"	"0.092"	"1.0715"	"2.0138"	"7.3067"	"4.8082"	"3.503"	"0"	"0.2104"	"0.9792"
"1914"	"0.0869"	"0.9999"	"0.9961"	"0.9567"	"0.5772"	"2.9706"	"5.3399"	"2.5916"	"2.0995"	"0.9999"	"0.996"	"0"
"1915"	"0.9933"	"0.9999"	"0.9999"	"0.8283"	"0"	"1.1047"	"2.9213"	"1.3078"	"1.1161"	"1"	"0"	"0"
"1916"	"0"	"0"	"0.0111"	"0.2234"	"1.2681"	"2.0205"	"4.3418"	"7.7784"	"3.2721"	"0.9999"	"0"	"0"
"1917"	"0.2356"	"0.9999"	"0.3627"	"1.1237"	"1.6871"	"2.0261"	"5.3943"	"7.0719"	"5.0546"	"1"	"0"	"0.9999"
"1918"	"0"	"0"	"0.9326"	"0.0136"	"0.5866"	"1.0447"	"1.061"	"3.0394"	"1.2429"	"0"	"0"	"0.9999"
"1919"	"0.9999"	"0.0291"	"0.4772"	"1.1071"	"0.916"	"0.841"	"6.907"	"5.8639"	"1.8994"	"0"	"0.9842"	"0.7518"
"1920"	"0.9814"	"0.9999"	"0"	"0.2474"	"1.1934"	"3.1362"	"3.9381"	"2.1244"	"0.782"	"0"	"0"	"0"
