
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"13.7"	"16.51"	"24.071"	"29.02"	"33.776"	"36.368"	"32.805"	"29.217"	"29.987"	"28.726"	"21.984"	"17.471"
"1902"	"16.779"	"19.082"	"26.195"	"30.283"	"34.077"	"34.08"	"30.711"	"30.486"	"28.804"	"26.905"	"21.086"	"15.815"
"1903"	"15.626"	"17.206"	"22.575"	"28.038"	"32.96"	"36.482"	"32.757"	"29.143"	"29.59"	"26.242"	"20.175"	"15.388"
"1904"	"15.128"	"18.113"	"23.125"	"30.303"	"33.248"	"34.618"	"29.305"	"28.007"	"28.524"	"26.63"	"20.522"	"16.376"
"1905"	"13.696"	"13.089"	"20.442"	"27.111"	"34.749"	"36.149"	"31.772"	"29.865"	"30.766"	"27.714"	"22.997"	"16.842"
"1906"	"14.557"	"15.954"	"21.858"	"28.981"	"35.789"	"33.968"	"30.897"	"29.669"	"28.372"	"27.228"	"22.167"	"17.187"
"1907"	"17.074"	"16.101"	"21.288"	"27.242"	"32.035"	"35.066"	"33.452"	"28.592"	"29.753"	"27.32"	"21.711"	"15.231"
"1908"	"14.807"	"17.868"	"23.124"	"30.193"	"33.562"	"35.444"	"29.222"	"27.979"	"28.704"	"26.223"	"20.68"	"15.609"
"1909"	"14.694"	"16.795"	"23.749"	"27.423"	"32.494"	"33.185"	"29.074"	"28.485"	"28.272"	"26.823"	"22.507"	"15.441"
"1910"	"14.519"	"17.954"	"23.663"	"28.291"	"34.036"	"33.75"	"30.671"	"29.179"	"29.002"	"25.401"	"20.227"	"16.033"
"1911"	"17.046"	"18.225"	"21.695"	"29.24"	"35.24"	"34.88"	"32.636"	"30.445"	"28.308"	"27.215"	"19.482"	"16.11"
"1912"	"16.072"	"18.892"	"22.705"	"29.562"	"34.289"	"36.368"	"31.436"	"29.136"	"27.836"	"26.701"	"20.185"	"16.042"
"1913"	"15.849"	"17.727"	"21.514"	"30.583"	"32.124"	"32.763"	"30.611"	"30.523"	"30.739"	"28.285"	"21.287"	"16.302"
"1914"	"17.454"	"17.612"	"23.145"	"30.078"	"34.527"	"34.002"	"30.481"	"29.143"	"29.445"	"26.133"	"21.931"	"15.409"
"1915"	"15.171"	"15.907"	"23.161"	"28.899"	"35.676"	"35.283"	"33.131"	"30.259"	"31.034"	"28.634"	"21.35"	"17.059"
"1916"	"16.193"	"16.999"	"25.97"	"30.755"	"33.715"	"33.222"	"31.022"	"28.389"	"28.67"	"25.648"	"19.051"	"15.108"
"1917"	"15.938"	"17.814"	"23.059"	"26.329"	"29.951"	"33.154"	"29.359"	"28.104"	"27.635"	"24.941"	"18.213"	"16.12"
"1918"	"14.291"	"18.107"	"23.266"	"27.242"	"35.432"	"34.347"	"33.613"	"31.103"	"29.996"	"27.505"	"21.237"	"15.263"
"1919"	"15.471"	"16.749"	"23.99"	"28.616"	"33.085"	"36.175"	"29.915"	"28.371"	"28.656"	"26.34"	"20.53"	"15.47"
"1920"	"15.194"	"17.203"	"23.846"	"28.888"	"30.506"	"32.72"	"29.474"	"29.557"	"30.951"	"28.401"	"22.562"	"16.748"
"1921"	"16.284"	"18.599"	"26.348"	"32.014"	"35.946"	"35.768"	"33.248"	"28.845"	"28.095"	"26.106"	"21.1"	"18.119"
"1922"	"15.177"	"19.236"	"24.791"	"30.115"	"34.009"	"33.81"	"30.874"	"28.359"	"28.093"	"26.165"	"20.709"	"15.861"
"1923"	"15.149"	"17.207"	"24.274"	"30.062"	"33.163"	"36.752"	"31.472"	"28.282"	"29.023"	"25.999"	"20.654"	"16.139"
"1924"	"14.192"	"17.342"	"24.887"	"29.907"	"31.359"	"36.098"	"30.838"	"28.616"	"27.908"	"25.451"	"20.16"	"16.062"
"1925"	"13.293"	"15.452"	"23.601"	"31.185"	"32.999"	"30.925"	"28.621"	"30.126"	"30.352"	"27.472"	"20.251"	"16.007"
"1926"	"15.592"	"19.344"	"22.396"	"26.418"	"31.715"	"36.095"	"31.505"	"28.76"	"27.922"	"25.641"	"18.855"	"15.138"
"1927"	"13.243"	"15.811"	"22.116"	"28.44"	"32.791"	"34.814"	"30.364"	"28.248"	"28.468"	"26.775"	"20.139"	"17.162"
"1928"	"14.975"	"18.104"	"24.051"	"29.084"	"35.154"	"34.637"	"31.164"	"30.742"	"29.95"	"27.513"	"21.992"	"15.746"
"1929"	"14.95"	"16.231"	"25.542"	"30.212"	"34.41"	"34.614"	"30.25"	"28.564"	"30.184"	"27.051"	"21.753"	"15.367"
"1930"	"14.87"	"17.501"	"24.648"	"29.023"	"33.356"	"33.873"	"29.094"	"28.814"	"29.892"	"27.239"	"20.63"	"16.09"
"1931"	"16.749"	"16.308"	"22.895"	"30.685"	"34.035"	"35.548"	"31.438"	"29.357"	"28.553"	"25.85"	"20.585"	"16.824"
"1932"	"17.861"	"17.124"	"24.186"	"28.9"	"33.003"	"35.974"	"31.553"	"28.43"	"29.28"	"26.743"	"20.025"	"15.934"
"1933"	"13.266"	"18.042"	"23.858"	"27.656"	"30.941"	"33.356"	"29.688"	"27.868"	"27.679"	"25.456"	"20.489"	"16.256"
"1934"	"13.772"	"18.658"	"22.383"	"28.872"	"32.977"	"33.299"	"30.205"	"28.125"	"28.873"	"24.746"	"20.002"	"17.024"
"1935"	"13.506"	"18.061"	"23.453"	"26.619"	"33.872"	"35.702"	"30.345"	"28.662"	"28.569"	"25.647"	"21.362"	"16.127"
"1936"	"13.797"	"18.013"	"23.18"	"28.939"	"35.513"	"32.54"	"29.829"	"28.638"	"28.601"	"26.346"	"21.239"	"16.223"
"1937"	"14.273"	"18.422"	"21.941"	"28.112"	"33.791"	"35.386"	"30.263"	"30.253"	"29.283"	"26.239"	"21.428"	"15.206"
"1938"	"14.659"	"16.407"	"25.272"	"30.369"	"35.844"	"32.707"	"31.286"	"29.813"	"30.566"	"27.759"	"19.943"	"15.992"
"1939"	"16.328"	"18.226"	"21.183"	"27.862"	"34.912"	"33.225"	"30.751"	"31.193"	"29.375"	"27.707"	"20.645"	"16.557"
"1940"	"15.494"	"17.218"	"22.038"	"28.092"	"34.623"	"35.12"	"31.713"	"28.413"	"28.644"	"26.831"	"22.101"	"16.162"
"1941"	"14.488"	"18.728"	"25.895"	"31.773"	"35.008"	"33.724"	"32.919"	"30.446"	"29.906"	"29.556"	"21.736"	"17.806"
"1942"	"13.927"	"18.964"	"25.323"	"31.231"	"34.888"	"35.794"	"29.58"	"27.988"	"27.755"	"26.298"	"21.894"	"15.434"
"1943"	"15.9"	"17.826"	"24.597"	"28.076"	"33.983"	"33.878"	"30.178"	"27.891"	"28.945"	"26.273"	"21.745"	"17.442"
"1944"	"14.648"	"17.604"	"22.542"	"28.353"	"34.903"	"33.441"	"30.028"	"29.397"	"29.019"	"25.708"	"21.603"	"17.437"
"1945"	"13.209"	"17.107"	"24.682"	"28.54"	"33.535"	"35.041"	"30.511"	"29.389"	"28.286"	"25.782"	"20.939"	"14.855"
"1946"	"15.749"	"19.67"	"23.429"	"31.45"	"34.19"	"34.247"	"30.452"	"28.823"	"28.868"	"27.161"	"20.798"	"16.49"
"1947"	"14.061"	"18.699"	"25.068"	"30.669"	"34.643"	"35.995"	"31.887"	"29.497"	"28.336"	"25.201"	"22.058"	"16.606"
"1948"	"15.073"	"17.257"	"22.663"	"31.036"	"35.404"	"36.116"	"31.035"	"28.777"	"28.935"	"27.519"	"20.592"	"16.805"
"1949"	"17.086"	"18.555"	"24.405"	"30.95"	"35.544"	"35.195"	"30.657"	"28.919"	"29.188"	"26.61"	"19.907"	"15.718"
"1950"	"16.562"	"16.399"	"22.693"	"28.245"	"34.436"	"35.231"	"30.391"	"28.576"	"28.205"	"26.202"	"20.047"	"14.923"
"1951"	"14.414"	"17.325"	"23.243"	"27.052"	"33.395"	"34.163"	"32.359"	"29.188"	"28.909"	"29.735"	"22.802"	"16.665"
"1952"	"16.734"	"19.987"	"23.766"	"31.499"	"35.48"	"33.56"	"30.208"	"28.181"	"29.766"	"27.261"	"21.317"	"17.015"
"1953"	"14.14"	"19.085"	"26.951"	"31.137"	"35.494"	"35.32"	"31.033"	"28.636"	"28.958"	"26.82"	"20.633"	"18.991"
"1954"	"14.105"	"19.4"	"24.034"	"30.573"	"35.776"	"35.543"	"31.06"	"29.364"	"28.42"	"24.667"	"21.675"	"16.153"
"1955"	"15.116"	"18.166"	"25.497"	"27.735"	"33.416"	"35.192"	"31.44"	"28.64"	"29.132"	"25.596"	"20.401"	"16.933"
"1956"	"15.124"	"17.604"	"23.87"	"30.213"	"35.431"	"34.284"	"28.952"	"28.521"	"29.568"	"25.476"	"19.9"	"16.838"
"1957"	"14.505"	"16.236"	"22.294"	"28.286"	"32.942"	"33.669"	"30.252"	"29.422"	"27.804"	"26.625"	"22.304"	"17.102"
"1958"	"17.751"	"18.515"	"25.212"	"31.659"	"34.358"	"35.749"	"30.116"	"28.465"	"28.255"	"26.574"	"21.338"	"18.114"
"1959"	"15.263"	"17.488"	"24.869"	"29.777"	"33.351"	"35.025"	"29.978"	"28.784"	"28.885"	"27.435"	"21.489"	"17.806"
"1960"	"15.102"	"20.659"	"23.393"	"28.753"	"34.364"	"35.277"	"30.624"	"28.262"	"29.368"	"26.128"	"20.439"	"17.066"
"1961"	"15.178"	"16.558"	"24.222"	"29.149"	"34.072"	"34.078"	"30.678"	"28.347"	"28.962"	"25.896"	"20.324"	"14.183"
"1962"	"14.246"	"18.834"	"23.869"	"30.635"	"33.721"	"34.93"	"31.895"	"29.139"	"27.82"	"25.103"	"21.263"	"17.258"
"1963"	"14.716"	"20.559"	"24.469"	"29.592"	"33.482"	"34.645"	"32.385"	"28.4"	"28.11"	"27.876"	"23.831"	"16.607"
"1964"	"14.123"	"18.225"	"26.096"	"31.143"	"32.616"	"34.458"	"30.101"	"29.638"	"28.127"	"26.626"	"20.163"	"17.08"
"1965"	"17.426"	"18.059"	"23.627"	"28.374"	"33.271"	"36.206"	"31.117"	"29.895"	"28.742"	"27.392"	"22.688"	"16.203"
"1966"	"16.369"	"21.089"	"24.159"	"30.289"	"34.164"	"33.088"	"32.796"	"28.619"	"28.983"	"27.921"	"22.027"	"16.033"
"1967"	"14.312"	"20.384"	"23.005"	"28.952"	"33.787"	"34.74"	"30.642"	"27.742"	"27.871"	"26.649"	"21.667"	"17.448"
"1968"	"14.512"	"16.524"	"23.407"	"28.951"	"33.126"	"35.156"	"29.671"	"29.02"	"30.048"	"26.679"	"21.464"	"17.04"
"1969"	"15.848"	"18.813"	"26.572"	"30.593"	"32.668"	"36.631"	"30.455"	"28.906"	"28.036"	"28.252"	"22.926"	"17.128"
"1970"	"15.995"	"17.308"	"23.255"	"30.667"	"34.084"	"32.98"	"31.829"	"29.517"	"28.797"	"27.153"	"21.208"	"17.224"
"1971"	"14.235"	"18.048"	"23.575"	"30.462"	"32.204"	"31.368"	"28.983"	"27.645"	"28.044"	"26.109"	"21.132"	"16.51"
"1972"	"15.521"	"15.734"	"24.472"	"29.003"	"34.938"	"35.398"	"32.185"	"28.637"	"27.575"	"26.396"	"22.008"	"17.34"
"1973"	"15.418"	"19.472"	"23.701"	"31.856"	"35.207"	"35.138"	"31.252"	"27.843"	"29.268"	"25.849"	"20.607"	"15.104"
"1974"	"14.587"	"16.809"	"25.489"	"31.34"	"33.774"	"33.784"	"29.961"	"28.725"	"29.936"	"27.299"	"20.804"	"15.705"
"1975"	"14.259"	"16.919"	"23.447"	"31.539"	"34.913"	"32.727"	"29.774"	"28.269"	"27.567"	"26.403"	"19.859"	"17.191"
"1976"	"16.28"	"18.719"	"23.372"	"28.54"	"32.535"	"31.9"	"29.22"	"27.752"	"28.383"	"27.372"	"21.917"	"16.099"
"1977"	"14.661"	"18.206"	"25.51"	"29.027"	"31.076"	"32.255"	"27.891"	"28.344"	"27.053"	"26.42"	"22.286"	"17.225"
"1978"	"14.732"	"16.118"	"21.319"	"28.891"	"36.154"	"32.94"	"28.869"	"27.112"	"27.708"	"26.094"	"21.202"	"15.874"
"1979"	"15.385"	"16.708"	"21.597"	"28.975"	"29.01"	"33.321"	"28.841"	"29.053"	"28.143"	"28.086"	"22.953"	"16.956"
"1980"	"14.932"	"19.241"	"23.406"	"30.868"	"32.996"	"31.908"	"28.12"	"27.627"	"28.549"	"27.758"	"21.298"	"16.047"
"1981"	"15.632"	"18.809"	"23.218"	"29.201"	"32.436"	"32.782"	"27.694"	"28.127"	"28.911"	"26.46"	"20.051"	"15.912"
"1982"	"15.277"	"16.544"	"21.096"	"27.963"	"30.261"	"33.376"	"31.596"	"27.833"	"29.41"	"26.977"	"21.378"	"16.554"
"1983"	"14.015"	"16.609"	"22.881"	"26.379"	"32.184"	"33.109"	"30.602"	"28.687"	"28.934"	"26.143"	"19.288"	"15.904"
"1984"	"14.286"	"15.788"	"23.996"	"30.313"	"36.404"	"34.215"	"29.657"	"28.681"	"27.752"	"24.959"	"20.057"	"16.456"
"1985"	"14.155"	"18.318"	"26"	"30.468"	"35.107"	"34.514"	"29.712"	"28.595"	"27.808"	"24.002"	"20.506"	"16.597"
