
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.439"	"18.402"	"28.973"	"24.708"	"27.591"	"46.637"	"64.635"	"63.577"	"43.024"	"18.902"	"11.441"	"16.661"
"1902"	"22.655"	"18.503"	"29.16"	"24.708"	"27.591"	"46.369"	"64.722"	"63.386"	"42.537"	"18.901"	"11.441"	"16.661"
"1903"	"22.655"	"18.503"	"29.161"	"24.708"	"27.563"	"46.774"	"64.722"	"63.897"	"43.024"	"18.238"	"11.441"	"16.661"
"1904"	"22.484"	"18.503"	"29.16"	"24.707"	"27.568"	"46.637"	"64.132"	"63.676"	"43.024"	"18.901"	"11.441"	"16.661"
"1905"	"22.655"	"18.503"	"29.16"	"24.708"	"27.591"	"46.637"	"64.722"	"63.897"	"42.919"	"18.901"	"11.441"	"16.661"
"1906"	"22.655"	"18.503"	"28.924"	"24.708"	"27.591"	"46.637"	"64.722"	"63.795"	"43.024"	"18.138"	"11.441"	"16.661"
"1907"	"22.655"	"18.503"	"29.021"	"24.708"	"27.591"	"46.917"	"64.674"	"63.805"	"43.024"	"19.53"	"12.304"	"16.789"
"1908"	"22.655"	"18.503"	"29.16"	"24.786"	"27.568"	"46.636"	"64.682"	"63.556"	"43.024"	"18.901"	"11.441"	"16.661"
"1909"	"22.333"	"18.503"	"29.16"	"24.708"	"27.122"	"46.713"	"64.722"	"63.479"	"42.428"	"18.901"	"11.441"	"16.661"
"1910"	"22.655"	"18.503"	"29.16"	"24.708"	"27.522"	"46.637"	"64.65"	"63.557"	"43.024"	"18.901"	"11.441"	"16.661"
"1911"	"22.655"	"18.503"	"29.16"	"24.708"	"27.591"	"46.753"	"64.718"	"63.709"	"43.024"	"18.901"	"11.215"	"16.661"
"1912"	"22.655"	"18.503"	"28.823"	"24.22"	"27.591"	"46.637"	"63.936"	"63.577"	"42.428"	"18.337"	"11.014"	"16.661"
"1913"	"22.655"	"18.503"	"29.001"	"24.708"	"27.026"	"46.469"	"64.273"	"63.795"	"42.473"	"18.901"	"11.441"	"16.661"
"1914"	"22.444"	"18.503"	"28.904"	"24.659"	"27.171"	"46.363"	"63.779"	"63.755"	"42.197"	"18.167"	"11.626"	"16.658"
"1915"	"22.655"	"18.72"	"28.57"	"24.705"	"26.621"	"45.938"	"64.173"	"63.21"	"42.116"	"18.138"	"10.937"	"16.661"
"1916"	"22.678"	"18.503"	"29.16"	"24.708"	"27.591"	"46.637"	"63.979"	"63.876"	"43.024"	"18.318"	"11.319"	"16.661"
"1917"	"22.252"	"17.925"	"28.893"	"23.82"	"26.825"	"45.847"	"63.853"	"63.287"	"42.473"	"18.793"	"11.146"	"16.661"
"1918"	"22.655"	"18.503"	"29.16"	"24.708"	"26.882"	"46.359"	"64.053"	"63.479"	"41.993"	"18.127"	"11.441"	"16.781"
"1919"	"22.655"	"18.407"	"29.16"	"24.096"	"27.527"	"46.637"	"64.534"	"63.401"	"42.197"	"17.638"	"10.535"	"16.52"
"1920"	"22.876"	"18.503"	"28.993"	"24.706"	"27.591"	"46.763"	"64.753"	"62.779"	"43.024"	"17.581"	"11.463"	"16.527"
"1921"	"22.655"	"18.503"	"29.16"	"24.708"	"27.591"	"46.437"	"63.759"	"63.139"	"43.024"	"17.838"	"10.94"	"16.615"
"1922"	"22.677"	"18.503"	"29.16"	"24.708"	"27.591"	"46.683"	"64.722"	"63.479"	"42.919"	"18.501"	"11.32"	"16.661"
"1923"	"22.655"	"18.503"	"29.16"	"24.708"	"27.522"	"47.335"	"64.653"	"63.995"	"43.024"	"18.039"	"10.534"	"15.285"
"1924"	"21.656"	"17.822"	"29.16"	"24.515"	"27.591"	"46.637"	"64.722"	"63.825"	"43.024"	"17.937"	"11.036"	"16.658"
"1925"	"22.655"	"17.616"	"28.191"	"24.088"	"26.34"	"46.237"	"64.132"	"62.848"	"41.827"	"18.793"	"10.515"	"15.373"
"1926"	"22.155"	"18.503"	"28.873"	"25.359"	"27.122"	"46.637"	"64.722"	"63.805"	"43.024"	"18.147"	"11.441"	"16.658"
"1927"	"22.856"	"18.503"	"28.672"	"24.708"	"27.591"	"46.733"	"64.722"	"63.87"	"42.957"	"18.901"	"11.441"	"16.661"
"1928"	"22.655"	"18.503"	"29.161"	"24.708"	"27.591"	"46.637"	"64.72"	"63.897"	"42.888"	"18.901"	"11.441"	"16.561"
"1929"	"22.056"	"18.405"	"28.493"	"23.595"	"27.096"	"46.637"	"65.13"	"63.171"	"43.019"	"18.138"	"11.441"	"17.359"
"1930"	"22.224"	"18.503"	"28.192"	"24.705"	"26.993"	"47.204"	"64.954"	"63.668"	"43.516"	"19"	"10.434"	"16.337"
"1931"	"18.032"	"19.853"	"22.292"	"14.923"	"20.717"	"32.018"	"59.601"	"61.381"	"40.366"	"21.571"	"0.995"	"9.741"
"1932"	"17.642"	"10.848"	"24.085"	"15.389"	"21.178"	"39.899"	"60.632"	"61.665"	"33.476"	"7.903"	"0"	"12.351"
"1933"	"19.438"	"14.982"	"24.187"	"23.695"	"30.168"	"43.373"	"63.249"	"67.032"	"46.509"	"15.241"	"2.796"	"12.133"
"1934"	"20.155"	"8.967"	"27.291"	"14.215"	"21.177"	"41.251"	"63.036"	"62.961"	"35.145"	"1.511"	"7.67"	"16.697"
"1935"	"22.565"	"23.32"	"22.648"	"25.866"	"19.04"	"23.891"	"59.082"	"61.572"	"36.402"	"9.032"	"5.139"	"13.628"
"1936"	"13.588"	"18.399"	"24.975"	"16.684"	"23.362"	"50.075"	"63.251"	"60.989"	"39.726"	"15.922"	"6.308"	"20.741"
"1937"	"17.075"	"22.873"	"24.842"	"20.516"	"23.247"	"36.422"	"62.854"	"60.465"	"35.238"	"11.97"	"6.454"	"13.435"
"1938"	"23.865"	"18.84"	"23.352"	"15.885"	"24.248"	"51.05"	"56.206"	"59.689"	"32.797"	"8.178"	"6.824"	"7.316"
"1939"	"16.318"	"20.311"	"30.361"	"16.851"	"17.785"	"48.386"	"60.344"	"57.773"	"35.47"	"11.468"	"0"	"10.373"
"1940"	"22.269"	"20.733"	"28.717"	"18.944"	"22.914"	"45.546"	"60.366"	"62.157"	"35.345"	"7.371"	"2.76"	"11.336"
"1941"	"21.78"	"11.17"	"22.127"	"15.088"	"26.258"	"50.417"	"60.167"	"60.177"	"38.982"	"14.968"	"0"	"10.685"
"1942"	"23.475"	"19.123"	"21.354"	"18.438"	"25.811"	"35.655"	"65.988"	"62.553"	"41.564"	"12.308"	"3.534"	"15.043"
"1943"	"28.45"	"7.354"	"19.116"	"18.384"	"22.181"	"40.635"	"63.251"	"61.382"	"38.34"	"5.911"	"0"	"10.464"
"1944"	"21.941"	"20.822"	"27.521"	"20.449"	"17.561"	"34.472"	"63.251"	"64.175"	"38.352"	"5.475"	"0.645"	"10.453"
"1945"	"22.695"	"6.814"	"20.103"	"23.209"	"19.269"	"34.989"	"62.05"	"62.058"	"43.423"	"17.926"	"0.003"	"9.771"
"1946"	"15.886"	"9.061"	"19.01"	"15.233"	"27.527"	"45.897"	"61.992"	"62.694"	"34.955"	"18.793"	"0.012"	"12.828"
