
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1902"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1903"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1904"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1905"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1906"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1907"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.449"	"15.811"	"15.371"
"1908"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1909"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1910"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1911"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1912"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1913"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1914"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.807"	"15.371"
"1915"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1916"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.594"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1917"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1918"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1919"	"14.901"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.414"
"1920"	"14.782"	"15.012"	"15.824"	"15.565"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1921"	"14.782"	"15.012"	"15.723"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.498"	"15.811"	"15.371"
"1922"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.596"	"15.811"	"15.371"
"1923"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1924"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.475"	"15.811"	"15.371"
"1925"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1926"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1927"	"14.76"	"15.012"	"15.845"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1928"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.372"
"1929"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1930"	"14.782"	"14.912"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1931"	"14.782"	"14.916"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1932"	"14.782"	"15.012"	"15.825"	"15.568"	"14.569"	"11.923"	"8.502"	"7.351"	"9.964"	"14.473"	"15.811"	"15.374"
"1933"	"15.172"	"15.106"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.809"	"15.371"
"1934"	"14.782"	"15.089"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1935"	"14.782"	"15.012"	"15.824"	"15.568"	"14.592"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1936"	"14.782"	"15.404"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.475"	"15.811"	"15.371"
"1937"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.495"	"9.964"	"14.473"	"15.811"	"15.676"
"1938"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1939"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1940"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1941"	"14.782"	"15.012"	"15.825"	"15.447"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1942"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1943"	"14.782"	"15.012"	"15.824"	"15.568"	"14.546"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1944"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.699"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1945"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1946"	"14.859"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1947"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"12.019"	"8.502"	"7.493"	"9.964"	"14.497"	"15.832"	"15.371"
"1948"	"14.782"	"15.033"	"15.824"	"15.469"	"14.569"	"11.923"	"8.502"	"7.372"	"9.964"	"14.473"	"15.811"	"15.371"
"1949"	"14.782"	"15.012"	"15.824"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"10.134"	"14.473"	"15.811"	"15.371"
"1950"	"14.782"	"15.012"	"15.824"	"15.622"	"14.572"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1951"	"15.37"	"15.012"	"15.711"	"15.568"	"14.569"	"11.923"	"8.502"	"7.471"	"9.964"	"14.473"	"15.811"	"15.371"
"1952"	"14.66"	"15.012"	"15.824"	"15.568"	"14.672"	"11.925"	"8.502"	"7.47"	"9.964"	"15.261"	"15.635"	"15.371"
"1953"	"14.782"	"15.132"	"15.824"	"15.145"	"14.569"	"11.923"	"8.502"	"6.975"	"9.964"	"14.473"	"15.811"	"15.371"
"1954"	"14.879"	"14.883"	"15.824"	"15.645"	"14.39"	"11.795"	"8.403"	"6.696"	"9.988"	"14.484"	"15.916"	"15.371"
"1955"	"14.98"	"15.021"	"15.824"	"15.568"	"14.491"	"11.923"	"8.225"	"7.471"	"9.964"	"14.383"	"15.811"	"15.371"
"1956"	"14.405"	"15.012"	"15.544"	"15.125"	"14.569"	"11.795"	"8.9"	"7.482"	"9.763"	"13.973"	"15.811"	"15.371"
"1957"	"14.782"	"14.881"	"15.921"	"15.447"	"14.549"	"11.999"	"8.392"	"6.742"	"9.919"	"14.476"	"16.382"	"15.371"
"1958"	"14.405"	"15.098"	"15.902"	"15.568"	"14.548"	"11.923"	"8.604"	"7.471"	"9.964"	"14.395"	"15.873"	"15.388"
"1959"	"14.695"	"15.02"	"15.901"	"15.568"	"14.184"	"12.199"	"8.504"	"7.471"	"10.444"	"14.364"	"15.915"	"15.806"
"1960"	"14.879"	"15.012"	"15.736"	"15.345"	"14.88"	"11.934"	"8.502"	"7.471"	"9.964"	"14.418"	"15.743"	"15.371"
"1961"	"14.683"	"14.292"	"14.791"	"15.146"	"13.769"	"12.252"	"8.023"	"7.049"	"9.488"	"13.164"	"14.494"	"15.061"
"1962"	"14.353"	"14.314"	"16.085"	"15.037"	"14.17"	"11.923"	"8.202"	"7.469"	"9.242"	"14.153"	"14.781"	"14.345"
"1963"	"16.291"	"15.702"	"15.323"	"14.657"	"14.348"	"11.823"	"8.506"	"7.049"	"9.455"	"14.077"	"14.634"	"16.125"
"1964"	"13.766"	"14.513"	"15.824"	"15.037"	"14.141"	"11.793"	"7.827"	"7.441"	"9.535"	"14.882"	"15.811"	"14.086"
"1965"	"14.993"	"14.204"	"15.542"	"14.987"	"13.291"	"11.622"	"8.302"	"7.183"	"9.655"	"13.976"	"15.311"	"15.371"
"1966"	"16.219"	"15.613"	"15.923"	"14.865"	"15.268"	"12.423"	"9.376"	"7.471"	"9.964"	"14.951"	"16.538"	"16.322"
"1967"	"15.792"	"16.192"	"16.251"	"15.568"	"15.045"	"12.744"	"9.024"	"7.074"	"10.565"	"14.683"	"16.107"	"15.371"
"1968"	"14.903"	"15.11"	"16.725"	"15.745"	"14.89"	"12.361"	"8.68"	"7.459"	"11.641"	"14.574"	"16.444"	"15.292"
"1969"	"14.782"	"14.711"	"17.738"	"15.225"	"14.666"	"12.034"	"8.99"	"7.771"	"9.653"	"14.651"	"16.145"	"16.632"
"1970"	"15.084"	"15.709"	"15.647"	"16.875"	"14.89"	"12.344"	"9.523"	"7.873"	"9.964"	"15.947"	"16.785"	"16.402"
"1971"	"15.411"	"15.341"	"16.023"	"16.073"	"14.269"	"11.61"	"7.975"	"7.905"	"11.439"	"14.872"	"16.407"	"17.148"
"1972"	"14.782"	"14.912"	"16.701"	"15.974"	"15.163"	"12.223"	"9.711"	"8.004"	"9.465"	"13.563"	"14.981"	"14.47"
"1973"	"13.052"	"15.221"	"15.923"	"16.753"	"15.068"	"12.429"	"8.802"	"7.372"	"10.061"	"14.374"	"16.486"	"15.527"
"1974"	"14.68"	"14.99"	"15.923"	"16.342"	"16.259"	"11.923"	"8.502"	"8.092"	"11.175"	"14.901"	"16.276"	"14.872"
"1975"	"14.619"	"15.112"	"15.29"	"15.745"	"15.245"	"11.901"	"8.624"	"7.705"	"8.888"	"15.149"	"16.329"	"15.872"
"1976"	"15.182"	"14.812"	"15.723"	"16.067"	"15.275"	"11.601"	"8.502"	"7.195"	"10.504"	"15.349"	"16.286"	"15.371"
"1977"	"14.008"	"15.792"	"17.132"	"15.447"	"14.469"	"10.885"	"8.126"	"7.272"	"9.488"	"14.673"	"16.337"	"14.839"
"1978"	"14.993"	"14.711"	"15.623"	"16.172"	"16.044"	"12.916"	"8.174"	"7.04"	"9.177"	"14.662"	"14.503"	"15.775"
"1979"	"14.894"	"14.711"	"14.232"	"15.345"	"14.369"	"12.15"	"8.191"	"8.452"	"10.143"	"14.395"	"15.502"	"15.085"
