
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.0232"	"1.4803"	"0.0685"	"0.094"	"0.0033"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0272"
"1902"	"0"	"0"	"0"	"0"	"0"	"0.0009"	"0"	"0"	"0"	"0"	"0.0288"	"1.8726"
"1903"	"0.5337"	"0.8011"	"0.3905"	"0.1296"	"0.0038"	"0"	"0"	"0"	"0"	"0.0303"	"0.1142"	"2.2747"
"1904"	"1.8891"	"0.0875"	"0.2235"	"0"	"0.0011"	"0"	"0.0019"	"0.0007"	"0.0001"	"0.0186"	"0.0754"	"1.2101"
"1905"	"4.8569"	"2.4499"	"0.7416"	"0.1934"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1536"
"1906"	"2.9968"	"1.5194"	"0.5938"	"0.0488"	"0"	"0"	"0"	"0"	"0.0006"	"0"	"0"	"0"
"1907"	"0"	"1.5739"	"0.6213"	"0.192"	"0.0074"	"0"	"0"	"0.0016"	"0"	"0"	"0.0003"	"2.8231"
"1908"	"1.333"	"0.2765"	"0.199"	"0"	"0.0003"	"0"	"0.0021"	"0.005"	"0.0001"	"0.0543"	"0.0686"	"3.0033"
"1909"	"2.9762"	"1.0051"	"0.0011"	"0.1812"	"0.0027"	"0.0024"	"0.004"	"0.0043"	"0.0003"	"0.0102"	"0"	"3.0637"
"1910"	"2.2729"	"0.2693"	"0.0708"	"0.1175"	"0"	"0.0016"	"0"	"0"	"0"	"0.1504"	"0.1117"	"1.4641"
"1911"	"0"	"0.0243"	"0.5455"	"0.0562"	"0"	"0"	"0"	"0"	"0.0011"	"0"	"0.1378"	"2.3933"
"1912"	"0"	"0"	"0.2925"	"0.0069"	"0"	"0"	"0"	"0"	"0.0026"	"0"	"0.1136"	"1.3688"
"1913"	"0.3316"	"0.3153"	"0.6078"	"0"	"0.0064"	"0.0057"	"0"	"0"	"0"	"0"	"0.0362"	"1.4924"
"1914"	"0"	"0.5778"	"0.2094"	"0.0023"	"0"	"0.0019"	"0.0009"	"0"	"0"	"0.0654"	"0"	"2.5933"
"1915"	"0.6454"	"1.5567"	"0.2318"	"0.0499"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0237"	"0.9427"
"1916"	"0.0142"	"0.8075"	"0"	"0"	"0.001"	"0.0029"	"0"	"0.002"	"0"	"0.1194"	"0.1747"	"3.4699"
"1917"	"0.3524"	"0.3039"	"0.2152"	"0.2266"	"0.0125"	"0.0027"	"0.0031"	"0.0043"	"0.0057"	"0.1852"	"0.2106"	"1.1968"
"1918"	"3.0839"	"0.1304"	"0.1819"	"0.1779"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0053"	"3.3593"
"1919"	"1.1073"	"1.2656"	"0.002"	"0.0956"	"0.0026"	"0"	"0.0007"	"0.0007"	"0.0001"	"0.0408"	"0.0757"	"3.0447"
"1920"	"0.9661"	"0.8541"	"0.0462"	"0.0629"	"0.0118"	"0.0051"	"0.0014"	"0"	"0"	"0"	"0"	"0.2809"
"1921"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0016"	"0.0744"	"0.0429"	"0"
"1922"	"1.8628"	"0"	"0"	"0"	"0"	"0.0006"	"0"	"0.0023"	"0.0023"	"0.0772"	"0.0652"	"2.5047"
"1923"	"0.6688"	"0.985"	"0.0017"	"0"	"0.0024"	"0"	"0"	"0.005"	"0"	"0.0851"	"0.0688"	"1.5626"
"1924"	"3.0204"	"0.4911"	"0"	"0"	"0.0096"	"0"	"0"	"0.0007"	"0.0046"	"0.1058"	"0.1336"	"1.6017"
"1925"	"4.8991"	"1.8077"	"0.1236"	"0"	"0.0019"	"0.0179"	"0.006"	"0"	"0"	"0"	"0.1295"	"1.9741"
"1926"	"0.7407"	"0"	"0.3897"	"0.2235"	"0.0091"	"0"	"0"	"0"	"0.0034"	"0.1224"	"0.2064"	"3.1622"
"1927"	"4.9834"	"1.7847"	"0.5146"	"0.1028"	"0.0047"	"0"	"0.0007"	"0.0029"	"0.0011"	"0.0225"	"0.1244"	"0.1049"
"1928"	"2.3122"	"0.0139"	"0.0033"	"0.048"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.4665"
"1929"	"1.9275"	"1.418"	"0"	"0"	"0"	"0"	"0.0001"	"0.0006"	"0"	"0.0055"	"0.0006"	"3.3571"
"1930"	"2.3151"	"0.5501"	"0"	"0.0587"	"0.0017"	"0"	"0.0037"	"0"	"0"	"0"	"0.0694"	"1.691"
"1931"	"0"	"1.412"	"0.1992"	"0"	"0"	"0"	"0"	"0"	"0.001"	"0.0978"	"0.0719"	"0.4105"
"1932"	"0"	"0.7602"	"0.0096"	"0.0669"	"0.0021"	"0"	"0"	"0.0038"	"0"	"0.0021"	"0.133"	"1.0568"
