
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.105"	"24.023"	"31.98"	"36.806"	"41.082"	"42.369"	"37.106"	"32.966"	"34.96"	"35.997"	"29.897"	"25.173"
"1902"	"24.182"	"26.598"	"34.107"	"38.074"	"41.387"	"40.08"	"35.011"	"34.255"	"33.798"	"34.177"	"28.998"	"23.518"
"1903"	"23.011"	"24.71"	"30.487"	"35.828"	"40.271"	"42.481"	"37.056"	"32.913"	"34.581"	"33.51"	"28.089"	"23.089"
"1904"	"22.532"	"25.619"	"31.037"	"38.091"	"40.549"	"40.617"	"33.603"	"31.779"	"33.516"	"33.902"	"28.435"	"24.075"
"1905"	"21.1"	"20.594"	"28.354"	"34.9"	"42.052"	"42.147"	"36.071"	"33.612"	"35.76"	"34.964"	"30.908"	"24.543"
"1906"	"21.96"	"23.466"	"29.769"	"36.767"	"43.086"	"39.968"	"35.197"	"33.437"	"33.364"	"34.499"	"30.079"	"24.889"
"1907"	"24.479"	"23.612"	"29.199"	"35.031"	"39.322"	"41.063"	"37.753"	"32.314"	"34.745"	"34.568"	"29.624"	"22.928"
"1908"	"22.212"	"25.381"	"31.035"	"37.983"	"40.86"	"41.443"	"33.501"	"31.75"	"33.678"	"33.493"	"28.59"	"23.313"
"1909"	"22.079"	"24.301"	"31.663"	"35.212"	"39.797"	"39.183"	"33.328"	"32.253"	"33.267"	"34.094"	"30.417"	"23.14"
"1910"	"21.922"	"25.467"	"31.576"	"36.073"	"41.345"	"39.747"	"34.951"	"32.949"	"33.997"	"32.669"	"28.141"	"23.734"
"1911"	"24.45"	"25.73"	"29.607"	"37.024"	"42.541"	"40.879"	"36.934"	"34.214"	"33.3"	"34.465"	"27.391"	"23.811"
"1912"	"23.477"	"26.404"	"30.617"	"37.351"	"41.587"	"42.368"	"35.736"	"32.906"	"32.832"	"33.973"	"28.098"	"23.744"
"1913"	"23.253"	"25.232"	"29.427"	"38.372"	"39.412"	"38.763"	"34.864"	"34.245"	"35.733"	"35.535"	"29.2"	"24.005"
"1914"	"24.861"	"25.116"	"31.056"	"37.868"	"41.838"	"40"	"34.734"	"32.913"	"34.418"	"33.404"	"29.844"	"23.107"
"1915"	"22.576"	"23.418"	"31.073"	"36.684"	"42.976"	"41.283"	"37.431"	"34.007"	"36.028"	"35.904"	"29.263"	"24.76"
"1916"	"23.596"	"24.511"	"33.881"	"38.546"	"41.024"	"39.221"	"35.315"	"32.141"	"33.663"	"32.874"	"26.963"	"22.808"
"1917"	"23.343"	"25.32"	"30.969"	"34.116"	"37.249"	"39.152"	"33.651"	"31.877"	"32.63"	"32.21"	"26.125"	"23.823"
"1918"	"21.695"	"25.621"	"31.177"	"35.031"	"42.742"	"40.345"	"37.913"	"34.828"	"34.969"	"34.773"	"29.148"	"22.962"
"1919"	"22.972"	"24.253"	"31.901"	"36.403"	"40.386"	"42.172"	"34.168"	"32.122"	"33.631"	"33.61"	"28.443"	"23.191"
"1920"	"22.599"	"24.707"	"31.759"	"36.663"	"37.798"	"38.717"	"33.763"	"33.28"	"35.944"	"35.673"	"30.472"	"24.448"
"1921"	"23.689"	"26.112"	"34.252"	"39.801"	"43.244"	"41.764"	"37.548"	"32.593"	"33.089"	"33.332"	"29.012"	"25.82"
"1922"	"22.58"	"26.751"	"32.7"	"37.903"	"41.32"	"39.807"	"35.174"	"32.127"	"33.087"	"33.46"	"28.619"	"23.565"
"1923"	"22.534"	"24.71"	"32.184"	"37.851"	"40.472"	"42.751"	"35.724"	"32.054"	"34.017"	"33.223"	"28.565"	"23.843"
"1924"	"21.597"	"24.845"	"32.8"	"37.687"	"38.659"	"42.097"	"35.137"	"32.338"	"32.883"	"32.724"	"28.07"	"23.763"
"1925"	"20.698"	"22.964"	"31.513"	"38.974"	"40.305"	"36.858"	"32.919"	"33.895"	"35.326"	"34.742"	"28.163"	"23.708"
"1926"	"22.978"	"26.857"	"30.304"	"34.206"	"39.025"	"42.093"	"35.756"	"32.528"	"32.917"	"32.892"	"26.767"	"22.838"
"1927"	"20.628"	"23.319"	"30.051"	"36.229"	"40.094"	"40.814"	"34.652"	"32.019"	"33.461"	"34.045"	"28.052"	"24.843"
"1928"	"22.379"	"25.619"	"31.96"	"36.87"	"42.455"	"40.636"	"35.464"	"34.491"	"34.942"	"34.737"	"29.906"	"23.428"
"1929"	"22.335"	"23.735"	"33.453"	"38.002"	"41.718"	"40.612"	"34.548"	"32.286"	"35.176"	"34.275"	"29.666"	"23.069"
"1930"	"22.278"	"25.001"	"32.557"	"36.81"	"40.661"	"39.871"	"33.347"	"32.562"	"34.884"	"34.508"	"28.541"	"23.792"
"1931"	"24.151"	"23.768"	"30.805"	"38.473"	"41.342"	"41.55"	"35.699"	"33.126"	"33.545"	"33.119"	"28.496"	"24.505"
"1932"	"25.266"	"24.634"	"32.098"	"36.685"	"40.312"	"41.971"	"35.786"	"32.111"	"34.274"	"34.015"	"27.937"	"23.639"
"1933"	"20.864"	"25.63"	"31.771"	"35.444"	"38.249"	"39.352"	"33.968"	"31.638"	"32.674"	"32.727"	"28.399"	"23.959"
"1934"	"21.176"	"26.24"	"30.291"	"36.659"	"40.286"	"39.297"	"34.506"	"31.897"	"33.866"	"32.016"	"27.915"	"24.725"
"1935"	"20.907"	"25.574"	"31.366"	"34.407"	"41.181"	"41.703"	"34.643"	"32.429"	"33.563"	"32.916"	"29.273"	"23.828"
"1936"	"21.201"	"25.718"	"31.093"	"36.726"	"42.822"	"38.539"	"34.128"	"32.405"	"33.593"	"33.616"	"29.151"	"23.928"
