
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.66"	"5.4"	"6.76"	"8.1"	"8.7"	"8.17"	"6.7"	"5.75"	"6.22"	"6.83"	"6.04"	"5.01"
"1902"	"4.83"	"5.6"	"6.92"	"8.22"	"8.81"	"8.17"	"6.51"	"5.78"	"6.27"	"6.78"	"5.97"	"4.91"
"1903"	"4.78"	"5.53"	"6.71"	"8.03"	"8.65"	"8.16"	"6.7"	"5.76"	"6.27"	"6.8"	"5.93"	"4.88"
"1904"	"4.72"	"5.57"	"6.71"	"8.15"	"8.76"	"8.2"	"6.54"	"5.65"	"6.2"	"6.78"	"5.92"	"4.98"
"1905"	"4.75"	"5.24"	"6.48"	"7.88"	"8.69"	"8.22"	"6.63"	"5.74"	"6.29"	"6.81"	"6.07"	"5.07"
"1906"	"4.75"	"5.45"	"6.63"	"7.99"	"8.83"	"8.21"	"6.54"	"5.76"	"6.22"	"6.76"	"6"	"4.99"
"1907"	"4.91"	"5.52"	"6.63"	"7.98"	"8.61"	"8.05"	"6.71"	"5.76"	"6.25"	"6.78"	"6.02"	"4.91"
"1908"	"4.68"	"5.56"	"6.71"	"8.13"	"8.75"	"8.24"	"6.54"	"5.64"	"6.22"	"6.76"	"5.94"	"4.92"
"1909"	"4.73"	"5.47"	"6.79"	"8.05"	"8.71"	"8.15"	"6.46"	"5.68"	"6.2"	"6.72"	"6.06"	"4.94"
"1910"	"4.68"	"5.55"	"6.79"	"8.05"	"8.76"	"8.15"	"6.53"	"5.73"	"6.27"	"6.73"	"5.88"	"4.89"
"1911"	"4.83"	"5.66"	"6.65"	"8.02"	"8.8"	"8.17"	"6.6"	"5.85"	"6.24"	"6.81"	"5.87"	"4.89"
"1912"	"4.77"	"5.65"	"6.74"	"8.09"	"8.74"	"8.22"	"6.65"	"5.78"	"6.21"	"6.78"	"5.92"	"4.91"
"1913"	"4.78"	"5.6"	"6.61"	"8.15"	"8.79"	"8.08"	"6.47"	"5.73"	"6.31"	"6.87"	"6"	"4.91"
