
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.884"	"7.17"	"3.03"	"0.093"	"7.448"	"19.448"	"149.952"	"213.904"	"8.36"	"3.872"	"0"	"7.663"
"1902"	"0.974"	"0"	"0.297"	"0.896"	"1.408"	"60.213"	"271.056"	"142.727"	"88.018"	"1.132"	"1.123"	"0.138"
"1903"	"2.593"	"1.287"	"2.662"	"0"	"5.963"	"2.786"	"203.776"	"254.283"	"76.803"	"10.804"	"0"	"0"
"1904"	"3.907"	"1.49"	"13.378"	"0"	"11.571"	"63.561"	"307.346"	"292.478"	"54.764"	"3.852"	"15.12"	"8.578"
"1905"	"13.692"	"15.255"	"4.066"	"3.325"	"1.515"	"21.161"	"127.615"	"11.95"	"67.714"	"0"	"0"	"0.976"
"1906"	"0.386"	"18.849"	"7.842"	"0"	"1.103"	"110.339"	"167.633"	"100.626"	"173.369"	"0.006"	"0"	"13.668"
"1907"	"6.964"	"42.683"	"2.977"	"24.604"	"10.368"	"12.393"	"84.464"	"386.992"	"1.226"	"0"	"0.068"	"0"
"1908"	"22.609"	"0.776"	"0.012"	"1.352"	"9.175"	"26.512"	"538.714"	"413.428"	"118.033"	"3.442"	"1.254"	"0.976"
"1909"	"20.859"	"3.14"	"0"	"17.222"	"21.72"	"58.748"	"401.685"	"126.068"	"145.279"	"0.086"	"0"	"13.265"
"1910"	"8"	"2.784"	"0.273"	"5.803"	"0.881"	"57.537"	"164.777"	"217.49"	"94.417"	"11.586"	"0.113"	"0"
"1911"	"16.569"	"0"	"8.068"	"0"	"0.046"	"28.132"	"33.155"	"63.618"	"223.023"	"1.995"	"62.283"	"5.785"
"1912"	"15.991"	"2.529"	"3.279"	"2.806"	"1.987"	"26.899"	"237.304"	"265.686"	"139.285"	"6.76"	"15.881"	"1.967"
"1913"	"0.109"	"27.167"	"1.722"	"0.199"	"23.834"	"59.927"	"105.898"	"56.964"	"32.172"	"0"	"0"	"4.578"
"1914"	"0"	"4.998"	"0.199"	"9.834"	"15.223"	"79.214"	"336.584"	"154.254"	"150.533"	"7.291"	"9.592"	"0.113"
"1915"	"10.261"	"16.689"	"26.243"	"3.63"	"3.389"	"36.605"	"143.921"	"125.226"	"37.685"	"16.688"	"0"	"0.093"
"1916"	"0"	"9.037"	"0"	"1.295"	"10.404"	"57.988"	"244.485"	"379.928"	"123.314"	"7.801"	"0.371"	"0"
"1917"	"2.11"	"11.989"	"5.258"	"21.034"	"48.013"	"83.108"	"422.387"	"385.61"	"231.737"	"30.031"	"0"	"10.327"
"1918"	"10.436"	"0"	"3.516"	"0.376"	"3.635"	"20.104"	"54.976"	"147.876"	"34.345"	"0"	"0.517"	"0"
"1919"	"21.118"	"0.109"	"1.348"	"17.915"	"5.728"	"16.102"	"253.14"	"359.427"	"49.608"	"1.109"	"8.127"	"5.43"
"1920"	"6.72"	"13.886"	"5.217"	"0.043"	"17.396"	"103.126"	"295.535"	"71.211"	"44.546"	"0.043"	"0"	"0"
"1921"	"17.753"	"0"	"0"	"0.764"	"0.046"	"28.522"	"112.585"	"134.784"	"209.8"	"0.889"	"0"	"0"
"1922"	"8.862"	"0.635"	"0.174"	"1.553"	"0.504"	"53.54"	"221.574"	"183.224"	"176.1"	"0.708"	"0.711"	"25.43"
"1923"	"1.811"	"13.984"	"0.76"	"0.181"	"4.003"	"1.664"	"238.174"	"272.461"	"138.346"	"2.525"	"0"	"4.764"
