
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.5"	"3.3"	"5.08"	"6.53"	"7.54"	"7.4"	"5.76"	"4.73"	"4.92"	"4.82"	"3.52"	"2.72"
"1902"	"2.77"	"3.57"	"5.34"	"6.7"	"7.59"	"7.07"	"5.51"	"4.86"	"4.81"	"4.63"	"3.45"	"2.59"
"1903"	"2.68"	"3.4"	"4.89"	"6.39"	"7.43"	"7.41"	"5.75"	"4.71"	"4.89"	"4.56"	"3.35"	"2.57"
"1904"	"2.63"	"3.48"	"4.96"	"6.71"	"7.48"	"7.15"	"5.36"	"4.61"	"4.79"	"4.6"	"3.38"	"2.62"
"1905"	"2.51"	"2.98"	"4.63"	"6.25"	"7.69"	"7.36"	"5.63"	"4.79"	"5.01"	"4.71"	"3.61"	"2.67"
"1906"	"2.59"	"3.25"	"4.8"	"6.52"	"7.85"	"7.06"	"5.54"	"4.77"	"4.76"	"4.67"	"3.53"	"2.69"
"1907"	"2.79"	"3.26"	"4.73"	"6.28"	"7.3"	"7.2"	"5.83"	"4.66"	"4.91"	"4.67"	"3.49"	"2.55"
"1908"	"2.61"	"3.47"	"4.96"	"6.69"	"7.52"	"7.26"	"5.35"	"4.62"	"4.8"	"4.56"	"3.42"	"2.58"
"1909"	"2.59"	"3.36"	"5.03"	"6.3"	"7.37"	"6.95"	"5.34"	"4.66"	"4.76"	"4.62"	"3.57"	"2.57"
"1910"	"2.59"	"3.47"	"5.01"	"6.42"	"7.6"	"7.02"	"5.51"	"4.73"	"4.83"	"4.48"	"3.36"	"2.61"
"1911"	"2.79"	"3.49"	"4.79"	"6.55"	"7.76"	"7.18"	"5.73"	"4.85"	"4.75"	"4.66"	"3.3"	"2.62"
"1912"	"2.71"	"3.55"	"4.9"	"6.6"	"7.63"	"7.4"	"5.59"	"4.72"	"4.71"	"4.61"	"3.36"	"2.61"
"1913"	"2.69"	"3.44"	"4.77"	"6.74"	"7.31"	"6.89"	"5.51"	"4.87"	"5"	"4.78"	"3.47"	"2.62"
"1914"	"2.82"	"3.42"	"4.96"	"6.68"	"7.66"	"7.06"	"5.49"	"4.71"	"4.87"	"4.55"	"3.51"	"2.57"
"1915"	"2.63"	"3.25"	"4.96"	"6.51"	"7.84"	"7.25"	"5.8"	"4.83"	"5.04"	"4.81"	"3.47"	"2.69"
"1916"	"2.72"	"3.37"	"5.31"	"6.76"	"7.53"	"6.96"	"5.59"	"4.66"	"4.8"	"4.5"	"3.26"	"2.53"
"1917"	"2.69"	"3.45"	"4.96"	"6.14"	"6.99"	"6.94"	"5.36"	"4.62"	"4.7"	"4.43"	"3.18"	"2.62"
"1918"	"2.57"	"3.48"	"4.97"	"6.28"	"7.79"	"7.11"	"5.85"	"4.91"	"4.92"	"4.69"	"3.47"	"2.56"
"1919"	"2.67"	"3.34"	"5.07"	"6.47"	"7.46"	"7.36"	"5.43"	"4.66"	"4.79"	"4.57"	"3.39"	"2.57"
"1920"	"2.63"	"3.4"	"5.05"	"6.5"	"7.06"	"6.88"	"5.38"	"4.76"	"5.03"	"4.78"	"3.57"	"2.66"
"1921"	"2.73"	"3.52"	"5.34"	"6.94"	"7.87"	"7.32"	"5.82"	"4.7"	"4.73"	"4.56"	"3.45"	"2.75"
