
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.191"	"8.141"	"8.412"	"8.887"	"13.979"	"26.836"	"32.552"	"29.457"	"26.638"	"15.951"	"9.804"	"9.942"
"1902"	"9.422"	"9.324"	"9.706"	"9.377"	"13.733"	"23.982"	"29.112"	"30.319"	"25.06"	"14.36"	"9.301"	"9.045"
"1903"	"8.724"	"8.536"	"8.101"	"8.607"	"13.51"	"26.421"	"32.741"	"28.959"	"26.116"	"14.408"	"9.298"	"8.655"
"1904"	"8.701"	"8.752"	"8.109"	"9.185"	"13.51"	"24.212"	"27.822"	"28.831"	"25.533"	"14.36"	"9.323"	"9.344"
"1905"	"7.741"	"6.4"	"6.889"	"7.891"	"14.39"	"25.802"	"30.381"	"30.397"	"28.097"	"14.972"	"10.302"	"9.349"
"1906"	"8.612"	"7.69"	"7.936"	"8.918"	"15.61"	"23.576"	"29.611"	"30.5"	"24.586"	"14.36"	"9.755"	"9.377"
"1907"	"9.425"	"8.167"	"7.363"	"8.034"	"12.779"	"24.925"	"33.878"	"28.893"	"27.229"	"14.438"	"9.833"	"8.722"
"1908"	"8.789"	"8.818"	"8.288"	"9.276"	"13.51"	"25.324"	"28.001"	"28.221"	"25.135"	"14.358"	"9.036"	"9.122"
"1909"	"8.5"	"8.242"	"8.721"	"8.093"	"13.118"	"22.594"	"27.371"	"28.618"	"25.063"	"14.36"	"9.851"	"8.654"
"1910"	"8.743"	"8.818"	"8.412"	"8.794"	"13.51"	"23.19"	"29.321"	"28.893"	"25.069"	"13.779"	"9.143"	"9.013"
"1911"	"9.424"	"8.746"	"7.33"	"9.285"	"14.61"	"23.206"	"32.233"	"31.334"	"25.157"	"14.36"	"8.527"	"9.349"
"1912"	"9.389"	"9.274"	"8.129"	"9.285"	"13.997"	"26.651"	"30.628"	"28.893"	"25.156"	"14.36"	"9.034"	"9.221"
"1913"	"8.792"	"8.766"	"7.31"	"9.275"	"12.798"	"22.12"	"29.066"	"30.768"	"27.485"	"15.177"	"9.756"	"8.854"
"1914"	"9.714"	"8.531"	"8.198"	"8.996"	"14.359"	"23.698"	"29.041"	"28.894"	"25.155"	"14.163"	"9.801"	"8.745"
"1915"	"8.689"	"7.619"	"8.232"	"9.285"	"15.61"	"24.733"	"33.643"	"31.525"	"27.541"	"15.362"	"9.733"	"9.353"
"1916"	"9.102"	"8.447"	"9.5"	"9.788"	"13.596"	"22.69"	"29.149"	"28.94"	"25.057"	"13.554"	"8.434"	"8.655"
"1917"	"8.821"	"8.806"	"8.321"	"7.409"	"11.102"	"23.105"	"28.371"	"28.893"	"24.165"	"13.144"	"8.018"	"9.332"
"1918"	"8.332"	"8.818"	"8.412"	"8.102"	"14.702"	"23.579"	"33.852"	"32.718"	"26.647"	"14.385"	"9.804"	"8.626"
"1919"	"8.548"	"8.187"	"8.512"	"8.652"	"13.487"	"26.071"	"29.041"	"28.94"	"25.057"	"14.337"	"9.232"	"8.742"
"1920"	"8.766"	"8.618"	"8.412"	"8.919"	"11.397"	"22.723"	"28.352"	"30.652"	"28.465"	"15.35"	"9.85"	"9.274"
"1921"	"9.107"	"8.818"	"9.825"	"10.636"	"16.005"	"25.081"	"32.964"	"28.893"	"25.234"	"14.36"	"9.315"	"9.954"
"1922"	"8.701"	"9.397"	"8.739"	"9.285"	"13.998"	"23.628"	"29.326"	"28.893"	"25.169"	"14.188"	"9.456"	"8.756"
"1923"	"8.721"	"8.344"	"8.412"	"9.285"	"13.51"	"27.314"	"30.355"	"28.957"	"25.158"	"14.041"	"9.339"	"9.351"
"1924"	"8.116"	"8.818"	"9.09"	"9.314"	"12.027"	"25.65"	"29.286"	"28.893"	"24.964"	"13.954"	"9.334"	"9.329"
"1925"	"7.822"	"7.617"	"8.432"	"9.931"	"13.487"	"19.961"	"27.74"	"30.666"	"26.65"	"15.13"	"9.122"	"8.838"
"1926"	"8.822"	"9.285"	"7.826"	"7.653"	"12.784"	"26.559"	"30.294"	"28.916"	"25.158"	"13.529"	"8.415"	"8.677"
"1927"	"7.641"	"7.806"	"7.912"	"8.607"	"13.51"	"24.376"	"29.03"	"28.959"	"25.069"	"14.36"	"9.253"	"9.375"
"1928"	"8.745"	"8.818"	"8.412"	"9.285"	"14.511"	"23.599"	"29.63"	"31.04"	"26.645"	"14.632"	"9.804"	"9.333"
"1929"	"8.741"	"8.215"	"9.33"	"9.285"	"14.153"	"23.628"	"29.281"	"28.894"	"26.619"	"14.36"	"9.833"	"8.631"
"1930"	"8.524"	"8.798"	"8.512"	"8.794"	"13.51"	"23.619"	"27.405"	"29.053"	"26.214"	"14.36"	"9.208"	"9.154"
"1931"	"9.422"	"8.186"	"8.112"	"9.898"	"13.51"	"25.196"	"30.591"	"29.877"	"25.158"	"13.681"	"9.102"	"9.353"
"1932"	"10.536"	"8.288"	"8.412"	"9.163"	"13.341"	"25.327"	"30.529"	"28.936"	"26.19"	"14.36"	"9.151"	"9.22"
"1933"	"7.884"	"8.818"	"8.412"	"7.987"	"11.813"	"23.575"	"29.164"	"28.44"	"24.859"	"13.837"	"9.036"	"9.375"
"1934"	"8.267"	"8.907"	"7.934"	"9.285"	"13.412"	"23.618"	"29.033"	"28.899"	"25.539"	"12.966"	"9.133"	"9.148"
"1935"	"8.143"	"8.818"	"8.312"	"7.356"	"13.987"	"25.03"	"29.132"	"28.933"	"25.18"	"13.528"	"9.755"	"8.737"
"1936"	"8.224"	"8.441"	"7.922"	"8.696"	"15.587"	"21.532"	"28.732"	"28.937"	"25.187"	"14.315"	"9.779"	"9.211"
"1937"	"8.664"	"8.411"	"7.88"	"8.4"	"13.51"	"24.614"	"29.032"	"31.548"	"25.158"	"14.035"	"9.526"	"8.742"
"1938"	"8.599"	"8.013"	"9.111"	"9.785"	"15.103"	"21.966"	"29.374"	"30.379"	"27.637"	"15.29"	"9.094"	"9.015"
"1939"	"9.499"	"8.522"	"7.107"	"8.587"	"14.599"	"22.802"	"29.105"	"31.858"	"26.117"	"14.797"	"9.658"	"9.328"
"1940"	"8.812"	"8.411"	"7.689"	"8.587"	"14.115"	"23.619"	"30.629"	"29.096"	"25.157"	"14.428"	"9.824"	"9.114"
"1941"	"8.721"	"9.016"	"9.721"	"10.139"	"14.61"	"23.674"	"32.255"	"30.495"	"26.125"	"16.005"	"9.833"	"10.029"
"1942"	"8.142"	"8.838"	"9.405"	"9.909"	"14.205"	"25.123"	"29.237"	"28.936"	"25.036"	"14.36"	"9.833"	"8.687"
"1943"	"8.633"	"8.818"	"8.49"	"8.54"	"14.061"	"23.619"	"29.06"	"29.057"	"25.08"	"14.36"	"9.869"	"9.353"
"1944"	"8.329"	"8.409"	"8.001"	"8.589"	"14.779"	"23.676"	"29.018"	"30.119"	"25.137"	"13.772"	"9.821"	"10.031"
"1945"	"7.702"	"8.189"	"8.412"	"8.587"	"13.389"	"24.442"	"28.476"	"29.981"	"25.069"	"13.449"	"9.566"	"8.655"
"1946"	"8.807"	"9.414"	"8.208"	"10.51"	"13.389"	"23.646"	"29.06"	"28.889"	"25.615"	"14.36"	"9.546"	"9.353"
"1947"	"8.201"	"9.205"	"9.046"	"9.784"	"14.61"	"26.234"	"30.309"	"29.552"	"25.053"	"13.461"	"9.801"	"9.332"
"1948"	"8.79"	"8.586"	"7.956"	"10.003"	"15.368"	"26.674"	"29.029"	"28.916"	"24.959"	"14.36"	"9.056"	"8.964"
"1949"	"9.492"	"8.818"	"8.412"	"9.886"	"15.097"	"25.009"	"29.281"	"28.91"	"25.547"	"14.358"	"9.105"	"8.677"
"1950"	"8.757"	"8.094"	"7.916"	"8.683"	"13.51"	"25.087"	"29.029"	"28.91"	"25.059"	"14.34"	"9.232"	"8.473"
"1951"	"8.216"	"8.647"	"8.412"	"8.007"	"13.51"	"23.575"	"32.079"	"28.956"	"25.339"	"16.343"	"10.264"	"9.353"
"1952"	"9.401"	"9.453"	"8.212"	"9.887"	"15.475"	"22.781"	"29.041"	"28.893"	"26.476"	"14.36"	"9.833"	"9.353"
"1953"	"8.037"	"9.489"	"10.034"	"9.852"	"14.587"	"25.456"	"29.03"	"28.933"	"25.158"	"14.36"	"9.446"	"10.451"
"1954"	"8.739"	"9.415"	"8.463"	"9.709"	"15.61"	"24.325"	"29.066"	"29.837"	"25.082"	"13.147"	"9.833"	"9.178"
"1955"	"8.592"	"9.144"	"9.363"	"8.316"	"13.51"	"24.89"	"30.593"	"28.893"	"25.059"	"13.462"	"9.297"	"9.067"
"1956"	"8.81"	"9.19"	"8.412"	"9.709"	"14.587"	"23.597"	"27.947"	"29.044"	"25.137"	"13.436"	"9.316"	"9.051"
"1957"	"8.568"	"8.595"	"7.957"	"8.587"	"13.219"	"23.628"	"29.066"	"30.233"	"25.158"	"14.36"	"9.961"	"9.353"
"1958"	"10.045"	"8.818"	"9.088"	"9.965"	"14.195"	"25.103"	"29.052"	"29.539"	"24.775"	"14.357"	"10.263"	"10.053"
"1959"	"8.692"	"8.838"	"9.111"	"9.185"	"13.574"	"24.813"	"29.052"	"28.95"	"25.166"	"14.36"	"9.833"	"9.474"
"1960"	"8.79"	"9.695"	"8.242"	"8.813"	"13.661"	"24.912"	"29.03"	"28.95"	"25.905"	"14.337"	"9.077"	"9.373"
"1961"	"8.81"	"8.097"	"9.007"	"9.084"	"13.685"	"23.618"	"29.033"	"29.093"	"25.081"	"13.942"	"9.514"	"8.058"
"1962"	"8.333"	"9.015"	"8.412"	"9.288"	"13.51"	"24.408"	"29.442"	"28.916"	"24.425"	"13.725"	"10.042"	"9.384"
"1963"	"8.467"	"9.894"	"8.412"	"9.065"	"13.51"	"23.579"	"32.061"	"28.893"	"25.786"	"15.251"	"11.191"	"9.353"
"1964"	"8.255"	"8.944"	"9.716"	"10.181"	"13.121"	"23.46"	"29.013"	"29.159"	"25.06"	"14.687"	"9.155"	"9.365"
"1965"	"9.9"	"9.018"	"8.369"	"8.703"	"13.685"	"26.56"	"29.066"	"29.952"	"25.137"	"15.15"	"10.046"	"9.252"
"1966"	"8.698"	"10.583"	"8.509"	"9.021"	"13.57"	"22.718"	"31.17"	"28.936"	"25.158"	"15.07"	"9.703"	"9.277"
"1967"	"8.322"	"9.886"	"8.069"	"8.638"	"13.217"	"23.662"	"29.066"	"28.041"	"23.613"	"14.36"	"9.604"	"9.365"
"1968"	"8.693"	"8.209"	"8.491"	"9.064"	"13.139"	"24.572"	"29.058"	"28.956"	"25.711"	"14.36"	"9.536"	"9.353"
"1969"	"8.822"	"9.291"	"9.742"	"9.185"	"12.982"	"25.532"	"29.717"	"29.094"	"25.668"	"15.144"	"10.117"	"8.96"
"1970"	"8.724"	"8.64"	"8.412"	"9.821"	"13.931"	"22.284"	"29.74"	"28.933"	"24.955"	"14.261"	"9.368"	"9.221"
"1971"	"8.521"	"8.818"	"8.412"	"9.557"	"12.749"	"21.039"	"27.832"	"28.217"	"24.881"	"14.334"	"9.833"	"9.329"
"1972"	"8.921"	"7.826"	"8.435"	"8.595"	"14.341"	"24.805"	"31.099"	"28.701"	"24.164"	"14.451"	"9.9"	"9.555"
"1973"	"9.045"	"9.233"	"8.489"	"10.572"	"14.941"	"24.286"	"29.081"	"28.95"	"25.258"	"14.34"	"9.366"	"8.754"
"1974"	"8.353"	"8.343"	"9.209"	"9.97"	"13.51"	"23.6"	"29.032"	"28"	"25.552"	"14.643"	"9.833"	"8.677"
"1975"	"7.941"	"8.497"	"8.219"	"9.864"	"14.607"	"22.178"	"29.057"	"28.95"	"23.713"	"14.266"	"9.272"	"9.337"
"1976"	"9.005"	"8.818"	"8.412"	"8.798"	"13.432"	"22.221"	"29.05"	"27.37"	"24.254"	"14.338"	"10.341"	"9.353"
"1977"	"8.543"	"8.587"	"8.835"	"9.185"	"12.603"	"22.847"	"26.351"	"28.95"	"23.764"	"14.381"	"10.504"	"9.409"
"1978"	"8.742"	"8.189"	"7.415"	"9.114"	"15.535"	"22.858"	"27.804"	"27.91"	"24.824"	"14.36"	"10.136"	"9.385"
"1979"	"9.003"	"8.221"	"7.769"	"8.803"	"11.112"	"23.576"	"28.495"	"28.724"	"26.307"	"15.293"	"10.731"	"9.409"
"1980"	"8.822"	"9.438"	"8.312"	"9.965"	"13.896"	"22.208"	"28.634"	"28.969"	"25.771"	"15.361"	"9.833"	"9.286"
"1981"	"8.655"	"8.994"	"8.212"	"9.457"	"13.045"	"24.135"	"26.886"	"28.953"	"25.648"	"14.36"	"9.204"	"9.353"
"1982"	"8.721"	"8.341"	"7.288"	"8.587"	"11.485"	"23.575"	"30.906"	"29.155"	"25.186"	"14.38"	"9.833"	"9.563"
"1983"	"8.355"	"8.14"	"7.987"	"7.506"	"12.832"	"24.088"	"29.03"	"28.893"	"25.158"	"13.54"	"8.66"	"9.353"
"1984"	"8.399"	"7.66"	"9.308"	"9.278"	"15.586"	"23.576"	"29.033"	"28.796"	"24.203"	"13.593"	"9.441"	"9.443"
