
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.7571"	"1.1179"	"1.286"	"0.0934"	"1.2918"	"2.1438"	"9.7769"	"11.0728"	"1.2229"	"1.2376"	"0"	"1.3428"
"1902"	"0.5779"	"0"	"0.2982"	"0.6865"	"0.8153"	"4.2263"	"11.2285"	"8.2904"	"4.5795"	"0.5858"	"0.7702"	"0.1385"
"1903"	"1.1059"	"1.1021"	"1.1443"	"0"	"1.0618"	"1.0321"	"9.6341"	"10.9754"	"4.2393"	"1.6299"	"0"	"0"
"1904"	"1.1059"	"1.1059"	"1.6693"	"0"	"1.5827"	"3.8172"	"11.2658"	"10.82"	"3.5357"	"1.2322"	"1.1382"	"2.0309"
"1905"	"1.6564"	"1.524"	"1.3639"	"1.3015"	"0.8839"	"2.2679"	"8.6551"	"5.0199"	"4.2454"	"0"	"0"	"0.9764"
"1906"	"0.3873"	"1.889"	"1.655"	"0"	"0.9598"	"5.1634"	"9.4052"	"7.8622"	"6.7771"	"0.0061"	"0"	"1.3477"
"1907"	"1.1066"	"2.1101"	"1.1518"	"2.4952"	"1.3041"	"2.0053"	"7.1607"	"13.5532"	"0.997"	"0"	"0.0677"	"0"
"1908"	"1.7113"	"0.2252"	"0.0122"	"1.1768"	"1.0738"	"2.7949"	"15.3938"	"13.3407"	"4.7166"	"1.1328"	"0.981"	"0.9764"
"1909"	"1.1059"	"1.1115"	"0"	"2.1487"	"1.8163"	"4.2398"	"13.9773"	"7.6913"	"5.2551"	"0.0856"	"0"	"2.7881"
"1910"	"1.1247"	"1.1086"	"0.2738"	"1.324"	"0.3463"	"4.3712"	"9.0348"	"10.0259"	"4.928"	"1.4718"	"0.1129"	"0"
"1911"	"1.8345"	"0"	"1.9672"	"0"	"0.0461"	"2.9541"	"4.6478"	"7.913"	"6.9147"	"0.4957"	"1.5366"	"1.3764"
"1912"	"1.7428"	"1.1118"	"1.2011"	"1.184"	"0.9598"	"2.652"	"11.1915"	"11.0045"	"5.3577"	"1.1688"	"1.5036"	"1.3428"
"1913"	"0.1085"	"2.0989"	"0.9715"	"0.1988"	"2.191"	"4.1332"	"7.8007"	"5.9963"	"2.6606"	"0"	"0"	"1.6624"
"1914"	"0"	"1.1082"	"0.1985"	"1.7819"	"1.9767"	"4.7374"	"13.1085"	"8.5536"	"6.2093"	"1.1519"	"1.0704"	"0.1129"
"1915"	"1.1143"	"1.8625"	"2.9126"	"1.4808"	"1.0001"	"3.1415"	"8.8256"	"7.4353"	"3.4707"	"2.3023"	"0"	"0.0934"
"1916"	"0"	"1.5369"	"0"	"1.1287"	"1.1383"	"4.5195"	"11.6445"	"13.2959"	"4.9633"	"1.656"	"0.3264"	"0"
"1917"	"1.1059"	"1.2183"	"1.3604"	"1.7594"	"2.7778"	"5.0471"	"13.6837"	"13.0975"	"7.3458"	"2.7968"	"0"	"1.3428"
"1918"	"1.1059"	"0"	"1.1477"	"0.3287"	"1.0822"	"3.2826"	"5.3891"	"8.2483"	"2.1845"	"0"	"0.4896"	"0"
"1919"	"2.3502"	"0.1085"	"1.0441"	"1.324"	"1.0424"	"2.7073"	"11.3577"	"12.3498"	"3.4588"	"0.3208"	"1.16"	"1.3825"
"1920"	"1.1059"	"1.2728"	"1.3962"	"0.0429"	"1.8001"	"5.4509"	"11.9853"	"6.239"	"3.082"	"0.0429"	"0"	"0"
"1921"	"1.4008"	"0"	"0"	"0.6831"	"0.0461"	"3.0411"	"8.5318"	"7.8037"	"6.3384"	"0.2533"	"0"	"0"
