
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.743"	"17.051"	"24.799"	"29.038"	"33.357"	"33.307"	"30.038"	"26.473"	"28.123"	"28.035"	"21.623"	"18.419"
"1902"	"17.659"	"19.644"	"26.812"	"30.62"	"32.813"	"31.806"	"29.393"	"28.34"	"26.801"	"26.021"	"20.783"	"16.799"
"1903"	"16.39"	"17.652"	"22.303"	"27.722"	"32.005"	"33.447"	"29.54"	"26.613"	"26.963"	"25.972"	"19.35"	"16.181"
"1904"	"16.163"	"18.916"	"23.103"	"30.303"	"32.616"	"31"	"27.221"	"26.203"	"27.564"	"26.203"	"20.972"	"17.184"
"1905"	"14.842"	"13.921"	"21.416"	"27.174"	"34.34"	"32.516"	"28.708"	"27.88"	"28.424"	"27.367"	"22.797"	"17.711"
"1906"	"14.942"	"16.541"	"22.844"	"28.968"	"34.042"	"31.271"	"27.887"	"27.422"	"26.132"	"25.931"	"21.652"	"17.646"
"1907"	"17.751"	"17.665"	"22.694"	"27.924"	"30.839"	"32.112"	"30.796"	"25.512"	"26.518"	"26.333"	"21.661"	"16.234"
"1908"	"16.178"	"18.48"	"22.995"	"29.774"	"32.344"	"31.888"	"26.391"	"25.396"	"25.882"	"25.148"	"20.309"	"16.171"
"1909"	"15.83"	"18.121"	"25.023"	"27.734"	"31.387"	"30.874"	"26.701"	"25.313"	"25.592"	"25.536"	"21.378"	"16.076"
"1910"	"15.648"	"18.973"	"23.95"	"27.817"	"32.089"	"29.796"	"26.671"	"26.159"	"26.665"	"24.569"	"19.357"	"16.86"
"1911"	"17.595"	"19.072"	"21.987"	"28.646"	"33.429"	"30.82"	"29.884"	"28.051"	"26.544"	"26.795"	"19.82"	"17.894"
"1912"	"17.636"	"20.499"	"23.364"	"29.565"	"33.169"	"32.867"	"28.205"	"25.972"	"25.815"	"25.705"	"19.736"	"16.981"
"1913"	"16.704"	"18.631"	"22.032"	"30.425"	"31.539"	"30.522"	"27.976"	"26.451"	"27.208"	"27.29"	"21.169"	"16.965"
"1914"	"18.324"	"18.2"	"23.213"	"29.376"	"33.685"	"30.752"	"27.65"	"26.499"	"27.577"	"26.243"	"22.362"	"16.506"
"1915"	"16.145"	"17.068"	"24.354"	"28.991"	"33.415"	"32.963"	"30.499"	"27.878"	"29.806"	"27.68"	"21.546"	"18.028"
"1916"	"17.565"	"17.782"	"26.283"	"30.1"	"32.261"	"29.913"	"29.235"	"26.227"	"26.834"	"24.702"	"18.956"	"16.118"
"1917"	"17.299"	"18.999"	"23.587"	"26.833"	"29.717"	"29.35"	"26.305"	"25.582"	"25.374"	"23.523"	"18.826"	"16.535"
"1918"	"14.859"	"19.223"	"23.604"	"27.116"	"33.006"	"30.639"	"29.301"	"27.659"	"27.097"	"26.656"	"21.681"	"16.076"
"1919"	"16.36"	"18.173"	"24.305"	"28.298"	"32.104"	"31.754"	"27.4"	"25.997"	"26.016"	"25.512"	"20.817"	"16.39"
"1920"	"16.631"	"18.313"	"24.634"	"28.496"	"29.345"	"29.306"	"26.576"	"25.982"	"28.422"	"27.318"	"22.083"	"17.375"
"1921"	"16.955"	"18.911"	"26.431"	"30.979"	"33.222"	"32.332"	"30.124"	"26.368"	"25.84"	"25.741"	"21.003"	"18.582"
"1922"	"15.745"	"20.209"	"24.862"	"29.967"	"32.243"	"31.228"	"28.089"	"26.175"	"25.994"	"25.491"	"20.673"	"16.623"
"1923"	"16.539"	"17.934"	"24.834"	"29.372"	"31.57"	"32.836"	"28.082"	"25.279"	"26.834"	"25.411"	"20.238"	"17.252"
"1924"	"15.669"	"18.99"	"25.926"	"29.991"	"30.617"	"32.084"	"28.604"	"26.464"	"25.714"	"24.348"	"19.283"	"16.827"
"1925"	"14.162"	"16.634"	"24.88"	"31.32"	"31.841"	"29.228"	"26.58"	"27.823"	"28.765"	"28.007"	"21.198"	"17.566"
"1926"	"17.128"	"21.339"	"23.227"	"26.292"	"30.953"	"33.306"	"28.597"	"26.441"	"25.861"	"25.254"	"18.775"	"16.019"
"1927"	"14.324"	"16.772"	"22.468"	"28.219"	"31.544"	"31.716"	"27.491"	"25.329"	"26.104"	"25.625"	"18.82"	"17.192"
"1928"	"15.959"	"18.976"	"24.5"	"29.025"	"32.739"	"31.448"	"28.027"	"26.611"	"26.328"	"25.868"	"21.039"	"16.137"
"1929"	"15.356"	"17.312"	"25.795"	"29.65"	"32.766"	"31.585"	"27.487"	"25.962"	"27.181"	"25.96"	"21.908"	"15.692"
"1930"	"16.13"	"18.453"	"24.628"	"28.409"	"31.897"	"31.405"	"26.869"	"26.314"	"28.93"	"27.478"	"20.429"	"17.691"
"1931"	"17.996"	"17.191"	"23.656"	"30.548"	"32.799"	"33.227"	"28.91"	"26.531"	"26.743"	"25.075"	"20.681"	"17.555"
"1932"	"19.47"	"18.43"	"24.294"	"28.62"	"32.187"	"31.93"	"28.251"	"26.067"	"27.827"	"26.785"	"20.001"	"17.675"
"1933"	"15.268"	"19.1"	"23.952"	"27.798"	"30.283"	"30.397"	"27.655"	"25.289"	"25.667"	"25.133"	"20.604"	"17.087"
