
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.685"	"12.889"	"24.51"	"21.463"	"22.841"	"40.352"	"66.273"	"64.738"	"42.99"	"15.668"	"11.082"	"11.463"
"1902"	"15.685"	"13.201"	"24.653"	"21.463"	"22.841"	"40.406"	"65.902"	"64.939"	"42.647"	"15.759"	"11.082"	"11.463"
"1903"	"15.685"	"13.201"	"24.653"	"21.463"	"22.683"	"40.352"	"65.902"	"65.094"	"42.99"	"15.427"	"11.082"	"11.463"
"1904"	"15.685"	"13.201"	"24.653"	"21.406"	"22.804"	"40.352"	"65.945"	"64.84"	"42.99"	"15.759"	"11.076"	"11.463"
"1905"	"15.685"	"13.201"	"24.653"	"21.463"	"22.841"	"40.352"	"65.92"	"65.094"	"42.99"	"15.759"	"11.082"	"11.463"
"1906"	"15.685"	"13.201"	"24.558"	"21.463"	"22.841"	"40.465"	"65.902"	"64.976"	"42.99"	"15.326"	"11.082"	"11.463"
"1907"	"15.685"	"13.201"	"24.653"	"21.463"	"22.841"	"40.433"	"66.199"	"65.094"	"42.99"	"16.067"	"11.617"	"11.463"
"1908"	"15.685"	"13.201"	"24.653"	"21.427"	"22.7"	"40.22"	"65.902"	"65.086"	"42.99"	"15.759"	"11.082"	"11.463"
"1909"	"15.638"	"13.201"	"24.653"	"21.463"	"22.43"	"40.287"	"65.902"	"64.84"	"42.844"	"15.759"	"11.082"	"11.463"
"1910"	"15.685"	"13.201"	"24.653"	"21.463"	"22.872"	"40.352"	"66.444"	"64.84"	"42.99"	"15.759"	"11.082"	"11.463"
"1911"	"15.685"	"13.201"	"24.653"	"21.463"	"22.841"	"40.352"	"65.883"	"65.009"	"42.99"	"15.759"	"10.705"	"11.463"
"1912"	"15.685"	"13.201"	"24.488"	"21.147"	"22.841"	"40.352"	"64.961"	"64.748"	"42.608"	"15.759"	"10.708"	"11.463"
"1913"	"15.685"	"13.201"	"24.653"	"21.463"	"22.189"	"40.113"	"66.179"	"65.094"	"42.678"	"15.625"	"11.082"	"11.463"
"1914"	"15.685"	"13.201"	"24.389"	"21.267"	"22.421"	"39.918"	"65.751"	"65.094"	"42.286"	"15.33"	"11.08"	"11.444"
"1915"	"15.685"	"13.201"	"24.073"	"21.463"	"22.001"	"40.18"	"65.69"	"64.353"	"42.481"	"15.56"	"10.808"	"11.463"
"1916"	"15.767"	"13.201"	"24.653"	"21.463"	"22.841"	"40.352"	"65.572"	"65.094"	"42.99"	"15.23"	"11.082"	"11.463"
"1917"	"15.619"	"12.918"	"24.399"	"21.164"	"21.99"	"39.908"	"65.188"	"64.721"	"42.678"	"15.759"	"10.852"	"11.463"
"1918"	"15.685"	"13.201"	"24.653"	"21.463"	"22.279"	"40.496"	"66"	"64.854"	"42.628"	"15.74"	"11.082"	"11.559"
"1919"	"15.685"	"13.201"	"24.653"	"21.079"	"22.841"	"40.352"	"65.902"	"64.943"	"42.531"	"14.973"	"10.425"	"11.463"
"1920"	"16.028"	"13.201"	"24.653"	"21.463"	"22.841"	"40.352"	"65.988"	"64.439"	"42.99"	"15.076"	"11.078"	"11.459"
"1921"	"15.685"	"13.201"	"24.653"	"21.463"	"22.841"	"40.308"	"65.189"	"64.84"	"42.99"	"15.096"	"10.97"	"11.459"
"1922"	"15.693"	"13.201"	"24.653"	"21.463"	"22.841"	"40.343"	"65.902"	"64.84"	"42.99"	"15.759"	"10.925"	"11.463"
"1923"	"15.685"	"13.201"	"24.653"	"21.463"	"22.825"	"40.651"	"66.39"	"65.094"	"42.99"	"15.23"	"10.324"	"10.959"
"1924"	"15.524"	"12.778"	"24.653"	"21.463"	"22.841"	"40.352"	"65.902"	"65.094"	"42.979"	"15.226"	"10.911"	"11.459"
"1925"	"15.685"	"12.513"	"23.958"	"21.048"	"21.964"	"40.456"	"65.69"	"64.423"	"42.715"	"15.759"	"10.491"	"10.608"
"1926"	"15.588"	"13.201"	"24.372"	"21.933"	"22.374"	"40.352"	"65.902"	"65.083"	"42.99"	"15.326"	"11.082"	"11.463"
"1927"	"15.856"	"13.201"	"24.359"	"21.463"	"22.841"	"40.259"	"65.902"	"64.823"	"42.936"	"15.759"	"11.082"	"11.463"
"1928"	"15.685"	"13.201"	"24.669"	"21.463"	"22.841"	"40.352"	"66"	"65.094"	"42.952"	"15.759"	"11.082"	"11.415"
"1929"	"15.685"	"13.201"	"24.415"	"20.747"	"22.841"	"40.352"	"66.244"	"65.094"	"42.99"	"15.326"	"11.082"	"11.916"
"1930"	"15.685"	"13.201"	"24.103"	"21.566"	"22.825"	"40.779"	"66.246"	"65.094"	"43.526"	"15.872"	"10.342"	"11.463"
"1931"	"14.036"	"17.966"	"22.053"	"15.61"	"18.203"	"28.61"	"60.843"	"62.658"	"39.556"	"18.197"	"2.736"	"7.846"
