
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1902"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1903"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1904"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1905"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1906"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1907"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1908"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1909"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1910"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1911"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1912"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1913"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1914"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"14.642"	"15.372"
"1915"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1916"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"8.079"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1917"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1918"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1919"	"15.519"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1920"	"15.155"	"15.328"	"15.524"	"14.543"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1921"	"15.155"	"15.328"	"15.52"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1922"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.328"	"15.356"	"15.372"
"1923"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1924"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1925"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1926"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1927"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1928"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.396"
"1929"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1930"	"15.155"	"15.325"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1931"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1932"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1933"	"15.431"	"15.212"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.297"	"15.372"
"1934"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1935"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.284"	"14.259"	"15.356"	"15.372"
"1936"	"15.155"	"15.753"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1937"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1938"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1939"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1940"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1941"	"15.155"	"15.328"	"15.524"	"14.707"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1942"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1943"	"15.155"	"15.328"	"15.524"	"14.657"	"13.529"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1944"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"8.016"	"6.664"	"9.243"	"14.259"	"15.356"	"15.384"
"1945"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
"1946"	"15.155"	"15.328"	"15.524"	"14.657"	"13.533"	"11.339"	"7.875"	"6.664"	"9.243"	"14.259"	"15.356"	"15.372"
