
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.34"	"24.723"	"32.581"	"36.359"	"40.159"	"39.005"	"33.989"	"29.815"	"32.76"	"35.179"	"29.332"	"26.145"
"1902"	"25.233"	"27.313"	"34.578"	"37.978"	"39.597"	"37.503"	"33.33"	"31.683"	"31.439"	"33.163"	"28.49"	"24.49"
"1903"	"23.988"	"25.323"	"30.087"	"35.079"	"38.791"	"39.143"	"33.492"	"29.956"	"31.599"	"33.112"	"27.058"	"23.906"
"1904"	"23.76"	"26.588"	"30.886"	"37.648"	"39.386"	"36.698"	"31.172"	"29.54"	"32.202"	"33.347"	"28.684"	"24.891"
"1905"	"22.438"	"21.592"	"29.198"	"34.532"	"41.143"	"38.214"	"32.661"	"31.221"	"33.064"	"34.51"	"30.507"	"25.436"
"1906"	"22.539"	"24.213"	"30.626"	"36.309"	"40.846"	"36.968"	"31.839"	"30.766"	"30.769"	"33.073"	"29.361"	"25.372"
"1907"	"25.348"	"25.322"	"30.478"	"35.238"	"37.642"	"37.811"	"34.747"	"28.855"	"31.157"	"33.459"	"29.369"	"23.945"
"1908"	"23.775"	"26.152"	"30.778"	"37.13"	"39.147"	"37.586"	"30.344"	"28.74"	"30.519"	"32.29"	"28.018"	"23.899"
"1909"	"23.427"	"25.792"	"32.796"	"35.092"	"38.188"	"36.572"	"30.654"	"28.655"	"30.229"	"32.68"	"29.089"	"23.78"
"1910"	"23.247"	"26.644"	"31.734"	"35.16"	"38.857"	"35.493"	"30.623"	"29.501"	"31.304"	"31.712"	"27.066"	"24.585"
"1911"	"25.171"	"26.744"	"29.77"	"35.983"	"40.214"	"36.518"	"33.834"	"31.393"	"31.185"	"33.94"	"27.527"	"25.619"
"1912"	"25.234"	"28.169"	"31.145"	"36.922"	"39.956"	"38.564"	"32.157"	"29.311"	"30.452"	"32.849"	"27.444"	"24.706"
"1913"	"24.302"	"26.302"	"29.814"	"37.756"	"38.309"	"36.22"	"31.928"	"29.792"	"31.846"	"34.433"	"28.877"	"24.689"
"1914"	"25.921"	"25.873"	"30.995"	"36.731"	"40.47"	"36.44"	"31.602"	"29.835"	"32.215"	"33.383"	"29.716"	"24.201"
"1915"	"23.743"	"24.723"	"32.137"	"36.343"	"40.183"	"38.661"	"34.451"	"31.219"	"34.444"	"34.825"	"29.256"	"25.753"
"1916"	"25.138"	"25.454"	"34.066"	"37.451"	"39.046"	"35.611"	"33.287"	"29.566"	"31.474"	"31.844"	"26.667"	"23.844"
"1917"	"24.895"	"26.67"	"31.37"	"34.188"	"36.503"	"35.046"	"30.256"	"28.924"	"30.014"	"30.666"	"26.535"	"24.262"
"1918"	"22.456"	"26.894"	"31.371"	"34.472"	"39.807"	"36.335"	"33.252"	"31"	"31.737"	"33.786"	"29.388"	"23.762"
"1919"	"24.144"	"25.844"	"32.078"	"35.64"	"38.873"	"37.451"	"31.353"	"29.338"	"30.653"	"32.64"	"28.528"	"24.116"
"1920"	"24.207"	"25.97"	"32.416"	"35.794"	"36.149"	"35.003"	"30.528"	"29.32"	"33.061"	"34.463"	"29.791"	"25.1"
"1921"	"24.552"	"26.583"	"34.212"	"38.314"	"40.008"	"38.029"	"34.076"	"29.709"	"30.481"	"32.883"	"28.711"	"26.29"
"1922"	"23.341"	"27.881"	"32.646"	"37.297"	"39.031"	"36.927"	"32.04"	"29.518"	"30.632"	"32.654"	"28.381"	"24.349"
"1923"	"24.137"	"25.605"	"32.619"	"36.725"	"38.356"	"38.534"	"32.032"	"28.62"	"31.471"	"32.556"	"27.945"	"24.976"
"1924"	"23.268"	"26.662"	"33.708"	"37.321"	"37.398"	"37.78"	"32.556"	"29.808"	"30.353"	"31.491"	"26.992"	"24.552"
"1925"	"21.758"	"24.306"	"32.664"	"38.675"	"38.628"	"34.926"	"30.532"	"31.164"	"33.403"	"35.151"	"28.907"	"25.291"
"1926"	"24.703"	"29.011"	"31.011"	"33.651"	"37.736"	"39.004"	"32.549"	"29.781"	"30.5"	"32.396"	"26.483"	"23.744"
"1927"	"21.921"	"24.443"	"30.251"	"35.545"	"38.328"	"37.413"	"31.442"	"28.67"	"30.742"	"32.767"	"26.529"	"24.884"
"1928"	"23.557"	"26.646"	"32.257"	"36.368"	"39.543"	"37.144"	"31.977"	"29.946"	"30.966"	"32.994"	"28.747"	"23.862"
"1929"	"22.954"	"24.982"	"33.577"	"37.008"	"39.57"	"37.284"	"31.439"	"29.305"	"31.821"	"33.104"	"29.617"	"23.4"
"1930"	"23.727"	"26.126"	"32.411"	"35.762"	"38.683"	"37.103"	"30.82"	"29.656"	"33.568"	"34.607"	"28.137"	"25.416"
"1931"	"25.592"	"24.863"	"31.438"	"37.904"	"39.583"	"38.924"	"32.861"	"29.866"	"31.382"	"32.218"	"28.391"	"25.264"
"1932"	"27.067"	"26.102"	"32.078"	"35.978"	"38.973"	"37.627"	"32.204"	"29.407"	"32.464"	"33.923"	"27.71"	"25.403"
"1933"	"22.984"	"26.741"	"31.735"	"35.154"	"37.084"	"36.096"	"31.607"	"28.631"	"30.305"	"32.257"	"28.276"	"24.811"
"1934"	"22.115"	"27.84"	"30.891"	"36.594"	"38.838"	"37.043"	"31.298"	"29.263"	"30.434"	"32.1"	"28.039"	"25.427"
"1935"	"21.665"	"26.463"	"31.446"	"33.692"	"39.305"	"38.015"	"31.066"	"29.244"	"30.616"	"32.047"	"28.824"	"24.742"
"1936"	"22.462"	"26.52"	"30.891"	"35.671"	"40.569"	"35.231"	"31.401"	"29.769"	"31.491"	"33.472"	"28.487"	"24.316"
"1937"	"23.222"	"26.988"	"30.242"	"35.906"	"39.21"	"37.902"	"30.8"	"30.072"	"31.834"	"32.7"	"29.341"	"23.292"
"1938"	"23.527"	"24.819"	"33.396"	"37.221"	"39.942"	"34.563"	"31.519"	"30.303"	"32.974"	"34.295"	"27.428"	"25.069"
"1939"	"25.136"	"26.05"	"29.275"	"34.671"	"38.857"	"36.243"	"31.945"	"31.96"	"31.9"	"34.366"	"28.994"	"25.779"
"1940"	"24.704"	"26.497"	"30.261"	"35.422"	"39.845"	"37.12"	"32.448"	"29.242"	"31.375"	"33.602"	"29.394"	"24.576"
"1941"	"23.293"	"27.533"	"33.699"	"37.887"	"39.746"	"37.438"	"32.307"	"30.549"	"32.794"	"35.979"	"29.612"	"26.436"
"1942"	"22.744"	"27.029"	"33.258"	"38.25"	"39.301"	"38.59"	"30.564"	"29.024"	"30.87"	"33.137"	"28.874"	"23.464"
"1943"	"23.614"	"26.518"	"32.825"	"35.911"	"39.943"	"36.659"	"31.143"	"28.943"	"30.975"	"32.67"	"28.977"	"25.773"
"1944"	"23.499"	"25.93"	"30.95"	"35.665"	"39.346"	"36.199"	"30.606"	"28.935"	"31.241"	"31.815"	"28.64"	"25.467"
"1945"	"21.6"	"25.752"	"32.554"	"35.366"	"38.223"	"36.989"	"30.465"	"29.685"	"30.579"	"32.103"	"27.875"	"23.149"
"1946"	"24.043"	"27.891"	"31.164"	"38.405"	"39.065"	"36.721"	"31.332"	"28.671"	"30.765"	"33.541"	"27.281"	"24.506"
"1947"	"22.605"	"26.199"	"32.587"	"36.796"	"39.89"	"38.039"	"32.547"	"30.484"	"30.182"	"31.627"	"29.206"	"25.196"
"1948"	"23.297"	"25.578"	"31.714"	"37.542"	"40.72"	"37.847"	"32.379"	"29.383"	"31.078"	"33.907"	"28.108"	"25.215"
"1949"	"25.927"	"26.827"	"32.552"	"38.23"	"41.026"	"36.933"	"31.835"	"30.281"	"32.537"	"33.379"	"27.679"	"24.251"
"1950"	"24.993"	"24.187"	"31.081"	"35.366"	"39.405"	"37.169"	"30.941"	"29.219"	"30.872"	"32.637"	"27.171"	"23.101"
"1951"	"22.94"	"25.657"	"31.503"	"34.751"	"38.816"	"36.145"	"33.44"	"30.043"	"33.786"	"36.374"	"30.328"	"25.061"
"1952"	"25.261"	"28.094"	"31.998"	"37.897"	"40.615"	"36.354"	"31.013"	"28.944"	"31.939"	"33.805"	"28.929"	"25.215"
"1953"	"23.493"	"28.76"	"34.277"	"36.702"	"39.203"	"37.49"	"32.566"	"29.763"	"31.774"	"33.08"	"28.92"	"27.348"
"1954"	"23.812"	"27.79"	"32.459"	"37.258"	"40.505"	"37.964"	"32.126"	"30.831"	"30.809"	"31.293"	"29.172"	"24.847"
"1955"	"23.943"	"26.947"	"34.233"	"34.706"	"38.573"	"37.278"	"32.797"	"29.729"	"30.77"	"31.576"	"27.156"	"25.029"
"1956"	"23.971"	"26.1"	"32.464"	"36.524"	"40.376"	"36.482"	"29.748"	"28.988"	"31.566"	"31.077"	"27.171"	"25.197"
"1957"	"23.073"	"24.992"	"30.609"	"35.526"	"37.729"	"37.829"	"32.154"	"30.561"	"31.27"	"33.328"	"30.613"	"25.345"
"1958"	"25.904"	"27.148"	"33.228"	"38.42"	"39.695"	"38.194"	"30.817"	"31.069"	"30.125"	"32.206"	"29.81"	"26.143"
"1959"	"23.935"	"26.04"	"33.661"	"36.876"	"39.007"	"37.202"	"31.015"	"28.882"	"30.468"	"33.056"	"28.534"	"25.594"
"1960"	"23.336"	"28.789"	"30.976"	"35.238"	"38.517"	"37.226"	"32.218"	"28.79"	"32.386"	"32.614"	"28.022"	"24.987"
"1961"	"22.764"	"24.065"	"32.378"	"35.656"	"39.102"	"36.359"	"31.533"	"30.052"	"30.294"	"31.518"	"28.359"	"23.636"
"1962"	"22.746"	"27.107"	"32.195"	"36.515"	"38.01"	"36.034"	"30.731"	"28.595"	"29.422"	"30.865"	"27.469"	"25.474"
"1963"	"24.614"	"29.167"	"32.638"	"36.802"	"39.305"	"37.524"	"33.123"	"29.114"	"31.257"	"33.618"	"30.885"	"26.144"
"1964"	"22.809"	"26.816"	"33.632"	"38.766"	"38.709"	"35.148"	"31.299"	"29.962"	"31.463"	"33.526"	"28.237"	"24.855"
