
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.161"	"9.395"	"17.057"	"21.681"	"26.592"	"27.651"	"26.113"	"23.15"	"23.517"	"20.917"	"13.978"	"10.741"
"1902"	"10.077"	"11.985"	"19.054"	"23.282"	"26.049"	"26.165"	"25.456"	"25.021"	"22.195"	"18.902"	"13.136"	"9.106"
"1903"	"8.832"	"9.995"	"14.563"	"20.398"	"25.241"	"27.807"	"25.607"	"23.29"	"22.354"	"18.853"	"11.663"	"8.534"
"1904"	"8.587"	"11.257"	"15.345"	"22.946"	"25.852"	"25.359"	"23.298"	"22.877"	"22.956"	"19.085"	"13.31"	"9.5"
"1905"	"7.283"	"6.248"	"13.676"	"19.848"	"27.594"	"26.876"	"24.775"	"24.559"	"23.818"	"20.252"	"15.151"	"10.066"
"1906"	"7.366"	"8.871"	"15.102"	"21.653"	"27.296"	"25.63"	"23.964"	"24.102"	"21.525"	"18.815"	"14.007"	"9.985"
"1907"	"10.192"	"9.994"	"14.937"	"20.58"	"24.092"	"26.471"	"26.863"	"22.19"	"21.912"	"19.199"	"14.017"	"8.573"
"1908"	"8.58"	"10.809"	"15.237"	"22.446"	"25.597"	"26.247"	"22.468"	"22.073"	"21.252"	"18.029"	"12.647"	"8.517"
"1909"	"8.255"	"10.45"	"17.24"	"20.392"	"24.638"	"25.236"	"22.763"	"21.988"	"20.987"	"18.418"	"13.715"	"8.393"
"1910"	"8.073"	"11.301"	"16.211"	"20.504"	"25.325"	"24.156"	"22.747"	"22.835"	"22.059"	"17.45"	"11.694"	"9.181"
"1911"	"10.014"	"11.415"	"14.23"	"21.304"	"26.681"	"25.179"	"25.959"	"24.73"	"21.917"	"19.677"	"12.157"	"10.232"
"1912"	"10.055"	"12.842"	"15.595"	"22.246"	"26.423"	"27.21"	"24.282"	"22.646"	"21.177"	"18.585"	"12.077"	"9.336"
"1913"	"9.146"	"10.974"	"14.275"	"23.099"	"24.776"	"24.883"	"24.052"	"23.129"	"22.603"	"20.17"	"13.524"	"9.318"
"1914"	"10.767"	"10.546"	"15.461"	"22.031"	"26.936"	"25.104"	"23.728"	"23.173"	"22.971"	"19.123"	"15.074"	"8.83"
"1915"	"8.569"	"9.395"	"16.596"	"21.671"	"26.651"	"27.324"	"26.566"	"24.556"	"25.201"	"20.56"	"13.899"	"10.336"
"1916"	"9.984"	"10.126"	"18.533"	"22.756"	"25.496"	"24.272"	"25.209"	"22.901"	"22.228"	"17.586"	"11.312"	"8.457"
"1917"	"9.74"	"11.342"	"15.83"	"19.513"	"22.953"	"23.694"	"22.377"	"22.259"	"20.747"	"16.408"	"11.183"	"8.89"
"1918"	"7.283"	"11.552"	"15.837"	"19.795"	"26.258"	"24.999"	"25.367"	"24.338"	"22.493"	"19.523"	"14.017"	"8.392"
"1919"	"8.609"	"10.501"	"16.537"	"20.967"	"25.34"	"26.099"	"23.479"	"22.674"	"21.401"	"18.377"	"13.157"	"8.728"
"1920"	"9.049"	"10.642"	"16.876"	"21.248"	"22.598"	"23.665"	"22.649"	"22.656"	"23.817"	"20.199"	"14.436"	"9.731"
"1921"	"9.398"	"11.239"	"18.69"	"23.638"	"26.474"	"26.691"	"26.202"	"23.047"	"21.226"	"18.623"	"13.342"	"10.874"
"1922"	"8.163"	"12.536"	"17.113"	"22.624"	"25.481"	"25.589"	"24.165"	"22.851"	"21.389"	"18.325"	"13.012"	"8.976"
"1923"	"8.979"	"10.264"	"17.094"	"22.045"	"24.805"	"27.196"	"24.158"	"21.957"	"22.228"	"18.292"	"12.575"	"9.552"
"1924"	"8.094"	"11.334"	"18.175"	"22.649"	"23.831"	"26.427"	"24.68"	"23.144"	"21.1"	"17.223"	"11.637"	"9.151"
"1925"	"6.58"	"8.977"	"17.122"	"23.978"	"25.078"	"23.588"	"22.653"	"24.5"	"24.159"	"20.889"	"13.534"	"9.897"
"1926"	"9.549"	"13.682"	"15.486"	"18.967"	"24.188"	"27.668"	"24.673"	"23.117"	"21.247"	"18.135"	"11.112"	"8.374"
"1927"	"6.726"	"9.101"	"14.726"	"20.862"	"24.778"	"26.059"	"23.557"	"22.007"	"21.465"	"18.507"	"11.174"	"9.49"
"1928"	"8.383"	"11.317"	"16.733"	"21.694"	"26.01"	"25.807"	"24.103"	"23.286"	"21.7"	"18.734"	"13.392"	"8.466"
"1929"	"7.796"	"9.655"	"18.037"	"22.324"	"26.019"	"25.946"	"23.562"	"22.641"	"22.576"	"18.845"	"14.246"	"8.03"
"1930"	"8.572"	"10.799"	"16.872"	"21.067"	"25.132"	"25.766"	"22.942"	"22.992"	"24.325"	"20.342"	"12.743"	"10.028"
"1931"	"10.437"	"9.537"	"15.914"	"23.246"	"26.035"	"27.585"	"24.988"	"23.204"	"22.138"	"17.956"	"13.037"	"9.869"
"1932"	"11.889"	"10.773"	"16.529"	"21.283"	"25.439"	"26.274"	"24.328"	"22.743"	"23.221"	"19.664"	"12.339"	"10.013"
"1933"	"7.553"	"11.504"	"16.184"	"20.454"	"23.518"	"24.757"	"23.723"	"21.963"	"21.038"	"17.999"	"12.979"	"9.418"
"1934"	"6.958"	"12.497"	"15.367"	"21.92"	"25.303"	"25.705"	"23.424"	"22.601"	"21.191"	"17.84"	"12.653"	"10.039"
"1935"	"6.492"	"11.12"	"15.921"	"19.018"	"25.772"	"26.678"	"23.191"	"22.577"	"21.334"	"17.784"	"13.47"	"9.372"
"1936"	"7.282"	"10.769"	"15.367"	"20.996"	"27.036"	"23.893"	"23.526"	"23.106"	"22.248"	"19.21"	"13.115"	"8.905"
"1937"	"8.027"	"11.645"	"14.719"	"21.246"	"25.659"	"26.563"	"22.915"	"23.409"	"22.589"	"18.436"	"13.987"	"7.921"
"1938"	"8.349"	"9.491"	"17.847"	"22.542"	"26.392"	"23.228"	"23.643"	"23.636"	"23.73"	"20.031"	"12.06"	"9.668"
"1939"	"9.981"	"10.707"	"13.751"	"20.011"	"25.306"	"24.908"	"24.069"	"25.298"	"22.656"	"20.108"	"13.639"	"10.407"
"1940"	"9.549"	"11.153"	"14.738"	"20.742"	"26.313"	"25.781"	"24.563"	"22.579"	"22.13"	"19.341"	"14.039"	"9.189"
"1941"	"8.098"	"12.204"	"18.16"	"23.179"	"26.214"	"26.099"	"24.43"	"23.886"	"23.551"	"21.715"	"14.242"	"11.022"
"1942"	"7.566"	"11.687"	"17.717"	"23.574"	"25.767"	"27.254"	"22.687"	"22.357"	"21.603"	"18.878"	"13.52"	"8.095"
"1943"	"8.459"	"11.175"	"17.285"	"21.255"	"26.396"	"25.321"	"23.258"	"22.281"	"21.71"	"18.406"	"13.604"	"10.386"
