
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.789"	"0.286"	"0.29"	"0.475"	"5.312"	"28.466"	"227.431"	"143.141"	"14.616"	"17.4"	"0.209"	"5.465"
"1902"	"2.351"	"0"	"0"	"0"	"0.271"	"73.35"	"109.922"	"115.475"	"86.153"	"7.939"	"27.5"	"1.383"
"1903"	"0.273"	"0"	"1.622"	"0"	"11.615"	"8.475"	"329.608"	"218.974"	"169.685"	"2.364"	"0.209"	"0"
"1904"	"0.214"	"2.18"	"28.835"	"0"	"23.27"	"52.984"	"112.835"	"78.965"	"89.329"	"15.584"	"4.824"	"9.643"
"1905"	"3.03"	"4.511"	"2.992"	"3.882"	"5.864"	"20.065"	"172.475"	"20.865"	"99.909"	"0.033"	"0.292"	"0.115"
"1906"	"0"	"29.843"	"0.682"	"0"	"0.73"	"62.791"	"202.389"	"105.035"	"163.008"	"0.389"	"0.209"	"16.449"
"1907"	"6.738"	"13.381"	"0.715"	"7.988"	"2.974"	"21.293"	"120.587"	"293.855"	"4.813"	"0.033"	"1.665"	"0"
"1908"	"8.973"	"0"	"0"	"0.344"	"1.876"	"47.548"	"432.585"	"345.527"	"302.668"	"0.62"	"8.609"	"0.115"
"1909"	"11.663"	"0.06"	"0"	"12.538"	"5.118"	"51.374"	"335.989"	"101.509"	"308.784"	"0.033"	"0.209"	"4.818"
"1910"	"2.243"	"0.395"	"0"	"4.777"	"6.338"	"135.469"	"91.405"	"217.409"	"64.346"	"5.417"	"2.925"	"0"
"1911"	"2.695"	"0"	"29.847"	"0"	"0"	"57.427"	"41.922"	"66.256"	"129.649"	"0.033"	"43.896"	"0.739"
"1912"	"0.907"	"0"	"0"	"0.512"	"0.73"	"73.059"	"230.933"	"255.298"	"65.722"	"21.02"	"95.143"	"0.251"
"1913"	"0"	"1.432"	"1.172"	"0"	"8.37"	"63.336"	"155.722"	"76.326"	"114.62"	"0.033"	"0.209"	"1.928"
"1914"	"0"	"2.204"	"0.008"	"1.914"	"28.488"	"116.246"	"193.893"	"132.595"	"164.969"	"2.656"	"55.928"	"1.063"
"1915"	"4.799"	"5.854"	"37.965"	"2.273"	"5.696"	"49.086"	"105.401"	"54.359"	"68.04"	"71.336"	"0.723"	"0.945"
"1916"	"0"	"0.312"	"0.008"	"0.011"	"21.866"	"40.092"	"171.626"	"318.024"	"172.342"	"16.86"	"9.216"	"0"
"1917"	"0.843"	"6.791"	"0.239"	"7.679"	"56.073"	"207.012"	"211.074"	"387.807"	"295.607"	"35.962"	"0.209"	"14.745"
"1918"	"0.661"	"0"	"3.51"	"0"	"20.368"	"26.918"	"43.49"	"73.349"	"16.319"	"0.066"	"12.927"	"0"
"1919"	"10.761"	"0"	"0.251"	"14.883"	"4.566"	"50.573"	"214.119"	"168.759"	"71.803"	"11.479"	"40.13"	"0.618"
"1920"	"3.258"	"2.087"	"2.302"	"0"	"22.364"	"146.523"	"147.316"	"38.759"	"24.018"	"0.033"	"0.209"	"0"
"1921"	"1.952"	"0"	"0"	"0"	"0"	"42.792"	"166.648"	"98.759"	"125.225"	"0.033"	"0.209"	"0"
"1922"	"1.847"	"1.114"	"0"	"0.034"	"0.954"	"45.016"	"186.642"	"46.864"	"195.848"	"1.623"	"17.697"	"3.69"
"1923"	"1.607"	"3.778"	"2.567"	"0.848"	"3.316"	"6.253"	"369.145"	"200.806"	"91.779"	"1.774"	"0.209"	"0.891"
"1924"	"1.201"	"1.219"	"0.008"	"0"	"16.596"	"39.522"	"182.071"	"115.076"	"176.759"	"17.242"	"0.579"	"17.08"
"1925"	"0"	"0"	"0"	"0"	"19.733"	"93.702"	"172.958"	"84.271"	"21.702"	"0.033"	"53.009"	"0.24"
"1926"	"25.823"	"0.734"	"30.085"	"3.787"	"9.44"	"13.701"	"156.527"	"290.055"	"246.663"	"0.033"	"8.547"	"0"
"1927"	"0"	"4.1"	"0"	"0.034"	"3.854"	"27.399"	"266.666"	"330.872"	"99.227"	"15.311"	"31.546"	"11.828"
"1928"	"0.958"	"6.058"	"0.008"	"0"	"0.297"	"18.228"	"181.101"	"204.33"	"105.565"	"46.185"	"36.396"	"10.66"
"1929"	"0.962"	"2.657"	"0"	"8.211"	"1.581"	"69.973"	"195.348"	"192.113"	"21.941"	"3.886"	"0.209"	"8.129"
"1930"	"3.129"	"0.169"	"0"	"1.494"	"20.767"	"114"	"181.242"	"98.31"	"57.215"	"14.573"	"1.206"	"0"
"1931"	"0"	"0.425"	"0.163"	"0"	"2.666"	"48.65"	"127.567"	"437.612"	"97.835"	"60.967"	"1.206"	"0"
"1932"	"0"	"3.162"	"8.503"	"0.972"	"1.112"	"46.09"	"169.879"	"383.655"	"86.462"	"2.356"	"0.209"	"0"
"1933"	"0"	"5.072"	"7.162"	"9.995"	"22.069"	"176.367"	"92.715"	"431.866"	"188.489"	"6.793"	"4.443"	"3.967"
"1934"	"2.486"	"0"	"7.566"	"0"	"0"	"164.319"	"144.343"	"363.734"	"96.358"	"0.082"	"36.989"	"2.993"
"1935"	"8.878"	"0.64"	"0.241"	"10.985"	"2.022"	"20.078"	"257.905"	"71.41"	"147.658"	"23.765"	"0.209"	"0.482"
"1936"	"0"	"3.603"	"26.488"	"1.093"	"16.334"	"167.586"	"90.48"	"107.13"	"114.834"	"0.033"	"48.923"	"1.129"
"1937"	"0"	"7.007"	"0"	"0.148"	"0.923"	"26.166"	"223.91"	"15.949"	"208.492"	"7.619"	"2.176"	"3.671"
"1938"	"0.465"	"0"	"4.596"	"0.074"	"27.02"	"226.922"	"214.637"	"92.84"	"72.457"	"11.302"	"0.292"	"0"
"1939"	"0.591"	"2.589"	"13.212"	"0.461"	"0"	"33.139"	"128.078"	"187.83"	"59.619"	"1.162"	"3.876"	"1.778"
"1940"	"2.376"	"6.354"	"30.728"	"0.647"	"14.651"	"57.641"	"204.366"	"192.18"	"29.73"	"13.24"	"12.328"	"0.333"
