
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.75"	"3.52"	"5.21"	"6.37"	"7.21"	"6.77"	"5.2"	"4.21"	"4.63"	"4.83"	"3.58"	"2.92"
"1902"	"2.98"	"3.79"	"5.47"	"6.59"	"7.14"	"6.55"	"5.14"	"4.4"	"4.48"	"4.63"	"3.51"	"2.8"
"1903"	"2.89"	"3.59"	"4.91"	"6.21"	"7.01"	"6.78"	"5.17"	"4.24"	"4.5"	"4.62"	"3.38"	"2.74"
"1904"	"2.86"	"3.7"	"5"	"6.55"	"7.08"	"6.43"	"4.91"	"4.2"	"4.57"	"4.63"	"3.51"	"2.81"
"1905"	"2.76"	"3.2"	"4.79"	"6.14"	"7.34"	"6.65"	"5.09"	"4.35"	"4.65"	"4.76"	"3.68"	"2.87"
"1906"	"2.76"	"3.47"	"4.98"	"6.37"	"7.31"	"6.49"	"4.97"	"4.3"	"4.43"	"4.62"	"3.58"	"2.86"
"1907"	"2.99"	"3.58"	"4.96"	"6.23"	"6.86"	"6.6"	"5.29"	"4.13"	"4.46"	"4.65"	"3.58"	"2.74"
"1908"	"2.87"	"3.66"	"4.99"	"6.47"	"7.06"	"6.57"	"4.81"	"4.11"	"4.39"	"4.54"	"3.45"	"2.74"
"1909"	"2.85"	"3.62"	"5.24"	"6.21"	"6.92"	"6.43"	"4.86"	"4.11"	"4.36"	"4.57"	"3.55"	"2.73"
"1910"	"2.83"	"3.72"	"5.1"	"6.21"	"7.02"	"6.3"	"4.85"	"4.19"	"4.47"	"4.46"	"3.38"	"2.8"
"1911"	"2.99"	"3.72"	"4.87"	"6.31"	"7.22"	"6.41"	"5.19"	"4.37"	"4.48"	"4.7"	"3.4"	"2.88"
"1912"	"2.98"	"3.87"	"5.04"	"6.45"	"7.19"	"6.69"	"5.01"	"4.17"	"4.39"	"4.6"	"3.4"	"2.81"
"1913"	"2.91"	"3.67"	"4.87"	"6.56"	"6.95"	"6.38"	"4.99"	"4.21"	"4.53"	"4.76"	"3.52"	"2.81"
"1914"	"3.05"	"3.64"	"5.01"	"6.42"	"7.25"	"6.42"	"4.95"	"4.22"	"4.56"	"4.63"	"3.56"	"2.76"
"1915"	"2.86"	"3.51"	"5.17"	"6.37"	"7.22"	"6.7"	"5.27"	"4.35"	"4.78"	"4.81"	"3.58"	"2.89"
"1916"	"2.98"	"3.57"	"5.39"	"6.53"	"7.05"	"6.31"	"5.19"	"4.19"	"4.49"	"4.48"	"3.34"	"2.74"
"1917"	"2.97"	"3.72"	"5.07"	"6.09"	"6.7"	"6.25"	"4.81"	"4.12"	"4.35"	"4.36"	"3.33"	"2.77"
"1918"	"2.76"	"3.73"	"5.05"	"6.12"	"7.17"	"6.4"	"5.14"	"4.33"	"4.52"	"4.68"	"3.58"	"2.73"
"1919"	"2.91"	"3.63"	"5.17"	"6.27"	"7.02"	"6.56"	"4.92"	"4.18"	"4.42"	"4.58"	"3.5"	"2.75"
"1920"	"2.91"	"3.66"	"5.2"	"6.27"	"6.64"	"6.23"	"4.83"	"4.17"	"4.66"	"4.76"	"3.62"	"2.85"
"1921"	"2.93"	"3.71"	"5.41"	"6.65"	"7.18"	"6.62"	"5.22"	"4.21"	"4.39"	"4.6"	"3.52"	"2.94"
"1922"	"2.85"	"3.84"	"5.22"	"6.51"	"7.05"	"6.47"	"5.01"	"4.2"	"4.4"	"4.58"	"3.47"	"2.77"
"1923"	"2.91"	"3.61"	"5.22"	"6.42"	"6.96"	"6.68"	"5"	"4.12"	"4.49"	"4.57"	"3.44"	"2.84"
"1924"	"2.83"	"3.72"	"5.35"	"6.52"	"6.82"	"6.61"	"5.05"	"4.22"	"4.38"	"4.43"	"3.35"	"2.8"
"1925"	"2.7"	"3.48"	"5.23"	"6.7"	"6.99"	"6.21"	"4.84"	"4.35"	"4.7"	"4.84"	"3.54"	"2.87"
"1926"	"2.96"	"3.95"	"5.02"	"6"	"6.86"	"6.75"	"5.06"	"4.22"	"4.39"	"4.54"	"3.32"	"2.73"
"1927"	"2.72"	"3.5"	"4.92"	"6.26"	"6.95"	"6.55"	"4.95"	"4.11"	"4.42"	"4.58"	"3.33"	"2.82"
"1928"	"2.86"	"3.7"	"5.18"	"6.38"	"7.13"	"6.51"	"4.99"	"4.23"	"4.46"	"4.61"	"3.52"	"2.74"
"1929"	"2.81"	"3.55"	"5.33"	"6.47"	"7.12"	"6.52"	"4.94"	"4.18"	"4.52"	"4.62"	"3.61"	"2.69"
