
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.098"	"5.83"	"6.806"	"8.837"	"15.173"	"25.659"	"28.771"	"25.698"	"23.709"	"13.459"	"8.149"	"7.813"
"1902"	"7.22"	"6.88"	"7.909"	"9.407"	"14.729"	"23.418"	"27.879"	"28.159"	"22.802"	"11.869"	"7.788"	"6.864"
"1903"	"6.693"	"6.489"	"6.086"	"8.066"	"14.056"	"25.989"	"28.621"	"25.613"	"23.628"	"11.46"	"7.272"	"6.79"
"1904"	"6.693"	"6.734"	"6.307"	"8.858"	"14.423"	"23.475"	"26.341"	"26.132"	"22.852"	"11.931"	"7.675"	"7.388"
"1905"	"6.125"	"4.621"	"5.506"	"7.529"	"16.222"	"23.759"	"27.505"	"27.42"	"24.322"	"12.671"	"8.61"	"7.388"
"1906"	"6.061"	"5.735"	"6.203"	"8.437"	"15.914"	"23.256"	"26.581"	"26.982"	"22.017"	"11.905"	"8.195"	"7.445"
"1907"	"7.249"	"6.179"	"6.358"	"8.069"	"13.477"	"23.638"	"29.756"	"25.617"	"22.774"	"12.144"	"8.164"	"6.706"
"1908"	"6.683"	"6.572"	"6.375"	"8.778"	"14.423"	"24.097"	"24.98"	"25.373"	"22.743"	"11.255"	"7.521"	"6.943"
"1909"	"6.553"	"6.52"	"7.249"	"7.898"	"13.671"	"23.44"	"24.86"	"24.75"	"21.725"	"11.231"	"7.818"	"6.79"
"1910"	"6.693"	"6.603"	"6.806"	"7.793"	"14.423"	"23.322"	"25.597"	"25.68"	"22.818"	"11.155"	"6.931"	"6.904"
"1911"	"6.849"	"6.582"	"5.86"	"8.49"	"15.098"	"23.24"	"29.109"	"27.406"	"22.75"	"11.947"	"7.241"	"7.388"
"1912"	"7.193"	"7.307"	"6.471"	"8.894"	"15.195"	"25.568"	"26.558"	"25.714"	"22.767"	"11.947"	"7.459"	"7.388"
"1913"	"6.661"	"6.821"	"5.791"	"8.99"	"14.397"	"22.413"	"26.255"	"25.98"	"23.463"	"12.565"	"8.147"	"7.344"
"1914"	"7.456"	"6.466"	"6.409"	"8.51"	"16.005"	"23.475"	"26.304"	"25.714"	"22.767"	"11.947"	"8.164"	"6.79"
"1915"	"6.693"	"6.237"	"6.68"	"8.763"	"15.798"	"25.93"	"29.433"	"27.356"	"26.23"	"12.852"	"8.181"	"7.388"
"1916"	"7.11"	"6.163"	"7.706"	"8.788"	"14.423"	"22.428"	"27.449"	"25.698"	"22.75"	"11.063"	"7.023"	"6.79"
"1917"	"6.693"	"6.924"	"6.563"	"7.28"	"12.657"	"21.964"	"24.744"	"25.714"	"22.611"	"10.283"	"6.842"	"7.112"
"1918"	"6.098"	"6.821"	"6.702"	"7.838"	"14.585"	"23.292"	"28.408"	"27.489"	"22.871"	"12.03"	"8.148"	"6.79"
"1919"	"6.63"	"6.513"	"6.906"	"8.315"	"14.423"	"23.998"	"26.248"	"25.681"	"22.812"	"11.536"	"7.529"	"6.79"
"1920"	"6.693"	"6.688"	"6.839"	"8.316"	"12.169"	"22.125"	"26.091"	"26.03"	"24.703"	"12.852"	"8.11"	"7.37"
"1921"	"6.693"	"6.672"	"8.127"	"9.64"	"15.323"	"24.204"	"28.988"	"25.714"	"22.866"	"11.888"	"7.92"	"7.753"
"1922"	"6.693"	"7.321"	"6.806"	"8.894"	"14.423"	"23.43"	"27.21"	"25.697"	"22.767"	"11.947"	"8.024"	"7.059"
"1923"	"6.693"	"6.498"	"6.806"	"8.891"	"14.423"	"24.957"	"26.403"	"25.613"	"22.802"	"11.26"	"7.477"	"7.231"
"1924"	"6.652"	"6.688"	"7.606"	"8.824"	"13.201"	"24.855"	"26.871"	"25.664"	"22.358"	"11.049"	"7.149"	"7.33"
"1925"	"5.628"	"5.817"	"7.254"	"9.753"	"14.37"	"21.078"	"26.032"	"27.436"	"24.854"	"12.852"	"7.622"	"7.206"
"1926"	"6.693"	"7.856"	"6.333"	"7.382"	"13.684"	"26.471"	"27.478"	"25.714"	"22.789"	"10.951"	"6.706"	"6.79"
"1927"	"5.779"	"5.908"	"6.405"	"8.095"	"14.423"	"23.97"	"26.345"	"25.644"	"22.767"	"11.853"	"7.086"	"7.388"
"1928"	"6.679"	"6.821"	"6.806"	"8.847"	"15.182"	"23.475"	"27.195"	"25.866"	"22.842"	"11.931"	"8.164"	"6.83"
"1929"	"6.431"	"6.196"	"7.506"	"8.805"	"14.476"	"23.405"	"26.272"	"25.714"	"22.773"	"11.922"	"8.109"	"6.571"
"1930"	"6.693"	"6.669"	"6.806"	"8.276"	"14.423"	"23.407"	"24.646"	"25.714"	"24.884"	"12.583"	"7.464"	"7.288"
"1931"	"7.193"	"6.051"	"6.662"	"9.292"	"14.423"	"25.066"	"28.097"	"26.026"	"22.789"	"11.2"	"7.638"	"7.388"
"1932"	"8.115"	"6.425"	"6.561"	"8.174"	"14.423"	"23.966"	"26.308"	"25.714"	"23.672"	"11.883"	"7.48"	"7.388"
"1933"	"6.183"	"6.902"	"6.856"	"7.999"	"13.482"	"23.39"	"26.412"	"25.076"	"22.395"	"11.274"	"7.972"	"7.504"
"1934"	"5.68"	"7.193"	"6.342"	"8.894"	"14.423"	"23.4"	"26.381"	"25.714"	"22.779"	"10.931"	"7.455"	"7.406"
"1935"	"5.598"	"6.717"	"6.418"	"7.422"	"14.423"	"24.905"	"26.259"	"25.681"	"22.852"	"11.404"	"7.935"	"7.363"
"1936"	"6.078"	"6.907"	"6.32"	"8.075"	"16.065"	"22.169"	"26.39"	"25.628"	"22.861"	"11.947"	"8.095"	"6.927"
"1937"	"6.235"	"6.891"	"6.332"	"7.908"	"14.423"	"24.274"	"26.275"	"25.743"	"22.75"	"11.931"	"8.181"	"6.79"
"1938"	"6.773"	"6.126"	"7.556"	"9.095"	"15.192"	"21.647"	"26.581"	"26.637"	"24.692"	"12.532"	"7.185"	"7.388"
